"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant(s) de l’agent dans le(s) référentiel(s) des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de début d’existence","Date de fin d’existence","Statut juridique ou catégorie","Présence d’éléments historiques rédigés","Domaines fonctionnels ou fonctions","Identifiant ISNI","Identifiant Wikidata","Notice Wikipédia","URI BnF","Date de création de la notice","Date de dernière mise à jour de la notice"
"agent/003352","003352","rico:CorporateBody","Bureau du personnel enseignant des écoles normales supérieures, des grands établissements littéraires et scientifiques et du personnel technique universitaire",,"1965-01-01","1970-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/003366","003366","rico:CorporateBody","Bureau du personnel enseignant des facultés de droit et des sciences économiques, des facultés des lettres et sciences humaines et des facultés de théologie",,"1964-01-01","1965-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/003354","003354","rico:CorporateBody","Bureau du personnel enseignant des facultés des sciences",,"1965-01-01","1970-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/003369","003369","rico:CorporateBody","Bureau du personnel enseignant des facultés des sciences et des instituts nationaux de sciences appliquées",,"1964-01-01","1965-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/003351","003351","rico:CorporateBody","Bureau du personnel enseignant des facultés de théologie, de droit et de sciences économiques, des lettres et sciences humaines",,"1965-01-01","1970-12-31","service d’administration centrale","non",,,,,,"2015-09-30","2015-09-30"
"agent/003368","003368","rico:CorporateBody","Bureau du personnel enseignant des facultés et écoles nationales de médecine et de pharmacie (1964-1965)",,"1964-01-01","1965-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/003353","003353","rico:CorporateBody","Bureau du personnel enseignant des facultés et écoles nationales de médecine et de pharmacie (1965-1970)",,"1965-01-01","1970-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/003367","003367","rico:CorporateBody","Bureau du personnel enseignant des grands établissements et du personnel technique universitaire",,"1964-01-01","1965-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/007196","007196","rico:CorporateBody","Bureau du personnel et de la formation (direction du tourisme)",,"1994-01-01","2001-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/005065","005065","rico:CorporateBody","Bureau du personnel et des affaires générales (direction des archives de France)","Bureau du personnel","1979-01-01","2002-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/001004","001004","rico:CorporateBody","Bureau du personnel et des compétences (direction des systèmes d'information et de communication, ministère de l'Intérieur)","Bureau des personnels et des métiers | Bureau de l'emploi des personnels et de la formation","2002-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/006858","006858","rico:CorporateBody","Bureau du personnel et des moyens généraux (direction générale des routes)","Bureau des ressources humaines et de la gestion des moyens","2003-01-01","2008-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/005210","005210","rico:CorporateBody","Bureau du personnel et des relations humaines (direction des musées de France)",,"1988-01-01","1991-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/000513","000513","rico:CorporateBody","Bureau du personnel et des statuts (direction de l'administration pénitentiaire)","Bureau des statuts, des carrières et de la gestion des personnels","1979-01-01","1990-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/000569","000569","rico:CorporateBody","Bureau du personnel et des statuts (direction de la protection judiciaire de la jeunesse)","Bureau du personnel","1979-01-01","2003-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/009414","009414","rico:CorporateBody","Bureau du personnel officier (direction des personnels militaires de la gendarmerie nationale)",,"2009-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/009415","009415","rico:CorporateBody","Bureau du personnel sous-officier de gendarmerie et volontaire (direction des personnels militaires de la gendarmerie nationale)",,"2009-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/009416","009416","rico:CorporateBody","Bureau du personnel sous-officier du corps de soutien technique et administratif de la gendarmerie nationale",,"2009-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/009099","009099","rico:CorporateBody","Bureau du personnel technique et de la formation (direction de la navigation aérienne)",,"1982-01-01","2002-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/001565","001565","rico:CorporateBody","Bureau du pilotage (direction des systèmes d'information et de communication, ministère de l'Intérieur)",,"2010-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/003172","003172","rico:CorporateBody","Bureau du pilotage de gestion (service des personnels enseignants de l'enseignement scolaire)",,"2006-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/003280","003280","rico:CorporateBody","Bureau du pilotage de l'exploitation des systèmes d'information (ministères de l'Éducation nationale et de l'Enseignement supérieur et de la Recherche)",,"2009-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/005838","005838","rico:CorporateBody","Bureau du pilotage de la masse salariale et de la répartition des effectifs (ministères chargés de la jeunesse, des sports et de la vie associative)",,"2006-01-01","2009-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/008451","008451","rico:CorporateBody","Bureau du pilotage de la politique de l'alimentation (direction générale de l'alimentation)","Bureau de la nutrition et de la valorisation de la qualité des aliments","2008-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/005585","005585","rico:CorporateBody","Bureau du pilotage des musées nationaux (service des musées de France)",,"2010-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/009447","009447","rico:CorporateBody","Bureau du pilotage des services (service des technologies et des systèmes d'information de la sécurité intérieure)",,"2010-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/006032","006032","rico:CorporateBody","Bureau du pilotage des services déconcentrés (ministère chargé de l'environnement)",,"2000-01-01","2005-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/006277","006277","rico:CorporateBody","Bureau du pilotage des services et de la programmation (ministère de l'Équipement)",,"2001-01-01","2005-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/008481","008481","rico:CorporateBody","Bureau du pilotage du programme « sécurité et qualité sanitaires de l'alimentation » (direction générale de l'alimentation)",,"2008-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/009703","009703","rico:CorporateBody","Bureau du pilotage et de l'animation des directions départementales interministérielles (direction des services administratifs et financiers du Premier ministre)",,"2012-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/003599","003599","rico:CorporateBody","Bureau du plan, de la carte universitaire et des moyens (direction des enseignements supérieurs)",,"1984-01-01","1989-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/004215","004215","rico:CorporateBody","Bureau du plan, de la coordination, de la recherche, des études et des affaires internationales (direction générale de la santé)",,"1984-01-01",,"service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
"agent/002643","002643","rico:CorporateBody","Bureau du plan, du programme et de la gestion des emplois (direction des collèges)","Bureau des affaires générales et budgétaires","1974-01-01","1986-12-31","service d’administration centrale","non",,,,,,"2013-04-23","2013-04-23"
