"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant(s) de l’agent dans le(s) référentiel(s) des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de début d’existence","Date de fin d’existence","Présence d’éléments historiques rédigés","Identifiant ISNI","Identifiant Wikidata","Notice Wikipédia","URI BnF","Date de création de la notice","Date de dernière mise à jour de la notice"
"agent/050483","050483","rico:Family","Rostaing (famille de)",,"1201-01-01","1900-12-31","oui",,,,,"2013-12-10",
"agent/050311","050311","rico:Family","Rougé (famille de)",,"1001-01-01","2000-12-31","oui",,,"https://fr.wikipedia.org/wiki/Famille_de_Roug%C3%A9",,"2013-12-03","2018-03-14"
"agent/050112","050112","rico:Family","Roussan (famille)","Roussan-Sabathier (famille)","1501-01-01","2000-12-31","oui",,,,,"2013-10-17",
"agent/050308","050308","rico:Family","Saint-Nectaire (famille de)","Sennecterre (famille de) | Saint-Nectaire (famille)","1201-01-01",,"oui",,,,,"2013-12-10",
"agent/052468","052468","rico:Family","Sambon (famille ; 1801-2000)",,"1801-01-01","2000-12-31","oui",,,,,"2020-01-16","2020-07-01"
"agent/050606","050606","rico:Family","Sandrier (famille ; XVe-XXe siècle)","Sandrier de la Tour de Mitry des Pommelles de Vaubonne (famille)","1401-01-01","2000-12-31","oui",,,,,"2013-09-11","2023-07-12"
"agent/050927","050927","rico:Family","Sanson (famille ; 1836-1971)",,"1836-01-01","1971-12-31","oui",,,,,"2014-12-08","2022-08-08"
"agent/050574","050574","rico:Family","Sazerac de Forge (famille)",,"1301-01-01","2000-12-31","oui",,,,,"2013-12-19",
"agent/050030","050030","rico:Family","Schomberg (famille de)",,"1401-01-01","1700-12-31","oui",,,,,"2013-08-09",
"agent/050517","050517","rico:Family","Sémonville (famille de ; 1501-2000)",,"1501-01-01","2000-12-31","oui",,,,,"2013-09-04","2020-02-28"
"agent/051329","051329","rico:Family","Servan-Schreiber (famille)","Schreiber (famille)","1801-01-01","2000-12-31","oui",,,,,"2016-07-04",
"agent/052053","052053","rico:Family","Seydoux (famille ; 1801-2000)",,"1801-01-01","2000-12-31","oui",,,"https://fr.wikipedia.org/wiki/Famille_Seydoux",,"2018-05-29","2020-07-01"
"agent/050191","050191","rico:Family","Siméon (famille ; 1701-2000)",,"1701-01-01","2000-12-31","oui",,,,,"2013-10-15","2019-12-16"
"agent/052366","052366","rico:Family","Taillepied (famille ; 1601-1900)",,"1601-01-01","1900-12-31","oui",,,,,"2019-09-27","2020-07-02"
"agent/051599","051599","rico:Family","Thomé (famille)","Thomé de Montmagny (famille) | Thomé de Ferrières (famille) | Thomé de Torcy (famille) | Thomé de Saint-Méry (famille)","1601-01-01","1900-12-31","oui",,,,,"2017-07-20","2018-03-14"
"agent/051585","051585","rico:Family","Tillet (famille du)",,"1450-01-01","1900-12-31","oui",,,,,"2017-07-18","2018-03-14"
"agent/053603","053603","rico:Family","Tixier de La Chapelle (famille ; XVIIIe-....)",,"1701-01-01",,"oui",,,,,"2024-01-15","2024-01-15"
"agent/050327","050327","rico:Family","Tournon (famille de ; XIIIe s.-....)",,"1201-01-01",,"oui",,,,,"2013-08-22","2023-07-13"
"agent/051003","051003","rico:Family","Turgot (famille)",,"1201-01-01","1900-12-31","oui",,,,,"2015-04-28",
"agent/050042","050042","rico:Family","Turin (famille de)",,"1501-01-01","1900-12-31","oui",,,,,"2013-10-31","2013-10-31"
"agent/050435","050435","rico:Family","Vallée (famille ; XVIIIe-XXe siècles)",,"1701-01-01","2000-12-31","oui",,,,,"2013-08-30","2022-07-27"
"agent/052611","052611","rico:Family","Valory (famille de ; 1301-1900)","Valori (famille de) | Valory d’Estilly (famille de) | Valori d’Estilly (famille de) | Valori-Rustichelli (famille de)","1301-01-01","1900-12-31","oui",,,"https://fr.wikipedia.org/wiki/Famille_de_Valori",,"2020-07-01","2020-07-07"
"agent/051812","051812","rico:Family","Vassé (famille de ; 1301-1900)",,"1301-01-01","1900-12-31","oui",,,"https://fr.wikipedia.org/wiki/Famille_de_Vassé",,"2017-11-20","2019-12-06"
"agent/050033","050033","rico:Family","Vaulx d'Achy (famille de)",,"1701-01-01","1900-12-31","oui",,,,,"2013-08-13",
"agent/051831","051831","rico:Family","Vielcastel (famille de ; 1201-2000)",,"1201-01-01","2000-12-31","oui",,,,,"2017-11-27","2020-07-01"
"agent/050779","050779","rico:Family","Villèle (famille de)",,"1633-01-01",,"oui",,,,,"2014-04-09",
"agent/050218","050218","rico:Family","Vitet (famille ; 1701-1900)",,"1701-01-01","1900-12-31","oui",,,,,"2013-10-15","2019-11-19"
"agent/050378","050378","rico:Family","Vogüé (famille de)","Famille de Vogüé","1601-01-01",,"oui",,,"https://fr.wikipedia.org/wiki/Famille_de_Vog%C3%BC%C3%A9","https://data.bnf.fr/ark:/12148/cb16258596j#about","2013-10-15","2022-09-28"
"agent/052533","052533","rico:Family","Voyer de Paulmy d’Argenson (famille de ; XIVe-XXe siècles)","Paulmy d'Argenson (famille de Voyer de) | Argenson (famille de Voyer de Paulmy d') | Voyer de Paulmy (famille de) | Famille de Voyer de Paulmy d'Argenson | Famille de Voyer d'Argenson","1301-01-01","2000-12-31","oui",,"Q2033833","https://fr.wikipedia.org/wiki/Famille_de_Voyer_de_Paulmy_d%27Argenson","https://data.bnf.fr/ark:/12148/cb135424821#about","2020-06-11","2022-06-22"
"agent/050669","050669","rico:Family","Wallon (famille) (XIXe-XXe siècles)",,"1801-01-01","2000-12-31","oui",,,,,"2014-03-20",
"agent/009920","009920","rico:Family","Wiltzer (famille)",,"1940-01-01","2010-12-31","non",,,,,"2013-04-23","2013-04-23"
"agent/052283","052283","rico:Family","Zoubaloff (famille ; XIXe-XXe siècles)",,"1801-01-01","2000-12-31","oui",,,,,"2019-05-17","2019-05-27"
