"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant(s) de l’agent dans le(s) référentiel(s) des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de début d’existence","Date de fin d’existence","Présence d’éléments historiques rédigés","Identifiant ISNI","Identifiant Wikidata","Notice Wikipédia","URI BnF","Date de création de la notice","Date de dernière mise à jour de la notice"
"agent/050320","050320","rico:Family","Etampes (famille d')",,"1301-01-01",,"oui",,,,,"2013-12-03",
"agent/050498","050498","rico:Family","Eudes de Catteville (famille)","Eudes de Catteville de Mirville (famille)","1501-01-01","2000-12-31","oui",,,,,"2013-12-10","2019-09-12"
"agent/050430","050430","rico:Family","Faucigny-Lucinge (famille de)","Lucinge (famille de)","1101-01-01","2000-12-31","oui",,,,,"2015-09-30",
"agent/050197","050197","rico:Family","Flahaut (famille de ; 1501-1900)","Flahault (famille de) | Flahaut de La Billarderie (famille de)","1501-01-01","1900-12-31","oui",,,"https://fr.wikipedia.org/wiki/Famille_de_Flahaut",,"2013-08-19","2020-12-11"
"agent/050732","050732","rico:Family","Fontenu (famille de)",,"1663-01-01","1850-12-31","oui",,,,,"2014-02-27",
"agent/050582","050582","rico:Family","Fortoul (famille)",,"1811-08-04","1885-12-31","oui",,,,,"2014-02-04","2018-03-09"
"agent/050595","050595","rico:Family","Fourquevaux (famille de)","Beccaria de Fourquevaux (famille)","1301-01-01","1900-12-31","oui",,,,,"2014-02-04",
"agent/050086","050086","rico:Family","Fraguier (famille de)",,"1201-01-01","2000-12-31","oui",,,,,"2013-08-09",
"agent/050041","050041","rico:Family","Francqueville (famille de ; 1401-....)","Franqueville (famille de) | Francqueville d’Abancourt (famille de) | Francqueville de Bourlon (famille de)","1401-01-01",,"oui",,,"https://fr.wikipedia.org/wiki/Famille_de_Francqueville",,"2013-07-19","2020-12-11"
"agent/052147","052147","rico:Family","Fratellini (famille)",,"1801-01-01","2000-12-31","oui",,,,"https://data.bnf.fr/ark:/12148/cb12127450c#about","2018-12-07","2018-12-14"
