"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant de l’agent dans le référentiel FRAN_RI_013 du SI des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de début d’existence (rico:beginningDate)","Date de fin d’existence (rico:endDate)","Histoire de l’agent (rico:history)","Identifiant ISNI","Identifiant de l’agent dans le référentiel des producteurs des Archives nationales","URI BnF"
"agent/FRAN_RI_013-d3m0bo6zs0f--1xqtkzgoonf9v","d3m0bo6zs0f--1xqtkzgoonf9v","CorporateBody","Union européenne. Commission européenne","Commission européenne",,,"Créée par le traité de Rome, il s'agit d'abord de l'exécutif de la CEE. Par le traité de Bruxelles du 8 avril 1965 (entrée en vigueur le 1er juillet 1967), la Commission européenne devient une institution commune aux 3 Communautés, tout comme le Conseil de l'Union européenne.",,,
"agent/FRAN_RI_013-d3m0bo5k1b3--gc20qjtkfru4","d3m0bo5k1b3--gc20qjtkfru4","CorporateBody","Union européenne. Conseil","Conseil des ministres de la CEE | Conseil des communautés européennes | Conseil de l'Union européenne",,,"Créé par le traité de Rome, il est composé des représentants des gouvernements au sein de la CEE. Par le traité de Bruxelles du 8 avril 1965 (entrée en vigueur le 1er juillet 1967), il devient une institution commune aux 3 Communautés, tout comme la Commission européenne.",,,
"agent/FRAN_RI_013-d3m0bo56llv-1ezy9woz0vahh","d3m0bo56llv-1ezy9woz0vahh","CorporateBody","Union européenne. Cour de justice","Communautés européennes. Cour de justice | Cour de justice de l'Union européenne",,,"Créée en 1957.",,,
"agent/FRAN_RI_013-d3m0bo6ufvm--ihk4n15lw0nd","d3m0bo6ufvm--ihk4n15lw0nd","CorporateBody","Union européenne. Cour des comptes","Cour des comptes européenne | Communautés européennes. Cour des comptes",,,"Créée en 1975.",,,
"agent/FRAN_RI_013-d3m0bo5ecw7--qvho2imvrypj","d3m0bo5ecw7--qvho2imvrypj","CorporateBody","Union européenne. Parlement européen","Parlement européen",,,,,,
"agent/FRAN_RI_013-d3m0bo6ooow--15u07rx76dlfh","d3m0bo6ooow--15u07rx76dlfh","CorporateBody","Union européenne de radiodiffusion",,,,,,,
"agent/FRAN_RI_013-d3m0bo5cedn-qh89au8rxauv","d3m0bo5cedn-qh89au8rxauv","CorporateBody","Union internationale des télécommunications","Union télégraphique internationale",,,,,,
"agent/FRAN_RI_013-d3m0bo6u4sb--v1sxrll2l13h","d3m0bo6u4sb--v1sxrll2l13h","CorporateBody","Union nationale des associations familiales (France)",,,,,,,
"agent/FRAN_RI_013-d3m0bo5rp12--14j48bo2atte4","d3m0bo5rp12--14j48bo2atte4","CorporateBody","Union nationale des centres sportifs de plein air (France)","UCPA",,,,,,
"agent/FRAN_RI_013-d3m0bo67222-lx3wdbpedyv","d3m0bo67222-lx3wdbpedyv","CorporateBody","Union nationale du sport scolaire (France)",,,,,,,
"agent/FRAN_RI_013-d3m0bo70jqq-17vuvbhtl78w7","d3m0bo70jqq-17vuvbhtl78w7","CorporateBody","Union postale universelle",,,,"Créée en 1874.",,,
"agent/FRAN_RI_013-d3nyutzhbr-1llqsjc08imro","d3nyutzhbr-1llqsjc08imro","CorporateBody","Université d'Aix",,,,,,,
"agent/FRAN_RI_013-d3m0bo5ktfo-1dagjd4t3rul2","d3m0bo5ktfo-1dagjd4t3rul2","CorporateBody","Université d'Angers (1364-1794)",,,,,,,
"agent/FRAN_RI_013-d3m0bo6s9fv-hkrygppf7lbn","d3m0bo6s9fv-hkrygppf7lbn","CorporateBody","Université d'Angers (1364-1794). Faculté de théologie",,,,,,,
"agent/FRAN_RI_013-d3m0bo538s4--e2urp2ds7wnw","d3m0bo538s4--e2urp2ds7wnw","CorporateBody","Université de Bordeaux (1441-1970)",,,,,,,
"agent/FRAN_RI_013-d3m0bo5yjty--rgtfrtvs53by","d3m0bo5yjty--rgtfrtvs53by","CorporateBody","Université de Paris (1215-1793)",,,,,,,
"agent/FRAN_RI_013-d3m0bo60xso--1o10m3tt88gmy","d3m0bo60xso--1o10m3tt88gmy","CorporateBody","Université de Paris (1215-1793). Faculté de droit",,,,,,,
"agent/FRAN_RI_013-d3m0bo5tf84--l77jdd5s0dyk","d3m0bo5tf84--l77jdd5s0dyk","CorporateBody","Université de Paris (1215-1793). Faculté de théologie",,,,,,,
"agent/FRAN_RI_013-d3m0bo6skxg--lk0t2lg1mm5o","d3m0bo6skxg--lk0t2lg1mm5o","CorporateBody","Université de Paris (1896-1968)",,,,,,,
"agent/FRAN_RI_013-d3m0bo6oa18--3nt6vapcx737","d3m0bo6oa18--3nt6vapcx737","CorporateBody","Université de Paris VII","Université de Paris 7 | Université Denis Diderot (Paris)",,,,,,
"agent/FRAN_RI_013-d3m0bo5lqbd--1ntcg29x4lh86","d3m0bo5lqbd--1ntcg29x4lh86","CorporateBody","Université Paris-Est Créteil Val-de-Marne","Université de Paris 12 | Université de Paris XII",,,,,,
"agent/FRAN_RI_013-d3m0bo5mt4z--g9mwhi345s52","d3m0bo5mt4z--g9mwhi345s52","CorporateBody","Université René Descartes (Paris)","Université de Paris 5 | Université de Paris V",,,,,,
"agent/FRAN_RI_013-d3m0bo5jfiq-1hob0f6pm2bs1","d3m0bo5jfiq-1hob0f6pm2bs1","CorporateBody","USINOR","USINOR-SACILOR",,,,,,
"agent/FRAN_RI_013-d3m0bo60grg-1xjis0q8ikm0f","d3m0bo60grg-1xjis0q8ikm0f","CorporateBody","Voies navigables de France","Office national de la navigation (France) | VNF",,,,,,
"agent/FRAN_RI_013-d-2f3mmwe3e--1530qleqxa8ik","d-2f3mmwe3e--1530qleqxa8ik","CorporateBody","Wursthorn et Cie",,,,,,,
