"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant de l’agent dans le référentiel FRAN_RI_013 du SI des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de début d’existence (rico:beginningDate)","Date de fin d’existence (rico:endDate)","Histoire de l’agent (rico:history)","Identifiant ISNI","Identifiant de l’agent dans le référentiel des producteurs des Archives nationales","URI BnF"
"agent/FRAN_RI_013-d3m0bo67ng6--fduvfpn3eutl","d3m0bo67ng6--fduvfpn3eutl","CorporateBody","Nations Unies","Organisation des Nations Unies | ONU",,,,,,
"agent/FRAN_RI_013-d3m0bo51il3--18n4bwj1iqn0e","d3m0bo51il3--18n4bwj1iqn0e","CorporateBody","Nations Unies. Haut commissariat pour les réfugiés","HCR | UNHCR | Haut-commissariat des Nations Unies pour les réfugiés",,,,,,
"agent/FRAN_RI_013-d3m0bo6j29a--9kulq8mniygc","d3m0bo6j29a--9kulq8mniygc","CorporateBody","NS Savannah (navire)",,,,,,,
"agent/FRAN_RI_013-d3m0bo6r87a--1ezrt5hojyv91","d3m0bo6r87a--1ezrt5hojyv91","CorporateBody","Odéon-Théâtre de l'Europe (Paris)",,,,,,,
"agent/FRAN_RI_013-d3m0bo6h3ch-11pkf64vjd6dq","d3m0bo6h3ch-11pkf64vjd6dq","CorporateBody","Oeuvre pour la sécurité et l'organisation des secours (Paris)","SOS",,,,,,
"agent/FRAN_RI_013-d3m0bo6yday--1gj24lwzk9fdr","d3m0bo6yday--1gj24lwzk9fdr","CorporateBody","Office de développement de l'économie agricole des départements d'outre-mer (France)",,,,,,,
"agent/FRAN_RI_013-d3m0bo6ff4r-w914c7qmjv0l","d3m0bo6ff4r-w914c7qmjv0l","CorporateBody","Office français de protection des réfugiés et apatrides","OFPRA",,,,,,
"agent/FRAN_RI_013-d3m0bo5e7cj--17rnbwyh75f7z","d3m0bo5e7cj--17rnbwyh75f7z","CorporateBody","Office franco-allemand pour la jeunesse",,,,,,,
"agent/FRAN_RI_013-d3m0bo68kbv-frcc7u910fho","d3m0bo68kbv-frcc7u910fho","CorporateBody","Office franco-québécois pour la jeunesse",,,,,,,
"agent/FRAN_RI_013-d3m0bo633fx--17f400vs68wtu","d3m0bo633fx--17f400vs68wtu","CorporateBody","Office national d'études et de recherches aérospatiales (France)","ONERA | Office national d'études et de recherches aéronautiques (France)",,,,,,
"agent/FRAN_RI_013-d3m0bo5mci0-13qf1vz4c0djp","d3m0bo5mci0-13qf1vz4c0djp","CorporateBody","Office national d'information sur les enseignements et les professions (France)","ONISEP",,,,,,
"agent/FRAN_RI_013-d3m0bo64m40--1ammb5m8mracv","d3m0bo64m40--1ammb5m8mracv","CorporateBody","Office national de la chasse et de la faune sauvage (France)","Office national de la chasse (France)",,,,,,
"agent/FRAN_RI_013-d3m0bo6zxk3--1jnwmmt6winus","d3m0bo6zxk3--1jnwmmt6winus","CorporateBody","Office national des forêts (France)",,,,,,,
"agent/FRAN_RI_013-d3m0bo69xga--q520rksuoopc","d3m0bo69xga--q520rksuoopc","CorporateBody","Olympic Bravery (navire)",,,,,,,
"agent/FRAN_RI_013-d3m0bo6o4hk--2j5g3l4s5115","d3m0bo6o4hk--2j5g3l4s5115","CorporateBody","Opéra Bastille (Paris)","Etablissement public de l'Opéra de la Bastille (Paris)",,,,,,
"agent/FRAN_RI_013-d3m0bo5fqt5-1l2b4de0e3l93","d3m0bo5fqt5-1l2b4de0e3l93","CorporateBody","Ordre des architectes (France)",,,,,,,
"agent/FRAN_RI_013-d3m0bo5ypdm--t1qxs6fwm0cp","d3m0bo5ypdm--t1qxs6fwm0cp","CorporateBody","Ordre national des médecins (France)","Ordre des médecins (France)",,,,,,
"agent/FRAN_RI_013-d3m0bo5y8qm-55uxt75vscto","d3m0bo5y8qm-55uxt75vscto","CorporateBody","Organisation armée secrète (France)","OAS",,,,,,
"agent/FRAN_RI_013-d3m0bo64gym--19jrnetwnf5za","d3m0bo64gym--19jrnetwnf5za","CorporateBody","Organisation de coopération et de développement économiques","Organisation européenne de coopération économique | OCDE",,,,,,
"agent/FRAN_RI_013-d3m0bo56wp7--11xcp90fkobwx","d3m0bo56wp7--11xcp90fkobwx","CorporateBody","Organisation de gestion et de sécurité aéronautique (Algérie)",,,,"Organisme algéro-français ayant géré les services d'exploitation de l'aviation civile en Algérie jusqu'en 1968.",,,
"agent/FRAN_RI_013-d3m0bo5l44q--1a35qpzfqcjfo","d3m0bo5l44q--1a35qpzfqcjfo","CorporateBody","Organisation de l'aviation civile internationale",,,,,,,
"agent/FRAN_RI_013-d3m0bo5af2l-10ixqybdyctyv","d3m0bo5af2l-10ixqybdyctyv","CorporateBody","Organisation de l'unité africaine",,,,"1963-2001",,,
"agent/FRAN_RI_013-d3m0bo67yjh--d9njv10yje3q","d3m0bo67yjh--d9njv10yje3q","CorporateBody","Organisation de libération de la Palestine","OLP",,,,,,
"agent/FRAN_RI_013-d3m0bo6q089--k4gm5guweu2b","d3m0bo6q089--k4gm5guweu2b","CorporateBody","Organisation des Nations Unies pour l'alimentation et l'agriculture","FAO",,,,,,
"agent/FRAN_RI_013-d3m0bo6ecb4-19qv6rcwy3ym","d3m0bo6ecb4-19qv6rcwy3ym","CorporateBody","Organisation des pays arabes exportateurs de pétrole","OPAEP",,,,,,
"agent/FRAN_RI_013-d3m0bo6nyxw--1g2nj8v4cxcdw","d3m0bo6nyxw--1g2nj8v4cxcdw","CorporateBody","Organisation des pays exportateurs de pétrole","OPEP",,,,,,
"agent/FRAN_RI_013-d3m0bo61jzb--152ycmtj2ciqw","d3m0bo61jzb--152ycmtj2ciqw","CorporateBody","Organisation du traité de l'Atlantique nord","NATO | OTAN",,,,,,
"agent/FRAN_RI_013-d3m0bo6ml0y--11zvu1fntuocq","d3m0bo6ml0y--11zvu1fntuocq","CorporateBody","Organisation européenne pour la sécurité de la navigation aérienne","Eurocontrol",,,"Créée en 1963.",,,
"agent/FRAN_RI_013-d3m0bo5oxlg--1jycvz8ezsekr","d3m0bo5oxlg--1jycvz8ezsekr","CorporateBody","Organisation internationale de police criminelle","INTERPOL",,,,,,
"agent/FRAN_RI_013-d3m0bo55tvk-ue7l82j78uec","d3m0bo55tvk-ue7l82j78uec","CorporateBody","Organisation maritime internationale","Organisation intergouvernementale consultative de la navigation maritime",,,,,,
"agent/FRAN_RI_013-d3m0bo5kyzb-1849iy2zvewps","d3m0bo5kyzb-1849iy2zvewps","CorporateBody","Organisation météorologique mondiale",,,,,,,
"agent/FRAN_RI_013-d3m0bo690kl--1vxx8u2c4qqof","d3m0bo690kl--1vxx8u2c4qqof","CorporateBody","Organisation mondiale de la santé","OMS",,,,,,
"agent/FRAN_RI_013-d3m0bo6of6m-ux0uz2edzwm","d3m0bo6of6m-ux0uz2edzwm","CorporateBody","Organisation mondiale du commerce","OMC",,,"Prend la succession de l'Accord général sur les tarifs douaniers et le commerce (GATT) en 1995.",,,
"agent/FRAN_RI_013-d3m0bo5nq0o--1nwgttqdfw11","d3m0bo5nq0o--1nwgttqdfw11","CorporateBody","Organisation mondiale du tourisme",,,,,,,
