"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"placeType/bourg",,"PlaceType","bourg",,"Un bourg est une agglomération rurale plus importante que la ville, où se tient ordinairement le marché des villages environnants1 et qui tient lieu de centre administratif local (un droit de fortification existait à l’époque médiévale) ce qui le distingue de la simple bourgade. On parle généralement de bourg pour désigner une localité de taille intermédiaire entre le village et la ville, sans faubourg ni banlieue. Sur le plan administratif, le bourg peut être le chef-lieu d’une commune dont peuvent dépendre des villages et hameaux. Cependant, la fonction et l’importance symbolique, économique ou politique du bourg ont pu évoluer au cours des siècles et le terme même a changé de sens. Ainsi, en régions d’habitat dispersé, notamment dans les régions bocagères françaises, le terme désigne simplement le chef-lieu de la commune où il arrive que l’on ne trouve guère que les quelques bâtiments publics : l’église, la mairie, l’école (en général fermée aujourd’hui), un commerce (souvent un café-épicerie-bureau de tabac) (source : Wikipédia).",,,,,,,,,,,
"placeType/camp%20de%20concentration",,"PlaceType","camp de concentration",,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,
"placeType/camp%20militaire",,"PlaceType","camp militaire",,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,
"placeType/canal",,"PlaceType","canal",,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,
"placeType/canton",,"PlaceType","canton français",,,,,,,,,,,,,
"placeType/cap",,"PlaceType","cap",,,,"placeType/zone%20naturelle","zone naturelle",,,,,,,,
"placeType/carrefour",,"PlaceType","carrefour",,"« Un carrefour routier est une zone comprise à l’intérieur du prolongement des bordures (ou des rives) de deux chaussées qui se coupent à angle droit, ou presque droit. Plus généralement, il s’agit de la zone dans laquelle des véhicules circulant sur des routes qui se coupent à un angle quelconque peuvent se rencontrer ». (source: Wikipédia)",,"placeType/voie","voie",,,"http://www.wikidata.org/entity/Q285783",,,,,"2025-03-12 : Concept ajouté."
"placeType/ch%C3%A2teau",,"PlaceType","château",,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,
"placeType/chauss%C3%A9e",,"PlaceType","chaussée","chauciée","« La chaussée est la partie médiane d’une voie de communication affectée à la circulation des véhicules, par contraste avec les trottoirs et bermes réservés aux piétons. Elle fait référence aux routes médiévales importantes qui étaient recouvertes de cailloux et pierre liés à la chaux ». (source: Wikipédia).",,"placeType/voie","voie",,,"http://www.wikidata.org/entity/Q1645474",,,,,"2025-03-12 : Concept ajouté."
"placeType/chemin",,"PlaceType","chemin","grand chemin | chemin pavé | petit chemin | chemin latéral","« Un chemin est une voie, un passage destiné à la circulation humaine ou animale. Il peut être revêtu d’une chaussée ou directement tracé sur le sol ». (source:Wikipédia).",,"placeType/voie","voie",,,"http://www.wikidata.org/entity/Q5004679",,,,,"2025-03-12 : Concept ajouté."
