"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"placeType/route",,"PlaceType","route",,"« Une route est au sens littéral une voie terrestre (au niveau du sol ou sur viaduc) aménagée pour permettre la circulation de véhicules à roues ». (source: Wikipédia)",,"placeType/voie","voie",,,"http://www.wikidata.org/entity/Q34442",,,,,"2025-03-12 : Concept ajouté."
"placeType/rue",,"PlaceType","rue","grande rue | grand’rue | grant rue","Voie de circulation bordée de bâtiments et située dans une agglomération. (source : Wikidata)",,"placeType/voie","voie",,,"http://www.wikidata.org/entity/Q79007",,,,,"2025-03-12 : Concept ajouté."
"placeType/ruelle",,"PlaceType","ruelle","petite rue | petite ruelle | ruella","« Une ruelle est une petite rue entre plusieurs bâtiments, souvent accessible uniquement pour les piétons ». (source : Wikipédia).",,"placeType/rue","rue",,,"http://www.wikidata.org/entity/Q1251403",,,,,"2025-03-12 : Concept ajouté."
"placeType/sanctuaire",,"PlaceType","sanctuaire",,"En anthropologie religieuse, un sanctuaire (de sanctus, « sacré ») est généralement un édifice ou lieu rendu (par « consécration ») ou devenu sacré, par son association au Divin ou Transcendant. Le terme désigne donc un site sacré (source : Wikipédia).",,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,"2020-08-14 : Ajouté le 14 août 2020."
"placeType/sentier",,"PlaceType","sentier","sente | sente latérale à la rue","« Un sentier est une voie de communication étroite, moins large qu’un chemin, inaccessible aux véhicules (à la différence des chemins) ». (source: Wikipédia).",,"placeType/voie","voie",,,"http://www.wikidata.org/entity/Q628179",,,,,"2025-03-12 : Concept ajouté."
"placeType/sentier%20de%20traverse",,"PlaceType","sentier de traverse","chemin de traverse | traverse","« Un chemin de traverse ou traverse est une voie qui permet un raccourci ». (source: Wikipédia)",,"placeType/chemin","chemin",,,"http://www.wikidata.org/entity/Q16538937",,,,,"2025-03-12 : Concept ajouté."
"placeType/site%20nucl%C3%A9aire",,"PlaceType","site nucléaire","centrale nucléaire",,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,"2020-06-17 : Ajouté le 17 juin 2020."
"placeType/sommet",,"PlaceType","sommet",,"Point haut du relief non caractérisé par un profil abrupt (source : vocabulaire IGN).",,"placeType/zone%20naturelle","zone naturelle",,,"http://data.ign.fr/id/codes/topo/typederelief/Sommet",,,,,"2020-06-17 : Ajouté le 17 juin 2020."
"placeType/square",,"PlaceType","square",,"« Un square est généralement une petite place urbaine occupée par un jardin public ». (source: Wikipédia)",,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,"http://www.wikidata.org/entity/Q2026833",,,,,"2025-03-12 : Concept ajouté."
"placeType/station%20baln%C3%A9aire",,"PlaceType","station balnéaire",,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,
"placeType/station%20de%20ski",,"PlaceType","station de ski",,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,
"placeType/terrasse",,"PlaceType","terrasse",,"« Une terrasse est un espace de vie extérieur, prolongement à ciel ouvert d’une maison, immeuble, appartement, bâtiment, bar, restaurant, jardin public… » (source: Wikipédia)",,"placeType/am%C3%A9nagement%20ou%20construction | placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction | aménagement ou construction",,,"http://www.wikidata.org/entity/Q641406",,,,,"2025-03-12 : Concept ajouté."
"placeType/territoire%20ou%20ville%20%C3%A9tranger",,"PlaceType","territoire ou ville étranger",,,,,,,,,,,,,"2020-06-17 : Ajouté le 17 juin 2020."
"placeType/vall%C3%A9e",,"PlaceType","vallée",,"Dépression géographique généralement de forme allongée et façonnée dans le relief par un cours d’eau (vallée fluviale) ou un glacier (vallée glaciaire) (source : Wikipédia).",,"placeType/zone%20naturelle","zone naturelle",,,,"http://data.ign.fr/id/codes/topo/typederelief/Vallee",,,,"2020-06-17 : Ajouté le 17 juin 2020."
"placeType/viaduc",,"PlaceType","viaduc",,,,"placeType/pont","pont",,,,,,,,
"placeType/vicus",,"PlaceType","vicus",,"Dans la civilisation romaine, ce concept avait plusieurs sens, dont celui de quartier d’une grande ville. Par extension, il peut aussi désigner une rue. (d’après Wikipédia)",,"placeType/rue","rue",,,,,,,"http://www.wikidata.org/entity/Q763590","2025-03-12 : Concept ajouté."
"placeType/villa%20%28voie%29",,"PlaceType","villa (voie)",,"« À partir du XIXe siècle, voie ou impasse bordée à l’origine par des habitations individuelles. [...] Une villa peut également être une forme de quartier privé dans Paris et dans certaines villes d’Île-de-France. Contrairement à un domaine privé, la villa est située au cœur d’une grande ville [...]. Elle est généralement desservie par une ou plusieurs voies privées dont l’accès est réservé aux riverains et à leurs invités » (source: Wikipédia)",,,,,"placeType/voie | placeType/am%C3%A9nagement%20ou%20construction | placeType/quartier",,,,,,"2025-07-28 : Concept ajouté."
"placeType/village",,"PlaceType","village",,"agglomération rurale caractérisée par un habitat plus ou moins concentré, possédant des services de première nécessité et offrant une forme de vie communautaire (source : Wikipédia).",,,,,,,,,,,
"placeType/ville%20nouvelle",,"PlaceType","ville nouvelle",,"Une ville nouvelle, ville neuve ou ville planifiée est une ville, ou un ensemble de communes, qui naît généralement d’une volonté politique, et qui se construit peu à peu sur un emplacement auparavant peu ou pas habité (source : Wikipédia).",,,,,,,,,,,"2020-06-17 : Ajouté le 17 juin 2020."
"placeType/voie",,"PlaceType","voie",,"« Une voie ou voie de communication est un itinéraire aménagé permettant de passer d’un lieu à un autre à pied ou en véhicule, par exemple un chemin, une rue ou une voie rapide. Lorsqu’elle est située en ville, on parle de voie urbaine (rue, avenue, boulevard, etc.) » (source : Wikipédia).",,,,,"placeType/quai","http://www.wikidata.org/entity/Q83620",,,,,
"placeType/voie%20urbaine",,"PlaceType","voie urbaine",,,,,,,,,,,,,"2025-03-12 : Rendu obsolète. Remplacé par la notion de voie."
"placeType/voirie",,"PlaceType","voirie",,"« Les voiries étaient des dépôts qui accueillaient boues et immondices ». (source : FranceGenWeb)",,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,,"2025-03-12 : Concept ajouté."
"placeType/volcan",,"PlaceType","volcan",,,,"placeType/zone%20naturelle","zone naturelle",,,,,,,,
"placeType/zone%20naturelle",,"PlaceType","zone naturelle",,,,"placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique","élément de géographie physique",,,,,,,,
