"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Exemples (skos:example)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"placeType/viaduc",,"PlaceType","viaduc",,"« Un viaduc est un ouvrage d’art, routier ou ferroviaire, passant au-dessus d’une rivière, un bras de mer ou tout autre obstacle et qui présente une hauteur ou une longueur, parfois les deux, plus grande que celle qu’exigerait la seule traversée de la rivière ou de la voie à franchir ». (source: Wikipédia)",,"Busseau, viaduc de (Creuse ; viaduc) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-1gtuyrhgb-pam7ci9xv7ei]","placeType/pont","pont",,,"https://www.wikidata.org/wiki/Q181348",,,,"2026-02-23 : Ajout des données suivantes : définition, exemple(s)"
"placeType/vicus",,"PlaceType","vicus",,"Dans la civilisation romaine, le concept de vicus avait plusieurs sens, dont celui de quartier d’une grande ville. Par extension, il peut aussi désigner une rue. (d’après Wikipédia)",,"vicus Alberici Carnificis (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nz8fef08-1fmg703ywzjlz]","placeType/rue","rue",,,"https://www.wikidata.org/wiki/Q763590",,,"http://www.wikidata.org/entity/Q763590","2026-02-23 : Ajout des données suivantes : définition, exemple(s)"
"placeType/villa%20%28voie%29",,"PlaceType","villa (voie)",,"« À partir du XIXe siècle, une villa est une voie ou impasse bordée à l’origine par des habitations individuelles. [...] Une villa peut également être une forme de quartier privé dans Paris et dans certaines villes d’Île-de-France. Contrairement à un domaine privé, la villa est située au cœur d’une grande ville [...]. Elle est généralement desservie par une ou plusieurs voies privées dont l’accès est réservé aux riverains et à leurs invités » (source: Wikipédia)",,"villa Sainte-Marie (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nzd88d98--1phialk6ov8fe]","placeType/voie","voie","placeType/quartier",,,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s)"
"placeType/village",,"PlaceType","village",,"Un village est une agglomération rurale caractérisée par un habitat plus ou moins concentré, possédant des services de première nécessité et offrant une forme de vie communautaire (source : Wikipédia).",,"Bigny (Vallenay ; village) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-rffj0jzc--b0x2ejghzvlq]","placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20humaine","élément de géographie humaine",,,"https://www.wikidata.org/wiki/Q532 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-15 | https://data.bnf.fr/ark:/12148/cb11939034z | http://fr.dbpedia.org/page/Village",,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/ville",,"PlaceType","ville",,"Une ville est un lieu qui se caractérise par une forte densité de population et une forte densité de bâtiments. La population qui l’habite y organise l’espace en fonction de ses besoins et de ses activités propres, ainsi que de l’environnement physique. (Source : Wikipédia)",,,"placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20humaine","élément de géographie humaine",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/ville%20nouvelle",,"PlaceType","ville nouvelle",,"Une ville nouvelle, ville neuve ou ville planifiée est une ville, ou un ensemble de communes, qui naît généralement d’une volonté politique, et qui se construit peu à peu sur un emplacement auparavant peu ou pas habité (source : Wikipédia).",,"Sénart (Ile-de-France ; ville nouvelle) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-6pq92g7ej-ur2297ejqwh]","placeType/ville","ville","placeType/unit%C3%A9%20administrative%20fran%C3%A7aise",,"https://www.wikidata.org/wiki/Q1074523 | http://data.culture.fr/thesaurus/page/ark:/67717/T96-17 | https://data.bnf.fr/ark:/12148/cb11963619w | http://fr.dbpedia.org/page/Ville_nouvelle",,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : exemple(s), relation(s) d’association avec des concepts du vocabulaire, relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/voie",,"PlaceType","voie",,"« Une voie ou voie de communication est un itinéraire aménagé permettant de passer d’un lieu à un autre à pied ou en véhicule, par exemple un chemin, une rue ou une voie rapide. Lorsqu’elle est située en ville, on parle de voie urbaine (rue, avenue, boulevard, etc.) » (source : Wikipédia).",,"voie Georges Pompidou (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nzb6oqg5--1ilggqgvq5cy2]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://www.wikidata.org/entity/Q83620","http://data.culture.fr/thesaurus/page/ark:/67717/T96-58",,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/voie%20urbaine",,"PlaceType","voie urbaine",,,,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,,,,,"2026-02-23 : Correction de la relation vers le concept générique."
"placeType/voirie",,"PlaceType","voirie",,"« Les voiries étaient des dépôts qui accueillaient boues et immondices ». (source : FranceGenWeb)",,"voirie dite des Grésillons (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nzb9y6fl-1ip4kkxigspoz]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,"https://www.wikidata.org/wiki/Q358078",,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/volcan",,"PlaceType","volcan",,"« Un volcan est une structure géologique qui résulte de la montée d’un magma puis de l’éruption de matériaux (gaz et lave) issus de ce magma, à la surface de la croûte terrestre ou d’un autre astre. Il peut être aérien ou sous-marin » (source : Wikipédia).",,"Puy de Côme (Puy-de-Dôme ; volcan) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-9dm8ta8fg-1s9gx05stzokz]","placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique","élément de géographie physique",,"https://www.wikidata.org/wiki/Q8072",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
