"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"representationType/FRAN_RI_002-d3nd9xpopj-ckdrv6ljeqeg","d3nd9xpopj-ckdrv6ljeqeg","RepresentationType","archives audio-visuelles","document audiovisuel",,,,,,,,,,,,
"representationType/FRAN_RI_002-d3nd9y3c6o-iu0j3xsmoisx","d3nd9y3c6o-iu0j3xsmoisx","RepresentationType","archives électroniques","archives informatiques | document numérique",,,,,,,,,,,,
