"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"thing/FRAN_RI_004-d3ndf47nhf-1r5ztaf2uxet9","d3ndf47nhf-1r5ztaf2uxet9","Thing","contentieux administratif",,,,"thing/FRAN_RI_004-d3ndf3t6ox--10ldgwatde1lz","procédure judiciaire",,,,,,,,
"thing/FRAN_RI_004-d-2ipxf44n4--4h0qukv8nkqf","d-2ipxf44n4--4h0qukv8nkqf","Thing","contexte historique",,,,,,,,,,,,,
"thing/FRAN_RI_004-d3ndeyii77--11k261v3kavmz","d3ndeyii77--11k261v3kavmz","Thing","contingent",,,,"thing/FRAN_RI_004-d3ndeygwfh--mi0jhk7uzypn","service national",,,,,,,,
"thing/FRAN_RI_004-d3ndf0gj62-1h6gt70vpnxsk","d3ndf0gj62-1h6gt70vpnxsk","Thing","contingentement",,,,"thing/FRAN_RI_004-d3ndf0fvvy--1vnuc2dp65dvg","commerce international",,,,,,,,
"thing/FRAN_RI_004-d3ndfej5no--bv5hayzpoqom","d3ndfej5no--bv5hayzpoqom","Thing","continuité territoriale",,"Liaison continent-îles.",,"thing/FRAN_RI_004-d3ndfeis2s-lek2jdqi51bw","desserte",,,,,,,,
"thing/FRAN_RI_004-d3ndfh3fuz-1ss24evfhtqg2","d3ndfh3fuz-1ss24evfhtqg2","Thing","contraception",,,,"thing/FRAN_RI_004-d3ndfh1c76--1enqob4yh2ykz","maternité",,,,,,,,
"thing/FRAN_RI_004-d3ndf5p2hn-6kerv9ahfo7k","d3ndf5p2hn-6kerv9ahfo7k","Thing","contrat de pays",,,,"thing/FRAN_RI_004-d3ndf5ohkx-8g64pha0lduq","aménagement du territoire",,,,,,,,
"thing/FRAN_RI_004-d3ndf5plgj--1okx43njutdzi","d3ndf5plgj--1okx43njutdzi","Thing","contrat de plan",,,,"thing/FRAN_RI_004-d3ndf5ohkx-8g64pha0lduq","aménagement du territoire",,"thing/FRAN_RI_004-d3ndf5tui8-tnpszsqu34vb",,,,,,
"thing/FRAN_RI_004-d3ndfkhryg--1uajhkw4n5u2t","d3ndfkhryg--1uajhkw4n5u2t","Thing","contrat de travail",,,,"thing/FRAN_RI_004-d3ndfkgrqq--uaytzv4haflb","droit du travail",,,,,,,,
"thing/FRAN_RI_004-d3ndf5r1u9-6f6px9cr8mo3","d3ndf5r1u9-6f6px9cr8mo3","Thing","contrat de ville",,,,"thing/FRAN_RI_004-d3ndf5ohkx-8g64pha0lduq","aménagement du territoire",,,,,,,,
"thing/FRAN_RI_004-d3ndf6vbh7-td949zuzpr0n","d3ndf6vbh7-td949zuzpr0n","Thing","contribution économique territoriale","patente | taxe professionnelle","Loi n° 2009-1673 du 30 décembre 2009.",,"thing/FRAN_RI_004-d3ndf6usib-1laekg6p90wml","impôt",,"thing/FRAN_RI_004-d3ndf6o27x-1l61rcvl8oh7w",,,,,,
"thing/FRAN_RI_004-d3ndf6vviw-pp3i11s3am47","d3ndf6vviw-pp3i11s3am47","Thing","contribution foncière",,"Loi des 23 novembre -1er décembre 1790.",,"thing/FRAN_RI_004-d3ndf6usib-1laekg6p90wml","impôt",,,,,,,,
