"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"occupationType/FRAN_RI_010-d-3zymzhstw--m2zkklpfswa1","d-3zymzhstw--m2zkklpfswa1","OccupationType","membre du Conseil d'État","auditeur au Conseil d'État | conseiller d'État | vice-président du Conseil d'État",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d-474lcovck--c3a5i3atkh3s","d-474lcovck--c3a5i3atkh3s","OccupationType","membre du Conseil des Anciens",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d-46ia5kbkg--1sej57hkrujjk","d-46ia5kbkg--1sej57hkrujjk","OccupationType","membre du Conseil des Cinq-Cents",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d-3xy941cok--6yu5ctan6ha0","d-3xy941cok--6yu5ctan6ha0","OccupationType","membre du Conseil économique, social et environnemental",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d-466vobm0g--1ohcf6acrdsdx","d-466vobm0g--1ohcf6acrdsdx","OccupationType","membre du Tribunat",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msjk6px-1991l3mvmuk67","d699msjk6px-1991l3mvmuk67","OccupationType","menuisier","scieur | boisselier",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msiwnby--186a147qgskui","d699msiwnby--186a147qgskui","OccupationType","messager",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3nyu9wj3q--zbhn87kjg3md","d3nyu9wj3q--zbhn87kjg3md","OccupationType","meunier",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msj53l0-1180obzunmkm7","d699msj53l0-1180obzunmkm7","OccupationType","militaire","maréchal de camp",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msio349-1nb475aqsemr0","d699msio349-1nb475aqsemr0","OccupationType","militaire du rang","gendarme | brigadier | quartier maître | matelot | caporal-chef | caporal | 1ère classe | soldat",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msk3h6v--1a7obp35gqwv3","d699msk3h6v--1a7obp35gqwv3","OccupationType","militant politique","activiste politique",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msjwc2y--1sprujko1h4ru","d699msjwc2y--1sprujko1h4ru","OccupationType","mineur de fond",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msjnw86-64seh0fmw8hj","d699msjnw86-64seh0fmw8hj","OccupationType","ministre","ministre d'État | ministre délégué | ministre sans portefeuille",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msk6ij4-rz86l7xoq3az","d699msk6ij4-rz86l7xoq3az","OccupationType","miroitier","miroitier d'art",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msk2oo0--79ifv7fxyatt","d699msk2oo0--79ifv7fxyatt","OccupationType","moine",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msj2ja0--dc94kl23dc0l","d699msj2ja0--dc94kl23dc0l","OccupationType","monnayeur",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d-1gy02swsv--875ab4am2p79","d-1gy02swsv--875ab4am2p79","OccupationType","muséographe",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msjsrq5--1mbyt7s1ucsrc","d699msjsrq5--1mbyt7s1ucsrc","OccupationType","musicien",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl75klh--1t7fg4aiisk0f","d3m0bl75klh--1t7fg4aiisk0f","OccupationType","négociant",,"S'applique au comerce international et au commerce de gros.",,,,,,,,,,,
"occupationType/FRAN_RI_010-d3nyu9x713-9kcjiv44l4wh","d3nyu9x713-9kcjiv44l4wh","OccupationType","notaire",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msizu7v--40vdsgsdg0bg","d699msizu7v--40vdsgsdg0bg","OccupationType","nourrice",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msjpuqr-66gt6kmedjiv","d699msjpuqr-66gt6kmedjiv","OccupationType","officier (armée)","aide de camp | capitaine de vaisseau | capitaine de frégate | capitaine de corvette | lieutenant de vaisseau | enseigne de vaisseau | colonel | lieutenant-colonel | commandant | capitaine | lieutenant | sous-lieutenant | aspirant",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl75sip--2yj381pxz223","d3m0bl75sip--2yj381pxz223","OccupationType","officier civil (Ancien Régime)",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl6utya-1r99n3wse0tqu","d3m0bl6utya-1r99n3wse0tqu","OccupationType","officier de l'Argenterie et menus-plaisirs du roi (Ancien Régime)",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl6uajh-17so9m00veyub","d3m0bl6uajh-17so9m00veyub","OccupationType","officier de l'Ecurie du roi (Ancien Régime)",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl73our-1a847lpy8zk63","d3m0bl73our-1a847lpy8zk63","OccupationType","officier de la Bouche du roi (Ancien Régime)",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl6xvoq--1ol9jmxaeq78r","d3m0bl6xvoq--1ol9jmxaeq78r","OccupationType","officier de la Chambre du roi (Ancien Régime)",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl71a3i--ghwi22pd5ph8","d3m0bl71a3i--ghwi22pd5ph8","OccupationType","officier de la Chapelle du roi (Ancien Régime)",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl6vazj-t0ay8u95jfb6","d3m0bl6vazj-t0ay8u95jfb6","OccupationType","officier de la Garde-robe du roi (Ancien Régime)",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl75fg2-1y17ypyh0oyxz","d3m0bl75fg2-1y17ypyh0oyxz","OccupationType","officier de la maison militaire du roi (Ancien Régime)",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msjnhyq--1o5g3frrdl8ez","d699msjnhyq--1o5g3frrdl8ez","OccupationType","officier de la marine marchande","capitaine de navire",,,,,,,,,,,,
"occupationType/FRAN_RI_010-d3m0bl764ej--1gl5s0820j3ma","d3m0bl764ej--1gl5s0820j3ma","OccupationType","officier de la Vénerie du roi (Ancien Régime)",,,,,,,,,,,,,
"occupationType/FRAN_RI_010-d699msk3a25-1xs3m641rhiyg","d699msk3a25-1xs3m641rhiyg","OccupationType","officier général","lieutenant général des armées du roi | maréchal | général | amiral",,,,,,,,,,,,
