"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"activityType/FRAN_RI_011-d3nyuic5p0-ktmsglhlnhvr","d3nyuic5p0-ktmsglhlnhvr","ActivityType","recherche","questions atomiques et spatiales | recherche et développement | technologie",,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuich4a--1xmt90d5s8n8k","d3nyuich4a--1xmt90d5s8n8k","ActivityType","recrutement",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuicsjl-tb7ampjet3iu","d3nyuicsjl-tb7ampjet3iu","ActivityType","réglementation",,,,,,,,,,,,,
"activityType/r%C3%A9habilitation",,"ActivityType","réhabilitation",,"Effacement d’une condamnation, par jugement.",,"activityType/pardon","pardon",,,,,,,,
"activityType/r%C3%A9int%C3%A9gration",,"ActivityType","réintégration",,,,"activityType/contr%C3%B4le%20de%20la%20nationalit%C3%A9","contrôle de la nationalité",,,,,,,,
"activityType/FRAN_RI_011-d5bhvilflm--1xxdxa29u8eel","d5bhvilflm--1xxdxa29u8eel","ActivityType","relations avec le Parlement",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvilckz--190ovdks9qj7a","d5bhvilckz--190ovdks9qj7a","ActivityType","relations avec les usagers","relations avec les administrés",,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvihj20--2xwrt5rdg14c","d5bhvihj20--2xwrt5rdg14c","ActivityType","relations du travail",,"Relations avec les partenaires sociaux : organisations professionnelles, syndicats.",,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuidsbr-1umshw9gnudo9","d3nyuidsbr-1umshw9gnudo9","ActivityType","relations internationales","francophonie | action humanitaire | droits de l’homme | affaires étrangères",,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuie3r2--ul9mf5mu83fs","d3nyuie3r2--ul9mf5mu83fs","ActivityType","relations publiques",,,,,,,,,,,,,
