"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"activityType/contr%C3%B4le%20de%20constitutionnalit%C3%A9",,"ActivityType","contrôle de constitutionnalité",,,,"activityType/FRAN_RI_011-d5bhviliu0--ghc74xbke76o","justice",,,,,,,,
"activityType/FRAN_RI_011-d699mt04l2e-11irz3oq76rim","d699mt04l2e-11irz3oq76rim","ActivityType","contrôle de gestion",,"Système de pilotage mis en oeuvre par un responsable dans son champ d’attribution en vue d’améliorer le rapport entre les moyens engagés - y compris les ressources humaines - et soit l’activité développée, soit les résultats obtenus dans le cadre déterminé par une démarche stratégique préalable ayant fixé des orientations (LOLF circulaire interministérielle du 21/06/2001).",,,,,,,,,,,
"activityType/contr%C3%B4le%20de%20l%27%C3%A9tat%20civil",,"ActivityType","contrôle de l'état civil",,,,"activityType/contr%C3%B4le%20du%20statut%20des%20personnes","contrôle du statut des personnes",,,,,,,,
"activityType/contr%C3%B4le%20de%20la%20nationalit%C3%A9",,"ActivityType","contrôle de la nationalité",,,,"activityType/contr%C3%B4le%20du%20statut%20des%20personnes","contrôle du statut des personnes",,,,,,,,
"activityType/FRAN_RI_011-d3nyugz67a--1w8i06e8b1ck1","d3nyugz67a--1w8i06e8b1ck1","ActivityType","contrôle de l’exercice professionnel",,"Contrôle de l’exercice de certaines professions (médecins, pilotes d’avion...).",,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyugzj4w-fcrqdz5o7j8y","d3nyugzj4w-fcrqdz5o7j8y","ActivityType","contrôle de qualité",,"Contrôle de la qualité d’un produit, non limité à l’aspect sanitaire.",,,,,,,,,,,
"activityType/contr%C3%B4le%20des%20publications%20pour%20la%20jeunesse",,"ActivityType","contrôle des publications pour la jeunesse",,"Sont assujettis à la fonction de contrôle toutes les publications périodiques ou non qui, par leur caractère, leur présentation ou leur objet, apparaissent comme principalement destinées aux enfants et adolescents, ainsi que tous les supports et produits complémentaires qui leur sont directement associés. Sont toutefois exceptées les publications officielles et les publications scolaires soumises au contrôle du ministre de l’éducation nationale.",,"activityType/justice%20des%20mineurs","justice des mineurs",,,,,,,,
"activityType/contr%C3%B4le%20du%20statut%20des%20personnes",,"ActivityType","contrôle du statut des personnes",,"Enregistrement et authentification des actes attestant des changements de statut de la personne, réglementation de ce statut et autorisations dérogatoires le cas échéant.",,"activityType/FRAN_RI_011-d5bhviliu0--ghc74xbke76o","justice",,,,,,,,
"activityType/FRAN_RI_011-d3nyugzvf8-1nwn3i74v5spq","d3nyugzvf8-1nwn3i74v5spq","ActivityType","contrôle financier","contrôle budgétaire","Vérification de la régularité d’une opération budgétaire ou financière ou d’une gestion.",,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuh07a1--15blh6tatacz4","d3nyuh07a1--15blh6tatacz4","ActivityType","contrôle médical",,"Contrôle de l’état de santé d’une personne.",,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuh0vmx--nrondh1ezxwp","d3nyuh0vmx--nrondh1ezxwp","ActivityType","contrôle sanitaire",,"Contrôle de l’état sanitaire d’un établissement, d’un animal...",,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuh17x9-p3lv1gh3hjbu","d3nyuh17x9-p3lv1gh3hjbu","ActivityType","contrôle technique",,"Vérification de la conformité des installations ou des fabrications aux normes qui leur sont imposées.",,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuh22j7-1un996fsc6m08","d3nyuh22j7-1un996fsc6m08","ActivityType","coopération","relations avec les Etats de la Communauté | coopération internationale | échanges internationaux | développement","Politique d’aide économique, technique et financière des pays développés en faveur des pays en développement.",,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuh38s6-1lg9onn879oxm","d3nyuh38s6-1lg9onn879oxm","ActivityType","coordination",,"Concerne notamment la coopération entre services ou établissements.",,,,,,,,,,,
"activityType/FRAN_RI_011-d-5y9b5kp96-1c2t2ztcvdht9","d-5y9b5kp96-1c2t2ztcvdht9","ActivityType","création artistique",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhviikk9--y6te63k761ib","d5bhviikk9--y6te63k761ib","ActivityType","culture","animation socio-culturelle | affaires culturelles | action culturelle",,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuh7zxq--5ybh1cuewf1k","d3nyuh7zxq--5ybh1cuewf1k","ActivityType","décentralisation",,,,,,,,,,,,,
"activityType/d%C3%A9classement%20de%20voie%20urbaine",,"ActivityType","déclassement de voie urbaine",,"Acte administratif qui fait perdre à une voie urbaine son caractère de voie publique et la soustrait au régime juridique auquel elle se trouvait intégrée. Une voie communale devient par exemple un chemin rural.",,"activityType/FRAN_RI_011-d3nyuimm9z--1tz0n2jqoofo0","urbanisme",,,,,,,,"23/02/2025 : concept ajouté dans le cadre des travaux sur le référentiel des voies de Paris"
"activityType/FRAN_RI_011-d5bhvin02r-ewaz9566uw6d","d5bhvin02r-ewaz9566uw6d","ActivityType","défense","armées | guerre | défense nationale",,,,,,,,,,,,
"activityType/d%C3%A9fense%20des%20libert%C3%A9s%20individuelles",,"ActivityType","défense des libertés individuelles",,,,"activityType/FRAN_RI_011-d5bhviliu0--ghc74xbke76o","justice",,,,,,,,
"activityType/dd%C3%A9nomination%20de%20voie%20urbaine",,"ActivityType","dénomination de voie urbaine",,"Acte administratif qui assigne un nom à une voie urbaine.",,"activityType/FRAN_RI_011-d3nyuimm9z--1tz0n2jqoofo0","urbanisme",,,,,,,,"31/07/2025 : concept ajouté dans le cadre des travaux sur le référentiel des voies de Paris"
"activityType/FRAN_RI_011-d-4uo16anxt-2poclrlh96kz","d-4uo16anxt-2poclrlh96kz","ActivityType","dépense publique",,,,,,,,,,,,,
"activityType/d%C3%A9tention",,"ActivityType","détention","incarcération","Restriction des mouvements d’un individu retenu dans un établissement spécialisé ; peut être l’effet d’une décision de justice ou d’une mesure préventive dans l’attente d’un jugement (on parle alors de détention provisoire).",,"activityType/FRAN_RI_011-d3nyuggi35--1d1y6hs08moef","application des peines",,,,,,,,
"activityType/FRAN_RI_011-d-4uinhd4g0--1k5s4o8rxge4k","d-4uinhd4g0--1k5s4o8rxge4k","ActivityType","dette publique",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d699mt07vio--14jschxiie5n2","d699mt07vio--14jschxiie5n2","ActivityType","développement durable","écodéveloppement","Politique de développement qui s’efforce de concilier la protection de l’environnement, l’efficience économique et la justice sociale, en vue de répondre aux besoins des générations présentes sans compromettre la capacité des générations futures de satisfaire les leurs (JORF 12/04/2099).",,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuhczpp-bjob9jyon7ou","d3nyuhczpp-bjob9jyon7ou","ActivityType","diffusion","publication","Création et diffusion d’ouvrages et de périodiques. de produits audiovisuels (TV, radio) et numériques (internet...).",,,,,,,,,,,
"activityType/FRAN_RI_011-d-1inklckbv9s-1e8o02ik0pahb","d-1inklckbv9s-1e8o02ik0pahb","ActivityType","diplôme",,,,,,,,,,,,,
"activityType/dispense%20pour%20mariage",,"ActivityType","dispense pour mariage",,,,"activityType/contr%C3%B4le%20du%20statut%20des%20personnes","contrôle du statut des personnes",,,,,,,,
"activityType/FRAN_RI_011-d3nyuhebkg-a4o80yedjeb","d3nyuhebkg-a4o80yedjeb","ActivityType","documentation",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvim8p8--1e4c383v5mms7","d5bhvim8p8--1e4c383v5mms7","ActivityType","droits des femmes","droit de la femme | condition féminine",,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvikr8p--1a1c4btacgnke","d5bhvikr8p--1a1c4btacgnke","ActivityType","écologie","environnement | protection des végétaux | protection de la nature | protection des sites",,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhviluwl--h5xbasqtef53","d5bhviluwl--h5xbasqtef53","ActivityType","économie","commerce | petites et moyennes entreprises | artisanat | développement économique | commerce extérieur | professions libérales",,,,,,,,,,,,
"activityType/FRAN_RI_011-d-25ub5bepd--1a98b90ydj2ye","d-25ub5bepd--1a98b90ydj2ye","ActivityType","édition",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvihav4-158rf7kzztoxz","d5bhvihav4-158rf7kzztoxz","ActivityType","éducation nationale",,,,,,,,,,,,,
"activityType/%C3%A9levage%20des%20animaux",,"ActivityType","élevage des animaux",,,,"activityType/FRAN_RI_011-d5bhvikz03--iqa08pprge9n","agriculture",,,,,,,,
"activityType/FRAN_RI_011-d5bhvikan6-574lz876edtw","d5bhvikan6-574lz876edtw","ActivityType","emploi",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvil6bx-16xdm3apll64m","d5bhvil6bx-16xdm3apll64m","ActivityType","énergie",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuhhst3--ijjeztj9u5sl","d3nyuhhst3--ijjeztj9u5sl","ActivityType","enquête d’opinion","sondage | sondage d’opinion",,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuhj40k--1fa0kxxoydrws","d3nyuhj40k--1fa0kxxoydrws","ActivityType","enquête publique","enquête d’utilité publique",,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuhm6dr--qtauhrzd0xgi","d3nyuhm6dr--qtauhrzd0xgi","ActivityType","enregistrement",,"Inscription d’un acte ou d’une situation sur un registre officiel ou sur un autre support ayant valeur officielle afin d’en garantir l’authenticité et la publicité.",,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvilxx8--luy0yoz68j8c","d5bhvilxx8--luy0yoz68j8c","ActivityType","enseignement agricole",,"L’enseignement agricole public relève du ministère en charge de l’agriculture depuis la création de celui-ci en 1881. Il comporte à la fois un enseignement secondaire technique et un enseignement supérieur.",,"activityType/FRAN_RI_011-d5bhvikz03--iqa08pprge9n","agriculture",,,,,,,,
"activityType/FRAN_RI_011-d-zouc7pv2qy-15h770oxx9p0f","d-zouc7pv2qy-15h770oxx9p0f","ActivityType","enseignement professionnel",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvihtm9--ns6nvob8yr1s","d5bhvihtm9--ns6nvob8yr1s","ActivityType","enseignement scolaire","enseignement primaire | enseignement secondaire",,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvihxhx--1dol4k5w0lb2i","d5bhvihxhx--1dol4k5w0lb2i","ActivityType","enseignement supérieur","universités",,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuho2a7--u28knwl73w6i","d3nyuho2a7--u28knwl73w6i","ActivityType","épuration administrative",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuhoecr-1sbq8mv9b6x2z","d3nyuhoecr-1sbq8mv9b6x2z","ActivityType","équipement","travaux publics | cadre de vie","Réalisation d’infrastructures ou équipements lourds.",,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuhopzt-102c6dgdbstj4","d3nyuhopzt-102c6dgdbstj4","ActivityType","établissement de droits",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuhp1um--qolq4osvi6b5","d3nyuhp1um--qolq4osvi6b5","ActivityType","étude","étude technique",,,,,,,,,,,,
"activityType/FRAN_RI_011-d-auq4a30s0-r177rhc3y1tk","d-auq4a30s0-r177rhc3y1tk","ActivityType","étude des textes",,"S’emploie pour décrire toute activité érudite et/ou scientifique d’étude textuelle (philologie, critique littéraire, étude génétique...), à toutes les époques., par tout type d’acteur savant.",,,,,,,,,,,
"activityType/%C3%A9tude%20l%C3%A9gislative",,"ActivityType","étude législative",,,,"activityType/FRAN_RI_011-d5bhviliu0--ghc74xbke76o","justice",,,,,,,,
"activityType/FRAN_RI_011-d5bhvihqll-iv6mus5ox250","d5bhvihqll-iv6mus5ox250","ActivityType","évaluation","audit",,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvii5wk-c5ead6thqj5l","d5bhvii5wk-c5ead6thqj5l","ActivityType","exécution budgétaire","exécution du budget",,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuhq4v7-9amh6aey1zbh","d3nyuhq4v7-9amh6aey1zbh","ActivityType","expérimentation",,"Réalisation d’essais ou expériences à caractère technique. Réservé à une action spécifique (laboratoire national d’essais par exemple).",,,,,,,,,,,
"activityType/exploitation%20agricole",,"ActivityType","exploitation agricole","autorisation d’exploiter","Sont réputées agricoles toutes les activités correspondant à la maîtrise et à l’exploitation d’un cycle biologique de caractère végétal ou animal et constituant une ou plusieurs étapes nécessaires au déroulement de ce cycle ainsi que les activités exercées par un exploitant agricole qui sont dans le prolongement de l’acte de production ou qui ont pour support l’exploitation. Les activités de cultures marines et d’exploitation de marais salants sont réputées agricoles, nonobstant le statut social dont relèvent ceux qui les pratiquent. Il en est de même des activités de préparation et d’entraînement des équidés domestiques en vue de leur exploitation, à l’exclusion des activités de spectacle. Il en est de même de la production et, le cas échéant, de la commercialisation, par un ou plusieurs exploitants agricoles, de biogaz, d’électricité et de chaleur par la méthanisation, lorsque cette production est issue pour au moins 50 % de matières provenant d’exploitations agricoles. Les revenus tirés de la commercialisation sont considérés comme des revenus agricoles, au prorata de la participation de l’exploitant agricole dans la structure exploitant et commercialisant l’énergie produite. Les activités agricoles ainsi définies ont un caractère civil.",,"activityType/FRAN_RI_011-d5bhvikz03--iqa08pprge9n","agriculture",,,,,,,,
"activityType/FRAN_RI_011-d3nyuhqgah-1dgirf2dmzbkz","d3nyuhqgah-1dgirf2dmzbkz","ActivityType","exploitation commerciale",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuhqsd2--1a8m2jo9iv12q","d3nyuhqsd2--1a8m2jo9iv12q","ActivityType","financement","investissement",,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvijflq--8hrswq3yttkx","d5bhvijflq--8hrswq3yttkx","ActivityType","finances","budget",,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvikiej-7zycdk155h7l","d5bhvikiej-7zycdk155h7l","ActivityType","fiscalité","taxation",,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhviji6u--xgq7ld5a4qvr","d5bhviji6u--xgq7ld5a4qvr","ActivityType","fonction publique",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuhrig1--3acyzmp9v988","d3nyuhrig1--3acyzmp9v988","ActivityType","formation","formation professionnelle | formation continue",,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvijz7w-1mdi8fkn8ejcw","d5bhvijz7w-1mdi8fkn8ejcw","ActivityType","gestion des systèmes d’information","automatisation | informatisation",,,,,,,,,,,,
"activityType/FRAN_RI_011-d-1oua9x89g--nm3g7gkt1qvc","d-1oua9x89g--nm3g7gkt1qvc","ActivityType","gestion domaniale","seigneurie foncière","Gestion des biens, droits et revenus d’une famille ou d’une institution",,,,,,,,,,,
"activityType/FRAN_RI_011-d-3ksag95i4d--j18v2jj56xlt","d-3ksag95i4d--j18v2jj56xlt","ActivityType","gestion du domaine privé du souverain",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuhu2hm-w0jlsmtx38rr","d3nyuhu2hm-w0jlsmtx38rr","ActivityType","gestion du domaine public",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvijq5z-zaaj99p5tmch","d5bhvijq5z-zaaj99p5tmch","ActivityType","gestion du personnel","gestion de personnel",,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvimbi4--1c33jbciwlk3b","d5bhvimbi4--1c33jbciwlk3b","ActivityType","gestion immobilière",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvimeqi--bjuveokbemo0","d5bhvimeqi--bjuveokbemo0","ActivityType","gestion logistique",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyuhvek4--14nkxscp2s6w1","d3nyuhvek4--14nkxscp2s6w1","ActivityType","grâce",,"Suppression totale ou partielle d’une peine, par décret.",,"activityType/pardon","pardon",,,,,,,,
"activityType/FRAN_RI_011-d3nyuhxzoi-nbw0nxwwzfuk","d3nyuhxzoi-nbw0nxwwzfuk","ActivityType","indemnisation",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvimlul-1gvgx3n53j0e","d5bhvimlul-1gvgx3n53j0e","ActivityType","industrie",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyui03cb-w7bln4jba4fn","d3nyui03cb-w7bln4jba4fn","ActivityType","inspection",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvimw73--1s2f8w95l5ufq","d5bhvimw73--1s2f8w95l5ufq","ActivityType","intérieur","collectivités locales | collectivités territoriales",,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyui0few-1ucyk8ltwb3r1","d3nyui0few-1ucyk8ltwb3r1","ActivityType","interprétation juridique","interprétation réglementaire",,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyui12h8-m5m8zv4yvggs","d3nyui12h8-m5m8zv4yvggs","ActivityType","intervention économique","intervention de l’Etat",,,,,,,,,,,,
"activityType/investigation%20judiciaire",,"ActivityType","investigation judiciaire",,,,"activityType/FRAN_RI_011-d5bhviliu0--ghc74xbke76o","justice",,,,,,,,
"activityType/FRAN_RI_011-d5bhvil9kb-z13sh6nxqq1z","d5bhvil9kb-z13sh6nxqq1z","ActivityType","jeunesse",,,,"activityType/FRAN_RI_011-d5bhvih1do--ryj2votztf8z","affaires sociales",,,,,,,,
"activityType/FRAN_RI_011-d5bhviliu0--ghc74xbke76o","d5bhviliu0--ghc74xbke76o","ActivityType","justice",,"Action par laquelle une autorité, un pouvoir judiciaire reconnaît le droit de chacun.",,,,,,,,,,,
"activityType/justice%20administrative",,"ActivityType","justice administrative",,"Justice des litiges mettent en cause une personne publiques (État, collectivité territoriales, établissement public ou organisme privé chargé d’une mission de service public).",,"activityType/FRAN_RI_011-d5bhviliu0--ghc74xbke76o","justice",,,,,,,,
"activityType/justice%20administrative%20%3A%20pourvoi%20en%20cassation",,"ActivityType","justice administrative : pourvoi en cassation",,"Acte par lequel une partie saisit le Conseil d’État d’un recours dirigé contre une décision de justice rendue en dernier ressort par une juridiction du premier degré ou par une cour d’appel.",,"activityType/justice%20administrative","justice administrative",,,,,,,,
"activityType/justice%20administrative%20%281er%20degr%C3%A9%29",,"ActivityType","justice administrative (1er degré)",,"Justice administrative de droit commun en première instance.",,"activityType/justice%20administrative","justice administrative",,,,,,,,
"activityType/justice%20administrative%20%282e%20degr%C3%A9%29%20%3A%20appel",,"ActivityType","justice administrative (2e degré) : appel",,"Juridiction du second degré qui connaissent par la voie de l’appel des demandes tendant à la réformation partielle ou à l’infirmation des jugements rendus par les juridictions du premier degré de l’ordre administratif.",,"activityType/justice%20administrative","justice administrative",,,,,,,,
"activityType/justice%20des%20mineurs",,"ActivityType","justice des mineurs",,"Justice pénale et civile propre à l’enfance en danger et aux mineurs délinquants, rendue par le juge des enfants.",,"activityType/justice%20judiciaire","justice judiciaire",,,,,,,,
"activityType/justice%20judiciaire",,"ActivityType","justice judiciaire",,"Justice des litiges (de nature civile ou commerciale) opposant deux personnes privées, et des infractions aux lois pénales.",,"activityType/FRAN_RI_011-d5bhviliu0--ghc74xbke76o","justice",,,,,,,,
"activityType/justice%20judiciaire%20%3A%20pourvoi%20en%20cassation",,"ActivityType","justice judiciaire : pourvoi en cassation",,"Acte par lequel une partie saisit la Cour de cassation d’un recours dirigé contre une décision de justice rendue en dernier ressort par une juridiction du premier degré ou par une Cour d’appel.",,"activityType/justice%20judiciaire","justice judiciaire",,,,,,,,
"activityType/justice%20judiciaire%20%281er%20degr%C3%A9%29",,"ActivityType","justice judiciaire (1er degré)",,,,"activityType/justice%20judiciaire","justice judiciaire",,,,,,,,
"activityType/justice%20judiciaire%20%282e%20degr%C3%A9%29%20%3A%20appel",,"ActivityType","justice judiciaire (2e degré) : appel",,"Juridiction du second degré qui connaissent par la voie de l’appel des demandes tendant à la réformation partielle ou à l’infirmation des jugements rendus par les juridictions du premier degré.",,"activityType/justice%20judiciaire","justice judiciaire",,,,,,,,
"activityType/justice%20militaire",,"ActivityType","justice militaire",,,,"activityType/FRAN_RI_011-d5bhviliu0--ghc74xbke76o","justice",,,,,,,,
"activityType/FRAN_RI_011-d3nyui1pz3--1xo3byar8jzxv","d3nyui1pz3--1xo3byar8jzxv","ActivityType","législation",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyui229e--p611v00n1s5k","d3nyui229e--p611v00n1s5k","ActivityType","liquidation",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhviinso--996i3dnr2qrd","d5bhviinso--996i3dnr2qrd","ActivityType","logement",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvij20u-eiobqjac9wuo","d5bhvij20u-eiobqjac9wuo","ActivityType","lutte contre la précarité et l’exclusion","lutte contre les discriminations | égalité des chances",,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhviicl5--1fub3dkh8l77b","d5bhviicl5--1fub3dkh8l77b","ActivityType","médiation","conciliation | arbitrage",,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvim0q3-l8odokk20djk","d5bhvim0q3-l8odokk20djk","ActivityType","mer",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvikvro-1p99atu7o3qwy","d5bhvikvro-1p99atu7o3qwy","ActivityType","monnaie",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyui2dgx-ey25cupgfifi","d3nyui2dgx-ey25cupgfifi","ActivityType","nationalisation",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyui2p3z-1lwqvc8okclce","d3nyui2p3z-1lwqvc8okclce","ActivityType","naturalisation",,"Institution en vertu de laquelle un individu qui ne possède, à raison de sa naissance, aucun lien avec un pays donné peut obtenir sur sa demande, la nationalité de ce pays, s’il remplit les conditions formulées par la loi.",,"activityType/contr%C3%B4le%20du%20statut%20des%20personnes","contrôle du statut des personnes",,,,,,,,
"activityType/FRAN_RI_011-d-2wjcxl5t06a-doibzfvh7r3k","d-2wjcxl5t06a-doibzfvh7r3k","ActivityType","nécropole royale",,,,,,,,,,,,,
"activityType/nivellement%20de%20voie%20urbaine",,"ActivityType","nivellement de voie urbaine",,"Action de rendre la surface de la voie plane et uniforme. Cela peut être nécessaire pour des raisons de sécurité, de confort ou d'esthétique.",,"activityType/FRAN_RI_011-d3nyuimm9z--1tz0n2jqoofo0","urbanisme",,,,,,,,"23/02/2025 : concept ajouté dans le cadre des travaux sur le référentiel des voies de Paris"
"activityType/FRAN_RI_011-d3nyui3ce2-byd3yisqum1a","d3nyui3ce2-byd3yisqum1a","ActivityType","normalisation",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d-50e26aif7ud-k5vba4ksd1op","d-50e26aif7ud-k5vba4ksd1op","ActivityType","notaire",,,,"activityType/authentification%20des%20actes","authentification des actes",,,,,,,,
"activityType/FRAN_RI_011-d3nyui3o8w--11y7jgy8q3wnt","d3nyui3o8w--11y7jgy8q3wnt","ActivityType","notaire à Paris","activité notariale",,,"activityType/FRAN_RI_011-d-50e26aif7ud-k5vba4ksd1op","notaire",,,,,,,,
"activityType/num%C3%A9rotage%20de%20voie%20urbaine",,"ActivityType","numérotage de voie urbaine",,"Attribution d'un numéro unique à chaque immeuble situé le long de la voie. Ce numéro est utilisé pour identifier l'immeuble et faciliter sa localisation.",,"activityType/FRAN_RI_011-d3nyuimm9z--1tz0n2jqoofo0","urbanisme",,,,,,,,"23/02/2025 : concept ajouté dans le cadre des travaux sur le référentiel des voies de Paris"
"activityType/FRAN_RI_011-d-4p2klcr4n-1cer9tyadr9h5","d-4p2klcr4n-1cer9tyadr9h5","ActivityType","offices (sous l’Ancien Régime)",,,,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyui3zvx--1xxdtpjeecb6p","d3nyui3zvx--1xxdtpjeecb6p","ActivityType","organisation administrative","déconcentration | modernisation de l’Etat | réforme administrative | réforme de l’Etat","Organisation des structures administratives (circonscriptions, services, liaisons...).",,,,,,,,,,,
"activityType/FRAN_RI_011-d3nyui4q6o-42t7jsnnca4h","d3nyui4q6o-42t7jsnnca4h","ActivityType","organisation du travail","handicap",,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhvii1t4--2sx55midt376","d5bhvii1t4--2sx55midt376","ActivityType","organisation sanitaire","organisation des soins",,,,,,,,,,,,
"activityType/FRAN_RI_011-d5bhviirw4-1u14bcn9ueu3b","d5bhviirw4-1u14bcn9ueu3b","ActivityType","organisation scolaire","scolarité",,,,,,,,,,,,
