"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"identifierType/FRAN_RI_106-d3nda3vzsc--1la3pf8prjbcm","d3nda3vzsc--1la3pf8prjbcm","IdentifierType","ISNI",,,,,,,,,,,,,
"identifierType/FRAN_RI_106-d-4b2wz12h7-1ov25b8fgnmvc","d-4b2wz12h7-1ov25b8fgnmvc","IdentifierType","numéro RNA",,,,,,,,,,,,,
"identifierType/FRAN_RI_106-d-1toi2olet--1xlg1iocfn2qo","d-1toi2olet--1xlg1iocfn2qo","IdentifierType","numéro SIREN",,,,,,,,,,,,,
"identifierType/FRAN_RI_106-d-1rmcrcqk8-1fiwshagd6fro","d-1rmcrcqk8-1fiwshagd6fro","IdentifierType","numéro SIRET",,,,,,,,,,,,,
"identifierType/FRAN_RI_106-d-l1rhwcdc--7gi1ly2eiq67","d-l1rhwcdc--7gi1ly2eiq67","IdentifierType","Wikidata",,,,,,,,,,,,,
