"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntpwwtd9-1m14kw1yakf1p","d3ntpwwtd9-1m14kw1yakf1p","Alénya (Pyrénées-Orientales)","Alénya","arrondissement : 662 | canton : La Côte Radieuse","1er janvier 2017 : Alénya passe de l'arrondissement de Perpignan à l'arrondissement de Céret.","Pyrénées-Orientales (Languedoc-Roussillon, département) [d3ntb8jzlr--1ebkp4txjj0zn]","66002","POINT(698400 6171100)","http://id.insee.fr/geo/commune/66002 | http://data.ign.fr/id/geofla/commune/66002 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/66002","Saleilles (Pyrénées-Orientales) [d3ntq0a7em-8vgzm32roa78] | Saint-Cyprien (Pyrénées-Orientales) [d3ntpziylz-1x7w6obj7tb57] | Canet-en-Roussillon (Pyrénées-Orientales) [d3ntpxb9aq--jh7pnldxqlrv] | Elne (Pyrénées-Orientales) [d3ntpxl38v-hvqe6kfnhugt] | Corneilla-del-Vercol (Pyrénées-Orientales) [d3ntpxiik0--q11uoo648z2w] | Théza (Pyrénées-Orientales) [d3ntq0hg8e--lvzm1gnv3e2z] | Saint-Nazaire (Pyrénées-Orientales) [d3ntpzuebu--16yzpx2m1ltx4]"
"place/FRAN_RI_005-d3ntpwx4d1-x0spls47mp5o","d3ntpwx4d1-x0spls47mp5o","Amélie-les-Bains-Palalda (Pyrénées-Orientales)","Palalda | Montalba-d'Amélie | Les Bains | Arles-les-Bains | Amélie-les-Bains-Palalda | Amélie-les-Bains","arrondissement : 661 | canton : Arles-sur-Tech","1er novembre 1942 : Amélie-les-Bains devient Amélie-les-Bains-Palalda suite à sa fusion avec Palalda.Numéro ancien attribué par erreur à la commune d'Amélie-les-Bains-Palalda (66003).Palalda est rattachée à Amélie-les-Bains (fusion simple) qui devient Amélie-les-Bains-Palalda.","Pyrénées-Orientales (Languedoc-Roussillon, département) [d3ntb8jzlr--1ebkp4txjj0zn]","66003","POINT(672600 6152500)","http://id.insee.fr/geo/commune/66003 | http://data.ign.fr/id/geofla/commune/66003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/66003","Saint-Laurent-de-Cerdans (Pyrénées-Orientales) [d3ntpzs5a1--62c1g5t7xgak] | Reynès (Pyrénées-Orientales) [d3ntpzfvt9-1007mtqjwow6z] | Arles-sur-Tech (Pyrénées-Orientales) [d3ntpwzjg4-svcrm5bv1n7p] | Montbolo (Pyrénées-Orientales) [d3ntpymixa-o6pr6lze5ag9]"
"place/FRAN_RI_005-d3ntpwybwk--1pxlje8xp0lke","d3ntpwybwk--1pxlje8xp0lke","Angoustrine-Villeneuve-des-Escaldes (Pyrénées-Orientales)","Villeneuve-des-Escaldes | Angustrina | Angoustrine-Villeneuve-des-Escaldes | Angoustrine","arrondissement : 663 | canton : Saillagouse","1er mars 1973 : Angoustrine devient Angoustrine-Villeneuve-des-Escaldes suite à sa fusion-association avec Villeneuve-des-Escaldes.Villeneuve-des-Escaldes est rattachée à Angoustrine (fusion association) qui devient Angoustrine-Villeneuve-des-Escaldes.","Pyrénées-Orientales (Languedoc-Roussillon, département) [d3ntb8jzlr--1ebkp4txjj0zn]","66005","POINT(613700 6153600)","http://id.insee.fr/geo/commune/66005 | http://data.ign.fr/id/geofla/commune/66005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/66005","Targassonne (Pyrénées-Orientales) [d3ntq0fie4-1vj16a056ejb3] | Formiguères (Pyrénées-Orientales) [d3ntpxqutw--15afmu2f4u26p] | Font-Romeu-Odeillo-Via (Pyrénées-Orientales) [d3ntpyrf93--15h7jdp4o0uzr] |  [] |  [] | Bolquère (Pyrénées-Orientales) [d3ntpx5sph-1cal9c6byvybn] | Porté-Puymorens (Pyrénées-Orientales) [d3ntpz8sdh--8kuha4jfe4cn] | Les Angles (Pyrénées-Orientales) [d3ntpwxzu0-pljcruktdqok] | Ur (Pyrénées-Orientales) [d3ntq2ys5y-14h8nqyjshhri] | Dorres (Pyrénées-Orientales) [d3ntpxk0vk--1vd1aai620g0w]"
"place/FRAN_RI_005-d3ntpwymwc--f9kv70y3uc1v","d3ntpwymwc--f9kv70y3uc1v","Ansignan (Pyrénées-Orientales)","Ansignan","arrondissement : 662 | canton : Saint-Paul-de-Fenouillet","1er janvier 2017 : Ansignan passe de l'arrondissement de Perpignan à l'arrondissement de Prades.","Pyrénées-Orientales (Languedoc-Roussillon, département) [d3ntb8jzlr--1ebkp4txjj0zn]","66006","POINT(660300 6184700)","http://id.insee.fr/geo/commune/66006 | http://data.ign.fr/id/geofla/commune/66006 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/66006","Felluns (Pyrénées-Orientales) [d3ntpxp1at--1aa9jzw7kt7kj] | Caramany (Pyrénées-Orientales) [d3ntpxbva9-cnve2rl92cwx] | Trilla (Pyrénées-Orientales) [d3ntq2xyuk--1nxhrg8ru6dfr] | Saint-Martin (Pyrénées-Orientales) [d3ntpztr1r-67jox9qcig8i] | Saint-Arnac (Pyrénées-Orientales) [d3ntpzicmg-94g0501jrmhl]"
"place/FRAN_RI_005-d3ntpwyxoc-vupk8u110ofe","d3ntpwyxoc-vupk8u110ofe","Arboussols (Pyrénées-Orientales)","Marcevol | Arbussols | Arboussols","arrondissement : 663 | canton : Sournia",,"Pyrénées-Orientales (Languedoc-Roussillon, département) [d3ntb8jzlr--1ebkp4txjj0zn]","66007","POINT(657700 6173900)","http://id.insee.fr/geo/commune/66007 | http://data.ign.fr/id/geofla/commune/66007 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/66007","Campoussy (Pyrénées-Orientales) [d3ntpxaniy-qrsrx923nf9p] | Vinça (Pyrénées-Orientales) [d3ntq32ahe-bkmxxb1bpyud] | Eus (Pyrénées-Orientales) [d3ntpxntz1--25048k1k1osu] | Rodès (Pyrénées-Orientales) [d3ntpzh4fm-1mw8xvwaekmlk] | Marquixanes (Pyrénées-Orientales) [d3ntpy0puu-ewn901bwhwzu] | Tarerach (Pyrénées-Orientales) [d3ntq0drvo-82mb0dzzm7ku]"
"place/FRAN_RI_005-d3ntpwz8gd-dk6orzgel4wf","d3ntpwz8gd-dk6orzgel4wf","Argelès-sur-Mer (Pyrénées-Orientales)","Argelès-sur-Mer","arrondissement : 661 | canton : Argelès-sur-Mer",,"Pyrénées-Orientales (Languedoc-Roussillon, département) [d3ntb8jzlr--1ebkp4txjj0zn]","66008","POINT(701900 6160700)","http://id.insee.fr/geo/commune/66008 | http://data.ign.fr/id/geofla/commune/66008 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/66008","Palau-del-Vidre (Pyrénées-Orientales) [d3ntpyzjju--1b3yqtn5zi82d] | Elne (Pyrénées-Orientales) [d3ntpxl38v-hvqe6kfnhugt] | Saint-André (Pyrénées-Orientales) [d3ntpzi1ex-utgbnxaybun3] | Sorède (Pyrénées-Orientales) [d3ntq0cg0x--w1rbzrxoet7x] | Collioure (Pyrénées-Orientales) [d3ntpxgot6-fhao70yxoe] | Banyuls-sur-Mer (Pyrénées-Orientales) [d3ntpx3nbl--19ka56xlgou8s]"
"place/FRAN_RI_005-d3ntpwzjg4-svcrm5bv1n7p","d3ntpwzjg4-svcrm5bv1n7p","Arles-sur-Tech (Pyrénées-Orientales)","Fontanils | Arles-sur-Tech","arrondissement : 661 | canton : Arles-sur-Tech",,"Pyrénées-Orientales (Languedoc-Roussillon, département) [d3ntb8jzlr--1ebkp4txjj0zn]","66009","POINT(669800 6150800)","http://id.insee.fr/geo/commune/66009 | http://data.ign.fr/id/geofla/commune/66009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/66009","Saint-Laurent-de-Cerdans (Pyrénées-Orientales) [d3ntpzs5a1--62c1g5t7xgak] | Montferrer (Pyrénées-Orientales) [d3ntpyni9y-1h9koa45vkbrd] | Amélie-les-Bains-Palalda (Pyrénées-Orientales) [d3ntpwx4d1-x0spls47mp5o] | Corsavy (Pyrénées-Orientales) [d3ntpxitjs-kz64y02m4to4] | Montbolo (Pyrénées-Orientales) [d3ntpymixa-o6pr6lze5ag9]"
"place/FRAN_RI_005-d3ntpx1sa6-k5742hh4ono4","d3ntpx1sa6-k5742hh4ono4","Ayguatébia-Talau (Pyrénées-Orientales)","Talau | Levillar | Ayguatébia-Talau | Ayguatébia | Aigatebia","arrondissement : 663 | canton : Olette","1er janvier 1983 : Ayguatébia devient Ayguatébia-Talau.Ayguatébia-Talau fusionne avec Talau (fusion simple).Talau est rattachée à Ayguatébia-Talau (fusion simple).","Pyrénées-Orientales (Languedoc-Roussillon, département) [d3ntb8jzlr--1ebkp4txjj0zn]","66010","POINT(632900 6164000)","http://id.insee.fr/geo/commune/66010 | http://data.ign.fr/id/geofla/commune/66010 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/66010","Canaveilles (Pyrénées-Orientales) [d3ntpxayay--1x2jj5qhfiq4w] | Olette (Pyrénées-Orientales) [d3ntpyrqgm-5avkmplbmm90] | Caudiès-de-Conflent (Pyrénées-Orientales) [d3ntpxeuuk--z8d6g9vc0ndd] | Sauto (Pyrénées-Orientales) [d3ntq0b517--1ovecnl25scp4] | Oreilla (Pyrénées-Orientales) [d3ntpyya2g-bif6dkst2hvj] | Railleu (Pyrénées-Orientales) [d3ntpzd0ce-1mfng76apgqpp] | La Llagonne (Pyrénées-Orientales) [d3ntpxz4y6--9nbme616kj5v]"
"place/FRAN_RI_005-d3ntpx24cr--1pth83lcdwsb8","d3ntpx24cr--1pth83lcdwsb8","Bages (Pyrénées-Orientales)","Bages","arrondissement : 662 | canton : Elne","1er janvier 2017 : Bages passe de l'arrondissement de Perpignan à l'arrondissement de Céret.","Pyrénées-Orientales (Languedoc-Roussillon, département) [d3ntb8jzlr--1ebkp4txjj0zn]","66011","POINT(691500 6167300)","http://id.insee.fr/geo/commune/66011 | http://data.ign.fr/id/geofla/commune/66011 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/66011","Brouilla (Pyrénées-Orientales) [d3ntpx7m0s-138mm4otehdvo] | Montescot (Pyrénées-Orientales) [d3ntpymuck-1v5uqx89nfds8] | Elne (Pyrénées-Orientales) [d3ntpxl38v-hvqe6kfnhugt] | Pollestres (Pyrénées-Orientales) [d3ntpz7tgc--n2qyx9ogvew0] | Ponteilla (Pyrénées-Orientales) [d3ntpz86dy-1sctp6j3npu40] | Villemolaque (Pyrénées-Orientales) [d3ntq31bs0--m01024ebuj9m] | Ortaffa (Pyrénées-Orientales) [d3ntpyym50-1ivkkkmju483k] | Saint-Jean-Lasseille (Pyrénées-Orientales) [d3ntpzrhzx-3oslhplocol1]"
"place/FRAN_RI_005-d3ntpx2fka--8wtutzq5j29g","d3ntpx2fka--8wtutzq5j29g","Baho (Pyrénées-Orientales)","Baho","arrondissement : 662 | canton : Saint-Estève",,"Pyrénées-Orientales (Languedoc-Roussillon, département) [d3ntb8jzlr--1ebkp4txjj0zn]","66012","POINT(685400 6177800)","http://id.insee.fr/geo/commune/66012 | http://data.ign.fr/id/geofla/commune/66012 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/66012","Saint-Estève (Pyrénées-Orientales) [d3ntpzj9ti--l8jusp376vy8] | Perpignan (Pyrénées-Orientales) [d3ntpz05r4-16mt363k2ya46] | Le Soler (Pyrénées-Orientales) [d3ntq0c4dv--1vnl8kh3gdml1] | Baixas (Pyrénées-Orientales) [d3ntpx314a--yfnjhe90bagj] | Villeneuve-la-Rivière (Pyrénées-Orientales) [d3ntq31z24--vsig9qppbrdn]"
