"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_026)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Historique (rico:history)"
"place/FRAN_RI_026-d3nzujr7hg--1jewtbvop7tph","d3nzujr7hg--1jewtbvop7tph","Jérusalem (temple de)",,
"place/FRAN_RI_026-d3m0cug9nvv--fri1mu608y18","d3m0cug9nvv--fri1mu608y18","Jésuites (cloître des)",,
"place/FRAN_RI_026-d3nzujs5z2-14fiqejca4ugq","d3nzujs5z2-14fiqejca4ugq","Jésuites (couvent des)",,
"place/FRAN_RI_026-d3nzujslhs-1tf8hylsls7r5","d3nzujslhs-1tf8hylsls7r5","Jésuites (noviciat des)",,"Rue Madame."
"place/FRAN_RI_026-d3nzujtfvz--1ljbwv91cfsn4","d3nzujtfvz--1ljbwv91cfsn4","Jeunes aveugles (institution des)",,
"place/FRAN_RI_026-d3m0cugtjc1--1hokukoerkozk","d3m0cugtjc1--1hokukoerkozk","Jeunes sourds (institut national de)","Sourds-Muets (institution des)","Rue Saint-Jacques."
"place/FRAN_RI_026-d3nzujtslt-n8p47c03ke2i","d3nzujtslt-n8p47c03ke2i","Juigné (hôtel de)",,
"place/FRAN_RI_026-d3nzuju48v--18lz8srqft84a","d3nzuju48v--18lz8srqft84a","Juillet (colonne de)","Bastille (colonne de la)",
"place/FRAN_RI_026-d3nzujufo5--21ax9v74ru2k","d3nzujufo5--21ax9v74ru2k","Justice (collège de)",,
"place/FRAN_RI_026-d3nzujur3g--1ldkxcadcgeqd","d3nzujur3g--1ldkxcadcgeqd","Justice (palais de)",,
"place/FRAN_RI_026-d5bknx3y0g-1omitwo0k43k6","d5bknx3y0g-1omitwo0k43k6","L'Espérance (enseigne)",,
"place/FRAN_RI_026-d3nzuk9ktk-18gspx2g2wdnh","d3nzuk9ktk-18gspx2g2wdnh","Laënnec (hôpital)","Incurables (hospice des)",
"place/FRAN_RI_026-d3nzujv360--lrr0rl7khlda","d3nzujv360--lrr0rl7khlda","La Fayette (hôtel de)",,
"place/FRAN_RI_026-d3nzujvf8l-10z8s5ag9fcyc","d3nzujvf8l-10z8s5ag9fcyc","La Force (prison de)","La Grande-Force (prison de) | La Petite-Force (prison de) | La Force (hôtel de)",
"place/FRAN_RI_026-d5bknxi5ja-jvunol24j0z8","d5bknxi5ja-jvunol24j0z8","Lahousse Gillet (enseigne de)",,
"place/FRAN_RI_026-d3nzujxrqk--1pcns2t2yvs54","d3nzujxrqk--1pcns2t2yvs54","La Marche (collège de)",,
"place/FRAN_RI_026-d3nzujylp7--15gfeeclyb888","d3nzujylp7--15gfeeclyb888","La Marche (hôtel de)",,
"place/FRAN_RI_026-d3nzuk9wod--8cmt25d6f1g4","d3nzuk9wod--8cmt25d6f1g4","Lamarck (hôtel de)",,
"place/FRAN_RI_026-d3nzuka83n-ym1wxakym3fv","d3nzuka83n-ym1wxakym3fv","Lambert (hôtel)",,
"place/FRAN_RI_026-d3m0cufyppq-bfsoylm4xys4","d3m0cufyppq-bfsoylm4xys4","Lamoignon (hôtel)",,
"place/FRAN_RI_026-d5bknwevgr--118fic2bve0kx","d5bknwevgr--118fic2bve0kx","Lampe d'Or (enseigne de la)",,
"place/FRAN_RI_026-d5bknxgaa4--s04wq8od4mw6","d5bknxgaa4--s04wq8od4mw6","Lamproie (enseigne de la)",,
"place/FRAN_RI_026-d3nzukavdr--e7dmz8u1sqla","d3nzukavdr--e7dmz8u1sqla","Langeron (hôtel de)",,
"place/FRAN_RI_026-d3nzukbp4n--2wj4nkn4j15d","d3nzukbp4n--2wj4nkn4j15d","Langeron (petit hôtel de)",,
"place/FRAN_RI_026-d5bknxoigk--b5uzqeiqii17","d5bknxoigk--b5uzqeiqii17","Lanterne (enseigne de la)",,
"place/FRAN_RI_026-d3nzukc2pj-1v1g0er3900x2","d3nzukc2pj-1v1g0er3900x2","Laon (collège de)",,
"place/FRAN_RI_026-d5bknxg4oc-1e41d9lws7n13","d5bknxg4oc-1e41d9lws7n13","La Prise de Calais (enseigne)",,
"place/FRAN_RI_026-d3nzukce4t--f9qba3yn9kjc","d3nzukce4t--f9qba3yn9kjc","Laques (hôtel des)",,
"place/FRAN_RI_026-d3nzuk066d--1hc30uus7bi6p","d3nzuk066d--1hc30uus7bi6p","La Rochefoucauld (petit hôtel de)",,
"place/FRAN_RI_026-d3nzuk0nup-krigztuhl6st","d3nzuk0nup-krigztuhl6st","La Rochelle (hôtel de la)",,
"place/FRAN_RI_026-d3nzuk1bzu-z2ivapckfxwg","d3nzuk1bzu-z2ivapckfxwg","La Roquette (prison de)",,
"place/FRAN_RI_026-d3nzukcpk4--1s8emyo2lvm0s","d3nzukcpk4--1s8emyo2lvm0s","Lassay (hôtel de)",,
"place/FRAN_RI_026-d3nzuk2t8l-709whpulzo83","d3nzuk2t8l-709whpulzo83","La Trémoille (hôtel de)",,
"place/FRAN_RI_026-d3nzukd0ze--kv98rkcjptto","d3nzukd0ze--kv98rkcjptto","Lauzun (hôtel de)","Pimodan (hôtel de)","Quai d'Anjou."
"place/FRAN_RI_026-d3nzukdy6g-dx0kbm1a1j0l","d3nzukdy6g-dx0kbm1a1j0l","Laval (petit hôtel de)",,
"place/FRAN_RI_026-d3nzuk4jys--1wc3pxirxhilw","d3nzuk4jys--1wc3pxirxhilw","La Vallière (hôtel de)",,
"place/FRAN_RI_026-d3nzuk5dhx-1ky08k6xdcj9o","d3nzuk5dhx-1ky08k6xdcj9o","La Vieuville (hôtel de)","Bertin de Blagny (hôtel) | Beautru de la Vieuville (hôtel)","Rue Pastourelle."
"place/FRAN_RI_026-d3nzuk62i4--1bulb10635kge","d3nzuk62i4--1bulb10635kge","La Villette (bassin de)",,
"place/FRAN_RI_026-d3nzuk71f9--26hykms0db54","d3nzuk71f9--26hykms0db54","La Villette (théâtre de)",,
"place/FRAN_RI_026-d3nzuk7dht-115kfqd0jkpnw","d3nzuk7dht-115kfqd0jkpnw","La Visitation (couvent de)",,"Rue Saint-Jacques."
"place/FRAN_RI_026-d3nzuk7pzx--mmpi7459xc3g","d3nzuk7pzx--mmpi7459xc3g","La Visitation (église de)",,"Rue Saint-Jacques."
"place/FRAN_RI_026-d3m0cuhav9t--1xjofdqxbzeim","d3m0cuhav9t--1xjofdqxbzeim","La Visitation de Chaillot (couvent de)",,
"place/FRAN_RI_026-d3m0cuhh52u-7y5gpbz0dqg0","d3m0cuhh52u-7y5gpbz0dqg0","La Visitation Sainte-Marie (couvent de)",,"Rue Saint-Antoine."
"place/FRAN_RI_026-d3nzuk99e9--rud7v4anvhdb","d3nzuk99e9--rud7v4anvhdb","La Vrillière (hôtel de)",,
"place/FRAN_RI_026-d3nzukeech-1q9m78wstobkf","d3nzukeech-1q9m78wstobkf","Lazaristes (séminaire des)","Missionnaires de Saint-Vincent de Paul (couvent des)",
"place/FRAN_RI_026-d3nzuker2b-5ce1u775z2k1","d3nzuker2b-5ce1u775z2k1","Le Blanc (hôtel)",,
"place/FRAN_RI_026-d3nzukf3ke-zpj5x4d5zodr","d3nzukf3ke-zpj5x4d5zodr","Le Carrousel",,
"place/FRAN_RI_026-d5bknxc7wz--1gsvcanzb2zyd","d5bknxc7wz--1gsvcanzb2zyd","Le Clos-Bruneau (enseigne)",,
"place/FRAN_RI_026-d3nzukfxj2-1l1yhkuoem4bg","d3nzukfxj2-1l1yhkuoem4bg","Légion d'honneur (palais de la)","Salm (hôtel de)",
"place/FRAN_RI_026-d3nzukgmj8--bw46kywks2jx","d3nzukgmj8--bw46kywks2jx","Les Petites-Maisons (asile)",,
"place/FRAN_RI_026-d5bknw2rti--1fpszw5uqmk60","d5bknw2rti--1fpszw5uqmk60","Lesseville (hôtel de)",,"Rue Galande . Voir aussi Lamoignon (hôtel de), Chatillon (hôtel de)."
"place/FRAN_RI_026-d3nzukiylp--yv7hyffdknry","d3nzukiylp--yv7hyffdknry","Levant (hôtel du)",,
"place/FRAN_RI_026-d5bknwvlit--1f3pgao09ma6f","d5bknwvlit--1f3pgao09ma6f","Levrette (enseigne de la)",,
"place/FRAN_RI_026-d5bknxocf9--19yqwju9co9g6","d5bknxocf9--19yqwju9co9g6","Levrette Royale (enseigne de la)",,
"place/FRAN_RI_026-d5bknwhmen-182yzz1flhxz1","d5bknwhmen-182yzz1flhxz1","Levrière Blanche (enseigne de la)",,
"place/FRAN_RI_026-d5bknxhfo2-1h1o90nzvcoru","d5bknxhfo2-1h1o90nzvcoru","Licorne (enseigne de la)",,
"place/FRAN_RI_026-d5bknx5hml-1b8v6fyrhlvwg","d5bknx5hml-1b8v6fyrhlvwg","Lièvre d'Or (enseigne du)",,
"place/FRAN_RI_026-d5bknwlb6w-13b2tsqapgd7i","d5bknwlb6w-13b2tsqapgd7i","Lion (enseigne du)",,
"place/FRAN_RI_026-d5bknwb9p5--lkw7lc9q86aj","d5bknwb9p5--lkw7lc9q86aj","Lion d'Argent (enseigne du)",,
"place/FRAN_RI_026-d5bknwefaq-bwsdweuomozx","d5bknwefaq-bwsdweuomozx","Lion d'Or (enseigne du)",,
"place/FRAN_RI_026-d5bknw1ypw--1suenebydp4pk","d5bknw1ypw--1suenebydp4pk","Lion de Pierre (enseigne du)",,
"place/FRAN_RI_026-d5bknwn5d9-1nifd33ou4iu9","d5bknwn5d9-1nifd33ou4iu9","Lion Ferré (enseigne du)",,
"place/FRAN_RI_026-d3nzukjdh5-1ntubar9j39m9","d3nzukjdh5-1ntubar9j39m9","Lionne (hôtel de)",,
"place/FRAN_RI_026-d5bknwa5ti-1hxgynjgdtd7l","d5bknwa5ti-1hxgynjgdtd7l","Lion Noir (enseigne du)",,
"place/FRAN_RI_026-d3nzukjpz8--1i97s83mzybnr","d3nzukjpz8--1i97s83mzybnr","Lisieux (collège de)","Torcy (collège)",
"place/FRAN_RI_026-d3nzukk29k-sx50dbovoufv","d3nzukk29k-sx50dbovoufv","Loire (hôtel garni de)",,
"place/FRAN_RI_026-d3m0cugqjkx--1fean827qy9z3","d3m0cugqjkx--1fean827qy9z3","Longchamp (abbaye de)",,
"place/FRAN_RI_026-d5bknw3m7o--w9e3p2339otm","d5bknw3m7o--w9e3p2339otm","Longue Allée (enseigne de la)",,
"place/FRAN_RI_026-d3nzukkpbw--af1x8vdpb3u7","d3nzukkpbw--af1x8vdpb3u7","Loterie nationale (hôtel de la)",,
"place/FRAN_RI_026-d3nzukl0yy-n2ug7gj5o5pt","d3nzukl0yy-n2ug7gj5o5pt","Louanges (chapelle des)",,
"place/FRAN_RI_026-d3nzukltn1--1ib2t8okgphed","d3nzukltn1--1ib2t8okgphed","Louis-le-Grand (lycée)","Prytanée français | Impérial (lycée) | Louis-le-Grand (collège) | Egalité (collège de l')",
"place/FRAN_RI_026-d5bknwbr5p-1uueimaiutewi","d5bknwbr5p-1uueimaiutewi","Louis XIII (enceinte de)",,
"place/FRAN_RI_026-d3nzuklgho-2ycnlhac7aui","d3nzuklgho-2ycnlhac7aui","Louis XIV (statue de)",,"Place des victoires."
"place/FRAN_RI_026-d5bknwawc0-1dgckb6c60jw1","d5bknwawc0-1dgckb6c60jw1","Loup (enseigne du)",,
"place/FRAN_RI_026-d3nzukmogr--18tj3u928ja13","d3nzukmogr--18tj3u928ja13","Loup (hôtel du)",,
"place/FRAN_RI_026-d3nzuknk5h--simbkda16q62","d3nzuknk5h--simbkda16q62","Lourcine (barrière de)",,
"place/FRAN_RI_026-d3nzukofmh-ny8uvjhcmm2g","d3nzukofmh-ny8uvjhcmm2g","Lourcine (caserne)",,
"place/FRAN_RI_026-d5bknwfzrw-15tapmw7fs27f","d5bknwfzrw-15tapmw7fs27f","Lourcine (hôpital de)","Cordelières (couvent des)",
"place/FRAN_RI_026-d5bknwu42b-ct51rffad8ar","d5bknwu42b-ct51rffad8ar","Louve Mapicault (enseigne de la)",,
"place/FRAN_RI_026-d3nzukpavp-x1bw298mk45h","d3nzukpavp-x1bw298mk45h","Louvois (hôtel de)",,
"place/FRAN_RI_026-d3nzukq6co--1jhxdz6xl8eob","d3nzukq6co--1jhxdz6xl8eob","Louvois (théâtre)",,"Rue de Louvois. Théâtre ayant fonctionné de 1791 à 1825."
"place/FRAN_RI_026-d3nzukr1lw--1ah3pkmq23yov","d3nzukr1lw--1ah3pkmq23yov","Louvre (bibliothèque du)",,
"place/FRAN_RI_026-d3nzukrfmb-q066c4of59cw","d3nzukrfmb-q066c4of59cw","Louvre (grands magasins du)",,
"place/FRAN_RI_026-d3nzukrrh4-q78156k10mfw","d3nzukrrh4-q78156k10mfw","Louvre (hôtel garni)",,
"place/FRAN_RI_026-d5bknx6p64--8gwd05y7ujsi","d5bknx6p64--8gwd05y7ujsi","Louvre (oratoire du)",,
"place/FRAN_RI_026-d3nzuks3z7-16gjfic21jid","d3nzuks3z7-16gjfic21jid","Louvre (palais du)",,
"place/FRAN_RI_026-d3nzuksfu0-1anzqi7m6jvxp","d3nzuksfu0-1anzqi7m6jvxp","Louxor (obélisque de)","Louqsor (obélisque de)",
"place/FRAN_RI_026-d3nzukss4c--jfmj1116bovj","d3nzukss4c--jfmj1116bovj","Loyes (hôtel de)",,
"place/FRAN_RI_026-d5bknx6cga-1prf2h32v8xqv","d5bknx6cga-1prf2h32v8xqv","Lude (hôtel du)",,"Rue Payenne. Voir aussi Châtillon (hôtel de)."
"place/FRAN_RI_026-d5bknxen7u--1cke8tywpm48x","d5bknxen7u--1cke8tywpm48x","Lunettes (enseigne des)",,
"place/FRAN_RI_026-d3nzuktlv8--tlh1t8hwz94o","d3nzuktlv8--tlh1t8hwz94o","Lussan (hôtel de)",,
"place/FRAN_RI_026-d5bknx7oqk-1hnbgcqp8bft2","d5bknx7oqk-1hnbgcqp8bft2","Luth Royal (enseigne du)",,
"place/FRAN_RI_026-d3nzuktzvn-wu80rgs8x8fb","d3nzuktzvn-wu80rgs8x8fb","Luxembourg (gare du)",,
"place/FRAN_RI_026-d3nzukuc5z--qlebz9u8w7pc","d3nzukuc5z--qlebz9u8w7pc","Luxembourg (jardin du)",,
"place/FRAN_RI_026-d3nzukuoo2-afqow7bnaks3","d3nzukuoo2-afqow7bnaks3","Luxembourg (palais du)","Luxembourg (prison du)",
"place/FRAN_RI_026-d3nzukvw7m--x3dgsdvtuxm8","d3nzukvw7m--x3dgsdvtuxm8","Luynes (petit hôtel de)",,
"place/FRAN_RI_026-d3nzukw82f-1wd1a6pu7b09f","d3nzukw82f-1wd1a6pu7b09f","Lyon (gare de)",,
"place/FRAN_RI_026-d3nzukwjx8-iggmr6tp8fl7","d3nzukwjx8-iggmr6tp8fl7","Lyon (hôtel de)",,
"place/FRAN_RI_026-d3nzukww7j-1bsrar1qj9rku","d3nzukww7j-1bsrar1qj9rku","Mâcon (hôtel de)",,
"place/FRAN_RI_026-d5bknxalxi-14ykihm7mvjyf","d5bknxalxi-14ykihm7mvjyf","Madeleine (cimetière de la)",,
"place/FRAN_RI_026-d5bknwrqpa--ol90p1sd8r36","d5bknwrqpa--ol90p1sd8r36","Madeleine (église de la)","Gloire (temple de la)",
"place/FRAN_RI_026-d5bknwuxdp-2dux32z148i9","d5bknwuxdp-2dux32z148i9","Madeleine (enseigne de la)",,
"place/FRAN_RI_026-d3nzukx8a4--eymvi9rsa6pf","d3nzukx8a4--eymvi9rsa6pf","Madelonnettes (prison des)","Madelonnettes (couvent des)",
"place/FRAN_RI_026-d5bknwhok9-1nse1kd6ff3ww","d5bknwhok9-1nse1kd6ff3ww","Mage (enseigne au)",,
"place/FRAN_RI_026-d3nzukxwus--rbje1j33o5tx","d3nzukxwus--rbje1j33o5tx","Mail (caserne du)",,"Rue Notre-Dame-des-Victoires."
"place/FRAN_RI_026-d3nzuky953-1malqo1t8iuk","d3nzuky953-1malqo1t8iuk","Mail (hôtel du)",,
"place/FRAN_RI_026-d5bknwwq1q--1b2jv30hlnpdd","d5bknwwq1q--1b2jv30hlnpdd","Maillets (enseigne des)",,
"place/FRAN_RI_026-d3nzukyl7o--1lwxx1z0wl2m2","d3nzukyl7o--1lwxx1z0wl2m2","Mailly (hôtel de)",,
"place/FRAN_RI_026-d3nzukyxxi-8jbygoboao5g","d3nzukyxxi-8jbygoboao5g","Maine (barrière du)",,
"place/FRAN_RI_026-d5bknxa8cm--sle84a1yvv7y","d5bknxa8cm--sle84a1yvv7y","Maître Gervais (collège de)","Notre-Dame-de-Bayeux (collège de)",
"place/FRAN_RI_026-d3nzul164a-becgbo39826x","d3nzul164a-becgbo39826x","Majestic (hôtel garni)",,
"place/FRAN_RI_026-d5bknwp9gl-1kq19449qaqiy","d5bknwp9gl-1kq19449qaqiy","Malassin (enseigne de la)",,
"place/FRAN_RI_026-d5bknxiapj-1vhr0aw1yq4bs","d5bknxiapj-1vhr0aw1yq4bs","Mal-Assise (enseigne de la)",,
"place/FRAN_RI_026-d3nzul1hrc--gwuoyrzdu6zn","d3nzul1hrc--gwuoyrzdu6zn","Malesherbes (hôtel )",,
"place/FRAN_RI_026-d3nzul20ih-1jcjgg9bcd125","d3nzul20ih-1jcjgg9bcd125","Malte (hôtel de)",,
"place/FRAN_RI_026-d3nzul2fdx--6lggakgo0uuw","d3nzul2fdx--6lggakgo0uuw","Mans (collège du)",,
"place/FRAN_RI_026-d5bknx57pm--1f8fj5dzrkin","d5bknx57pm--1f8fj5dzrkin","Manteau Royal (enseigne du)",,
"place/FRAN_RI_026-d3nzul2rw0-jgvh7msxq0nl","d3nzul2rw0-jgvh7msxq0nl","Mantoue (hôtel de)",,
"place/FRAN_RI_026-d5bknw2l4x-1rnde522smuv1","d5bknw2l4x-1rnde522smuv1","Marbres (magasin des)","magasin national des marbres de Chaillot","Chaillot."
"place/FRAN_RI_026-d5bknwvsmx-m4o1ons74jfk","d5bknwvsmx-m4o1ons74jfk","Marchandise (enseigne de la)",,
"place/FRAN_RI_026-d5bknwlywi--23qwo0j1s2tm","d5bknwlywi--23qwo0j1s2tm","Marguerite Couronnée (enseigne de la)",,
"place/FRAN_RI_026-d5bknxii94-ac8uoms11ke","d5bknxii94-ac8uoms11ke","Marie de Lyonne (hôtel de)",,"Place des Vosges."
"place/FRAN_RI_026-d3nzul33yk-1v6n50dnzlkuf","d3nzul33yk-1v6n50dnzlkuf","Marigny (hôtel de)",,
"place/FRAN_RI_026-d3nzul3g8w-7etgu6scklhb","d3nzul3g8w-7etgu6scklhb","Marigny (théâtre)",,
"place/FRAN_RI_026-d3nzul3s3p--y3usguagrox3","d3nzul3s3p--y3usguagrox3","Marillac (hôtel de)",,
"place/FRAN_RI_026-d3nzul446a-1a7g7lvga6qep","d3nzul446a-1a7g7lvga6qep","Marine (hôtel de la)","Garde-Meuble","Place de la Concorde."
"place/FRAN_RI_026-d5bknw4osr-1f1zm7mbbrrxj","d5bknw4osr-1f1zm7mbbrrxj","Marly (hôtel de)",,
"place/FRAN_RI_026-d5bknw7871--1mkh5k1y3a7jb","d5bknw7871--1mkh5k1y3a7jb","Marmite (enseigne de la)",,
"place/FRAN_RI_026-d5bknxvdpf--15hs4o1my3emr","d5bknxvdpf--15hs4o1my3emr","Marmousets (enseigne des)",,
"place/FRAN_RI_026-d3nzul4ggm--169uv9r4zcmg3","d3nzul4ggm--169uv9r4zcmg3","Marmoutier (collège)",,
"place/FRAN_RI_026-d5bknwz6fe--bcj1w64dybbc","d5bknwz6fe--bcj1w64dybbc","Marteau (enseigne du)",,
"place/FRAN_RI_026-d5bknww72u--p791mkpnso2n","d5bknww72u--p791mkpnso2n","Martyrs (chapelle des)",,
"place/FRAN_RI_026-d3nzul4wmm-5ndjxbaa7e06","d3nzul4wmm-5ndjxbaa7e06","Marville (hôtel de)",,"Rue de Verneuil."
"place/FRAN_RI_026-d3nzul5b2j--rnot6qddpf9o","d3nzul5b2j--rnot6qddpf9o","Massa (hôtel de)",,"Actuellement siège de la Société des Gens de Lettres."
"place/FRAN_RI_026-d3nzul5n54-1qoqqgr7i4o5p","d3nzul5n54-1qoqqgr7i4o5p","Massé-Belhomme (prison)",,
"place/FRAN_RI_026-d3m0cugbgur-1bly11n1ltoos","d3m0cugbgur-1bly11n1ltoos","Mathurins (cloître des)",,
"place/FRAN_RI_026-d5bknwg91l--1efu9c8gm28cy","d5bknwg91l--1efu9c8gm28cy","Matignon (hôtel de)",,
"place/FRAN_RI_026-d3nzulaf5p--p40geov6tgv4","d3nzulaf5p--p40geov6tgv4","Mazarin (hôtel)",,"Rue de Richelieu. Actuellement partie de la Bibliothèque nationale de France – site Richelieu."
"place/FRAN_RI_026-d3nzulaqd8-ia1hati4ya74","d3nzulaqd8-ia1hati4ya74","Mazarine (bibliothèque)",,
"place/FRAN_RI_026-d3nzulb1d0-1pazk2f00sh6o","d3nzulb1d0-1pazk2f00sh6o","Mazas (prison)",,
"place/FRAN_RI_026-d5bknw1ol5-blmxmo5yjmlh","d5bknw1ol5-blmxmo5yjmlh","Médaille (enseigne de la)",,
"place/FRAN_RI_026-d3nzulbdnc--ycc6vcfihrth","d3nzulbdnc--ycc6vcfihrth","Médecine (faculté de)",,
"place/FRAN_RI_026-d5bknw41y6--8113c3fqs8lp","d5bknw41y6--8113c3fqs8lp","Mélusine-Lusignan (hôtel de)","Mélusine (hôtel de) | Lusignan (hôtel de)","Rue des Bons-Enfants."
"place/FRAN_RI_026-d3nzulbp2m-fclsop47ahvl","d3nzulbp2m-fclsop47ahvl","Ménages (hospice des)",,
"place/FRAN_RI_026-d3nzulc0hw--dp9c8uzi3xum","d3nzulc0hw--dp9c8uzi3xum","Ménars (hôtel de)",,
"place/FRAN_RI_026-d3m0cugcbcv--1apgccs5aomwq","d3m0cugcbcv--1apgccs5aomwq","Ménilmontant (abattoirs de)","Popincourt (abattoirs de)",
"place/FRAN_RI_026-d3nzulcc4y-joklec5zi5yb","d3nzulcc4y-joklec5zi5yb","Ménilmontant (barrière de)",,
"place/FRAN_RI_026-d3m0cug3wav-v193aphokdkn","d3m0cug3wav-v193aphokdkn","Ménilmontant (château de)",,
"place/FRAN_RI_026-d3m0cugu6ph-tngzjzx7mozi","d3m0cugu6ph-tngzjzx7mozi","Menus Plaisirs (hôtel des)",,
"place/FRAN_RI_026-d3nzulcyzj--jpvp02fdewef","d3nzulcyzj--jpvp02fdewef","Mercoeur (hôtel de)",,
"place/FRAN_RI_026-d5bknx11gs-k1stjncaby28","d5bknx11gs-k1stjncaby28","Mercy (collège de la)",,
"place/FRAN_RI_026-d3nzuldaet-khto9oqy2jin","d3nzuldaet-khto9oqy2jin","Mercy (couvent de la)",,
"place/FRAN_RI_026-d3nzuldm1v--b55ajc7iq7tk","d3nzuldm1v--b55ajc7iq7tk","Merle (hôtel de)",,
"place/FRAN_RI_026-d5bknwdt3g--1uwbe1834gl6j","d5bknwdt3g--1uwbe1834gl6j","Mesmes (hôtel de)",,"Rue du Temple et passage Sainte-Avoye."
"place/FRAN_RI_026-d5bknxfl26--1bjgk3h63gbn8","d5bknxfl26--1bjgk3h63gbn8","Messager d'Angers (enseigne du)",,
"place/FRAN_RI_026-d5bknwfmmj--s1ij4tcw7wx7","d5bknwfmmj--s1ij4tcw7wx7","Mignon (collège)",,
"place/FRAN_RI_026-d5bknwv3ui-186y24gznjnua","d5bknwv3ui-186y24gznjnua","Mines d'Or (enseigne des)",,
"place/FRAN_RI_026-d3m0cuh6vv6-1161ctjx2fyn6","d3m0cuh6vv6-1161ctjx2fyn6","Mines ParisTech","Ecole des mines de Paris | Ecole nationale supérieure des mines de Paris",
"place/FRAN_RI_026-d3nzule8wg--14xu92zewe69v","d3nzule8wg--14xu92zewe69v","Minimes (caserne des)",,
"place/FRAN_RI_026-d5bknxu9ea-1mwttq39l2znk","d5bknxu9ea-1mwttq39l2znk","Minimes (couvent des)",,
"place/FRAN_RI_026-d3nzulfmha--1mdcebfrbhggf","d3nzulfmha--1mdcebfrbhggf","Minimes de Chaillot (couvent des)",,
"place/FRAN_RI_026-d3nzulg0x7-rhe959bejs5","d3nzulg0x7-rhe959bejs5","Minimes de Nigeon (couvent des)",,
"place/FRAN_RI_026-d5bknwiwr3-v1gnfzvvboxi","d5bknwiwr3-v1gnfzvvboxi","Miroir (enseigne du)",,
"place/FRAN_RI_026-d3nzulgcs0--1jdpy8nfrndh3","d3nzulgcs0--1jdpy8nfrndh3","Misérables (hospice des)",,
"place/FRAN_RI_026-d3nzulgphv-hz6wmxbi9bnv","d3nzulgphv-hz6wmxbi9bnv","Missionnaires de Saint-Vincent-de-Paul (couvent des)",,
"place/FRAN_RI_026-d3m0cufywg6-15zx00u8melqp","d3m0cufywg6-15zx00u8melqp","Missions Etrangères (séminaire des)",,
"place/FRAN_RI_026-d3nzulhxop--qlfquj8qcv98","d3nzulhxop--qlfquj8qcv98","Molé (hôtel)",,
"place/FRAN_RI_026-d3nzuli9bq-9eutxrpxmjfx","d3nzuli9bq-9eutxrpxmjfx","Monaco (hôtel de)",,
"place/FRAN_RI_026-d3nzulio76--101xnlc2fv0dh","d3nzulio76--101xnlc2fv0dh","Monceau (barrière de)",,
"place/FRAN_RI_026-d3nzulj3xo-mn3ats5490nb","d3nzulj3xo-mn3ats5490nb","Monceau (parc)",,
"place/FRAN_RI_026-d3nzuljs2t--uquwi2dyhcpc","d3nzuljs2t--uquwi2dyhcpc","Monnaie (hôtel de la)",,
"place/FRAN_RI_026-d3nzulk3pv--1n3ev27e1mn58","d3nzulk3pv--1n3ev27e1mn58","Monnaie (maison de la)",,
"place/FRAN_RI_026-d5bknwbk9e-w6hl4g5wqu2v","d5bknwbk9e-w6hl4g5wqu2v","Monnaies (hôtel des)",,"Quai de Conti."
"place/FRAN_RI_026-d5bknx9g41--1qya65g5acuk3","d5bknx9g41--1qya65g5acuk3","Monnayeur (enseigne du)",,
"place/FRAN_RI_026-d3nzull2ur--wxv39oahxinp","d3nzull2ur--wxv39oahxinp","Montagu (hôtel de)",,"Rue des Fossoyeurs."
"place/FRAN_RI_026-d3nzullwdw--1pxft2dskofku","d3nzullwdw--1pxft2dskofku","Montaigne (lycée)",,
"place/FRAN_RI_026-d3nzuln32f-1q248hmgv0hha","d3nzuln32f-1q248hmgv0hha","Montaigu (collège de)",,
"place/FRAN_RI_026-d3nzulnyr5-1bh91oowv99h4","d3nzulnyr5-1bh91oowv99h4","Montalembert (hôtel de)",,
"place/FRAN_RI_026-d3nzulocjt--nkfzz3z7gj3o","d3nzulocjt--nkfzz3z7gj3o","Montbazon (hôtel de)",,
"place/FRAN_RI_026-d3m0cug2cu9--z4jadb701sjn","d3m0cug2cu9--z4jadb701sjn","Mont de Piété","Crédit municipal",
"place/FRAN_RI_026-d3nzuloo6u--1fvn59k1uisa8","d3nzuloo6u--1fvn59k1uisa8","Montesson (hôtel de)",,
"place/FRAN_RI_026-d3nzulpid9--ter7gt26sv7c","d3nzulpid9--ter7gt26sv7c","Montfaucon (gibet de)",,
"place/FRAN_RI_026-d3nzulq7sy--1uz05fkbl0gmb","d3nzulq7sy--1uz05fkbl0gmb","Montlouis (parc de)",,
"place/FRAN_RI_026-d3m0cuh4koa-1pelhtddny9pa","d3m0cuh4koa-1pelhtddny9pa","Montmartre (abattoirs de)",,
"place/FRAN_RI_026-d3nzulqkit-9l5tea810mh5","d3nzulqkit-9l5tea810mh5","Montmartre (abbaye de)",,
"place/FRAN_RI_026-d3nzulqwdm-1ttb57wjvgd9f","d3nzulqwdm-1ttb57wjvgd9f","Montmorency (hôtel de)",,"Cette dénomination correspond à 3 hôtels situés : rue de Montmorency, rue de Tournon, rue Sainte-Avoye."
"place/FRAN_RI_026-d3nzulr8g7-35zerpsx9kqb","d3nzulr8g7-35zerpsx9kqb","Montparnasse (barrière du)",,
