"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_026)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Historique (rico:history)"
"place/FRAN_RI_026-d3nzuiwj68--14268k946fwr0","d3nzuiwj68--14268k946fwr0","Frontenac (hôtel de)",,
"place/FRAN_RI_026-d5bknwh3va--16ku0cduy4as1","d5bknwh3va--16ku0cduy4as1","Gagny (hôtel de)",,"Place des Vosges."
"place/FRAN_RI_026-d3nzuiy4xy--2fb1pr869mq3","d3nzuiy4xy--2fb1pr869mq3","Gaîté (théâtre de la)",,
"place/FRAN_RI_026-d5bknxk9mm-eghjta4xeu71","d5bknxk9mm-eghjta4xeu71","Galant Jardinier (enseigne du)",,
"place/FRAN_RI_026-d5bknx5w2i-78g39o6hfupk","d5bknx5w2i-78g39o6hfupk","Galère d'Or (enseigne de la)",,
"place/FRAN_RI_026-d5bknxlax4-1pns1ku6iznen","d5bknxlax4-1pns1ku6iznen","Galerie (enseigne de la)",,
"place/FRAN_RI_026-d5bknwrygn-6ykp58wcgmny","d5bknwrygn-6ykp58wcgmny","Galet d'Argent (enseigne du)",,
"place/FRAN_RI_026-d3nzuiyhns-10iaoditffosn","d3nzuiyhns-10iaoditffosn","Gallifet (hôtel de)",,
"place/FRAN_RI_026-d5bknwpnor-gerns2d107cx","d5bknwpnor-gerns2d107cx","Gand de Chasse (enseigne du)",,
"place/FRAN_RI_026-d5bknwqef1-e8v7nsswn9ow","d5bknwqef1-e8v7nsswn9ow","Gants (enseigne des)",,
"place/FRAN_RI_026-d3nzuiytim--gb4uloztvqay","d3nzuiytim--gb4uloztvqay","Garde (caserne de la)",,
"place/FRAN_RI_026-d5bknwm68d-lxcgxfeaxpzy","d5bknwm68d-lxcgxfeaxpzy","Garde de Dieu (enseigne à la)",,
"place/FRAN_RI_026-d5bknxf10h-1jpq4q1dal8hx","d5bknxf10h-1jpq4q1dal8hx","Gardes à pied du Roi (hôtel des)",,
"place/FRAN_RI_026-d5bknx8vf2-b63z8dpynn5b","d5bknx8vf2-b63z8dpynn5b","Genettes (enseigne des)",,
"place/FRAN_RI_026-d3nzuiz4xw--9k5itbtrfg9l","d3nzuiz4xw--9k5itbtrfg9l","Genlis (hôtel de)",,
"place/FRAN_RI_026-d3nzuizgky--1tlafhzrh47ro","d3nzuizgky--1tlafhzrh47ro","Gérando (asile-ouvroir)",,
"place/FRAN_RI_026-d5bknx549g--kf34payivyon","d5bknx549g--kf34payivyon","Gerbe de Blé (enseigne de la)",,
"place/FRAN_RI_026-d3nzuizs7z--jcmz0y54wodm","d3nzuizs7z--jcmz0y54wodm","Gesvres (hôtel de)",,
"place/FRAN_RI_026-d5bknx30ln--dnvdmh3pvl0z","d5bknx30ln--dnvdmh3pvl0z","Gibecière (enseigne de la)",,
"place/FRAN_RI_026-d5bknxsktp--3a5k5yvosah3","d5bknxsktp--3a5k5yvosah3","Gobelet d'Argent (enseigne du)",,
"place/FRAN_RI_026-d5bknw9d5f-1g70ywvqylofn","d5bknw9d5f-1g70ywvqylofn","Gobelins (enseigne des)",,
"place/FRAN_RI_026-d3nzuj0jdr--wyabgxoovoo1","d3nzuj0jdr--wyabgxoovoo1","Gobelins (hôtel des)",,
"place/FRAN_RI_026-d3nzuj0vvv-1ihacmv3fpkby","d3nzuj0vvv-1ihacmv3fpkby","Gobelins (manufacture des)",,
"place/FRAN_RI_026-d3nzuj17b5--16peyet3l5tjm","d3nzuj17b5--16peyet3l5tjm","Gobelins (théâtre des)",,
"place/FRAN_RI_026-d3nzuj1iqf-1tezpcqo9y71i","d3nzuj1iqf-1tezpcqo9y71i","Gouffier (hôtel de)",,
"place/FRAN_RI_026-d5bknxd9ur--6lqj2cc1zvz9","d5bknxd9ur--6lqj2cc1zvz9","Gouffier de Thoix (hôtel)",,"Rue de Varenne."
"place/FRAN_RI_026-d5bknxu533-ji33jffoq928","d5bknxu533-ji33jffoq928","Gourgues (hôtel de)","Tresmes (hôtel de)","Place des Vosges."
"place/FRAN_RI_026-d5bknxefvz-1vlphmmjp0ndj","d5bknxefvz-1vlphmmjp0ndj","Gramont (hôtel de)",,"Cette dénomination correspond à 2 hôtels situés : place Vendôme, rue de Gramont."
"place/FRAN_RI_026-d5bknxp53d--1l6buwjp4lhvp","d5bknxp53d--1l6buwjp4lhvp","Grand'harpe (enseigne de la)",,
"place/FRAN_RI_026-d5bknx68cu--1d7lrdvuaqkis","d5bknx68cu--1d7lrdvuaqkis","Grand Cerf (enseigne du)",,
"place/FRAN_RI_026-d5bknwnlys-10f9lwgfmupw0","d5bknwnlys-10f9lwgfmupw0","Grand Chapeau Rouge (enseigne du)",,
"place/FRAN_RI_026-d5bknwr24n--3om7yaewjap","d5bknwr24n--3om7yaewjap","Grand Cornet (enseigne du)",,
"place/FRAN_RI_026-d5bknw999q-10lnpssv7lyw7","d5bknw999q-10lnpssv7lyw7","Grand Eperon (enseigne du)",,
"place/FRAN_RI_026-d5bknwbh0z-1ej961md0nsbt","d5bknwbh0z-1ej961md0nsbt","Grande Pie (enseigne de la)",,
"place/FRAN_RI_026-d3nzuj29og-vuq34xtxjn9l","d3nzuj29og-vuq34xtxjn9l","Grand Hôtel (hôtel garni)",,
"place/FRAN_RI_026-d5bknxg7wr--mi6umyx4x67j","d5bknxg7wr--mi6umyx4x67j","Grand Louis (petit hôtel du)",,
"place/FRAN_RI_026-d5bknwdfqb--18tbbdt89ohgt","d5bknwdfqb--18tbbdt89ohgt","Grand Marmot (enseigne du)",,
"place/FRAN_RI_026-d5bknwen23--1fzatsfztow0y","d5bknwen23--1fzatsfztow0y","Grand Monarque (enseigne du)",,
"place/FRAN_RI_026-d3nzuj34pw--1v3o4xvka8ch6","d3nzuj34pw--1v3o4xvka8ch6","Grand Monarque (maison du)",,
"place/FRAN_RI_026-d3nzuj4jt2-bvrulwt9jyvu","d3nzuj4jt2-bvrulwt9jyvu","Grand Palais",,
"place/FRAN_RI_026-d3m0cugzqri-15ktqk12f0dx2","d3m0cugzqri-15ktqk12f0dx2","Grands Augustins (couvent des)",,
"place/FRAN_RI_026-d5bknw2bv9--yimcl3ptrk57","d5bknw2bv9--yimcl3ptrk57","Grand Turc (enseigne du)",,
"place/FRAN_RI_026-d3nzuj56ve-vdi9exps4gs4","d3nzuj56ve-vdi9exps4gs4","Grange-aux-Merciers",,
"place/FRAN_RI_026-d5bknwolyq-1nuz2aiuf6wcm","d5bknwolyq-1nuz2aiuf6wcm","Grange Batelière (château de la)",,
"place/FRAN_RI_026-d3nzuj5iig--1tch0mv6jp5pn","d3nzuj5iig--1tch0mv6jp5pn","Grassins (collège des)",,
"place/FRAN_RI_026-d3m0cugjtj6--1depx6y3t73lm","d3m0cugjtj6--1depx6y3t73lm","Grenelle (abattoirs de)",,
"place/FRAN_RI_026-d5bknw8nhy--1ioxaq717cz86","d5bknw8nhy--1ioxaq717cz86","Grenelle (barrière de)",,
"place/FRAN_RI_026-d3nzuj6oz7-e3ydccocq4ka","d3nzuj6oz7-e3ydccocq4ka","Grenelle (château de)",,
"place/FRAN_RI_026-d3nzuj88t2-1hqagqo7fdpg8","d3nzuj88t2-1hqagqo7fdpg8","Grenelle (gare d'eau de)",,
"place/FRAN_RI_026-d5bknx27a9-i4i64vgeq5mh","d5bknx27a9-i4i64vgeq5mh","Grenouilles (enseigne des)",,
"place/FRAN_RI_026-d5bknwj6o2-p18mgd2a2mql","d5bknwj6o2-p18mgd2a2mql","Griffon (enseigne du)",,
"place/FRAN_RI_026-d5bknximck--pund7arvoudo","d5bknximck--pund7arvoudo","Griffon d'Or (enseigne du)",,
"place/FRAN_RI_026-d5bknw0khr--1n5jznabtsgax","d5bknw0khr--1n5jznabtsgax","Gril (enseigne du)",,
"place/FRAN_RI_026-d5bknxd2yg-1p53vx86s54mu","d5bknxd2yg-1p53vx86s54mu","Grimace (enseigne de la)",,
"place/FRAN_RI_026-d3m0cugqcuh-1lqpbi4ccosw2","d3m0cugqcuh-1lqpbi4ccosw2","Gros Caillou (pompe à feu du)",,
"place/FRAN_RI_026-d5bknxg0kx-15vz7bg5ij7gi","d5bknxg0kx-15vz7bg5ij7gi","Gros Chapelet (enseigne du)",,
"place/FRAN_RI_026-d5bknxb23i-1n6o77a6vgn88","d5bknxb23i-1n6o77a6vgn88","Gros Chenet (enseigne du)",,
"place/FRAN_RI_026-d5bknwp687-1ir21zkg96rwp","d5bknwp687-1ir21zkg96rwp","Grosse Ecritoire (enseigne de la)",,
"place/FRAN_RI_026-d5bknwteud-3a1egm3gfara","d5bknwteud-3a1egm3gfara","Grosse Nourrice (enseigne de la)",,
"place/FRAN_RI_026-d5bknxedav-7furo2byo9sl","d5bknxedav-7furo2byo9sl","Gros Tournoi (enseigne du)",,
"place/FRAN_RI_026-d3nzuj9c96--yidirox0j3gu","d3nzuj9c96--yidirox0j3gu","Guérinière (hôtel de la)",,
"place/FRAN_RI_026-d3nzuj9x5w--1dz64bp2cdgss","d3nzuj9x5w--1dz64bp2cdgss","Guette (hôtel de la)",,
"place/FRAN_RI_026-d3nzujblqi--177mmsu6f2072","d3nzujblqi--177mmsu6f2072","Guise (hôtel de)",,
"place/FRAN_RI_026-d5bknxoz23--1gfwt0401rztp","d5bknxoz23--1gfwt0401rztp","Hache (enseigne de la)",,
"place/FRAN_RI_026-d5bknwj3fn-c94q60edvdmc","d5bknwj3fn-c94q60edvdmc","Haie Verte (enseigne de la)",,
"place/FRAN_RI_026-d3nzujc8db-1img8a4llkjtb","d3nzujc8db-1img8a4llkjtb","Halles (piliers des)",,
"place/FRAN_RI_026-d3nzujck84-gbxmftxf2o7n","d3nzujck84-gbxmftxf2o7n","Halles (pilori des)",,
"place/FRAN_RI_026-d3m0cugje2z--y7ed72heufnn","d3m0cugje2z--y7ed72heufnn","Halles centrales",,"Désigne l'ensemble des halles de paris : halle aux blés, halle à la viande, halle aux draps, halle aux vins...."
"place/FRAN_RI_026-d3nzujcvnf-1wj9tbyh03700","d3nzujcvnf-1wj9tbyh03700","Hambourg (hôtel de)",,
"place/FRAN_RI_026-d3nzujd72p--1seeuwx7ebacd","d3nzujd72p--1seeuwx7ebacd","Harcourt (collège d')",,
"place/FRAN_RI_026-d3nzujdii0-u00854xaglbc","d3nzujdii0-u00854xaglbc","Harcourt (hôtel d')",,
"place/FRAN_RI_026-d5bknxnpcx--1vbl7b135sb3j","d5bknxnpcx--1vbl7b135sb3j","Harpe (enseigne de la)",,
"place/FRAN_RI_026-d5bknw6acp-6i1l9pw1i8hq","d5bknw6acp-6i1l9pw1i8hq","Haudriettes (chapelle des)",,
"place/FRAN_RI_026-d3nzujecgn-15egwinleme46","d3nzujecgn-15egwinleme46","Haudriettes (couvent des)",,
"place/FRAN_RI_026-d5bknwi3ng--hz3cl11uh7nb","d5bknwi3ng--hz3cl11uh7nb","Havré (hôtel d')","Avré (hôtel d')","Rue de Lille."
"place/FRAN_RI_026-d3nzujeoyq--1dl8doy1nx3vr","d3nzujeoyq--1dl8doy1nx3vr","Havrincourt (hôtel d')",,
"place/FRAN_RI_026-d5bknw0qqt--1emv3i00c7yzw","d5bknw0qqt--1emv3i00c7yzw","Heaume (enseigne du)",,
"place/FRAN_RI_026-d3nzujf0e1-1jbgwd5lqtkav","d3nzujf0e1-1jbgwd5lqtkav","Helder (hôtel du)",,
"place/FRAN_RI_026-d3m0cugar3r-1lgo6pkzgsbir","d3m0cugar3r-1lgo6pkzgsbir","Henri IV (lycée)","Napoléon (lycée)",
"place/FRAN_RI_026-d3m0cufyk62--vk86yle4mg1d","d3m0cufyk62--vk86yle4mg1d","Henri IV (statue)",,
"place/FRAN_RI_026-d3nzujfz3f-1gofg5k8cx9jc","d3nzujfz3f-1gofg5k8cx9jc","Héricart de Thury (hôtel)",,
"place/FRAN_RI_026-d5bknxt40c--ylsge6fp42qg","d5bknxt40c--ylsge6fp42qg","Hermine (enseigne de l')",,
"place/FRAN_RI_026-d5bknxmzx8--y4v2ghj48mgp","d5bknxmzx8--y4v2ghj48mgp","Herse (enseigne de la)",,
"place/FRAN_RI_026-d5bknx7md7-14rle0fm2zzdp","d5bknx7md7-14rle0fm2zzdp","Herse d'Or (enseigne de la)",,
"place/FRAN_RI_026-d5bknxv78m--1xn4eg7nuk1s8","d5bknxv78m--1xn4eg7nuk1s8","Hiver (enseigne de l')",,
"place/FRAN_RI_026-d3nzujgt22--1xxhdhk29m587","d3nzujgt22--1xxhdhk29m587","Holbach (hôtel d')",,
"place/FRAN_RI_026-d3nzujh5k6-heh4kaaluwgo","d3nzujh5k6-heh4kaaluwgo","Hollande (hôtel de)",,
