"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntmn7s0k--2ocem6ozg8ty","d3ntmn7s0k--2ocem6ozg8ty","Aboncourt (Moselle)","Aboncourt","arrondissement : 577 | canton : Metzervisse",,"Moselle (Lorraine, département) [d3ntb8e7dh--pmivxky46pk5]","57001","POINT(943500 6911900)","http://id.insee.fr/geo/commune/57001 | http://data.ign.fr/id/geofla/commune/57001 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/57001","Ebersviller (Moselle) [d3ntmp4ksl--3rfrnx6ei939] | Bettelainville (Moselle) [d3ntmnyj4v-2u99diseqeta] | Luttange (Moselle) [d3ntmw3l9i-kkoi7rqgiiwg] | Saint-Hubert (Moselle) [d3ntnh6adl-r9psznseiu99] | Hombourg-Budange (Moselle) [d3ntmv6ajd--1jpzii934qxij]"
"place/FRAN_RI_005-d3ntmn830c--uhwze8vlmntc","d3ntmn830c--uhwze8vlmntc","Aboncourt-sur-Seille (Moselle)","Aboncourt-sur-Seille","arrondissement : 572 | canton : Château-Salins","1er janvier 2016 : Aboncourt-sur-Seille passe de l'arrondissement de Château-Salins à l'arrondissement de Sarrebourg-Château-Salins.","Moselle (Lorraine, département) [d3ntb8e7dh--pmivxky46pk5]","57002","POINT(945100 6862500)","http://id.insee.fr/geo/commune/57002 | http://data.ign.fr/id/geofla/commune/57002 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/57002","Manhoué (Moselle) [d3ntmw7vls--1au3cymjyhty8] | Lanfroicourt (Meurthe-et-Moselle) [d3ntl6r4o2--1pxj4i3o5tu67] | Attilloncourt (Moselle) [d3ntmnkjl6-1e13ow74mjjb2] | Bioncourt (Moselle) [d3ntmo32j2--wiu7vqdancxv] | Jallaucourt (Moselle) [d3ntmvceu8--12w39y5miv1mv] | Bey-sur-Seille (Meurthe-et-Moselle) [d3ntl44wmh--1sdah7wgxaty3]"
"place/FRAN_RI_005-d3ntmn8e03--jjiv4fhvock1","d3ntmn8e03--jjiv4fhvock1","Abreschviller (Moselle)","Abreschviller","arrondissement : 575 | canton : Lorquin",,"Moselle (Lorraine, département) [d3ntb8e7dh--pmivxky46pk5]","57003","POINT(1001700 6845200)","http://id.insee.fr/geo/commune/57003 | http://data.ign.fr/id/geofla/commune/57003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/57003","Troisfontaines (Moselle) [d3ntnhw0f6-ypoupygp70vd] | Nitting (Moselle) [d3ntmwz51p-1j96m3a72xss8] | Walscheid (Moselle) [d3ntniizyc-hlyxlwaw0bez] | Voyer (Moselle) [d3ntnigtpf--19s77a6k4fam1] | Lutzelhouse (Bas-Rhin) [d3ntqukejg--1pl4uyuw1eoh0] | Vasperviller (Moselle) [d3ntni1koc-arq09a0wohp5] | Saint-Quirin (Moselle) [d3ntnhafz5--16t4hx4rv5ote]"
"place/FRAN_RI_005-d3ntmn8os3-1414exk75je84","d3ntmn8os3-1414exk75je84","Achain (Moselle)","Achain","arrondissement : 572 | canton : Château-Salins","1er janvier 2016 : Achain passe de l'arrondissement de Château-Salins à l'arrondissement de Sarrebourg-Château-Salins.","Moselle (Lorraine, département) [d3ntb8e7dh--pmivxky46pk5]","57004","POINT(963100 6874100)","http://id.insee.fr/geo/commune/57004 | http://data.ign.fr/id/geofla/commune/57004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/57004","Destry (Moselle) [d3ntmp05xd-11r4o5veko7ru] | Haboudange (Moselle) [d3ntmupf3a-raruil8lgan9] | Bellange (Moselle) [d3ntmntsmm--1mpw0drpjcrt7] | Baronville (Moselle) [d3ntmnq9g4--1cnf8cy1917ao] | Pévange (Moselle) [d3ntmx99k3--17ywkii8dl7qb] | Marthille (Moselle) [d3ntmwbr2l--1gbhu53nnlaw1] | Morhange (Moselle) [d3ntmwmi7t-16toc7a8poext]"
"place/FRAN_RI_005-d3ntmn8zrv--1hcmrudj62npt","d3ntmn8zrv--1hcmrudj62npt","Achen (Moselle)","Etting | Achen","arrondissement : 576 | canton : Rohrbach-lès-Bitche",,"Moselle (Lorraine, département) [d3ntb8e7dh--pmivxky46pk5]","57006","POINT(1005600 6890700)","http://id.insee.fr/geo/commune/57006 | http://data.ign.fr/id/geofla/commune/57006 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/57006","Woelfling-lès-Sarreguemines (Moselle) [d3ntnilqw9-oamyme9b8dbi] | Etting (Moselle) [d3ntmpbbqa--13fmzia3mkv7h] | Kalhausen (Moselle) [d3ntmvev04-vuazsnmpd8jo] | Wiesviller (Moselle) [d3ntnijlxw-13bgtjto0syp1] | Bining (Moselle) [d3ntmo2rbj--1kof16hpinjiw] | Wittring (Moselle) [d3ntnikix6--1w2f17na2cg75] | Gros-Réderching (Moselle) [d3ntmuhtbw--i3gufztfkevr]"
"place/FRAN_RI_005-d3ntmn9arn-1ndncma89o1ee","d3ntmn9arn-1ndncma89o1ee","Adaincourt (Moselle)","Adaincourt","arrondissement : 571 | canton : Faulquemont","1er janvier 2015 : Adaincourt passe de l'arrondissement de Boulay-Moselle à l'arrondissement de Forbach-Boulay-Moselle.","Moselle (Lorraine, département) [d3ntb8e7dh--pmivxky46pk5]","57007","POINT(951300 6883800)","http://id.insee.fr/geo/commune/57007 | http://data.ign.fr/id/geofla/commune/57007 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/57007","Han-sur-Nied (Moselle) [d3ntmustba-1085rnz3vd69u] | Vittoncourt (Moselle) [d3ntnie3ub--i3tgahdl4z0s] | Herny (Moselle) [d3ntmv21ho-9gl3awh0jfh1] | Rémilly (Moselle) [d3ntmxkt5n-1jkz8ftddxkjk]"
"place/FRAN_RI_005-d3ntmn9lz6--1s2spc93pbk6w","d3ntmn9lz6--1s2spc93pbk6w","Adelange (Moselle)","Aubouée | Adelange","arrondissement : 571 | canton : Faulquemont","1er janvier 2015 : Adelange passe de l'arrondissement de Boulay-Moselle à l'arrondissement de Forbach-Boulay-Moselle.","Moselle (Lorraine, département) [d3ntb8e7dh--pmivxky46pk5]","57008","POINT(964100 6884400)","http://id.insee.fr/geo/commune/57008 | http://data.ign.fr/id/geofla/commune/57008 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/57008","Faulquemont (Moselle) [d3ntmped0o-13nqibcqljjdi] | Eincheville (Moselle) [d3ntmp5j2g-f7strz1c7qi0] | Boustroff (Moselle) [d3ntmoae5q--1muqi3oh8qz55] | Vahl-lès-Faulquemont (Moselle) [d3ntnhxv8t-esy6sh4qdvx3]"
"place/FRAN_RI_005-d3ntmnbgst-cw4vt6ltoonw","d3ntmnbgst-cw4vt6ltoonw","Ajoncourt (Moselle)","Ajoncourt","arrondissement : 572 | canton : Delme","1er janvier 2016 : Ajoncourt passe de l'arrondissement de Château-Salins à l'arrondissement de Sarrebourg-Château-Salins.","Moselle (Lorraine, département) [d3ntb8e7dh--pmivxky46pk5]","57009","POINT(941300 6865500)","http://id.insee.fr/geo/commune/57009 | http://data.ign.fr/id/geofla/commune/57009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/57009","Aulnois-sur-Seille (Moselle) [d3ntmnmxdq-fhfm09m1qr6s] | Fossieux (Moselle) [d3ntmpm0i4-1mdsfhas1r38d] | Chenicourt (Meurthe-et-Moselle) [d3ntl4qk35-95azdjx0nvc7] | Arraye-et-Han (Meurthe-et-Moselle) [d3ntl3j1ty--72yzzkc5adf1]"
"place/FRAN_RI_005-d3ntmnbsvd-1jtgsitogeocb","d3ntmnbsvd-1jtgsitogeocb","Alaincourt-la-Côte (Moselle)","Alaincourt-la-Côte","arrondissement : 572 | canton : Delme","1er janvier 2016 : Alaincourt-la-Côte passe de l'arrondissement de Château-Salins à l'arrondissement de Sarrebourg-Château-Salins.","Moselle (Lorraine, département) [d3ntb8e7dh--pmivxky46pk5]","57010","POINT(944800 6871600)","http://id.insee.fr/geo/commune/57010 | http://data.ign.fr/id/geofla/commune/57010 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/57010","Craincourt (Moselle) [d3ntmoumr0--11wf4d0puo3f6] | Puzieux (Moselle) [d3ntmxgs33--1j68gmvsd04k] | Thézey-Saint-Martin (Meurthe-et-Moselle) [d3ntl9irsl-1xl66or663dal] | Liocourt (Moselle) [d3ntmvx4w3--11nekqrj0uvwu] | Xocourt (Moselle) [d3ntnina2u-ghvf2va4rugi] | Foville (Moselle) [d3ntmu61yz-jcub8bkix73m]"
"place/FRAN_RI_005-d3ntmnc42w-uwr3ai9ml5re","d3ntmnc42w-uwr3ai9ml5re","Albestroff (Moselle)","Albestroff","arrondissement : 572 | canton : Albestroff","1er janvier 2016 : Albestroff passe de l'arrondissement de Château-Salins à l'arrondissement de Sarrebourg-Château-Salins.","Moselle (Lorraine, département) [d3ntb8e7dh--pmivxky46pk5]","57011","POINT(982400 6877100)","http://id.insee.fr/geo/commune/57011 | http://data.ign.fr/id/geofla/commune/57011 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/57011","Munster (Moselle) [d3ntmwqifc-1r51db6odio8m] | Réning (Moselle) [d3ntmxlp9x--1l3f7odkam9hb] | Nébing (Moselle) [d3ntmwr4ue-1ix9n5a5n9wwn] | Montdidier (Moselle) [d3ntmwkz17-17kfkhtr87491] | Givrycourt (Moselle) [d3ntmuc9xr-17if20y1tcx4j] | Torcheville (Moselle) [d3ntnhugla-1d1hbqc41ifui] | Insming (Moselle) [d3ntmvbi2o-1pvlr1sibsc8a] | Léning (Moselle) [d3ntmvt4oj--ac5ucj9ocnym] | Vibersviller (Moselle) [d3ntni5ul3--1s5sldy3h2h6x]"
