"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntiiktwv-u80mepul84qg","d3ntiiktwv-u80mepul84qg","Aire-sur-l'Adour (Landes)","Saint-Esprit-et-faubourg | Saint-Esprit | Aire-sur-l'Adour","arrondissement : 402 | canton : Aire-sur-l'Adour","9 avril 1962 : Aire devient Aire-sur-l'Adour.","Landes (Aquitaine, département) [d3ntb81vr3-1j3p6bkgmyobh]","40001","POINT(437000 6294700)","http://id.insee.fr/geo/commune/40001 | http://data.ign.fr/id/geofla/commune/40001 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/40001","Cazères-sur-l'Adour (Landes) [d3ntijdffb--18asp0lf7c7wa] | Duhort-Bachen (Landes) [d3ntijhctz--y44ajls99wry] | Bahus-Soubiran (Landes) [d3ntiitiou-rejf4byduvgn] | Latrille (Landes) [d3ntik20q8-1lho2jbspubki] | Sorbets (Landes) [d3ntilr3fo-qblbnx5yhn4x] | Barcelonne-du-Gers (Gers) [d3nthbkh8s-bx55ei65ntin] | Bernède (Gers) [d3nthbstin-1pm8yxishdfe7] | Lannux (Gers) [d3nthd9kt9--qefsbtw3q8hh] | Le Houga (Gers) [d3nthcwtvx--1ersg53weeawd] | Vergoignan (Gers) [d3nthg6lie-57e3go7cz1lj] | Ségos (Gers) [d3nthftrcn-zydmumpvirh]"
"place/FRAN_RI_005-d3ntiil5jx-5lp5kxgb63pk","d3ntiil5jx-5lp5kxgb63pk","Amou (Landes)","Bachen | Amou | Amon","arrondissement : 401 | canton : Amou",,"Landes (Aquitaine, département) [d3ntb81vr3-1j3p6bkgmyobh]","40002","POINT(397400 6284300)","http://id.insee.fr/geo/commune/40002 | http://data.ign.fr/id/geofla/commune/40002 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/40002","Bonnegarde (Landes) [d3ntij21fj-t5bhtqymbzye] | Arsague (Landes) [d3ntiinkus-2vdx3ck40fws] | Nassiet (Landes) [d3ntikpu0b-xssadvk8lw7x] | Castel-Sarrazin (Landes) [d3ntijblw8-nv3zl82vx0e5] | Gaujacq (Landes) [d3ntijng9s-cvedi5q72mwj] | Brassempouy (Landes) [d3ntij45iu--qjwgpn2l4hyu] | Bonnut (Pyrénées-Atlantiques) [d3ntpnfqga-169nj89h6ognq]"
"place/FRAN_RI_005-d3ntiilgbx-1dwqvj02wsf3g","d3ntiilgbx-1dwqvj02wsf3g","Angoumé (Landes)","Bahus | Angoumé","arrondissement : 401 | canton : Dax-Nord",,"Landes (Aquitaine, département) [d3ntb81vr3-1j3p6bkgmyobh]","40003","POINT(366500 6296400)","http://id.insee.fr/geo/commune/40003 | http://data.ign.fr/id/geofla/commune/40003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/40003","Magescq (Landes) [d3ntikd948-16s4opof85u14] | Mées (Landes) [d3ntikhczp--ukp00pnlcwuk] | Saint-Paul-lès-Dax (Landes) [d3ntilhtj7-1e71t84dujnuh] | Rivière-Saas-et-Gourby (Landes) [d3ntil5yxw--1aip8818pp9f] | Tercis-les-Bains (Landes) [d3ntilufi2--11qjw5wmg48tv]"
"place/FRAN_RI_005-d3ntiilrbp--v076vinbzu5c","d3ntiilrbp--v076vinbzu5c","Angresse (Landes)","Angresse","arrondissement : 401 | canton : Soustons",,"Landes (Aquitaine, département) [d3ntb81vr3-1j3p6bkgmyobh]","40004","POINT(347300 6294100)","http://id.insee.fr/geo/commune/40004 | http://data.ign.fr/id/geofla/commune/40004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/40004","Saint-Vincent-de-Tyrosse (Landes) [d3ntiljyhk-ym1g7klxliu9] | Seignosse (Landes) [d3ntilnrss--1moy3j4qnutzk] | Capbreton (Landes) [d3ntij82xi--1ed1kzs8v9s0b] | Soorts-Hossegor (Landes) [d3ntilqsfw-1i55wfxdjk057] | Saubion (Landes) [d3ntilm8m7-nmb8i510oe7l] | Bénesse-Maremne (Landes) [d3ntiiye5l--1way0xgbwv9gw]"
"place/FRAN_RI_005-d3ntiim1vy--geqh64qxtic6","d3ntiim1vy--geqh64qxtic6","Arboucave (Landes)","Arboucave","arrondissement : 402 | canton : Geaune",,"Landes (Aquitaine, département) [d3ntb81vr3-1j3p6bkgmyobh]","40005","POINT(422600 6285300)","http://id.insee.fr/geo/commune/40005 | http://data.ign.fr/id/geofla/commune/40005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/40005","Payros-Cazautets (Landes) [d3ntikvb8u--36o8tsw7wg4e] | Puyol-Cazalet (Landes) [d3ntil4571-r73hazsztcij] | Samadet (Landes) [d3ntilkk9c-1rft06mzh51rn] | Mant (Landes) [d3ntikf2fk--kxpz17njxxyh] | Urgons (Landes) [d3ntilwko7-wmgnofl4hzuv] | Lacajunte (Landes) [d3ntijyc5q--1lhjsizhze42k] | Malaussanne (Pyrénées-Atlantiques) [d3ntppttrm--1k87lvphsucvi]"
"place/FRAN_RI_005-d3ntiimcvp--15bg6ei4sr2w6","d3ntiimcvp--15bg6ei4sr2w6","Arengosse (Landes)","Bargues | Arengosse","arrondissement : 402 | canton : Morcenx",,"Landes (Aquitaine, département) [d3ntb81vr3-1j3p6bkgmyobh]","40006","POINT(396400 6329800)","http://id.insee.fr/geo/commune/40006 | http://data.ign.fr/id/geofla/commune/40006 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/40006","Morcenx (Landes) [d3ntiknex7-r0yd2rfrurdm] | Villenave (Landes) [d3ntilzwiu--opfakonn4ncn] | Luglon (Landes) [d3ntikcbx6--1svvoi323bk3c] | Ygos-Saint-Saturnin (Landes) [d3ntim0ti5-vhmgej7jocl6] | Sabres (Landes) [d3ntil6kxf--1vmwlfvgf5pid]"
"place/FRAN_RI_005-d3ntiimo38-bl76v1ieil6h","d3ntiimo38-bl76v1ieil6h","Argelos (Landes)","Baudiets | Bandiet | Argelos","arrondissement : 401 | canton : Amou",,"Landes (Aquitaine, département) [d3ntb81vr3-1j3p6bkgmyobh]","40007","POINT(406800 6282700)","http://id.insee.fr/geo/commune/40007 | http://data.ign.fr/id/geofla/commune/40007 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/40007","Labastide-Chalosse (Landes) [d3ntijv1ln-rmjx8e1w3sws] | Momuy (Landes) [d3ntikkoml-1jgiggoe8694w] | Beyries (Landes) [d3ntiizwwo--16gw5olrdccag] | Poudenx (Landes) [d3ntikzvi2--gp3thjhqdm0r] | Lacrabe (Landes) [d3ntijyy59--yxbh4rdds2in] | Castaignos-Souslens (Landes) [d3ntij9b4c--65r7qr7u9arc] | Bassercles (Landes) [d3ntiiv185--rkqlzhq4id8t]"
"place/FRAN_RI_005-d3ntiimyv9-1jw8wt25z0ul9","d3ntiimyv9-1jw8wt25z0ul9","Argelouse (Landes)","Beaussut | Beaussie | Argelouze | Argelouse","arrondissement : 402 | canton : Sore",,"Landes (Aquitaine, département) [d3ntb81vr3-1j3p6bkgmyobh]","40008","POINT(409500 6369700)","http://id.insee.fr/geo/commune/40008 | http://data.ign.fr/id/geofla/commune/40008 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/40008","Saint-Symphorien (Gironde) [d3nthl83jt--1ceiq5mcq0ksp] | Sore (Landes) [d3ntilrpf7--14hiljljx04hu] | Belhade (Landes) [d3ntiix6ea--1i70n2yv2a744]"
"place/FRAN_RI_005-d3ntiin9v0--awp6ffi9fivw","d3ntiin9v0--awp6ffi9fivw","Arjuzanx (Landes)","Arjuzanx","arrondissement : 402 | canton : Morcenx",,,"40009","POINT(390900 6331200)","http://id.insee.fr/geo/commune/40009 | http://data.ign.fr/id/geofla/commune/40009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/40009",
"place/FRAN_RI_005-d3ntiinkus-2vdx3ck40fws","d3ntiinkus-2vdx3ck40fws","Arsague (Landes)","Cambran | Arsague | Arsagne","arrondissement : 401 | canton : Amou",,"Landes (Aquitaine, département) [d3ntb81vr3-1j3p6bkgmyobh]","40011","POINT(393400 6283000)","http://id.insee.fr/geo/commune/40011 | http://data.ign.fr/id/geofla/commune/40011 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/40011","Tilh (Landes) [d3ntilv1x4-xcrm7qshnor0] | Amou (Landes) [d3ntiil5jx-5lp5kxgb63pk] | Castel-Sarrazin (Landes) [d3ntijblw8-nv3zl82vx0e5] | Bonnut (Pyrénées-Atlantiques) [d3ntpnfqga-169nj89h6ognq]"
