"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntozx24f--1efal243q83gh","d3ntozx24f--1efal243q83gh","Alençon (Orne)","Argentelles | Alençon","arrondissement : 611",,"Orne (Basse-Normandie, département) [d3ntb8hf4o-hghezh7crum4]","61001","POINT(484900 6818300)","http://id.insee.fr/geo/commune/61001 | http://data.ign.fr/id/geofla/commune/61001 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/61001","Damigny (Orne) [d3ntp1ivs4-c35fikwwdlkj] | Valframbert (Orne) [d3ntp5l6jo--l0bgadtw4u6h] | Condé-sur-Sarthe (Orne) [d3ntp1akst--8zedt4k8g9iw] | Cerisé (Orne) [d3ntp0wmbx-1j81iznh28bnp] | Saint-Germain-du-Corbéis (Orne) [d3ntp4c5r6-18j88uij18bcy] | Saint-Paterne (Sarthe) [d3ntsbdn7j-1ugrw0352by6r] | Arçonnay (Sarthe) [d3nts6rz3x--y4tw551bpued]"
"place/FRAN_RI_005-d3ntozxdjq-1w134g0t0056h","d3ntozxdjq-1w134g0t0056h","Almenêches (Orne)","les Astelles | Atelles | Almenesches | Almenêches","arrondissement : 612 | canton : Mortrée","1er janvier 2017 : Almenêches passe de l'arrondissement d'Argentan à l'arrondissement d'Alençon.Le Château-d'Almenêches passe de l'arrondissement d'Argentan à l'arrondissement d'Alençon.","Orne (Basse-Normandie, département) [d3ntb8hf4o-hghezh7crum4]","61002","POINT(487300 6848000)","http://id.insee.fr/geo/commune/61002 | http://data.ign.fr/id/geofla/commune/61002 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/61002","Le Château-d'Almenêches (Orne) [d3ntp15044--1t5yh2jav4tgg] | Nonant-le-Pin (Orne) [d3ntp3elbt-1epkphm1utwil] | Aunou-le-Faucon (Orne) [d3ntp02zqq--25xi97wdnrrn] | Médavy (Orne) [d3ntp2vb0e-1nqvfzk6ovze5] | Silly-en-Gouffern (Orne) [d3ntp5d9ks-kdwr9wngoi1m] | Boissei-la-Lande (Orne) [d3ntp0mr37-17lstcsv60s0] | Chailloué (Orne) [d3ntp0xuy9--6pnxyz1ftxzv]"
"place/FRAN_RI_005-d3ntozxojh--1px11po9orb9n","d3ntozxojh--1px11po9orb9n","Anceins (Orne)","Anceins","arrondissement : 612 | canton : La Ferté-Frênel",,,"61003","POINT(516700 6865500)","http://id.insee.fr/geo/commune/61003 | http://data.ign.fr/id/geofla/commune/61003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/61003",
"place/FRAN_RI_005-d3ntozy06j--sj742h4757gq","d3ntozy06j--sj742h4757gq","Antoigny (Orne)","Antoigny","arrondissement : 611 | canton : La Ferté-Macé",,,"61004","POINT(451500 6830100)","http://id.insee.fr/geo/commune/61004 | http://data.ign.fr/id/geofla/commune/61004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/61004",
"place/FRAN_RI_005-d3ntp006fh-m408cg3ti70s","d3ntp006fh-m408cg3ti70s","Appenai-sous-Bellême (Orne)","Belhotel | Appenay | Appenai-sous-Bellême","arrondissement : 613 | canton : Bellême",,"Orne (Basse-Normandie, département) [d3ntb8hf4o-hghezh7crum4]","61005","POINT(519000 6807700)","http://id.insee.fr/geo/commune/61005 | http://data.ign.fr/id/geofla/commune/61005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/61005","Igé (Orne) [d3ntp27xok-16i6hyicduwq4] | Dame-Marie (Orne) [d3ntp1iksd--z2y2y99v1ika] | Saint-Martin-du-Vieux-Bellême (Orne) [d3ntp4sxyu-1b75jj9wfa3ck] | Le Gué-de-la-Chaîne (Orne) [d3ntp232fk--fhoj8auqtyg3] | La Chapelle-Souëf (Orne) [d3ntp14dwt--erca17ussuuj]"
"place/FRAN_RI_005-d3ntp00iaa-w4yamey34vk7","d3ntp00iaa-w4yamey34vk7","Argentan (Orne)","Argentan","arrondissement : 612",,"Orne (Basse-Normandie, département) [d3ntb8hf4o-hghezh7crum4]","61006","POINT(477900 6853600)","http://id.insee.fr/geo/commune/61006 | http://data.ign.fr/id/geofla/commune/61006 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/61006","Sarceaux (Orne) [d3ntp583c0-xswszjnez1l1] | Juvigny-sur-Orne (Orne) [d3ntp29j8j--1ndz4dsazkdyn] | Sévigny (Orne) [d3ntp5beyw--1q7pxixhs5kcv] | Saint-Christophe-le-Jajolet (Orne) [d3ntp44ob0-1ucul3d7c9p0g] | Sai (Orne) [d3ntp3y5ry--pcda4ztapldc] | Moulins-sur-Orne (Orne) [d3ntp3a3fy--1u9tc00w6s8sn] | Silly-en-Gouffern (Orne) [d3ntp5d9ks-kdwr9wngoi1m]"
"place/FRAN_RI_005-d3ntp00tpk--jr16d0aqyysn","d3ntp00tpk--jr16d0aqyysn","Athis-de-l'Orne (Orne)","Athis-de-l'Orne","arrondissement : 612 | canton : Athis-de-l'Orne","15 février 1968 : | Athis devient Athis-de-l'Orne. 1er janvier 2016 : Athis-de-l'Orne devient commune déléguée (chef-lieu) au sein d'Athis-Val de Rouvre (commune nouvelle).Bréel devient commune déléguée au sein d'Athis-Val de Rouvre (commune nouvelle).Création de la commune nouvelle d'Athis-Val de Rouvre en lieu et place des communes d'Athis-de-l'Orne, de Bréel, de La Carneille, de Notre-Dame-du-Rocher, de Ronfeugerai, de Ségrie-Fontaine, de Taillebois et des Tourailles devenues déléguées.La Carneille devient commune déléguée au sein d'Athis-Val de Rouvre (commune nouvelle).Les Tourailles devient commune déléguée au sein d'Athis-Val de Rouvre (commune nouvelle).Notre-Dame-du-Rocher devient commune déléguée au sein d'Athis-Val de Rouvre (commune nouvelle).Ronfeugerai devient commune déléguée au sein d'Athis-Val de Rouvre (commune nouvelle).Ségrie-Fontaine devient commune déléguée au sein d'Athis-Val de Rouvre (commune nouvelle).Taillebois devient commune déléguée au sein d'Athis-Val de Rouvre (commune nouvelle).","Orne (Basse-Normandie, département) [d3ntb8hf4o-hghezh7crum4]","61007","POINT(442900 6862400)","http://id.insee.fr/geo/commune/61007 | http://data.ign.fr/id/geofla/commune/61007 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/61007","Landigou (Orne) [d3ntp2e5fl--16ahya6yogill] | Saint-Philbert-sur-Orne (Orne) [d3ntp4zrhn-120m69ith1o5t] | Sainte-Honorine-la-Chardonne (Orne) [d3ntp4fwp0--1k2euinhvta3i] | Montilly-sur-Noireau (Orne) [d3ntp3630n-1duffy4hontnc] | Durcet (Orne) [d3ntp1kftr-18xvg2fzuuugr] | Ménil-Hubert-sur-Orne (Orne) [d3ntp2zxf8-c5l9llfjjp7c] | Sainte-Honorine-la-Guillaume (Orne) [d3ntp4g7wj--6dguyjz4wyfd] | Sainte-Opportune (Orne) [d3ntp4xb40-720pm3r9pjd] | Putanges-Pont-Ecrepin (Orne) [d3ntp3rc95--1djubtauqgbiq] | La Lande-Saint-Siméon (Orne) [d3ntp2djg2-5a9i1bl20wul] | Flers (Orne) [d3ntp1tg10-u0or1h8bkekl] | Saint-Pierre-du-Regard (Orne) [d3ntp51tuw--13i6wcz0bx5bc] | Aubusson (Orne) [d3ntp021we--1xxasbkbiwm7r] | La Selle-la-Forge (Orne) [d3ntp59e3y-uukkuwo5h6g5] | Craménil (Orne) [d3ntp1h169--jv2d7vxlto1y]"
"place/FRAN_RI_005-d3ntp014pc--bjemu8xdbw9k","d3ntp014pc--bjemu8xdbw9k","Aube (Orne)","Aube | Brétignolles","arrondissement : 613 | canton : L'Aigle-Ouest",,"Orne (Basse-Normandie, département) [d3ntb8hf4o-hghezh7crum4]","61008","POINT(519600 6851600)","http://id.insee.fr/geo/commune/61008 | http://data.ign.fr/id/geofla/commune/61008 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/61008","Saint-Hilaire-sur-Risle (Orne) [d3ntp4fl9q-153u6rud0t5c3] | Ecorcei (Orne) [d3ntp1msr9-t0oyzcriki2p] | Le Ménil-Bérard (Orne) [d3ntp2w8f8--2t93i4nko7jj] | Rai (Orne) [d3ntp3s9nz-p2axe46khxuw] | Beaufai (Orne) [d3ntp08urx-kh87n0ulcsjn] | Brethel (Orne) [d3ntp0q5b7-1tmoz41i7bq1z]"
"place/FRAN_RI_005-d3ntp01fp3--10idouruz2ix5","d3ntp01fp3--10idouruz2ix5","Aubry-en-Exmes (Orne)","Sainte-Eugénie | Carnettes | Bonmesnil | Aubry-en-Exmes","arrondissement : 612 | canton : Trun",,,"61009","POINT(484600 6858700)","http://id.insee.fr/geo/commune/61009 | http://data.ign.fr/id/geofla/commune/61009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/61009",
"place/FRAN_RI_005-d3ntp01qwm-1fr0v6v2bm3ih","d3ntp01qwm-1fr0v6v2bm3ih","Aubry-le-Panthou (Orne)","Saint-Denis-des-Ifs | Aubry-le-Panton | Aubry-le-Panthou","arrondissement : 612 | canton : Vimoutiers","1er janvier 2017 : Aubry-le-Panthou passe de l'arrondissement d'Argentan à l'arrondissement de Mortagne-au-Perche.","Orne (Basse-Normandie, département) [d3ntb8hf4o-hghezh7crum4]","61010","POINT(496900 6864700)","http://id.insee.fr/geo/commune/61010 | http://data.ign.fr/id/geofla/commune/61010 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/61010","Roiville (Orne) [d3ntp3vpeb--1c489enfnhvxc] | Fresnay-le-Samson (Orne) [d3ntp1xh3l--1mafpvsb1y7bz] | Neuville-sur-Touques (Orne) [d3ntp3do4r--1qaiub54y9c9g] | Silly-en-Gouffern (Orne) [d3ntp5d9ks-kdwr9wngoi1m] | La Fresnaie-Fayel (Orne) [d3ntp1wugs--l6mxyg47bzty] | Mardilly (Orne) [d3ntp2udtc--10tbbkfid1whh]"
