"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntr57ahq--gyckndjjxmy5","d3ntr57ahq--gyckndjjxmy5","Abelcourt (Haute-Saône)","Le Liomont | Abelcourt | Abecourt","arrondissement : 701 | canton : Saulx",,"Haute-Saône (Franche-Comté, département) [d5bdp11m4k--98gzyn8m8woz]","70001","POINT(946300 6747900)","http://id.insee.fr/geo/commune/70001 | http://data.ign.fr/id/geofla/commune/70001 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/70001","Villers-lès-Luxeuil (Haute-Saône) [d3ntrz7wqc-puwx26040zik] | Ormoiche (Haute-Saône) [d3ntrp4sca--5gv0xeo5l2y2] | Briaucourt (Haute-Saône) [d3ntr6er8m--1qvigerfusvup] | Sainte-Marie-en-Chaux (Haute-Saône) [d3ntrwsbyi--njg12ldgc4kf] | Francalmont (Haute-Saône) [d3ntrnoygh-164cijm70977l] | Velorcey (Haute-Saône) [d3ntrymak8--jhuyfv5sl5t8]"
"place/FRAN_RI_005-d3ntr57lp9-wqlewo05umqw","d3ntr57lp9-wqlewo05umqw","Aboncourt-Gesincourt (Haute-Saône)","Gesincourt | Aboncourt-Gesincourt","arrondissement : 702 | canton : Combeaufontaine","24 avril 1964 : Aboncourt devient Aboncourt-Gesincourt suite à sa fusion avec Gesincourt.Gesincourt est rattachée à Aboncourt (fusion simple) qui devient Aboncourt-Gesincourt.","Haute-Saône (Franche-Comté, département) [d5bdp11m4k--98gzyn8m8woz]","70002","POINT(922600 6745400)","http://id.insee.fr/geo/commune/70002 | http://data.ign.fr/id/geofla/commune/70002 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/70002","Fouchécourt (Haute-Saône) [d3ntrnnq9o--17g6uxk8zjbg8] | Lambrey (Haute-Saône) [d3ntro68s0--ilp9j3acwchz] | Arbecey (Haute-Saône) [d3ntr5gawr-bnhvny4nvwrg] | Gevigney-et-Mercey (Haute-Saône) [d3ntrnx72g-1wwbb5wudjio2] | Purgerot (Haute-Saône) [d3ntrpey58--1dmbntmkapt5u]"
"place/FRAN_RI_005-d3ntr58s60-d2ntbkzfi72w","d3ntr58s60-d2ntbkzfi72w","Achey (Haute-Saône)","Achey","arrondissement : 702 | canton : Dampierre-sur-Salon",,"Haute-Saône (Franche-Comté, département) [d5bdp11m4k--98gzyn8m8woz]","70003","POINT(896000 6722500)","http://id.insee.fr/geo/commune/70003 | http://data.ign.fr/id/geofla/commune/70003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/70003","Montot (Haute-Saône) [d3ntrovecd-79o9by4wz4cl] | Framont (Haute-Saône) [d3ntrnpwil-e0vx3yyw3h4k] | Courtesoult-et-Gatey (Haute-Saône) [d3ntr7bbvs--11jmgkly640cw] | Delain (Haute-Saône) [d3ntr7hpgc-18ct14vizv3s9]"
"place/FRAN_RI_005-d3ntr5940t-1gu3fcr58ey0c","d3ntr5940t-1gu3fcr58ey0c","Adelans-et-le-Val-de-Bithaine (Haute-Saône)","Bithaine-et-le-Val | Auton | Adelans-et-le-Val-de-Bithaine | Adelans","arrondissement : 701","1er janvier 1994 : Adelans devient Adelans-et-le-Val-de-Bithaine suite à sa fusion avec Bithaine-et-le-Val.Bithaine-et-le-Val est rattachée à Adelans (fusion simple) qui devient Adelans-et-le-Val-de-Bithaine.","Haute-Saône (Franche-Comté, département) [d5bdp11m4k--98gzyn8m8woz]","70004","POINT(954700 6739800)","http://id.insee.fr/geo/commune/70004 | http://data.ign.fr/id/geofla/commune/70004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/70004","Genevreuille (Haute-Saône) [d3ntrnvxl2--18jlq4azuzimp] | Genevrey (Haute-Saône) [d3ntrnw983-1alaw7bsquwyy] | Dambenoît-lès-Colombe (Haute-Saône) [d3ntr7eqjb--woy51g94ly8s] | La Creuse (Haute-Saône) [d3ntr7c9al-8xtuqhdmywm7] | Amblans-et-Velotte (Haute-Saône) [d3ntr5c8bu-1wlzj6sbdx7pg] | Quers (Haute-Saône) [d3ntrpgime--1oklbadix6ni7] | Châteney (Haute-Saône) [d3ntr6twlr-1n73tty2i7rbs] | Châtenois (Haute-Saône) [d3ntr6u7lj-vrjnibcnsz8g] | Bouhans-lès-Lure (Haute-Saône) [d3ntr68luy-5j12kjbmxifc]"
"place/FRAN_RI_005-d3ntr59fg4--18r2jwktpl36e","d3ntr59fg4--18r2jwktpl36e","Aillevans (Haute-Saône)","Oricourt | Aillevans","arrondissement : 701 | canton : Villersexel",,"Haute-Saône (Franche-Comté, département) [d5bdp11m4k--98gzyn8m8woz]","70005","POINT(956500 6726700)","http://id.insee.fr/geo/commune/70005 | http://data.ign.fr/id/geofla/commune/70005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/70005","Oricourt (Haute-Saône) [d3ntrp464z--hgxhrsm6d17c] | Longevelle (Haute-Saône) [d3ntroayn0-1k9zk1wz4u13i] | Les Aynans (Haute-Saône) [d3ntr5mxbg--wk4d1hlesoi1] | Villersexel (Haute-Saône) [d3ntrz6y0y--1o49lxl5qd9yr] | Oppenans (Haute-Saône) [d3ntrp3tun--1rre19rh40m9u] | Saint-Sulpice (Haute-Saône) [d3ntrwum34--1x16crxkpf3xh] | Arpenans (Haute-Saône) [d3ntr5hjym--ab6r248q3os9]"
"place/FRAN_RI_005-d3ntr59qnn--xs85vl3vdth3","d3ntr59qnn--xs85vl3vdth3","Aillevillers-et-Lyaumont (Haute-Saône)","Lyaumont | Aillevillers-et-Lyaumont | Aillevillers","arrondissement : 701 | canton : Saint-Loup-sur-Semouse",,"Haute-Saône (Franche-Comté, département) [d5bdp11m4k--98gzyn8m8woz]","70006","POINT(949000 6763000)","http://id.insee.fr/geo/commune/70006 | http://data.ign.fr/id/geofla/commune/70006 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/70006","Saint-Loup-sur-Semouse (Haute-Saône) [d3ntrwfz9b-iy2id8kqvhd3] | Fougerolles (Haute-Saône) [d3ntrno19f-62vlsfarfqt8] | Magnoncourt (Haute-Saône) [d3ntrodmci--qxizon8yrxwq] | Fleurey-lès-Saint-Loup (Haute-Saône) [d3ntrnlixx-nv356y6h9rlb] | La Vaivre (Haute-Saône) [d3ntry444f-1oytnj86j3r0y] | Bouligney (Haute-Saône) [d3ntr69828-1ou7wtf5ti5kk] | Corbenay (Haute-Saône) [d3ntr76s22--1qj7otj3hti5c] | Plombières-les-Bains (Vosges) [d3ntwzolhx-uko6atgxb3z9] | Fontenoy-le-Château (Vosges) [d3ntwxcofj--q97zmfm8zfzx] | Trémonzey (Vosges) [d3ntx1n1rr-1i36yy2b8wk7y] | Le Clerjus (Vosges) [d3ntwwaw1a-1o9fz3aiaha07]"
"place/FRAN_RI_005-d3ntr5a22x-1o79z7gzooai6","d3ntr5a22x-1o79z7gzooai6","Ailloncourt (Haute-Saône)","Argirey | Ailloncourt","arrondissement : 701 | canton : Saint-Sauveur",,"Haute-Saône (Franche-Comté, département) [d5bdp11m4k--98gzyn8m8woz]","70007","POINT(953700 6744800)","http://id.insee.fr/geo/commune/70007 | http://data.ign.fr/id/geofla/commune/70007 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/70007","Citers (Haute-Saône) [d3ntr6zpp3-e35ca8ye3c54] | La Chapelle-lès-Luxeuil (Haute-Saône) [d3ntr6poum--swj5v14gqadm] | Esboz-Brest (Haute-Saône) [d3ntrne9on-1bg2t14roxjb1] | Dambenoît-lès-Colombe (Haute-Saône) [d3ntr7eqjb--woy51g94ly8s] | Brotte-lès-Luxeuil (Haute-Saône) [d3ntr6f2g5--9yv359ron9r5]"
"place/FRAN_RI_005-d3ntr5ad2o-12kj0gv749adk","d3ntr5ad2o-12kj0gv749adk","Ainvelle (Haute-Saône)","Ainvelle","arrondissement : 701 | canton : Saint-Loup-sur-Semouse",,"Haute-Saône (Franche-Comté, département) [d5bdp11m4k--98gzyn8m8woz]","70008","POINT(943000 6754500)","http://id.insee.fr/geo/commune/70008 | http://data.ign.fr/id/geofla/commune/70008 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/70008","Saint-Loup-sur-Semouse (Haute-Saône) [d3ntrwfz9b-iy2id8kqvhd3] | La Pisseure (Haute-Saône) [d3ntrp9lv7-17difne2lrj8o] | Briaucourt (Haute-Saône) [d3ntr6er8m--1qvigerfusvup] | Plainemont (Haute-Saône) [d3ntrp9wn7-flao52sgs7hq] | Francalmont (Haute-Saône) [d3ntrnoygh-164cijm70977l]"
"place/FRAN_RI_005-d3ntr5aohz--1sqqjtzw5ccb1","d3ntr5aohz--1sqqjtzw5ccb1","Aisey-et-Richecourt (Haute-Saône)","Aisey-et-Richecourt | Aisey-et-Richecourt","arrondissement : 702 | canton : Jussey",,"Haute-Saône (Franche-Comté, département) [d5bdp11m4k--98gzyn8m8woz]","70009","POINT(920700 6758400)","http://id.insee.fr/geo/commune/70009 | http://data.ign.fr/id/geofla/commune/70009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/70009","Villars-le-Pautel (Haute-Saône) [d3ntrz4zr5--gu11eszputpi] | Bourbévelle (Haute-Saône) [d3ntr6a5wk--1iw864oprm5pq] | Ormoy (Haute-Saône) [d3ntrp53jt-yokzk6yf3avg] | Corre (Haute-Saône) [d3ntr78cj8--qrmspv9pvavi] | Ranzevelle (Haute-Saône) [d3ntrphr8r-1nivd14111i21] | Betaucourt (Haute-Saône) [d3ntr63avg--1nvys523w2fq1]"
"place/FRAN_RI_005-d3ntr5azpi--17cd10fzygqeb","d3ntr5azpi--17cd10fzygqeb","Alaincourt (Haute-Saône)","Allaincourt","arrondissement : 701 | canton : Vauvillers",,"Haute-Saône (Franche-Comté, département) [d5bdp11m4k--98gzyn8m8woz]","70010","POINT(931500 6764700)","http://id.insee.fr/geo/commune/70010 | http://data.ign.fr/id/geofla/commune/70010 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/70010","Pont-du-Bois (Haute-Saône) [d3ntrpc2w4-1pl16acqssri1] | Vauvillers (Haute-Saône) [d3ntryfx7f-1x5hkjlivkrjd] | Selles (Haute-Saône) [d3ntrwy5hd-1h5o78xqo035r] | Montdoré (Haute-Saône) [d3ntrosl8v-zpnz59h9bz5e]"
