"URI (segment de base  http://data.archives-nationales.culture.gouv.fr/","Identifiant de la ville ou du territoire dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Date de début  d’existence (rico:beginningDate)","Date de fin  d’existence (rico:endDate)","Description (rico:descriptiveNote)","Nom et id du pays dans lequel la ville ou le territoire est situé","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Notes sur les modifications effectuées pour ce lieu (skos:changeNote)"
"place/FRAN_RI_005-d3m08zpxah1-190bwee41vjy9","d3m08zpxah1-190bwee41vjy9","Aarau (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m090098dz-10e3syl2u14cw","d3m090098dz-10e3syl2u14cw","Aarschot (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zpbqt4--1mlun66c3s1bp","d3m08zpbqt4--1mlun66c3s1bp","Aberdeen (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08zmsonn-c08kv9i9ersn","d3m08zmsonn-c08kv9i9ersn","Aboukir (Egypte)",,,,,"Egypte [d5bdp2m9bi--7qyiku2nrvrt]",,
"place/FRAN_RI_005-d5bdpjf19e--e0vhmv05pfbf","d5bdpjf19e--e0vhmv05pfbf","Afrique Equatoriale Française (1910-1958)","AEF","1910","1958","1910-1958 : correspondait aux colonies françaises d’Afrique subsaharienne situées à l’est du lac Tchad : Gabon Moyen-Congo. Oubangui-Chari Tchad, capitale Brazzaville.",,,
"place/FRAN_RI_005-d5bdp4q7h6-ul70lkju24s3","d5bdp4q7h6-ul70lkju24s3","Afrique Occidentale Française (1895-1958)","AOF","1895","1958","1895-1958 : correspondait aux colonies françaises d’Afrique subsaharienne situées à l’Ouest du lac Tchad : Cote d’Ivoire Dahomey, Haute-Volta, Mauritanie, Niger, Soudan, Guinée et Sénégal, capitale Dakar.",,,
"place/FRAN_RI_005-d3m08zruvc6-1vuarsmn4thim","d3m08zruvc6-1vuarsmn4thim","Agrano (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3ntxm9iac--18tuqblaxgt3d","d3ntxm9iac--18tuqblaxgt3d","Aix-la-Chapelle (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08ztu4tb-3ykhsr6bepme","d3m08ztu4tb-3ykhsr6bepme","Albany (Etats-Unis)",,,,,"Etats-Unis [d5bdpnc6n8--6t8agr79pl90]",,
"place/FRAN_RI_005-d3m08yxinqf--ftgt4f0vhnaz","d3m08yxinqf--ftgt4f0vhnaz","Alep (Syrie)",,,,,"Syrie [d3ntxltulk--gas4jyk9me5c]",,
"place/FRAN_RI_005-d5bdpig13l-10u47m53bsl9b","d5bdpig13l-10u47m53bsl9b","Alexandrie (Egypte)",,,,,"Egypte [d5bdp2m9bi--7qyiku2nrvrt]",,
"place/FRAN_RI_005-d3m08ztmrse--6zdsj98psux1","d3m08ztmrse--6zdsj98psux1","Alexandrie (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3ntxmai2j-1byj6kut47bub","d3ntxmai2j-1byj6kut47bub","Alger (Algérie)",,,,,"Algérie [d3ntxjxn5s-6kuyi0i46073]",,
"place/FRAN_RI_005-d3m08ys91nf-p3w9f0ajmcxo","d3m08ys91nf-p3w9f0ajmcxo","Alicante (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m08zzsokr--gxz5u9xz8pkr","d3m08zzsokr--gxz5u9xz8pkr","Alost (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08ymexjc--19fs20c1yxenp","d3m08ymexjc--19fs20c1yxenp","Altembourg (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08z55xgj--9ft843t4rph5","d3m08z55xgj--9ft843t4rph5","Ambretsir (Inde)",,,,,"Inde [d3ntxkrkiz--1shnvwc1hre55]",,
"place/FRAN_RI_005-d3ntxmbxdf-jdodf5is5emb","d3ntxmbxdf-jdodf5is5emb","Amsterdam (Pays-Bas)",,,,,"Pays-Bas [d3ntxld6p3-1nlqlzrn1cur0]",,
"place/FRAN_RI_005-d3m08zis40q--vfc6c0dnkko1","d3m08zis40q--vfc6c0dnkko1","Anderlecht (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zyukwj--12tvqias1nunm","d3m08zyukwj--12tvqias1nunm","Angleterre (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08ypftgd--1i1d8plm5etdf","d3m08ypftgd--1i1d8plm5etdf","Angleur (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3ntxmdg4i-j0102ivpk9dr","d3ntxmdg4i-j0102ivpk9dr","Annaba (Algérie)","Bône (Algérie)",,,,"Algérie [d3ntxjxn5s-6kuyi0i46073]",,
"place/FRAN_RI_005-d3ntxmef1n-f9nz10ywj4gt","d3ntxmef1n-f9nz10ywj4gt","Anvers (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08yvcu5g-1q0rj4vez9ff8","d3m08yvcu5g-1q0rj4vez9ff8","Arezzo (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08yt77ay--1hxugvig5qg42","d3m08yt77ay--1hxugvig5qg42","Argovie (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08zg9a6r-4bdv4xp0a1ku","d3m08zg9a6r-4bdv4xp0a1ku","Arnhem (Pays-Bas)",,,,,"Pays-Bas [d3ntxld6p3-1nlqlzrn1cur0]",,
"place/FRAN_RI_005-d3m08yvw1fp-tsvii6fdqx8h","d3m08yvw1fp-tsvii6fdqx8h","Arno (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zs57bo--1tkam9bwml4g3","d3m08zs57bo--1tkam9bwml4g3","Aschaffenbourg (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08ysl9rw--1xsbd4kkkvi9s","d3m08ysl9rw--1xsbd4kkkvi9s","Asse (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zxwf8z--1bs7b46nasch2","d3m08zxwf8z--1bs7b46nasch2","Ath (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08yqd864-tkkudug30xng","d3m08yqd864-tkkudug30xng","Athènes (Grèce)",,,,,"Grèce [d3ntxknnzd--1o618nl5gdmcb]",,
"place/FRAN_RI_005-d3m08z7d7c0--1h67esepbw4a3","d3m08z7d7c0--1h67esepbw4a3","Aubonne (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08zxt1mq-4gwwg820xt9e","d3m08zxt1mq-4gwwg820xt9e","Audenarde (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08yqfk5j--9hqpwnhafevp","d3m08yqfk5j--9hqpwnhafevp","Augsbourg (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08ytdbkb--har4bmcqz6vn","d3m08ytdbkb--har4bmcqz6vn","Augusta (Etats-Unis)",,,,,"Etats-Unis [d5bdpnc6n8--6t8agr79pl90]",,
"place/FRAN_RI_005-d3m08zxdzp2--1vbr5ng1kexh","d3m08zxdzp2--1vbr5ng1kexh","Avila (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m08yvu639--wdwqr2vo7k13","d3m08yvu639--wdwqr2vo7k13","Axel (Pays-Bas)",,,,,"Pays-Bas [d3ntxld6p3-1nlqlzrn1cur0]",,
"place/FRAN_RI_005-d3m08yo8f17-due4b3knm8w5","d3m08yo8f17-due4b3knm8w5","Ayr (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08z2oblk-1hf8krw7ylzwo","d3m08z2oblk-1hf8krw7ylzwo","Babylone (Irak)",,,,,"Irak [d3ntxksdml--6ntmosvkxtsf]",,
"place/FRAN_RI_005-d3m08zglu72--osoww8zarc5t","d3m08zglu72--osoww8zarc5t","Bade (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08z5kmpu-rr50af7arb9h","d3m08z5kmpu-rr50af7arb9h","Bad Ems (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08ztt6ck-15iem3ijnz6j","d3m08ztt6ck-15iem3ijnz6j","Baden-Baden (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d5bdpgxg9w--iqfebzei97wb","d5bdpgxg9w--iqfebzei97wb","Bade-Wurtemberg (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08z6tgmz-ufm0w8y32047","d3m08z6tgmz-ufm0w8y32047","Bagrationovsk (Russie)",,,,,"Russie [d3ntxlhlzu--xk25nxgg86yz]",,
"place/FRAN_RI_005-d3m08yxfnl1--1brzoz107kair","d3m08yxfnl1--1brzoz107kair","Bâle (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08ywznkw-bpnmyv6br0bo","d3m08ywznkw-bpnmyv6br0bo","Ballynacally (Irlande)",,,,,"Irlande [d3ntxkt0ox-16bmp6ylm8933]",,
"place/FRAN_RI_005-d3m08zonihe-xlx57szvl8wx","d3m08zonihe-xlx57szvl8wx","Baltimore (Etats-Unis)",,,,,"Etats-Unis [d5bdpnc6n8--6t8agr79pl90]",,
"place/FRAN_RI_005-d3m08yob4vs--pqqbnu3bw9ag","d3m08yob4vs--pqqbnu3bw9ag","Bamberg (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3ntxmloqh-yndtidyyd24w","d3ntxmloqh-yndtidyyd24w","Barcelone (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m08zec8c5--rm6dafr4l5q9","d3m08zec8c5--rm6dafr4l5q9","Barolo (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zevvv3--7s6vrzcgrrx0","d3m08zevvv3--7s6vrzcgrrx0","Bassano (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08z985in-545grrfe0ob3","d3m08z985in-545grrfe0ob3","Bâton-Rouge (Etats-Unis)",,,,,"Etats-Unis [d5bdpnc6n8--6t8agr79pl90]",,
"place/FRAN_RI_005-d3m08zmlgdv-1day1rajbubum","d3m08zmlgdv-1day1rajbubum","Bavière (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08zxcyur--5gx00br8ngqy","d3m08zxcyur--5gx00br8ngqy","Beaumont (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zxejwe-are6plckxzwo","d3m08zxejwe-are6plckxzwo","Béjaïa (Algérie)","Bougie (Algérie)",,,,"Algérie [d3ntxjxn5s-6kuyi0i46073]",,
"place/FRAN_RI_005-d3m08zr1hm3--164ywt32rflju","d3m08zr1hm3--164ywt32rflju","Belgrade (Serbie)",,,,,"Serbie [d3ntxlmdso--t1w66c8igp2r]",,
"place/FRAN_RI_005-d3m08z17axx-brbu1ye3182e","d3m08z17axx-brbu1ye3182e","Bellegarde (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08zor4tf-1kps69y9crgoa","d3m08zor4tf-1kps69y9crgoa","Bellesme (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08zw4z1h--laaoqftmjr4n","d3m08zw4z1h--laaoqftmjr4n","Bellingham (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08zix90u-1snbz73n2s7o0","d3m08zix90u-1snbz73n2s7o0","Bergame (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08yqh4sx-y4r6jdho658c","d3m08yqh4sx-y4r6jdho658c","Bergen op Zoom (Pays-Bas)",,,,,"Pays-Bas [d3ntxld6p3-1nlqlzrn1cur0]",,
"place/FRAN_RI_005-d3m08znjivb-komgnx6fqnp","d3m08znjivb-komgnx6fqnp","Beringen (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3ntxmncns-1jfxw04wm1vg7","d3ntxmncns-1jfxw04wm1vg7","Berlin (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08z8kfez--1qmn58h3h27c7","d3m08z8kfez--1qmn58h3h27c7","Berne (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d-5phefjuv5--13zh3kbsk9fi8","d-5phefjuv5--13zh3kbsk9fi8","Beveren (Belgique)",,,,"Beveren est une commune néerlandophone de Belgique située en province de Flandre-Orientale. (Source : https://fr.wikipedia.org/wiki/Beveren_(Flandre-Orientale))","Belgique [d3ntxk30in--c94xo1un1ah3]","http://www.wikidata.org/entity/Q270644 | https://sws.geonames.org/2802031/","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08z6rdrk--mx0qbrc0x59l","d3m08z6rdrk--mx0qbrc0x59l","Beyrouth (Liban)",,,,,"Liban [d3ntxkyxg7--15s67wc6l2wca]",,
"place/FRAN_RI_005-d3m08z1rcqa--1a4d8nr4hu4ck","d3m08z1rcqa--1a4d8nr4hu4ck","Bilbao (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m08z8b52b-ras7soww3pla","d3m08z8b52b-ras7soww3pla","Biscaye (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d-5qi42cwq1--2osmvvt9u8k","d-5qi42cwq1--2osmvvt9u8k","Bizerte (Tunisie)",,,,"Bizerte ou Banzart est une ville du nord de la Tunisie située entre la mer Méditerranée et le lac de Bizerte. (Source : https://fr.wikipedia.org/wiki/Bizerte)","Tunisie [d3ntxly60m--alytytl85l0a]","http://www.wikidata.org/entity/Q189546 | https://sws.geonames.org/2472706/","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d3m08yscyoh--30uhgpdyf6et","d3m08yscyoh--30uhgpdyf6et","Blaugies (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08z1h7vh-1seqcqphd8aeb","d3m08z1h7vh-1seqcqphd8aeb","Blida (Algérie)",,,,,"Algérie [d3ntxjxn5s-6kuyi0i46073]",,
"place/FRAN_RI_005-d3m08zg0cig-de6ljnxlwsjj","d3m08zg0cig-de6ljnxlwsjj","Boekhoute (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08z9bjj6--16p51xfhkc5u8","d3m08z9bjj6--16p51xfhkc5u8","Bois-le-Duc (Pays-Bas)",,,,,"Pays-Bas [d3ntxld6p3-1nlqlzrn1cur0]",,
"place/FRAN_RI_005-d3m08zsaqzf-14i5iopvg4wzz","d3m08zsaqzf-14i5iopvg4wzz","Bologne (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zyxjgu--qemk19lkls4o","d3m08zyxjgu--qemk19lkls4o","Bologne (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zjf3kw-wz8hekq1blkj","d3m08zjf3kw-wz8hekq1blkj","Bombay (Inde)",,,,,"Inde [d3ntxkrkiz--1shnvwc1hre55]",,
"place/FRAN_RI_005-d3m08zcpih2-37i76opu852b","d3m08zcpih2-37i76opu852b","Bonn (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08z4yk1d-y2v4uszz8xm","d3m08z4yk1d-y2v4uszz8xm","Borgomaro (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zwa7lx-yiv3sqtzniii","d3m08zwa7lx-yiv3sqtzniii","Borgo Val di Taro (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08z3tagy--14422s6pol7n3","d3m08z3tagy--14422s6pol7n3","Boston (Etats-Unis)",,,,,"Etats-Unis [d5bdpnc6n8--6t8agr79pl90]",,
"place/FRAN_RI_005-d-616zwwhbk-1wkgj2omrrwe7","d-616zwwhbk-1wkgj2omrrwe7","Boulemane (Maroc)",,,,"Boulemane est une ville du Maroc. Elle est située dans la région de Fès-Meknès. (Source : https://fr.wikipedia.org/wiki/Boulemane)","Maroc [d3ntxl3s9o-18z3mton10zrv]","http://www.wikidata.org/entity/Q2745175 | https://sws.geonames.org/2554387/","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d-74u3knsrq--1s4r0f3f49von","d-74u3knsrq--1s4r0f3f49von","Bourached (Algérie)",,,,"Bourached est une commune de la wilaya de Aïn Defla en Algérie. (Source : https://fr.wikipedia.org/wiki/Bourached )","Algérie [d3ntxjxn5s-6kuyi0i46073]","http://www.wikidata.org/entity/Q2922230",
"place/FRAN_RI_005-d3m08yssehb--1x7eitb48v53m","d3m08yssehb--1x7eitb48v53m","Bourg-Léopold (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08z72l1p--udbv0rc3qpme","d3m08z72l1p--udbv0rc3qpme","Boussu (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08ywpa0d--cxo4cfi4icjj","d3m08ywpa0d--cxo4cfi4icjj","Brabant (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3ntxmt5jd-nlpv98bg4lk2","d3ntxmt5jd-nlpv98bg4lk2","Brazzaville (Congo)",,,,,"Congo [d3ntxkclmm-fprizcfa4o4s]",,
"place/FRAN_RI_005-d3m08yt5jvq-f1uo03onltsa","d3m08yt5jvq-f1uo03onltsa","Bréda (Pays-Bas)",,,,,"Pays-Bas [d3ntxld6p3-1nlqlzrn1cur0]",,
"place/FRAN_RI_005-d3m08zexxjq--1absuqrsm97vj","d3m08zexxjq--1absuqrsm97vj","Brême (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08z4zlo7-1kqiqgnk1ueew","d3m08z4zlo7-1kqiqgnk1ueew","Brielle (Pays-Bas)",,,,,"Pays-Bas [d3ntxld6p3-1nlqlzrn1cur0]",,
"place/FRAN_RI_005-d3m08yj2oe8--oawvam32x785","d3m08yj2oe8--oawvam32x785","Brighton (Etats-Unis)",,,,,"Etats-Unis [d5bdpnc6n8--6t8agr79pl90]",,
"place/FRAN_RI_005-d3m08ylwljr--1jdk0h86d7klv","d3m08ylwljr--1jdk0h86d7klv","Brighton (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08ykqsys--1t1lkr3r2qdyj","d3m08ykqsys--1t1lkr3r2qdyj","Bristol (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08zjrhna-7pvv42u2kr19","d3m08zjrhna-7pvv42u2kr19","Briviesca (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m08ys6uf4--d48bbluyrk01","d3m08ys6uf4--d48bbluyrk01","Brno (République Tchèque)",,,,,,,
"place/FRAN_RI_005-d3m08zluqj2-1vcl0suw12k7h","d3m08zluqj2-1vcl0suw12k7h","Bromberg (Pologne)",,,,,"Pologne [d3ntxle8f4--7cm271muwi1d]",,
"place/FRAN_RI_005-d3m08zcnrvr--orvb3vvl0nxr","d3m08zcnrvr--orvb3vvl0nxr","Bruges (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zngp24-11ut1z2ob7ava","d3m08zngp24-11ut1z2ob7ava","Brunswick (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3ntxmupd8-1vca7ig0t7deb","d3ntxmupd8-1vca7ig0t7deb","Bruxelles (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zwqd5q--1kvv8o6zm4vb3","d3m08zwqd5q--1kvv8o6zm4vb3","Bucarest (Roumanie)",,,,,"Roumanie [d3ntxlgwk5--1es7xt1ruo381]",,
"place/FRAN_RI_005-d3m08zm11iv--mnz2f9kw57jv","d3m08zm11iv--mnz2f9kw57jv","Budapest (Hongrie)",,,,,"Hongrie [d3ntxkqkyk-1uo2do8p3bx0b]",,
"place/FRAN_RI_005-d3m08zzr2cb-8ykgoip5bszy","d3m08zzr2cb-8ykgoip5bszy","Burgos (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m08zwo4ce-1piiu02tptvj5","d3m08zwo4ce-1piiu02tptvj5","Burlington (Etats-Unis)",,,,,"Etats-Unis [d5bdpnc6n8--6t8agr79pl90]",,
"place/FRAN_RI_005-d3m08yzq9w0-o93cmooi04s7","d3m08yzq9w0-o93cmooi04s7","Bury (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08zrk1x6--1pofazxfbilgb","d3m08zrk1x6--1pofazxfbilgb","Cadix (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m08zs9c9z-xre0ke6v1xgq","d3m08zs9c9z-xre0ke6v1xgq","Calcutta (Inde)",,,,,"Inde [d3ntxkrkiz--1shnvwc1hre55]",,
"place/FRAN_RI_005-d3m08yzyyuj-e9jea4l87u8f","d3m08yzyyuj-e9jea4l87u8f","Californie (Etats-Unis)",,,,,"Etats-Unis [d5bdpnc6n8--6t8agr79pl90]",,
"place/FRAN_RI_005-d3m08znhkcr-bkommguccu68","d3m08znhkcr-bkommguccu68","Cambridge (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08zeh09m-hdd5nvzb6cb6","d3m08zeh09m-hdd5nvzb6cb6","Canterbury (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08yocqpy-ryp7dzwf94jt","d3m08yocqpy-ryp7dzwf94jt","Canton (Chine)",,,,,"Chine [d3ntxkac5a-8e4epe80c9ko]",,
"place/FRAN_RI_005-d3m08z7by67-tpvtpwmv2cvp","d3m08z7by67-tpvtpwmv2cvp","Cap-Haïtien (Haïti)","Cap-Français (Haïti)",,,,"Haïti [d3ntxkpxgp--1v0m0nu0itvsu]",,
"place/FRAN_RI_005-d3m08yvaug5-1wc8j23wett2f","d3m08yvaug5-1wc8j23wett2f","Caracas (Venezuela)",,,,,,,
"place/FRAN_RI_005-d3m08z6us6c--z9o3qh8cmsvu","d3m08z6us6c--z9o3qh8cmsvu","Carthage (Tunisie)",,,,,"Tunisie [d3ntxly60m--alytytl85l0a]",,
"place/FRAN_RI_005-d3m08yk0npl-1jei84uwqwda9","d3m08yk0npl-1jei84uwqwda9","Carthagène (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m08yvfv3d--1gy5yn9j2zqka","d3m08yvfv3d--1gy5yn9j2zqka","Carupano (Venezuela)",,,,,,,
"place/FRAN_RI_005-d3m08znh2j0--1vbke9yc8xvkd","d3m08znh2j0--1vbke9yc8xvkd","Casabelle (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d-23hkkiy7z--77omzw25iae5","d-23hkkiy7z--77omzw25iae5","Casablanca (Maroc)",,,,,"Maroc [d3ntxl3s9o-18z3mton10zrv]","http://www.wikidata.org/entity/Q7903 | https://sws.geonames.org/2553604/",
"place/FRAN_RI_005-d3m08zaxj90--1j6k5xgqm0lzg","d3m08zaxj90--1j6k5xgqm0lzg","Casteldelfino (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08z8x1el-h6kn980idga0","d3m08z8x1el-h6kn980idga0","Castelfranco (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zvhv4g--vyaj8s0w2ie8","d3m08zvhv4g--vyaj8s0w2ie8","Castelgomberto (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08z3s3ag-4srw4u1rgmgp","d3m08z3s3ag-4srw4u1rgmgp","Castel Rosso (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08yhq9bv-uenr0jmw3wjb","d3m08yhq9bv-uenr0jmw3wjb","Castiglione d'Orcia (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08zybu9a-878c0olle2xp","d3m08zybu9a-878c0olle2xp","Catalogne (Espagne)",,,,,"Espagne [d3ntxkj150-14qdrjsm01noe]",,
"place/FRAN_RI_005-d3m08z8coix-50fx25rup338","d3m08z8coix-50fx25rup338","Céphalonie (Grèce)",,,,,"Grèce [d3ntxknnzd--1o618nl5gdmcb]",,
"place/FRAN_RI_005-d3m08z6dmkr-wb4lxby7tbcf","d3m08z6dmkr-wb4lxby7tbcf","Chantraine (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08zmbl1c-3tecd11t595y","d3m08zmbl1c-3tecd11t595y","Charleroi (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08z9g8ot--45gk5aa7sf01","d3m08z9g8ot--45gk5aa7sf01","Charleston (Etats-Unis)",,,,,"Etats-Unis [d5bdpnc6n8--6t8agr79pl90]",,
