"URI (segment de base  http://data.archives-nationales.culture.gouv.fr/","Identifiant de la ville ou du territoire dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Date de début  d’existence (rico:beginningDate)","Date de fin  d’existence (rico:endDate)","Description (rico:descriptiveNote)","Nom et id du pays dans lequel la ville ou le territoire est situé","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Notes sur les modifications effectuées pour ce lieu (skos:changeNote)"
"place/FRAN_RI_005-d3m08ztijo0-1i97mol3akwdz","d3m08ztijo0-1i97mol3akwdz","Skikda (Algérie)","Philippeville (Algérie)",,,,"Algérie [d3ntxjxn5s-6kuyi0i46073]",,
"place/FRAN_RI_005-d3m08yn063x--17cid3favtxu1","d3m08yn063x--17cid3favtxu1","Soignies (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08ztn5nj--y4j34h1q0g3n","d3m08ztn5nj--y4j34h1q0g3n","Soleure (Suisse)",,,,,"Suisse [d3ntxlqozz--1f3x6hvqucf3g]",,
"place/FRAN_RI_005-d3m08ykeh9y--zadukp869zgv","d3m08ykeh9y--zadukp869zgv","Solférino (Italie)",,,,,"Italie [d3ntxku8g8--8c7e9zxf15do]",,
"place/FRAN_RI_005-d3m08z9irep--1byn7sbi3aa18","d3m08z9irep--1byn7sbi3aa18","Solre-Saint-Géry (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08ziqt9w--zuitbz9dqhpu","d3m08ziqt9w--zuitbz9dqhpu","Southampton (Royaume-Uni)",,,,,"Royaume-Uni [d3ntxlh9hr-pry10srrczvg]",,
"place/FRAN_RI_005-d3m08ykm47e--3fel5yrytmdt","d3m08ykm47e--3fel5yrytmdt","Spa (Belgique)",,,,,"Belgique [d3ntxk30in--c94xo1un1ah3]",,
"place/FRAN_RI_005-d3m08znk9t3--5ajrvfnf6dm1","d3m08znk9t3--5ajrvfnf6dm1","Spire (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d3m08z7j39w--sh71959bg2p5","d3m08z7j39w--sh71959bg2p5","Stockholm (Suède)",,,,,"Suède [d3ntxlq5lk-k2xz4bd4dcxr]",,
"place/FRAN_RI_005-d3m08z2u3ku-kh8pfwr9axf3","d3m08z2u3ku-kh8pfwr9axf3","Stuttgart (Allemagne)",,,,,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
