"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntdbm0c7-1p08mg9fhmtnj","d3ntdbm0c7-1p08mg9fhmtnj","Aiglun (Alpes-Maritimes)","Aiglun","arrondissement : 61 | canton : Saint-Auban",,"Alpes-Maritimes (Provence-Alpes-Côte-d'Azur, département) [d3ntb72c6w--1c18qe82chlnk]","06001","POINT(1014600 6314200)","http://id.insee.fr/geo/commune/06001 | http://data.ign.fr/id/geofla/commune/06001 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/06001","Sallagriffon (Alpes-Maritimes) [d3ntdd1rf4--179t2he8ixosp] | Le Mas (Alpes-Maritimes) [d3ntdchkc5--5p7dfbm4pdzm] | Roquestéron-Grasse (Alpes-Maritimes) [d3ntdcsyrg-172o3kcdackun] | Gréolières (Alpes-Maritimes) [d3ntdcdhr9--12yjtnsmqw9rl] | Sigale (Alpes-Maritimes) [d3ntdd3098-eni6506big1c] | Les Mujouls (Alpes-Maritimes) [d3ntdck2nn-tflcj4b4jpw0]"
"place/FRAN_RI_005-d3ntdbpdp6-gkj0aqk1sp9m","d3ntdbpdp6-gkj0aqk1sp9m","Amirat (Alpes-Maritimes)","Amirat","arrondissement : 61 | canton : Saint-Auban",,"Alpes-Maritimes (Provence-Alpes-Côte-d'Azur, département) [d3ntb72c6w--1c18qe82chlnk]","06002","POINT(1007100 6317600)","http://id.insee.fr/geo/commune/06002 | http://data.ign.fr/id/geofla/commune/06002 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/06002","La Rochette (Alpes-de-Haute-Provence) [d3ntd8z63b-1vbkrwij3uzhn] | Val-de-Chalvagne (Alpes-de-Haute-Provence) [d3ntd7w3cm-1l6tqnsk4q191] | Gars (Alpes-Maritimes) [d3ntdcbana-1kxot3llv0i25] | Les Mujouls (Alpes-Maritimes) [d3ntdck2nn-tflcj4b4jpw0] | Collongues (Alpes-Maritimes) [d3ntdc4zg3--fzenlhfwold5] | Briançonnet (Alpes-Maritimes) [d3ntdbwxy8-kuqiyqe6ienl]"
"place/FRAN_RI_005-d3ntdbppzh-1nlh32c1xmw96","d3ntdbppzh-1nlh32c1xmw96","Andon (Alpes-Maritimes)","Andon","arrondissement : 61 | canton : Saint-Auban",,"Alpes-Maritimes (Provence-Alpes-Côte-d'Azur, département) [d3ntb72c6w--1c18qe82chlnk]","06003","POINT(1004700 6304400)","http://id.insee.fr/geo/commune/06003 | http://data.ign.fr/id/geofla/commune/06003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/06003","Cipières (Alpes-Maritimes) [d3ntdc32om-hzpb9rueowoe] | Escragnolles (Alpes-Maritimes) [d3ntdc9ont--95elcv56r8x2] | Caussols (Alpes-Maritimes) [d3ntdc1ndp-17entqw9uph77] | Caille (Alpes-Maritimes) [d3ntdby77u--ls2m16dve5zq] | Le Mas (Alpes-Maritimes) [d3ntdchkc5--5p7dfbm4pdzm] | Saint-Auban (Alpes-Maritimes) [d3ntdcwfkl--1qyg0g25fmxuu] | Gréolières (Alpes-Maritimes) [d3ntdcdhr9--12yjtnsmqw9rl] | Saint-Vallier-de-Thiey (Alpes-Maritimes) [d3ntdd1g7l-i0hjs5wei00m] | Valderoure (Alpes-Maritimes) [d3ntddbfjq-1hxvvpybetdjl]"
"place/FRAN_RI_005-d3ntdbq170--1ruyyw992grb9","d3ntdbq170--1ruyyw992grb9","Antibes (Alpes-Maritimes)","Antibes","arrondissement : 61",,"Alpes-Maritimes (Provence-Alpes-Côte-d'Azur, département) [d3ntb72c6w--1c18qe82chlnk]","06004","POINT(1032900 6284300)","http://id.insee.fr/geo/commune/06004 | http://data.ign.fr/id/geofla/commune/06004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/06004","Valbonne (Alpes-Maritimes) [d3ntddaswx--76463uhzixm5] | Vallauris (Alpes-Maritimes) [d3ntddck2n-1e9zc3ctje1m5] | Biot (Alpes-Maritimes) [d3ntdbv2hb--knlxe2tjua9j] | Villeneuve-Loubet (Alpes-Maritimes) [d3ntddeh9n-1wumq0hxe5kdf]"
"place/FRAN_RI_005-d3ntdbqcmb-189fovaisn99v","d3ntdbqcmb-189fovaisn99v","Ascros (Alpes-Maritimes)","Aseros | Ascros","arrondissement : 62 | canton : Puget-Théniers",,"Alpes-Maritimes (Provence-Alpes-Côte-d'Azur, département) [d3ntb72c6w--1c18qe82chlnk]","06005","POINT(1022200 6321700)","http://id.insee.fr/geo/commune/06005 | http://data.ign.fr/id/geofla/commune/06005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/06005","Touët-sur-Var (Alpes-Maritimes) [d3ntdd64zs--1p3iqt0wwlcr9] | La Penne (Alpes-Maritimes) [d3ntdclyk3--15jxkzwjmfhdq] | Villars-sur-Var (Alpes-Maritimes) [d3ntdddj7k-155q1fvzm6ye1] | Cuébris (Alpes-Maritimes) [d3ntdc76cb--ar7d0mnyiedb] | Pierrefeu (Alpes-Maritimes) [d3ntdcp5g9--8uzx4su45dpl] | Saint-Antonin (Alpes-Maritimes) [d3ntdcw4d2-ri010ygzd98l]"
"place/FRAN_RI_005-d3ntdbqo1l--4powkdy93ooh","d3ntdbqo1l--4powkdy93ooh","Aspremont (Alpes-Maritimes)","Aspremont | Colomars | Castagniers","arrondissement : 62 | canton : Levens",,"Alpes-Maritimes (Provence-Alpes-Côte-d'Azur, département) [d3ntb72c6w--1c18qe82chlnk]","06006","POINT(1041500 6307400)","http://id.insee.fr/geo/commune/06006 | http://data.ign.fr/id/geofla/commune/06006 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/06006","Nice (Alpes-Maritimes) [d3ntdcke2y--1vqnorbkqynkh] | Colomars (Alpes-Maritimes) [d3ntdc5anm-pjbh1e949u1] | Falicon (Alpes-Maritimes) [d3ntdcacdf-1k4fq852u80jl] | Tourrette-Levens (Alpes-Maritimes) [d3ntdd7e1n--f85h1oatmwj] | Castagniers (Alpes-Maritimes) [d3ntdc0pjc-12u9pmqgsbtdn]"
"place/FRAN_RI_005-d3ntdbqz94-zc4xv7a1cfut","d3ntdbqz94-zc4xv7a1cfut","Auribeau-sur-Siagne (Alpes-Maritimes)","Auribeau-sur-Siagne","arrondissement : 61 | canton : Grasse-Sud",,"Alpes-Maritimes (Provence-Alpes-Côte-d'Azur, département) [d3ntb72c6w--1c18qe82chlnk]","06007","POINT(1015700 6285700)","http://id.insee.fr/geo/commune/06007 | http://data.ign.fr/id/geofla/commune/06007 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/06007","Peymeinade (Alpes-Maritimes) [d3ntdcml6x--1o3ocwe77sgrj] | Pégomas (Alpes-Maritimes) [d3ntdcl0i0-1fc53a1ku3o9y] | Tanneron (Var) [d3ntvolvh5--6c7rc05wnpso] | Grasse (Alpes-Maritimes) [d3ntdcd6jq--h9ji4xcdg3l7]"
"place/FRAN_RI_005-d3ntdbragn-1hit2zd0syrc4","d3ntdbragn-1hit2zd0syrc4","Auvare (Alpes-Maritimes)","Auvare | Auvard","arrondissement : 62 | canton : Puget-Théniers",,"Alpes-Maritimes (Provence-Alpes-Côte-d'Azur, département) [d3ntb72c6w--1c18qe82chlnk]","06008","POINT(1013300 6328700)","http://id.insee.fr/geo/commune/06008 | http://data.ign.fr/id/geofla/commune/06008 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/06008","Beuil (Alpes-Maritimes) [d3ntdbuf77--15vxikult43rk] | Puget-Rostang (Alpes-Maritimes) [d3ntdcpi63-k4n5obje7cnd] | La Croix-sur-Roudoule (Alpes-Maritimes) [d3ntdc6up9-kti908qrhavc] | Puget-Théniers (Alpes-Maritimes) [d3ntdcqfso--1honzr5ghk2wh] | Guillaumes (Alpes-Maritimes) [d3ntdcedvi--1a7jgwbaqazld]"
"place/FRAN_RI_005-d3ntdbrlo6--xpxks5i4k1dp","d3ntdbrlo6--xpxks5i4k1dp","Bairols (Alpes-Maritimes)","Bairols","arrondissement : 62 | canton : Villars-sur-Var",,"Alpes-Maritimes (Provence-Alpes-Côte-d'Azur, département) [d3ntb72c6w--1c18qe82chlnk]","06009","POINT(1030900 6328900)","http://id.insee.fr/geo/commune/06009 | http://data.ign.fr/id/geofla/commune/06009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/06009","Tournefort (Alpes-Maritimes) [d3ntdd72u4--49clpo2kx0jf] | Ilonse (Alpes-Maritimes) [d3ntdcer0w-rfrmdug4h92q] | Villars-sur-Var (Alpes-Maritimes) [d3ntdddj7k-155q1fvzm6ye1] | Clans (Alpes-Maritimes) [d3ntdc3e3w--ukyly8upxdyu] | Massoins (Alpes-Maritimes) [d3ntdchvjo--1ll6uestzxabk] | Marie (Alpes-Maritimes) [d3ntdch94m-fzsy3hp7mq7o]"
"place/FRAN_RI_005-d3ntdbs838--iktfktpmtdg8","d3ntdbs838--iktfktpmtdg8","Beaulieu-sur-Mer (Alpes-Maritimes)","Beaulieu-sur-Mer","arrondissement : 62 | canton : Villefranche-sur-Mer",,"Alpes-Maritimes (Provence-Alpes-Côte-d'Azur, département) [d3ntb72c6w--1c18qe82chlnk]","06011","POINT(1049000 6299300)","http://id.insee.fr/geo/commune/06011 | http://data.ign.fr/id/geofla/commune/06011 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/06011","Saint-Jean-Cap-Ferrat (Alpes-Maritimes) [d3ntdcy01q--10pwtnnwojo0j] | Villefranche-sur-Mer (Alpes-Maritimes) [d3ntdddumu-9x7quit2iud0]"
