"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntg4tl5p--8nxrd72z7hr9","d3ntg4tl5p--8nxrd72z7hr9","Abbans-Dessous (Doubs)","Benusse | Albans-Dessous | Abbans-Dessous","arrondissement : 251 | canton : Boussières",,"Doubs (Franche-Comté, département) [d3ntb7ldge-9pxjgbcvrjpg]","25001","POINT(917800 6674300)","http://id.insee.fr/geo/commune/25001 | http://data.ign.fr/id/geofla/commune/25001 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/25001","Byans-sur-Doubs (Doubs) [d3ntg5x19i--i2fs67zlrgtx] | Boussières (Doubs) [d3ntg5p4q4-1gie1umfgexj9] | Osselle (Doubs) [d3ntg96q34-19r7i0qx80a26] | Abbans-Dessus (Doubs) [d3ntg4tx0i--1fwii082m7xqv]"
"place/FRAN_RI_005-d3ntg4tx0i--1fwii082m7xqv","d3ntg4tx0i--1fwii082m7xqv","Abbans-Dessus (Doubs)","Bléfond | Albans-Dessus | Abbans-Dessus","arrondissement : 251 | canton : Boussières",,"Doubs (Franche-Comté, département) [d3ntb7ldge-9pxjgbcvrjpg]","25002","POINT(918400 6672800)","http://id.insee.fr/geo/commune/25002 | http://data.ign.fr/id/geofla/commune/25002 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/25002","Byans-sur-Doubs (Doubs) [d3ntg5x19i--i2fs67zlrgtx] | Boussières (Doubs) [d3ntg5p4q4-1gie1umfgexj9] | Abbans-Dessous (Doubs) [d3ntg4tl5p--8nxrd72z7hr9] | Quingey (Doubs) [d3ntg9m0mi-1b7vwe5pcr4x]"
"place/FRAN_RI_005-d3ntg4u9au--mjrk92vlpjd0","d3ntg4u9au--mjrk92vlpjd0","Abbenans (Doubs)","Buillon | Abbenaus | Abbenans","arrondissement : 251 | canton : Rougemont",,"Doubs (Franche-Comté, département) [d3ntb7ldge-9pxjgbcvrjpg]","25003","POINT(959600 6716700)","http://id.insee.fr/geo/commune/25003 | http://data.ign.fr/id/geofla/commune/25003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/25003","Fallon (Haute-Saône) [d3ntrnh2cm-knalc9ejeeye] | Bournois (Doubs) [d3ntg5npf7--181lodhe9qab8] | Les Magny (Haute-Saône) [d3ntroeur3-v0osg7s6e7rj] | Cubry (Doubs) [d3ntg6o1va-17h3r67l578b5] | Uzelle (Doubs) [d3ntgamnmt--1kje2p8pvnjzz]"
"place/FRAN_RI_005-d3ntg4ukxw-sk19uge1tn25","d3ntg4ukxw-sk19uge1tn25","Abbévillers (Doubs)","Abbévillers","arrondissement : 252 | canton : Hérimoncourt",,"Doubs (Franche-Comté, département) [d3ntb7ldge-9pxjgbcvrjpg]","25004","POINT(995200 6710700)","http://id.insee.fr/geo/commune/25004 | http://data.ign.fr/id/geofla/commune/25004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/25004","Glay (Doubs) [d3ntg7lo8h--cfxa1a2r41m4] | Vandoncourt (Doubs) [d3ntgaqi0u--4hp1uwbhknk4] | Meslières (Doubs) [d3ntg8l887--1jck6vyku7gpx] | Hérimoncourt (Doubs) [d3ntg7vk4h--1anapjguviovh] | Croix (Territoire de Belfort) [d3ntxbgur1-1nju0vist0p3s]"
"place/FRAN_RI_005-d3ntg4ux0g--afsid7eptbuq","d3ntg4ux0g--afsid7eptbuq","Accolans (Doubs)","Chauderon | Accolans | Accoland","arrondissement : 252 | canton : L'Isle-sur-le-Doubs",,"Doubs (Franche-Comté, département) [d3ntb7ldge-9pxjgbcvrjpg]","25005","POINT(965800 6716400)","http://id.insee.fr/geo/commune/25005 | http://data.ign.fr/id/geofla/commune/25005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/25005","Geney (Doubs) [d3ntg7iwv2-19ge8xb48vy73] | Grammont (Haute-Saône) [d3ntrnyrjl--19rnsh7da2z72] | Mancenans (Doubs) [d3ntg8gnbp--vs40nrmbrnvc] | Bournois (Doubs) [d3ntg5npf7--181lodhe9qab8] | Soye (Doubs) [d3ntgaf0kv--kulegkb6qamu] | Courchaton (Haute-Saône) [d3ntr799y2--124xp9ic62iz]"
"place/FRAN_RI_005-d3ntg4wtk6--1jwytcblz61ro","d3ntg4wtk6--1jwytcblz61ro","Adam-lès-Passavant (Doubs)","Adam-lès-Passavant | Adam","arrondissement : 251 | canton : Baume-les-Dames",,"Doubs (Franche-Comté, département) [d3ntb7ldge-9pxjgbcvrjpg]","25006","POINT(953900 6693900)","http://id.insee.fr/geo/commune/25006 | http://data.ign.fr/id/geofla/commune/25006 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/25006","Saint-Juan (Doubs) [d3ntga2b5v--1dv5owtb8sfgj] | Passavant (Doubs) [d3ntg99pv6--1d3pwkqkn9f9x] | Pont-les-Moulins (Doubs) [d3ntg9igkz-vvayszujify6] | Guillon-les-Bains (Doubs) [d3ntg7tg15-167oapt9w1fpr] | Montivernage (Doubs) [d3ntg8u7cn-1foydgtbmo5n0] | Silley-Bléfond (Doubs) [d3ntgaca2i--gr6h9hdpea0y]"
"place/FRAN_RI_005-d3ntg4x6xb-hhr4k8cxar0u","d3ntg4x6xb-hhr4k8cxar0u","Adam-lès-Vercel (Doubs)","Corne-de-Chaux | Adam-lès-Vercel","arrondissement : 253 | canton : Vercel-Villedieu-le-Camp","1er janvier 2009 : Adam-lès-Vercel passe de l'arrondissement de Besançon à l'arrondissement de Pontarlier.","Doubs (Franche-Comté, département) [d3ntb7ldge-9pxjgbcvrjpg]","25007","POINT(956800 6679700)","http://id.insee.fr/geo/commune/25007 | http://data.ign.fr/id/geofla/commune/25007 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/25007","Epenoy (Doubs) [d3ntg72nei-1u3303aoo8tsz] | Chevigney-lès-Vercel (Doubs) [d3ntg6emd2--1q6xl1p8y4tbt] | Vercel-Villedieu-le-Camp (Doubs) [d3ntgavhss--71jdm6m5iv9f]"
"place/FRAN_RI_005-d3ntg4xicl--1svu5kokmoapo","d3ntg4xicl--1svu5kokmoapo","Aibre (Doubs)","Cour | Aibre","arrondissement : 252 | canton : Montbéliard-Ouest",,"Doubs (Franche-Comté, département) [d3ntb7ldge-9pxjgbcvrjpg]","25008","POINT(977900 6723200)","http://id.insee.fr/geo/commune/25008 | http://data.ign.fr/id/geofla/commune/25008 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/25008","Le Vernoy (Doubs) [d3ntgaxdp8-1myvoym3ju5xh] | Semondans (Doubs) [d3ntgaalpn--dwid6gikbq9c] | Désandans (Doubs) [d3ntg6tto2-pcvygojg1sp4] | Raynans (Doubs) [d3ntg9o37i--15d390cp58jko] | Laire (Doubs) [d3ntg825ge-rcxovpvnhpq6] | Trémoins (Haute-Saône) [d3ntry26a5--owm63da14do6]"
"place/FRAN_RI_005-d3ntg4xtrv--imqfcgm67svm","d3ntg4xtrv--imqfcgm67svm","Aïssey (Doubs)","Douvot | Aïssey","arrondissement : 251 | canton : Baume-les-Dames",,"Doubs (Franche-Comté, département) [d3ntb7ldge-9pxjgbcvrjpg]","25009","POINT(951800 6690600)","http://id.insee.fr/geo/commune/25009 | http://data.ign.fr/id/geofla/commune/25009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/25009","Saint-Juan (Doubs) [d3ntga2b5v--1dv5owtb8sfgj] | Chaux-lès-Passavant (Doubs) [d3ntg6ab5r--151wcym1tvjoi] | Magny-Châtelard (Doubs) [d3ntg8dphg-1uxzfbieig1p7] | Dammartin-les-Templiers (Doubs) [d3ntg6qjr9-t4a7c61h3v0q] | Orsans (Doubs) [d3ntg95nxk--3x4dt57rlp0c] | Bretigney-Notre-Dame (Doubs) [d3ntg5schb--1qlpjvurgq5xj] | Côtebrune (Doubs) [d3ntg6jiwm-18cxtlurtqc8] | Glamondans (Doubs) [d3ntg7lclf--1lzptw4wmfg50]"
"place/FRAN_RI_005-d3ntg4y5mp-dzz8wc82l1zg","d3ntg4y5mp-dzz8wc82l1zg","Allenjoie (Doubs)","Goux | Allenjoie","arrondissement : 252 | canton : Etupes",,"Doubs (Franche-Comté, département) [d3ntb7ldge-9pxjgbcvrjpg]","25011","POINT(993000 6722100)","http://id.insee.fr/geo/commune/25011 | http://data.ign.fr/id/geofla/commune/25011 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/25011","Méziré (Territoire de Belfort) [d3ntxbu1ue--12k860pb5k9a6] | Fesches-le-Châtel (Doubs) [d3ntg7916t-18qz6kkmw0ksg] | Etupes (Doubs) [d3ntg75tfm--16pwru2jercrg] | Dambenois (Doubs) [d3ntg6q7op--6w0dg6w7zlni] | Bourogne (Territoire de Belfort) [d3ntxb8ver-lfhxoo7mffme] | Brognard (Doubs) [d3ntg5tc9i-wghzw5ns70p]"
