"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntvqkec4--1jv4ztg9h9wmy","d3ntvqkec4--1jv4ztg9h9wmy","Aizenay (Vendée)","La Chapelle-Palluau | Aizenay","arrondissement : 852 | canton : Le Poiré-sur-Vie",,"Vendée (Pays-de-la-Loire, département) [d3ntb8zyab--2c8c3pwikhah]","85003","POINT(348300 6636900)","http://id.insee.fr/geo/commune/85003 | http://data.ign.fr/id/geofla/commune/85003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/85003","Martinet (Vendée) [d3ntw243c7-1xx74t9dj6v36] | Apremont (Vendée) [d3ntvqlf73--bolkeziu321n] | La Chapelle-Palluau (Vendée) [d3ntvt08dn-ghmfmqy3ppj9] | Le Poiré-sur-Vie (Vendée) [d3ntw2iuoy-e7isb5f9s3wf] | Beaulieu-sous-la-Roche (Vendée) [d3ntvsd5tt-13nl67t3m5gkg] | Venansault (Vendée) [d3ntw3n7s3-4f3cl9oo2efk] | La Génétouze (Vendée) [d3ntw1oxjj--1tc81x86m1v7i] | La Chapelle-Hermier (Vendée) [d3ntvszv0i--ghzblc03s95t] | Coëx (Vendée) [d3ntw1f40w-1c2v668eaerty] | Maché (Vendée) [d3ntw20kl9-1hvqlreh4vg49]"
"place/FRAN_RI_005-d3ntvqkpz5-vkfoacinbcd2","d3ntvqkpz5-vkfoacinbcd2","Angles (Vendée)","Angles","arrondissement : 853 | canton : Moutiers-les-Mauxfaits",,"Vendée (Pays-de-la-Loire, département) [d3ntb8zyab--2c8c3pwikhah]","85004","POINT(361900 6599200)","http://id.insee.fr/geo/commune/85004 | http://data.ign.fr/id/geofla/commune/85004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/85004","Le Bernard (Vendée) [d3ntvsf43m--1jel2t1i3b9p1] | Longeville-sur-Mer (Vendée) [d3ntw1znly-1nruwa0spntwd] | La Tranche-sur-Mer (Vendée) [d3ntw3le18--31rymy671ysa] | Grues (Vendée) [d3ntw1rskw-rjagm49xdzxm] | Saint-Benoist-sur-Mer (Vendée) [d3ntw2qba3-1wd803fklxq66] | La Jonchère (Vendée) [d3ntw1vhkw--61x831p0qzd2]"
"place/FRAN_RI_005-d3ntvql2p0-1j7y1jipbxrer","d3ntvql2p0-1j7y1jipbxrer","Antigny (Vendée)","Antigny","arrondissement : 851 | canton : La Châtaigneraie",,"Vendée (Pays-de-la-Loire, département) [d3ntb8zyab--2c8c3pwikhah]","85005","POINT(411600 6620200)","http://id.insee.fr/geo/commune/85005 | http://data.ign.fr/id/geofla/commune/85005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/85005","Saint-Maurice-des-Noues (Vendée) [d3ntw36x8q-nwgxswca5scr] | Cezais (Vendée) [d3ntvsmnhn--2mf65lsw9bat] | Vouvant (Vendée) [d3ntw3pswg--9xln4wf2nh27] | Saint-Maurice-le-Girard (Vendée) [d3ntw3780q--1n31ugapfizfs] | Loge-Fougereuse (Vendée) [d3ntw1z1u6--27bur949qtz9] | Saint-Sulpice-en-Pareds (Vendée) [d3ntw3cvib-18dmwfb6r2fo9] | La Châtaigneraie (Vendée) [d3ntw1c1fy--9l8oc34zanen]"
"place/FRAN_RI_005-d3ntvqlf73--bolkeziu321n","d3ntvqlf73--bolkeziu321n","Apremont (Vendée)","Apremont | Les Habits","arrondissement : 853 | canton : Palluau","1er janvier 2017 : Apremont passe de l'arrondissement des Sables-d'Olonne à l'arrondissement de La Roche-sur-Yon.","Vendée (Pays-de-la-Loire, département) [d3ntb8zyab--2c8c3pwikhah]","85006","POINT(338300 6638600)","http://id.insee.fr/geo/commune/85006 | http://data.ign.fr/id/geofla/commune/85006 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/85006","Commequiers (Vendée) [d3ntw1ff0o--19afquf1uq7pr] | Coëx (Vendée) [d3ntw1f40w-1c2v668eaerty] | Saint-Christophe-du-Ligneron (Vendée) [d3ntw2qx1v-vn97tuplemk5] | Maché (Vendée) [d3ntw20kl9-1hvqlreh4vg49] | Aizenay (Vendée) [d3ntvqkec4--1jv4ztg9h9wmy]"
"place/FRAN_RI_005-d3ntvqlr9o-r772nbb525tj","d3ntvqlr9o-r772nbb525tj","Aubigny (Vendée)","Aubigny | Courdeault","arrondissement : 852 | canton : La Roche-sur-Yon-Sud","1er janvier 2016 : Aubigny devient commune déléguée (chef-lieu) au sein d'Aubigny-Les Clouzeaux (commune nouvelle).Création de la commune nouvelle d'Aubigny-Les Clouzeaux en lieu et place des communes d'Aubigny et des Clouzeaux devenues déléguées.Les Clouzeaux devient commune déléguée au sein d'Aubigny-Les Clouzeaux (commune nouvelle).","Vendée (Pays-de-la-Loire, département) [d3ntb8zyab--2c8c3pwikhah]","85008","POINT(359200 6620300)","http://id.insee.fr/geo/commune/85008 | http://data.ign.fr/id/geofla/commune/85008 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/85008","Sainte-Flaive-des-Loups (Vendée) [d3ntw2u3y1-ka7vjfp5i7vg] | La Roche-sur-Yon (Vendée) [d3ntw2mitx-7g5pkyoa56aq] | Nieul-le-Dolent (Vendée) [d3ntw2c64n-z5ct53po3u7z] | Landeronde (Vendée) [d3ntw1xgxi--11ywquwy1p192] | Venansault (Vendée) [d3ntw3n7s3-4f3cl9oo2efk] | La Boissière-des-Landes (Vendée) [d3ntvsghog--14b9ci4v1dfqt] | Nesmy (Vendée) [d3ntw2bvcn--l74tg7jrdjqk]"
"place/FRAN_RI_005-d3ntvqm3zi-26fkxp2774v4","d3ntvqm3zi-26fkxp2774v4","Auzay (Vendée)","Auzoy | Auzay","arrondissement : 851 | canton : Fontenay-le-Comte","1er janvier 2017 : Auzay devient commune déléguée (chef-lieu) au sein d'Auchay-sur-Vendée (commune nouvelle).Chaix devient commune déléguée au sein d'Auchay-sur-Vendée (commune nouvelle).Création de la commune nouvelle d'Auchay-sur-Vendée en lieu et place des communes d'Auzay et de Chaix devenues déléguées.","Vendée (Pays-de-la-Loire, département) [d3ntb8zyab--2c8c3pwikhah]","85009","POINT(403200 6600800)","http://id.insee.fr/geo/commune/85009 | http://data.ign.fr/id/geofla/commune/85009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/85009","Longèves (Vendée) [d3ntw1zcm6-9siobi7h84mf] | Le Langon (Vendée) [d3ntw1yg2e--v13eqbhtacwm] | Doix (Vendée) [d3ntw1ioa6--6uxkuryn9wq5] | Fontenay-le-Comte (Vendée) [d3ntw1n3sp-bafckan35yo] | Montreuil (Vendée) [d3ntw286ke--30ply6n6q634] | Petosse (Vendée) [d3ntw2glfe-o0riw0box9gs] | Le Poiré-sur-Velluire (Vendée) [d3ntw2hiep-1konj3p3ik611]"
"place/FRAN_RI_005-d3ntvqmg23-4wbwtyarfnic","d3ntvqmg23-4wbwtyarfnic","Avrillé (Vendée)","Avrillé","arrondissement : 853 | canton : Talmont-Saint-Hilaire",,"Vendée (Pays-de-la-Loire, département) [d3ntb8zyab--2c8c3pwikhah]","85010","POINT(355300 6606400)","http://id.insee.fr/geo/commune/85010 | http://data.ign.fr/id/geofla/commune/85010 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/85010","Le Bernard (Vendée) [d3ntvsf43m--1jel2t1i3b9p1] | Saint-Avaugourd-des-Landes (Vendée) [d3ntw2q0ac--1at6yx1ow01zl] | Longeville-sur-Mer (Vendée) [d3ntw1znly-1nruwa0spntwd] | Saint-Hilaire-la-Forêt (Vendée) [d3ntw30ck3--l6nd8r0yuffj] | Poiroux (Vendée) [d3ntw2j6js-1rwgrv6yzkdlg]"
"place/FRAN_RI_005-d3ntvqmsce--1ihhcvt43toyq","d3ntvqmsce--1ihhcvt43toyq","Barbâtre (Vendée)","Barbâtre","arrondissement : 853 | canton : Noirmoutier-en-l'Ile",,"Vendée (Pays-de-la-Loire, département) [d3ntb8zyab--2c8c3pwikhah]","85011","POINT(306200 6662200)","http://id.insee.fr/geo/commune/85011 | http://data.ign.fr/id/geofla/commune/85011 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/85011","La Guérinière (Vendée) [d3ntw1sg2q-327rkcklj6d2]"
"place/FRAN_RI_005-d3ntvqnhkc--1icwpbqdoocr8","d3ntvqnhkc--1icwpbqdoocr8","Bazoges-en-Paillers (Vendée)","Bazoges-en-Paillés | Bazoges-en-Paillers","arrondissement : 852 | canton : Saint-Fulgent",,"Vendée (Pays-de-la-Loire, département) [d3ntb8zyab--2c8c3pwikhah]","85013","POINT(385400 6653400)","http://id.insee.fr/geo/commune/85013 | http://data.ign.fr/id/geofla/commune/85013 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/85013","La Gaubretière (Vendée) [d3ntw1omc0--14ficowrs8cmm] | La Boissière-de-Montaigu (Vendée) [d3ntvsg4j3-16ifu3tsl5iff] | Chavagnes-en-Paillers (Vendée) [d3ntw1dw1u--1mqe498h7lepq] | Saint-Fulgent (Vendée) [d3ntw2vbx3-8qy1t6rwygpl] | Beaurepaire (Vendée) [d3ntvsdh93--1oqtijb7v39pn] | Les Landes-Genusson (Vendée) [d3ntw1xtv4--wewpqupf7ib]"
"place/FRAN_RI_005-d3ntvscddh--13485wsgqk5u","d3ntvscddh--13485wsgqk5u","Bazoges-en-Pareds (Vendée)","Bazoges-en-Pareds | Bazoges","arrondissement : 851 | canton : La Châtaigneraie",,"Vendée (Pays-de-la-Loire, département) [d3ntb8zyab--2c8c3pwikhah]","85014","POINT(400600 6624700)","http://id.insee.fr/geo/commune/85014 | http://data.ign.fr/id/geofla/commune/85014 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/85014","Mouilleron-en-Pareds (Vendée) [d3ntw2a0yi-170m9rkm86hw7] | La Jaudonnière (Vendée) [d3ntw1v6sw--1eb5v053zt73e] | Tallud-Sainte-Gemme (Vendée) [d3ntw3i6pk-1vtv5e2ly21du] | Sigournais (Vendée) [d3ntw3gyy9--ljmccuaqzt7n] | Saint-Maurice-le-Girard (Vendée) [d3ntw3780q--1n31ugapfizfs] | Chantonnay (Vendée) [d3ntvsyrke-g6fjp2ozuf9c] | Thouarsais-Bouildroux (Vendée) [d3ntw3ks9g--z38wbep5us52] | Chavagnes-les-Redoux (Vendée) [d3ntw1e79d-kaktcfi0son8] | La Caillère-Saint-Hilaire (Vendée) [d3ntvsmbmt--z94ueco3y46r]"
