"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntgb7tf6-7654m5rieza2","d3ntgb7tf6-7654m5rieza2","Aix-en-Diois (Drôme)","Crémezin | Cramesin | Aix-en-Diois","arrondissement : 261 | canton : Die","1er janvier 2016 : Aix-en-Diois devient commune déléguée (chef-lieu) au sein de Solaure en Diois (commune nouvelle).Création de la commune nouvelle de Solaure en Diois en lieu et place des communes d'Aix-en-Diois et de Molières-Glandaz devenues déléguées.Molières-Glandaz devient commune déléguée au sein de Solaure en Diois (commune nouvelle).","Drôme (Rhône-Alpes, département) [d3ntb7lpqq-1mxfdar3kkm5j]","26001","POINT(890100 6404000)","http://id.insee.fr/geo/commune/26001 | http://data.ign.fr/id/geofla/commune/26001 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/26001","Barsac (Drôme) [d3ntgbhafp--e60ddajheus] | Aurel (Drôme) [d3ntgbea84-68a10rtl5c9j] | Montmaur-en-Diois (Drôme) [d3ntgdefpu-1kylst0lyxe4g] | Laval-d'Aix (Drôme) [d3ntgcwfbb-1eat85o13de06] | Die (Drôme) [d3ntgceo6i--mqfp506jh4hj] | Saint-Roman (Drôme) [d3ntgeo1mu-17itf644zg0qt]"
"place/FRAN_RI_005-d3ntgb8527--19naed21qwftj","d3ntgb8527--19naed21qwftj","Albon (Drôme)","Albon | Saint-Rambert-d'Albon | Anneyron | Andancette","arrondissement : 263 | canton : Saint-Vallier",,"Drôme (Rhône-Alpes, département) [d3ntb7lpqq-1mxfdar3kkm5j]","26002","POINT(845000 6462300)","http://id.insee.fr/geo/commune/26002 | http://data.ign.fr/id/geofla/commune/26002 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/26002","Fay-le-Clos (Drôme) [d3ntgclswu-5a999enuiwhf] | Andancette (Drôme) [d3ntgbak5b--13gram3p8d9pp] | Anneyron (Drôme) [d3ntgbaxao-mwof6i07u7pt] | La Motte-de-Galaure (Drôme) [d3ntgdihfo--1psbk1t8bkwwa] | Saint-Uze (Drôme) [d3ntgepsks--n2jaurt3tket] | Beausemblant (Drôme) [d3ntgbm6ri--1p7e72f2foxot] | Saint-Rambert-d'Albon (Drôme) [d3ntgen9m0-1fqc2pm3nkx4o]"
"place/FRAN_RI_005-d3ntgb8h4s--c5uanwh064pi","d3ntgb8h4s--c5uanwh064pi","Aleyrac (Drôme)","Aleyrac","arrondissement : 262 | canton : Dieulefit","1er février 2006 : Aleyrac passe de l'arrondissement de Valence à l'arrondissement de Nyons.","Drôme (Rhône-Alpes, département) [d3ntb7lpqq-1mxfdar3kkm5j]","26003","POINT(854000 6379600)","http://id.insee.fr/geo/commune/26003 | http://data.ign.fr/id/geofla/commune/26003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/26003","La Bégude-de-Mazenc (Drôme) [d3ntgbpeay-3k5iae5yx2w0] | Montjoyer (Drôme) [d3ntgdd7yi--zg9a20517j1r] | Taulignan (Drôme) [d3ntgevh56-1c6mcegqg88yp] | Portes-en-Valdaine (Drôme) [d3ntgduwi8-1ew6n1fd8g84o] | Le Poët-Laval (Drôme) [d3ntgds3u8--1qhbpt821j55e] | Salles-sous-Bois (Drôme) [d3ntgeqt80--gkd77st2ej2o]"
"place/FRAN_RI_005-d3ntgb8w08--iw2wwq4cpo42","d3ntgb8w08--iw2wwq4cpo42","Alixan (Drôme)","Saint-Marcel-lès-Valence | Alixan","arrondissement : 263 | canton : Bourg-de-Péage",,"Drôme (Rhône-Alpes, département) [d3ntb7lpqq-1mxfdar3kkm5j]","26004","POINT(859800 6432600)","http://id.insee.fr/geo/commune/26004 | http://data.ign.fr/id/geofla/commune/26004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/26004","Châteauneuf-sur-Isère (Drôme) [d3ntgc3q4y-txwjidrni0le] | Bourg-de-Péage (Drôme) [d3ntgbtpi8--1wsh78zpx8k1p] | Bésayes (Drôme) [d3ntgbr1sq-oaad8accfvmj] | Saint-Marcel-lès-Valence (Drôme) [d3ntgeie59--1ams1n0asv7tc] | Chatuzange-le-Goubet (Drôme) [d3ntgc5mwg-1m4b9a6bfajav] | Charpey (Drôme) [d3ntgc1v3k--18f0o92hs9tu1] | Valence (Drôme) [d3ntgf0pra-7gtf10mpdqje] | Montélier (Drôme) [d3ntgdayh6--1aj1fknmcl3wv]"
"place/FRAN_RI_005-d3ntgb98q2-pnsg7huu8lcq","d3ntgb98q2-pnsg7huu8lcq","Allan (Drôme)","Allau | Allan","arrondissement : 262 | canton : Montélimar 2e Canton","1er février 2006 : Allan passe de l'arrondissement de Valence à l'arrondissement de Nyons.","Drôme (Rhône-Alpes, département) [d3ntb7lpqq-1mxfdar3kkm5j]","26005","POINT(842000 6379400)","http://id.insee.fr/geo/commune/26005 | http://data.ign.fr/id/geofla/commune/26005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/26005","Montélimar (Drôme) [d3ntgdbbmk--1u5gdx2n0x651] | Montjoyer (Drôme) [d3ntgdd7yi--zg9a20517j1r] | Châteauneuf-du-Rhône (Drôme) [d3ntgc432k--1ueqdssri1dp0] | Réauville (Drôme) [d3ntge0i9p--fnb4gyjailvc] | Espeluche (Drôme) [d3ntgchbgh-k17vvco6kr97] | Roussas (Drôme) [d3ntge8dy2-zet97nsmih85] | Malataverne (Drôme) [d3ntgd0kp3--qfkpse8w09bz]"
"place/FRAN_RI_005-d3ntgb9kd4--1x02dqx075kzj","d3ntgb9kd4--1x02dqx075kzj","Allex (Drôme)","Savel | Allex","arrondissement : 261 | canton : Crest-Nord",,"Drôme (Rhône-Alpes, département) [d3ntb7lpqq-1mxfdar3kkm5j]","26006","POINT(851600 6409000)","http://id.insee.fr/geo/commune/26006 | http://data.ign.fr/id/geofla/commune/26006 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/26006","Eurre (Drôme) [d3ntgcis1y--12ne3gb0t1o1x] | Chabrillan (Drôme) [d3ntgbwjok-1wur48oy2obs3] | Grane (Drôme) [d3ntgcq8n3-79r8ynhqaacn] | Upie (Drôme) [d3ntgezbyp-1ih3zz8glicpb] | Livron-sur-Drôme (Drôme) [d3ntgcyt3v-1maxpmc1oglkd] | Montoison (Drôme) [d3ntgdff2h--1lh1xwx50hoq3] | Ambonil (Drôme) [d3ntgb9w7x-8g6tt16e01lc]"
"place/FRAN_RI_005-d3ntgb9w7x-8g6tt16e01lc","d3ntgb9w7x-8g6tt16e01lc","Ambonil (Drôme)","Ambouil | Ambonil","arrondissement : 263 | canton : Loriol-sur-Drôme",,"Drôme (Rhône-Alpes, département) [d3ntb7lpqq-1mxfdar3kkm5j]","26007","POINT(850900 6412400)","http://id.insee.fr/geo/commune/26007 | http://data.ign.fr/id/geofla/commune/26007 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/26007","Montoison (Drôme) [d3ntgdff2h--1lh1xwx50hoq3] | Allex (Drôme) [d3ntgb9kd4--1x02dqx075kzj]"
"place/FRAN_RI_005-d3ntgba82q-1iqndb01bnmnu","d3ntgba82q-1iqndb01bnmnu","Ancône (Drôme)","Aubignan | Anconne | Ancône","arrondissement : 262 | canton : Montélimar 1er Canton","1er février 2006 : Ancône passe de l'arrondissement de Valence à l'arrondissement de Nyons.","Drôme (Rhône-Alpes, département) [d3ntb7lpqq-1mxfdar3kkm5j]","26008","POINT(837100 6388400)","http://id.insee.fr/geo/commune/26008 | http://data.ign.fr/id/geofla/commune/26008 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/26008","Montélimar (Drôme) [d3ntgdbbmk--1u5gdx2n0x651] | Rochemaure (Ardèche) [d3ntdffeco-i2whbh7ye6cw]"
"place/FRAN_RI_005-d3ntgbak5b--13gram3p8d9pp","d3ntgbak5b--13gram3p8d9pp","Andancette (Drôme)","Andancette | Beaumes","arrondissement : 263 | canton : Saint-Vallier",,"Drôme (Rhône-Alpes, département) [d3ntb7lpqq-1mxfdar3kkm5j]","26009","POINT(841700 6461800)","http://id.insee.fr/geo/commune/26009 | http://data.ign.fr/id/geofla/commune/26009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/26009","Laveyron (Drôme) [d3ntgcws16--g50ct0vepq1j] | Andance (Ardèche) [d3ntddikhu-1vs186x6atbto] | Albon (Drôme) [d3ntgb8527--19naed21qwftj] | Champagne (Ardèche) [d3ntde0xm6--1cbzuaobzuoyn] | Saint-Désirat (Ardèche) [d3ntdft1m1--xzz303ps43hg] | Beausemblant (Drôme) [d3ntgbm6ri--1p7e72f2foxot] | Saint-Rambert-d'Albon (Drôme) [d3ntgen9m0-1fqc2pm3nkx4o]"
"place/FRAN_RI_005-d3ntgbaxao-mwof6i07u7pt","d3ntgbaxao-mwof6i07u7pt","Anneyron (Drôme)","Anneyron | Urban | Mantailles","arrondissement : 263 | canton : Saint-Vallier",,"Drôme (Rhône-Alpes, département) [d3ntb7lpqq-1mxfdar3kkm5j]","26010","POINT(848000 6465200)","http://id.insee.fr/geo/commune/26010 | http://data.ign.fr/id/geofla/commune/26010 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/26010","Fay-le-Clos (Drôme) [d3ntgclswu-5a999enuiwhf] | Châteauneuf-de-Galaure (Drôme) [d3ntgc37ll-1t0ogzihtv728] | Saint-Sorlin-en-Valloire (Drôme) [d3ntgep1uj--1nazelc4v73x4] | Epinouze (Drôme) [d3ntgcgf4g-ssdywsiy9zrc] | Albon (Drôme) [d3ntgb8527--19naed21qwftj] | Bougé-Chambalud (Isère) [d3nti66p07--1xmz10pcpx7dj] | Saint-Rambert-d'Albon (Drôme) [d3ntgen9m0-1fqc2pm3nkx4o] | Mureils (Drôme) [d3ntgdjoz8-nngm2anf4rgn]"
"place/FRAN_RI_005-d3ntgbba0j--xyadg02nxx7x","d3ntgbba0j--xyadg02nxx7x","Aouste-sur-Sye (Drôme)","Aouste-sur-Sye","arrondissement : 261 | canton : Crest-Nord",,"Drôme (Rhône-Alpes, département) [d3ntb7lpqq-1mxfdar3kkm5j]","26011","POINT(862800 6403900)","http://id.insee.fr/geo/commune/26011 | http://data.ign.fr/id/geofla/commune/26011 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/26011","Suze (Drôme) [d3ntgeut7s-1q2g5acj2qakf] | Divajeu (Drôme) [d3ntgcfewr-16b3wuph3qfba] | Crest (Drôme) [d3ntgcd7ss--15c3djlljbx3z] | Mirabel-et-Blacons (Drôme) [d3ntgd5pv2--9urrulqaff9y] | Piégros-la-Clastre (Drôme) [d3ntgdpab7--qcby5n2xcgro] | Cobonne (Drôme) [d3ntgc96ap-b2bwb3t8msyi] | Soyans (Drôme) [d3ntgeu16z-uz2nzjst2pb9] | Saou (Drôme) [d3ntger52t--1j9ch9t8753ym]"
"place/FRAN_RI_005-d3ntgbbmy5-wod7ux403l4v","d3ntgbbmy5-wod7ux403l4v","Arnayon (Drôme)","Bédoin | Arnayon","arrondissement : 261 | canton : La Motte-Chalancon",,"Drôme (Rhône-Alpes, département) [d3ntb7lpqq-1mxfdar3kkm5j]","26012","POINT(884200 6379300)","http://id.insee.fr/geo/commune/26012 | http://data.ign.fr/id/geofla/commune/26012 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/26012","Cornillon-sur-l'Oule (Drôme) [d3ntgcbi5e-1xabt48i561m1] | Villeperdrix (Drôme) [d3ntgf6z8e-17fxiu9vzmada] | La Motte-Chalancon (Drôme) [d3ntgdi2ch--8wewbv2vc1fk] | Chalancon (Drôme) [d3ntgbxg0k--jobr0337fo1q] | Gumiane (Drôme) [d3ntgcrbvg--1g2v1gc39pb2h] | Chaudebonne (Drôme) [d3ntgc601t--5gwswzc2csf1]"
"place/FRAN_RI_005-d3ntgbbz8g--1npg2cezg97t7","d3ntgbbz8g--1npg2cezg97t7","Arpavon (Drôme)","Blauvac | Arpavon","arrondissement : 262 | canton : Nyons",,"Drôme (Rhône-Alpes, département) [d3ntb7lpqq-1mxfdar3kkm5j]","26013","POINT(880600 6366000)","http://id.insee.fr/geo/commune/26013 | http://data.ign.fr/id/geofla/commune/26013 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/26013","Rochebrune (Drôme) [d3ntge2v77--af36k9u30rhw] | Sahune (Drôme) [d3ntge9t8z-1i0gxm97md9ul] | Montaulieu (Drôme) [d3ntgd86o8-ivycmsy8udod] | Le Poët-Sigillat (Drôme) [d3ntgdsjcy-n81yo2rq5pig] | Sainte-Jalle (Drôme) [d3ntgefzpg--1int2m6wpsi6v] | Montréal-les-Sources (Drôme) [d3ntgdfrct--cvdhrnz5v9mn] | Curnier (Drôme) [d3ntgcebgn-11fun8uh0oi6q]"
"place/FRAN_RI_005-d3ntgbcif4--1oq0pz3wd8ire","d3ntgbcif4--1oq0pz3wd8ire","Arthémonay (Drôme)","Le Chalon | Bollène | Arthémonay","arrondissement : 263 | canton : Saint-Donat-sur-l'Herbasse",,"Drôme (Rhône-Alpes, département) [d3ntb7lpqq-1mxfdar3kkm5j]","26014","POINT(861400 6451400)","http://id.insee.fr/geo/commune/26014 | http://data.ign.fr/id/geofla/commune/26014 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/26014","Peyrins (Drôme) [d3ntgdnojh-1f1a86euw9uqb] | Crépol (Drôme) [d3ntgcc6q1-157bhftl6dby4] | Margès (Drôme) [d3ntgd2gds-1cnmauz39ewcn] | Le Chalon (Drôme) [d3ntgbxsqf-8vhubokxpdqr] | Geyssans (Drôme) [d3ntgcosh5-13awl7cpfwxvn]"
"place/FRAN_RI_005-d3ntgbcw7r-9a7rvhbtbpct","d3ntgbcw7r-9a7rvhbtbpct","Aubenasson (Drôme)","Brantes | Aubenasson","arrondissement : 261 | canton : Saillans",,"Drôme (Rhône-Alpes, département) [d3ntb7lpqq-1mxfdar3kkm5j]","26015","POINT(869500 6400700)","http://id.insee.fr/geo/commune/26015 | http://data.ign.fr/id/geofla/commune/26015 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/26015","Saint-Sauveur-en-Diois (Drôme) [d3ntgeoekg--gm43y1l4mko3] | Saillans (Drôme) [d3ntgea5yt--1ksmfey1oduy8] | Mirabel-et-Blacons (Drôme) [d3ntgd5pv2--9urrulqaff9y] | Piégros-la-Clastre (Drôme) [d3ntgdpab7--qcby5n2xcgro] | Saou (Drôme) [d3ntger52t--1j9ch9t8753ym]"
"place/FRAN_RI_005-d3ntgbd8ac-1h15skbs4wm86","d3ntgbd8ac-1h15skbs4wm86","Aubres (Drôme)","Buisson | Aubres","arrondissement : 262 | canton : Nyons",,"Drôme (Rhône-Alpes, département) [d3ntb7lpqq-1mxfdar3kkm5j]","26016","POINT(872700 6366500)","http://id.insee.fr/geo/commune/26016 | http://data.ign.fr/id/geofla/commune/26016 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/26016","Châteauneuf-de-Bordette (Drôme) [d3ntgc2vyj--tfjp3iuhgs92] | Venterol (Drôme) [d3ntgf2qtz--16de254c7pyhy] | Teyssières (Drôme) [d3ntgew8ay-10rk2mavyyttm] | Les Pilles (Drôme) [d3ntgdqcw9-e3cgrihl62fd] | Condorcet (Drôme) [d3ntgcau80--1ndsocfohzz47] | Nyons (Drôme) [d3ntgdk1wu-1ux8c03gxeyi6]"
