"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntddffbr-128bnhje9ekry","d3ntddffbr-128bnhje9ekry","Accons (Ardèche)","Bressac | Accons","arrondissement : 73 | canton : Le Cheylard",,"Ardèche (Rhône-Alpes, département) [d3ntb73jy7-1pnyw2kxo9ifh]","07001","POINT(809500 6421700)","http://id.insee.fr/geo/commune/07001 | http://data.ign.fr/id/geofla/commune/07001 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/07001","Le Cheylard (Ardèche) [d3ntde4qpn--h7202qlk4o5m] | Saint-Martin-de-Valamas (Ardèche) [d3ntdga94o--10asr61dlmx1g] | Jaunac (Ardèche) [d3ntdel90c--o4np8z06ftdn] | Mariac (Ardèche) [d3ntdf1ubp-18c2055l5sqss] | Saint-Christol (Ardèche) [d3ntdfpwfy-1pwuctq407m8h] | Dornas (Ardèche) [d3ntdebnwd-4e6w907c99av]"
"place/FRAN_RI_005-d3ntddfqja-1cspdavc6h763","d3ntddfqja-1cspdavc6h763","Ailhon (Ardèche)","Chames | Ailhon","arrondissement : 71 | canton : Aubenas","1er mars 2007 : Ailhon passe de l'arrondissement de Privas à l'arrondissement de Largentière.","Ardèche (Rhône-Alpes, département) [d3ntb73jy7-1pnyw2kxo9ifh]","07002","POINT(806500 6389600)","http://id.insee.fr/geo/commune/07002 | http://data.ign.fr/id/geofla/commune/07002 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/07002","Saint-Etienne-de-Fontbellon (Ardèche) [d3ntdftzo4--a78hzxqkq3hb] | Prades (Ardèche) [d3ntdfcl1e-1hs2rhnio9470] | Mercuer (Ardèche) [d3ntdf3fvo-1udmo7bxeqzu9] | Chassiers (Ardèche) [d3ntde2ut7-1w7m2vgl5vl2l] | Vinezac (Ardèche) [d3ntdh108z-1h4v4q514bb4h] | Lachapelle-sous-Aubenas (Ardèche) [d3ntdeqaie-292c4idkz65j] | Chazeaux (Ardèche) [d3ntde442t--ljhpvfvr1013] | Lentillères (Ardèche) [d3ntdewkms-1pfp57xqwuthi] | Fons (Ardèche) [d3ntdeen15-dsird5unl9o6] | Saint-Sernin (Ardèche) [d3ntdgjouo-1ja72l6loupgf]"
"place/FRAN_RI_005-d3ntddg1j2--186l59em807go","d3ntddg1j2--186l59em807go","Aizac (Ardèche)","Creyssac | Ayzac | Aizac","arrondissement : 71 | canton : Antraigues-sur-Volane","1er mars 2007 : Aizac passe de l'arrondissement de Privas à l'arrondissement de Largentière.","Ardèche (Rhône-Alpes, département) [d3ntb73jy7-1pnyw2kxo9ifh]","07003","POINT(805100 6402500)","http://id.insee.fr/geo/commune/07003 | http://data.ign.fr/id/geofla/commune/07003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/07003","Antraigues-sur-Volane (Ardèche) [d3ntddj6ww-u88jzg732ssw] | Juvinas (Ardèche) [d3ntdem6up-7gt9n9uis9vf] | Labastide-sur-Bésorgues (Ardèche) [d3ntdemi28-1bin42z0vgicx]"
"place/FRAN_RI_005-d3ntddgcql--1lwtqg3vurfu","d3ntddgcql--1lwtqg3vurfu","Ajoux (Ardèche)","Haut-Balbiac | Ajoux","arrondissement : 72 | canton : Privas",,"Ardèche (Rhône-Alpes, département) [d3ntb73jy7-1pnyw2kxo9ifh]","07004","POINT(818100 6407400)","http://id.insee.fr/geo/commune/07004 | http://data.ign.fr/id/geofla/commune/07004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/07004","Creysseilles (Ardèche) [d3ntde8iar--11zvrpzvltdhz] | Saint-Etienne-de-Serre (Ardèche) [d3ntdfum36--1br167cqrckiy] | Saint-Julien-du-Gua (Ardèche) [d3ntdg1uhf-1bxcgowd5ltl1] | Gourdon (Ardèche) [d3ntdehgry-hclvasc7yqaa] | Issamoulenc (Ardèche) [d3ntdejcoe-1dwawe33m2hn8] | Pourchères (Ardèche) [d3ntdfbxjj--1ld8zbn2mfykn]"
"place/FRAN_RI_005-d3ntddgo5v--x8vsjj1drkr4","d3ntddgo5v--x8vsjj1drkr4","Alba-la-Romaine (Ardèche)","Alba-la-Romaine | Alba","arrondissement : 72 | canton : Viviers","6 juin 1986 : Alba devient Alba-la-Romaine.","Ardèche (Rhône-Alpes, département) [d3ntb73jy7-1pnyw2kxo9ifh]","07005","POINT(826900 6385200)","http://id.insee.fr/geo/commune/07005 | http://data.ign.fr/id/geofla/commune/07005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/07005","Saint-Thomé (Ardèche) [d3ntdgkyjt-qxikpwalrjil] | Saint-Pons (Ardèche) [d3ntdgg89a--qp1htism6dne] | Sceautres (Ardèche) [d3ntdgp1k8--1hc43y2a7llnk] | Aubignas (Ardèche) [d3ntddmmuz--1ny9lcekv3dpq] | Villeneuve-de-Berg (Ardèche) [d3ntdh0dm6--1x9pgtt0ahivl] | Valvignères (Ardèche) [d3ntdgwx0t--depvfocuu1n6] | Saint-Andéol-de-Berg (Ardèche) [d3ntdfm47j-na37eaa0379w] | Saint-Jean-le-Centenier (Ardèche) [d3ntdfzby6-a3c1drcagujh] | Le Teil (Ardèche) [d3ntdgrqzt--wshnwn2qv1ec]"
"place/FRAN_RI_005-d3ntddhlkp-10l4v5mstkgk","d3ntddhlkp-10l4v5mstkgk","Albon-d'Ardèche (Ardèche)","Saint-Georges | Albon-d'Ardèche | Albon","arrondissement : 72 | canton : Saint-Pierreville","1er janvier 2001 : Albon devient Albon-d'Ardèche. 1er janvier 2017 : Albon-d'Ardèche passe de l'arrondissement de Privas à l'arrondissement de Tournon-sur-Rhône.","Ardèche (Rhône-Alpes, département) [d3ntb73jy7-1pnyw2kxo9ifh]","07006","POINT(812800 6414500)","http://id.insee.fr/geo/commune/07006 | http://data.ign.fr/id/geofla/commune/07006 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/07006","Marcols-les-Eaux (Ardèche) [d3ntdf0w1u--tmbar9dxrzj0] | Saint-Genest-Lachamp (Ardèche) [d3ntdfx4u7-182gms8czyhm4] | Issamoulenc (Ardèche) [d3ntdejcoe-1dwawe33m2hn8] | Saint-Pierreville (Ardèche) [d3ntdgfwu0-jge4d6zs2wrm]"
"place/FRAN_RI_005-d3ntddhxn9-14rkh53hgdayx","d3ntddhxn9-14rkh53hgdayx","Alboussière (Ardèche)","Saint-Didier-de-Crussol | Royas | Didier | Alboussière","arrondissement : 73 | canton : Saint-Péray",,"Ardèche (Rhône-Alpes, département) [d3ntb73jy7-1pnyw2kxo9ifh]","07007","POINT(836300 6428600)","http://id.insee.fr/geo/commune/07007 | http://data.ign.fr/id/geofla/commune/07007 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/07007","Gilhoc-sur-Ormèze (Ardèche) [d3ntdegipu-1bwnl1jckslt3] | Saint-Barthélemy-Grozon (Ardèche) [d3ntdfon6b--1itxyglzrbwdp] | Saint-Péray (Ardèche) [d3ntdgeckm-1umd60wsewi0d] | Toulaud (Ardèche) [d3ntdgu278--dhlwrsbpsp4y] | Champis (Ardèche) [d3ntde19wi-1dfjvjnlyqq42] | Boffres (Ardèche) [d3ntddrod0--1xyrbd091sl9y]"
"place/FRAN_RI_005-d3ntddi92j-cimomsyk43vx","d3ntddi92j-cimomsyk43vx","Alissas (Ardèche)","Alissas","arrondissement : 72 | canton : Privas",,"Ardèche (Rhône-Alpes, département) [d3ntb73jy7-1pnyw2kxo9ifh]","07008","POINT(829100 6402800)","http://id.insee.fr/geo/commune/07008 | http://data.ign.fr/id/geofla/commune/07008 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/07008","Freyssenet (Ardèche) [d3ntdeey8o-vz6wh9me3j6d] | Chomérac (Ardèche) [d3ntde5zz9-182wy8ve5gcao] | Rochessauve (Ardèche) [d3ntdfgxys-17xvjeob32tq9] | Privas (Ardèche) [d3ntdfdu39-1r81t5mh1jdi5] | Coux (Ardèche) [d3ntde7vvp-2feyrgyx2you]"
"place/FRAN_RI_005-d3ntddikhu-1vs186x6atbto","d3ntddikhu-1vs186x6atbto","Andance (Ardèche)","Andance","arrondissement : 73 | canton : Serrières",,"Ardèche (Rhône-Alpes, département) [d3ntb73jy7-1pnyw2kxo9ifh]","07009","POINT(841100 6461700)","http://id.insee.fr/geo/commune/07009 | http://data.ign.fr/id/geofla/commune/07009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/07009","Laveyron (Drôme) [d3ntgcws16--g50ct0vepq1j] | Andancette (Drôme) [d3ntgbak5b--13gram3p8d9pp] | Saint-Etienne-de-Valoux (Ardèche) [d3ntdfuxih--14xshmu0y38e1] | Saint-Désirat (Ardèche) [d3ntdft1m1--xzz303ps43hg] | Talencieux (Ardèche) [d3ntdgr4kr-hm4j4meacv8i] | Sarras (Ardèche) [d3ntdgo2uu-n0y234nyd29u]"
"place/FRAN_RI_005-d3ntddivpd--moeta3g46v9r","d3ntddivpd--moeta3g46v9r","Annonay (Ardèche)","Annonay","arrondissement : 73",,"Ardèche (Rhône-Alpes, département) [d3ntb73jy7-1pnyw2kxo9ifh]","07010","POINT(831000 6461400)","http://id.insee.fr/geo/commune/07010 | http://data.ign.fr/id/geofla/commune/07010 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/07010","Davézieux (Ardèche) [d3ntde9rke--1lvzoldxiwghx] | Villevocance (Ardèche) [d3ntdh0p1g--g8znr2moqn2p] | Vanosc (Ardèche) [d3ntdgx8g3-t5yg3a5hbedo] | Boulieu-lès-Annonay (Ardèche) [d3ntddttqw-1xqxozpns5lvv] | Roiffieux (Ardèche) [d3ntdfhwge--1g7pllp5gdrzi] | Burdignes (Loire) [d3ntiph68r-1v2und1m0u8sg] | Vernosc-lès-Annonay (Ardèche) [d3ntdgz3p9--18yk8lqzsr0ss]"
