"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntdv6a8d-6p3vx2pp7xyk","d3ntdv6a8d-6p3vx2pp7xyk","Aigues-Vives (Aude)","Aigues-Vives","arrondissement : 111 | canton : Peyriac-Minervois",,"Aude (Languedoc-Roussillon, département) [d3ntb76w0m--snagmafhvgey]","11001","POINT(662000 6236900)","http://id.insee.fr/geo/commune/11001 | http://data.ign.fr/id/geofla/commune/11001 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/11001","Marseillette (Aude) [d3ntdxe11x-1exk648hqrrj3] | Laure-Minervois (Aude) [d3ntdx64y2-m2am8fzgrmhp] | Saint-Frichoux (Aude) [d3ntdyljqn--16ezy24dvoih6] | Badens (Aude) [d3ntdveggy--1iswpdfac0x7h]"
"place/FRAN_RI_005-d3ntdv6p3t--1hz9aqe516jbz","d3ntdv6p3t--1hz9aqe516jbz","Airoux (Aude)","Airoux | Airoix","arrondissement : 111 | canton : Castelnaudary-Nord",,"Aude (Languedoc-Roussillon, département) [d3ntb76w0m--snagmafhvgey]","11002","POINT(608000 6252200)","http://id.insee.fr/geo/commune/11002 | http://data.ign.fr/id/geofla/commune/11002 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/11002","Soupex (Aude) [d3ntdz6iuf--1etlv9xmn5fhx] | Montmaur (Aude) [d3ntdxosew--c7r55eu01qk0] | Montferrand (Aude) [d3ntdxlusf--8uv05qkecrbh] | Ricaud (Aude) [d3ntdyafvk--17qdo6j41rzkt] | Labastide-d'Anjou (Aude) [d3ntdwyue7--mc5aalp5549d]"
"place/FRAN_RI_005-d3ntdv7296--dmsq3kegm941","d3ntdv7296--dmsq3kegm941","Ajac (Aude)","Ajac","arrondissement : 112 | canton : Limoux",,"Aude (Languedoc-Roussillon, département) [d3ntb76w0m--snagmafhvgey]","11003","POINT(629600 6216800)","http://id.insee.fr/geo/commune/11003 | http://data.ign.fr/id/geofla/commune/11003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/11003","Villelongue-d'Aude (Aude) [d3ntdzngg3-1sf7ccmqblp08] | Malras (Aude) [d3ntdxbudh--1gv3jehts1jr9] | La Bezole (Aude) [d3ntdvkl7c--5v3p1st322d5] | La Digne-d'Amont (Aude) [d3ntdwd8vd-2zm714mh1i17] | Loupia (Aude) [d3ntdx9efc--2btb5efz8t1x] | Castelreng (Aude) [d3ntdvyd7f-qrwozspfgaz1] | La Digne-d'Aval (Aude) [d3ntdwdkq6--1dttby36s9x2e]"
"place/FRAN_RI_005-d3ntdv7er9-1kecb9fgzjxva","d3ntdv7er9-1kecb9fgzjxva","Alaigne (Aude)","Alaigne","arrondissement : 112 | canton : Alaigne",,"Aude (Languedoc-Roussillon, département) [d3ntb76w0m--snagmafhvgey]","11004","POINT(625900 6222800)","http://id.insee.fr/geo/commune/11004 | http://data.ign.fr/id/geofla/commune/11004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/11004","Routier (Aude) [d3ntdyg7oc-10txdv239aysz] | Villelongue-d'Aude (Aude) [d3ntdzngg3-1sf7ccmqblp08] | Loupia (Aude) [d3ntdx9efc--2btb5efz8t1x] | Bellegarde-du-Razès (Aude) [d3ntdvi51f--1xj1dseahzikt] | Donazac (Aude) [d3ntdwdwd8-19xun98behiju] | Monthaut (Aude) [d3ntdxn5zw-k5aae9t4o3is] | Belvèze-du-Razès (Aude) [d3ntdvix29--1f4e4ir9mvp8j]"
"place/FRAN_RI_005-d3ntdv7qtu-6yhotrr6j4kw","d3ntdv7qtu-6yhotrr6j4kw","Alairac (Aude)","Aleirac | Alairac","arrondissement : 111 | canton : Montréal",,"Aude (Languedoc-Roussillon, département) [d3ntb76w0m--snagmafhvgey]","11005","POINT(638200 6231900)","http://id.insee.fr/geo/commune/11005 | http://data.ign.fr/id/geofla/commune/11005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/11005","Roullens (Aude) [d3ntdyfve1-511lk5d7pjco] | Lavalette (Aude) [d3ntdx6hnw-1xvog33aqnc0j] | Arzens (Aude) [d3ntdvco8f-1kp4sxe8vsv85] | Villarzel-du-Razès (Aude) [d3ntdzjns6-1ss9bt2quwnjz] | Caux-et-Sauzens (Aude) [d3ntdw0gfp--i39dja1of0bw] | Montclar (Aude) [d3ntdxlj5e-1warm7assxoo3] | Montréal (Aude) [d3ntdxpk07--gkyv5heiu9qu]"
"place/FRAN_RI_005-d3ntdv82on-19s0z3z0fzcbm","d3ntdv82on-19s0z3z0fzcbm","Albas (Aude)","Albas","arrondissement : 113 | canton : Durban-Corbières",,"Aude (Languedoc-Roussillon, département) [d3ntb76w0m--snagmafhvgey]","11006","POINT(678300 6211800)","http://id.insee.fr/geo/commune/11006 | http://data.ign.fr/id/geofla/commune/11006 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/11006","Durban-Corbières (Aude) [d3ntdwewd6-1x4yy9qx9mb3z] | Fontjoncouse (Aude) [d3ntdwpcqd-1d0k9axg171w1] | Talairan (Aude) [d3ntdz751p--w9k09au7x2is] | Quintillan (Aude) [d3ntdy7oae-kekjufplfgrn] | Jonquières (Aude) [d3ntdwy6wc-12tt67j82duhz] | Cascastel-des-Corbières (Aude) [d3ntdvvo7d--1xwgk5mzj1i71]"
"place/FRAN_RI_005-d3ntdv8hru-1tde7as9gzown","d3ntdv8hru-1tde7as9gzown","Albières (Aude)","Albières","arrondissement : 111 | canton : Mouthoumet","1er janvier 2017 : Albières passe de l'arrondissement de Carcassonne à l'arrondissement de Narbonne.","Aude (Languedoc-Roussillon, département) [d3ntb76w0m--snagmafhvgey]","11007","POINT(657300 6205400)","http://id.insee.fr/geo/commune/11007 | http://data.ign.fr/id/geofla/commune/11007 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/11007","Bouisse (Aude) [d3ntdvmeaw-oaf66i0r71ta] | Fourtou (Aude) [d3ntdwqcik-bqhrs6drqlqm] | Auriac (Aude) [d3ntdvdeyo-1wtt76wkz5y3o] | Lanet (Aude) [d3ntdx25dt-tswtzakfy4ji] | Arques (Aude) [d3ntdvbk51--ad6fw0ilr3gu]"
"place/FRAN_RI_005-d3ntdv8uhp-573uwvmvq09a","d3ntdv8uhp-573uwvmvq09a","Alet-les-Bains (Aude)","Véraza | Aleth | Alet-les-Bains | Alet","arrondissement : 112 | canton : Limoux","22 juin 1961 : Alet devient Alet-les-Bains.","Aude (Languedoc-Roussillon, département) [d3ntb76w0m--snagmafhvgey]","11008","POINT(639300 6211000)","http://id.insee.fr/geo/commune/11008 | http://data.ign.fr/id/geofla/commune/11008 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/11008","Véraza (Aude) [d3ntdzg1da-1a8gof48cx2n9] | Magrie (Aude) [d3ntdxav0t-a3xaq96aonj3] | Cournanel (Aude) [d3ntdw8e9n-3ufab3u166a2] | Montazels (Aude) [d3ntdxktxg--yadgv03xn6pd] | Antugnac (Aude) [d3ntdv9hrs-1ow3e5r0bicl3] | Limoux (Aude) [d3ntdx8zjw--19l4rbyyc5zod] | Roquetaillade (Aude) [d3ntdyegim--kfg4zi1percu] | Luc-sur-Aude (Aude) [d3ntdxa37r-ppy38ky8z1hw]"
"place/FRAN_RI_005-d3ntdv96ci--1b6i6kxhz9oap","d3ntdv96ci--1b6i6kxhz9oap","Alzonne (Aude)","Alzonne","arrondissement : 111 | canton : Alzonne",,"Aude (Languedoc-Roussillon, département) [d3ntb76w0m--snagmafhvgey]","11009","POINT(633100 6239700)","http://id.insee.fr/geo/commune/11009 | http://data.ign.fr/id/geofla/commune/11009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/11009","Moussoulens (Aude) [d3ntdxraqe-1lqmz0dexyx82] | Saint-Martin-le-Vieil (Aude) [d3ntdytd1m--evvgddwtkm95] | Sainte-Eulalie (Aude) [d3ntdykuip--cnnss44wzjb3] | Bram (Aude) [d3ntdvo288--13s3q2yilwz6m] | Montolieu (Aude) [d3ntdxp72l-1hjqe9t7b50hf] | Montréal (Aude) [d3ntdxpk07--gkyv5heiu9qu] | Raissac-sur-Lampy (Aude) [d3ntdy8oac-1jnz80q5upbk7]"
"place/FRAN_RI_005-d3ntdv9hrs-1ow3e5r0bicl3","d3ntdv9hrs-1ow3e5r0bicl3","Antugnac (Aude)","Autugnac | Antugnac","arrondissement : 112 | canton : Couiza",,"Aude (Languedoc-Roussillon, département) [d3ntb76w0m--snagmafhvgey]","11010","POINT(636600 6206400)","http://id.insee.fr/geo/commune/11010 | http://data.ign.fr/id/geofla/commune/11010 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/11010","Alet-les-Bains (Aude) [d3ntdv8uhp-573uwvmvq09a] | Montazels (Aude) [d3ntdxktxg--yadgv03xn6pd] | La Serpent (Aude) [d3ntdz1g1t--fi4txutwi8f9] | Roquetaillade (Aude) [d3ntdyegim--kfg4zi1percu] | Espéraza (Aude) [d3ntdwgll2--qn7w0ch88yca] | Fa (Aude) [d3ntdwi1j9--g0yhujpjzgus]"
