"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntewa7pn-e1d1vod4srz8","d3ntewa7pn-e1d1vod4srz8","Affieux (Corrèze)","Barsanges | Affieux","arrondissement : 192 | canton : Treignac",,"Corrèze (Limousin, département) [d3ntb7grwl-94z667d9uttv]","19001","POINT(603700 6491600)","http://id.insee.fr/geo/commune/19001 | http://data.ign.fr/id/geofla/commune/19001 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/19001","Treignac (Corrèze) [d3ntezmxe4-1s5lps9iw4ysz] | Le Lonzac (Corrèze) [d3ntexxl78-1pdqljt6tz3n3] | Soudaine-Lavinadière (Corrèze) [d3ntezkmm8-1r2asaausjvze] | Peyrissac (Corrèze) [d3nteykfce-h5km4owhu360] | Veix (Corrèze) [d3ntezsr4q-vh3jccgfvd17] | Madranges (Corrèze) [d3ntexz0pw--1tgq4dycchdx5]"
"place/FRAN_RI_005-d3ntewakfi-dty8gyirbdsv","d3ntewakfi-dty8gyirbdsv","Aix (Corrèze)","Aix | Ferrière","arrondissement : 193 | canton : Eygurande",,"Corrèze (Limousin, département) [d3ntb7grwl-94z667d9uttv]","19002","POINT(651800 6502000)","http://id.insee.fr/geo/commune/19002 | http://data.ign.fr/id/geofla/commune/19002 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/19002","Merlines (Corrèze) [d3ntey35vx--12s4ybhwhtrdq] | Courteix (Corrèze) [d3ntex9786--11pilnoncghrz] | Saint-Fréjoux (Corrèze) [d3nteyz7zq-ikgpz4760g43] | Saint-Pardoux-le-Neuf (Corrèze) [d3ntez9d5e--14pwcnzjyb0bq] | Ussel (Corrèze) [d3ntezqrzw--p6m9ugtpgrvt] | Lamazière-Haute (Corrèze) [d3ntexs9kg-scnk8wx1sksn] | Eygurande (Corrèze) [d3ntexhpbk--dvw1yr463nr3] | Saint-Etienne-aux-Clos (Corrèze) [d3nteyxgeh--w0ww2xwxn5d4] | Couffy-sur-Sarsonne (Corrèze) [d3ntex8uq2-pvpgjh056txw]"
"place/FRAN_RI_005-d3ntewavus--12y4h8ie0sy2a","d3ntewavus--12y4h8ie0sy2a","Albignac (Corrèze)","La Chapelle-aux-Plats | Albignac","arrondissement : 191 | canton : Beynat",,"Corrèze (Limousin, département) [d3ntb7grwl-94z667d9uttv]","19003","POINT(596000 6449700)","http://id.insee.fr/geo/commune/19003 | http://data.ign.fr/id/geofla/commune/19003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/19003","Dampniat (Corrèze) [d3ntexa8aw-hc9a0y3lyf6k] | Palazinges (Corrèze) [d3nteycczi-1jn52rzh939vl] | Beynat (Corrèze) [d3ntewioaq-1ouaupp1dr6vs] | Lanteuil (Corrèze) [d3ntexszv7-vgcg4vz03vi7]"
"place/FRAN_RI_005-d3ntewb7pl-ri1rok5jp7n","d3ntewb7pl-ri1rok5jp7n","Albussac (Corrèze)","Le Temple | Albussac","arrondissement : 192 | canton : Argentat",,"Corrèze (Limousin, département) [d3ntb7grwl-94z667d9uttv]","19004","POINT(608400 6449400)","http://id.insee.fr/geo/commune/19004 | http://data.ign.fr/id/geofla/commune/19004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/19004","Forgès (Corrèze) [d3ntexkbaz-1ufk28uyxnvv9] | Saint-Chamant (Corrèze) [d3nteyvdtg-157hswu45i89r] | Beynat (Corrèze) [d3ntewioaq-1ouaupp1dr6vs] | Lagarde-Enval (Corrèze) [d3ntexpvzo-1hj3dntdwbpor] | Neuville (Corrèze) [d3ntey8mwo-1xrson0h9hsz6] | Ménoire (Corrèze) [d3ntey2fdf--13jzx9hphnsxi] | Sainte-Fortunade (Corrèze) [d3nteyywco-1nqhe3crmk2wp]"
"place/FRAN_RI_005-d3ntewbj4w--ugjz2ec7ncf6","d3ntewbj4w--ugjz2ec7ncf6","Allassac (Corrèze)","Mascheix | Allassac","arrondissement : 191 | canton : Donzenac",,"Corrèze (Limousin, département) [d3ntb7grwl-94z667d9uttv]","19005","POINT(580400 6463200)","http://id.insee.fr/geo/commune/19005 | http://data.ign.fr/id/geofla/commune/19005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/19005","Voutezac (Corrèze) [d3ntezvemh--792siiogldhp] | Objat (Corrèze) [d3nteyaczm-130su9n2b2d0z] | Yssandon (Corrèze) [d3ntezvv09--1o7p2s0lwchef] | Saint-Aulaire (Corrèze) [d3nteyrbgc-ghewvtac5ukq] | Estivaux (Corrèze) [d3ntexh21h--4158yxa0pbke] | Saint-Viance (Corrèze) [d3ntezezk6-tumbqkvcfjw0] | Sadroc (Corrèze) [d3nteyptcj--mbgu014nrksg] | Saint-Bonnet-l'Enfantier (Corrèze) [d3nteytrm8--1gtyoch7ba4q3] | Donzenac (Corrèze) [d3ntexf4mp--g1ew5eu7aszy] | Varetz (Corrèze) [d3ntezrrkb-9kbdawiyn91t]"
"place/FRAN_RI_005-d3ntewbuk6-1rxeu8dianguc","d3ntewbuk6-1rxeu8dianguc","Alleyrat (Corrèze)","Alleyrat","arrondissement : 193 | canton : Meymac",,"Corrèze (Limousin, département) [d3ntb7grwl-94z667d9uttv]","19006","POINT(638700 6497700)","http://id.insee.fr/geo/commune/19006 | http://data.ign.fr/id/geofla/commune/19006 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/19006","Meymac (Corrèze) [d3ntey3vbm--t4ilg9j41low] | Saint-Germain-Lavolps (Corrèze) [d3ntez043z-9eum1uhqi7of] | Chaveroche (Corrèze) [d3ntewuuqv--1qe0gmuhpn0bj] | Saint-Angel (Corrèze) [d3nteyqmnx-mx28ljvwto2j]"
"place/FRAN_RI_005-d3ntewcfoo--1efbfherdsmop","d3ntewcfoo--1efbfherdsmop","Altillac (Corrèze)","Saint-Fréjoux-le-Mineur | Altillac","arrondissement : 192 | canton : Mercoeur","1er janvier 2017 : Altillac passe de l'arrondissement de Tulle à l'arrondissement de Brive-la-Gaillarde.","Corrèze (Limousin, département) [d3ntb7grwl-94z667d9uttv]","19007","POINT(609000 6431500)","http://id.insee.fr/geo/commune/19007 | http://data.ign.fr/id/geofla/commune/19007 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/19007","Reygade (Corrèze) [d3nteymvxt-2568mc6s1vqm] | Beaulieu-sur-Dordogne (Corrèze) [d3ntewhdis-1p30jeg4c0i9b] | Astaillac (Corrèze) [d3ntewe23o-21dwzkwf7fce] | Bassignac-le-Bas (Corrèze) [d3ntewgdql-130cuiy6vz6ud] | Mercoeur (Corrèze) [d3ntey2r0h-19943p5afg375] | Cahus (Lot) [d3ntj5ggrp--bfn8r2d97fbc] | Gagnac-sur-Cère (Lot) [d3ntj68gid--tvjm0rdp1t6a]"
"place/FRAN_RI_005-d3ntewcrz0-11098me0qsmba","d3ntewcrz0-11098me0qsmba","Ambrugeat (Corrèze)","Ambrugeat","arrondissement : 193 | canton : Meymac",,"Corrèze (Limousin, département) [d3ntb7grwl-94z667d9uttv]","19008","POINT(631100 6492200)","http://id.insee.fr/geo/commune/19008 | http://data.ign.fr/id/geofla/commune/19008 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/19008","Meymac (Corrèze) [d3ntey3vbm--t4ilg9j41low] | Davignac (Corrèze) [d3ntexet7f-10s0mtsz20m3n] | Pérols-sur-Vézère (Corrèze) [d3nteyfkix-154hy3fof9p9j] | Bonnefond (Corrèze) [d3ntewjzag--1x7uuvpzyquo]"
"place/FRAN_RI_005-d3ntewdf1c-529acsqpmdfu","d3ntewdf1c-529acsqpmdfu","Argentat (Corrèze)","Argentat | Argental","arrondissement : 192 | canton : Argentat","1er janvier 2017 : Argentat devient commune déléguée (chef-lieu) au sein d'Argentat-sur-Dordogne (commune nouvelle).Création de la commune nouvelle d'Argentat-sur-Dordogne en lieu et place des communes d'Argentat et de Saint-Bazile-de-la-Roche devenues déléguées.Saint-Bazile-de-la-Roche devient commune déléguée au sein d'Argentat-sur-Dordogne (commune nouvelle).","Corrèze (Limousin, département) [d3ntb7grwl-94z667d9uttv]","19010","POINT(616400 6444300)","http://id.insee.fr/geo/commune/19010 | http://data.ign.fr/id/geofla/commune/19010 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/19010","Saint-Martin-la-Méanne (Corrèze) [d3ntez64be--22pfsxl84d6i] | Saint-Chamant (Corrèze) [d3nteyvdtg-157hswu45i89r] | Champagnac-la-Prune (Corrèze) [d3ntewpyul--v9avwdl7wjpv] | Saint-Bonnet-Elvert (Corrèze) [d3nteyt08p-1e95d06hw1f4f] | Neuville (Corrèze) [d3ntey8mwo-1xrson0h9hsz6] | Monceaux-sur-Dordogne (Corrèze) [d3ntey56bb--rdf9tpj94k6w] | Hautefage (Corrèze) [d3ntexmmie-1g35hi9xu24ah] | La Chapelle-Saint-Géraud (Corrèze) [d3ntews9u8-12o5e368uioij] | Saint-Martial-Entraygues (Corrèze) [d3ntez5soc--1c0ie45wu3cmb]"
"place/FRAN_RI_005-d3ntewdqod--17wf1bpe7vm2j","d3ntewdqod--17wf1bpe7vm2j","Arnac-Pompadour (Corrèze)","Arnac-Pompadour | Amac-Lompadour","arrondissement : 191 | canton : Lubersac",,"Corrèze (Limousin, département) [d3ntb7grwl-94z667d9uttv]","19011","POINT(573300 6478700)","http://id.insee.fr/geo/commune/19011 | http://data.ign.fr/id/geofla/commune/19011 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/19011","Saint-Sornin-Lavolps (Corrèze) [d3ntezdzk8-1qoovedw2amw5] | Saint-Julien-le-Vendômois (Corrèze) [d3ntez44ys--1jkiyb7zij7dg] | Concèze (Corrèze) [d3ntewxgy1-xnqlcq19g2pa] | Lubersac (Corrèze) [d3ntexyo02-pdjwqtlwlx2b] | Beyssac (Corrèze) [d3ntewizq1--1y19dfslq7ub3] | Beyssenac (Corrèze) [d3ntewjbku-hebao06edeow]"
