"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_025)","Dénomination préférée (skos:prefLabel)","Historique (rico:history)"
"place/FRAN_RI_025-d3nz8c882k--zu8zz6clvwi6","d3nz8c882k--zu8zz6clvwi6","10-Décembre (rue du)","Actuellement rue du 4-Septembre."
"place/FRAN_RI_025-d3nz8c7oo5-6ldqwl7vbhjb","d3nz8c7oo5-6ldqwl7vbhjb","11-Novembre (allée du)","Voie supprimée."
"place/FRAN_RI_025-d3nz8c8kse--8cly672vx1ve","d3nz8c8kse--8cly672vx1ve","11-Novembre-1918 (place du)","Voie actuelle."
"place/FRAN_RI_025-d3nz8c8wuz-uj6ow5q4c7yw","d3nz8c8wuz-uj6ow5q4c7yw","18-Juin-1940 (place du)","Voie actuelle. Autre(s) nom(s) : place de Rennes."
"place/FRAN_RI_025-d3nz8c98ps--lvs5vcc6qhuf","d3nz8c98ps--lvs5vcc6qhuf","19-Mars-1962 (place du)","Voie actuelle."
"place/FRAN_RI_025-d3nz8c9ksc-1j7d6ql0w9gpi","d3nz8c9ksc-1j7d6ql0w9gpi","1er-mai (allée du)","Voie supprimée."
"place/FRAN_RI_025-d3nz8c9wn5-1t8rirs6b95o2","d3nz8c9wn5-1t8rirs6b95o2","22-Novembre-1943 (place du)","Voie actuelle."
"place/FRAN_RI_025-d3nz8ca8hy-q6odruvql0pg","d3nz8ca8hy-q6odruvql0pg","24-Février (rue du)","Actuellement rue de Valois."
"place/FRAN_RI_025-d3nz8cakcr--tyz8h64htwyw","d3nz8cakcr--tyz8h64htwyw","25-Août-1944 (place du)","Voie actuelle. Autre(s) nom(s) : place de la Porte-d'Orléans."
"place/FRAN_RI_025-d3nz8cawn3-1bimscgzjeqvb","d3nz8cawn3-1bimscgzjeqvb","29-Juillet (rue du)","Voie actuelle. Autre(s) nom(s) : rue du Duc-de-Bordeaux."
"place/FRAN_RI_025-d3nz8cb8hw--1kq2ty6o5egk1","d3nz8cb8hw--1kq2ty6o5egk1","31-Mai (rue du)","Actuellement partie de la rue Saint-Sulpice."
"place/FRAN_RI_025-d3nz8cbkcp--178ohzfx7v21","d3nz8cbkcp--178ohzfx7v21","4-Septembre (impasse du)","Voie supprimée."
"place/FRAN_RI_025-d3nz8cbwfa-1230ms150623f","d3nz8cbwfa-1230ms150623f","4-Septembre (rue du)","Cette dénomination correspond à 2 voies : voie actuelle également dénommée rue du 10-Décembre. Voie ancienne : voir avenue du Parc-des-Expositions."
"place/FRAN_RI_025-d3nz8cc82b--i0dmoscgbri9","d3nz8cc82b--i0dmoscgbri9","8-Février-1962 (place du)","Voie actuelle."
"place/FRAN_RI_025-d3nz8cglmz--15s9ooc86zd9l","d3nz8cglmz--15s9ooc86zd9l","8-Mai-1945 (rue du)","Voie actuelle. Autre(s) nom(s) : rue Neuve-Chabrol, rue de Strasbourg."
"place/FRAN_RI_025-d3nz8cgy53--qy9wlbxm1oqd","d3nz8cgy53--qy9wlbxm1oqd","8-Novembre-1942 (place du)","Voie actuelle."
"place/FRAN_RI_025-d3nz8ch9kd-1siu15t364c2w","d3nz8ch9kd-1siu15t364c2w","9-Novembre-1989 (esplanade du)","Voie actuelle."
"place/FRAN_RI_025-d3nz8chvro--1htfxvh8mze2l","d3nz8chvro--1htfxvh8mze2l","A/1 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz8ci6z6--ashv3vqr5732","d3nz8ci6z6--ashv3vqr5732","A/10 (voie)","Actuellement villa du Lavoir."
"place/FRAN_RI_025-d3nz8cii6p-5wg3yl4djm50","d3nz8cii6p-5wg3yl4djm50","A/11 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz8citm0--tc8n0deci6gv","d3nz8citm0--tc8n0deci6gv","A/12 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz8cj51a-dmg2z0krewg1","d3nz8cj51a-dmg2z0krewg1","A/14 (voie)","Actuellement rue Maurice-Noguès."
"place/FRAN_RI_025-d3nz8cjg8t--z1u0ayjmblib","d3nz8cjg8t--z1u0ayjmblib","A/15 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz8cjrgc--s8lbqftt29dd","d3nz8cjrgc--s8lbqftt29dd","A/17 (voie)","Actuellement place Arnault-Tzanck."
"place/FRAN_RI_025-d3nz8ck3b5-ec2zsioj36nh","d3nz8ck3b5-ec2zsioj36nh","A/2 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz8ckeqg--gu5y0mz8ntaw","d3nz8ckeqg--gu5y0mz8ntaw","A/4 (voie)","Actuellement rue de l'Abbé-Migne."
"place/FRAN_RI_025-d3nz8ckpxz--1ttajgdfbit8d","d3nz8ckpxz--1ttajgdfbit8d","A/6 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz8cnaul-4exdlnbrlt8","d3nz8cnaul-4exdlnbrlt8","A/7 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz8cnn4x-19o7h8gh730c3","d3nz8cnn4x-19o7h8gh730c3","A/8 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz8cnycg-1dibxh2vh6dyz","d3nz8cnycg-1dibxh2vh6dyz","A/9 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz8chkk5-13m4bxfpb6riv","d3nz8chkk5-13m4bxfpb6riv","A (rue)","Actuellement rue Tardieu."
"place/FRAN_RI_025-d3nz8co9c7-m0yo4kw2fm6a","d3nz8co9c7-m0yo4kw2fm6a","A13 (autoroute)","Voie actuelle."
"place/FRAN_RI_025-d3nz8cokjq--1t7rzmzlw78im","d3nz8cokjq--1t7rzmzlw78im","A4 (autoroute)","Voie actuelle."
"place/FRAN_RI_025-d3nz8cow6s-iw0uy6bdjgcm","d3nz8cow6s-iw0uy6bdjgcm","AA/11 (voie)","Actuellement rue Alphonse-Baudin."
"place/FRAN_RI_025-d3nz8cp76k-r3negxor6ivp","d3nz8cp76k-r3negxor6ivp","AA/12 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz8cpilu--1ivh7gdfwrxir","d3nz8cpilu--1ivh7gdfwrxir","AA/13 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz8cpttd-1bidliiujll3m","d3nz8cpttd-1bidliiujll3m","AA/14 (voie)","Actuellement place de l'Abbé-Jean-Lebeuf."
"place/FRAN_RI_025-d3nz8cq58n--1d9erk99es51p","d3nz8cq58n--1d9erk99es51p","AA/17 (voie)","Actuellement rue Jean-Ostreicher."
"place/FRAN_RI_025-d3nz8cqgg6-fj7zsab04nc","d3nz8cqgg6-fj7zsab04nc","AA/18 (voie)","Actuellement rue Jean-Cocteau."
"place/FRAN_RI_025-d3nz8cqrnp-h4h7295foxve","d3nz8cqrnp-h4h7295foxve","AA/19 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz8cr2nh--b40bop48z4ua","d3nz8cr2nh--b40bop48z4ua","AB/1 (voie)","Actuellement allée Blaise-Cendrars."
"place/FRAN_RI_025-d3nz8creq1-1uafsu9upme31","d3nz8creq1-1uafsu9upme31","AB/11 (voie)","Actuellement rue Nicolas-Appert."
"place/FRAN_RI_025-d3nz8ct203--1gg0jmmrb76a5","d3nz8ct203--1gg0jmmrb76a5","AB/12 (voie)","Voie supprimée."
"place/FRAN_RI_025-d3nz8ctei6--gfpyu9tm3plw","d3nz8ctei6--gfpyu9tm3plw","AB/13 (voie)","Actuellement rue Soeur-Catherine-Marie."
"place/FRAN_RI_025-d3nz8ctpxg-w64xoipdsc38","d3nz8ctpxg-w64xoipdsc38","AB/14 (voie)","Actuellement place de Séoul."
"place/FRAN_RI_025-d3nz8cu1s9-320fyr2wgsae","d3nz8cu1s9-320fyr2wgsae","AB/16 (voie)","Actuellement sentier du Rouvray."
"place/FRAN_RI_025-d3nz8cuczs-13w4woy5rnmea","d3nz8cuczs-13w4woy5rnmea","AB/17 (voie)","Actuellement rue Jacques-Ibert."
"place/FRAN_RI_025-d3nz8cuo7b--1bclr2kd5v6bj","d3nz8cuo7b--1bclr2kd5v6bj","AB/20 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz8cuzeu--17clrztzvuj9z","d3nz8cuzeu--17clrztzvuj9z","Abattoir (impasse de l')","Cette dénomination correspond à 2 voies : actuelle impasse Chalabre. Voie supprimée."
"place/FRAN_RI_025-d3nz8cvau5--1wf702bcqpd8o","d3nz8cvau5--1wf702bcqpd8o","Abattoir (rue de l')","Actuellement partie de la rue de Dunkerque."
"place/FRAN_RI_025-d3nz8cvltw--iq90i9t0x3jn","d3nz8cvltw--iq90i9t0x3jn","Abbatiale (rue)","Actuellement passage de la Petite-Boucherie."
"place/FRAN_RI_025-d3nz8cvx1f--1vej3s6ydjjiu","d3nz8cvx1f--1vej3s6ydjjiu","Abbatucci (rue)","Actuellement partie de la rue La-Boëtie."
"place/FRAN_RI_025-d3nz8cw8oh--l29h9auufwrw","d3nz8cw8oh--l29h9auufwrw","Abbaye (chemin de l')","Voie actuelle."
"place/FRAN_RI_025-d3nz8cwjw0--hwzxmta04m13","d3nz8cwjw0--hwzxmta04m13","Abbaye (passage de l')","Voie supprimée."
"place/FRAN_RI_025-d3nz8cwvba--13m095qjeou6l","d3nz8cwvba--13m095qjeou6l","Abbaye (place de l')","Actuellement place des Abbesses."
"place/FRAN_RI_025-d3nz8cx6it--2rvsfjgji02p","d3nz8cx6it--2rvsfjgji02p","Abbaye (rue de l')","Cette dénomination correspond à 3 voies : voie actuelle dénommée successivement rue de la Paix, rue Neuve-de-l'Abbaye, rue Guillaume-Apollinaire pour une partie. Actuelle rue des Abbesses. Actuelle rue de Bourbon-le-Château."
"place/FRAN_RI_025-d3nz8cyltq-j6g907en1fhu","d3nz8cyltq-j6g907en1fhu","Abbaye-Saint-Antoine (impasse de l')","Actuellement partie de la rue de Citeaux."
"place/FRAN_RI_025-d3nz8cyy42--105tr29qlr753","d3nz8cyy42--105tr29qlr753","Abbé-Basset (place de l')","Voie actuelle."
"place/FRAN_RI_025-d3nz8cz9bl--jgvrzsvh2dx2","d3nz8cz9bl--jgvrzsvh2dx2","Abbé-Carton (rue de l')","Voie actuelle. Autre(s) nom(s) : rue Julie."
"place/FRAN_RI_025-d3nz8czkbd-qwqnsw3kce1h","d3nz8czkbd-qwqnsw3kce1h","Abbé-de-Cligny (rue à l')","Actuellement partie de la rue Victor-Cousin."
"place/FRAN_RI_025-d3nz8czviw--1obzzymfd6eoc","d3nz8czviw--1obzzymfd6eoc","Abbé-de-Jouy (rue à l')","Actuellement partie de la rue de Jouy."
"place/FRAN_RI_025-d3nz8d06qf-19d6crmfrklol","d3nz8d06qf-19d6crmfrklol","Abbé-de-Jouy (rue de l')","Actuellement partie de la rue Charlemagne."
"place/FRAN_RI_025-d3nz8d0idg--1ft2oivf51tr0","d3nz8d0idg--1ft2oivf51tr0","Abbé-de-l'Epée (rue de l')","Voie actuelle."
"place/FRAN_RI_025-d3nz8d0tkz--12bu35uogqcxh","d3nz8d0tkz--12bu35uogqcxh","Abbé-de-La Salle (avenue de l')","Actuellement partie de la place du Président-Mithouard."
"place/FRAN_RI_025-d3nz8d14si-1pzr9uhvxvk1","d3nz8d14si-1pzr9uhvxvk1","Abbé-de-Saint-Denis (rue de l')","Actuellement rue des Grands-Augustins."
"place/FRAN_RI_025-d3nz8d1g01--n6pxyivyzp00","d3nz8d1g01--n6pxyivyzp00","Abbé-Franz-Stock (place de l')","Voie actuelle. Autre(s) nom(s) : place Pierre-de-Coubertin."
"place/FRAN_RI_025-d3nz8d1r7k-1wadzsm4t6bt9","d3nz8d1r7k-1wadzsm4t6bt9","Abbé-Georges-Hénocque (place de l')","Voie actuelle. Autre(s) nom(s) : place dite des Peupliers."
"place/FRAN_RI_025-d3nz8d227c-149uvd4dzzl1p","d3nz8d227c-149uvd4dzzl1p","Abbé-Gillet (rue de l')","Voie actuelle."
"place/FRAN_RI_025-d3nz8d2dev--8ef7wuqdqwwm","d3nz8d2dev--8ef7wuqdqwwm","Abbé-Grégoire (rue de l')","Voie actuelle. Autre(s) nom(s) : passage du Manège et rue Saint-Maur-Saint-Germain, rue des Missions."
"place/FRAN_RI_025-d3nz8d2oen-11z77vu8nnv1w","d3nz8d2oen-11z77vu8nnv1w","Abbé-Groult (rue de l')","Voie actuelle."
"place/FRAN_RI_025-d3nz8d69qq--ads5za3t5l2b","d3nz8d69qq--ads5za3t5l2b","Abbéie-du-Bec-Hellouin (rue de l')","Actuellement partie de la rue du Temple."
"place/FRAN_RI_025-d3nz8d4329-mozf1g2ln5xr","d3nz8d4329-mozf1g2ln5xr","Abbé-Jean-Lebeuf (place de l')","Voie actuelle."
"place/FRAN_RI_025-d3nz8d4ex2--buufbdmomjs1","d3nz8d4ex2--buufbdmomjs1","Abbé-Migne (rue de l')","Voie actuelle."
"place/FRAN_RI_025-d3nz8d4q4l-11u3k8pw29rw4","d3nz8d4q4l-11u3k8pw29rw4","Abbé-Patureau (rue de l')","Voie actuelle. Autre(s) nom(s) : passage Lamarck, partie de la rue Paul-Féval."
"place/FRAN_RI_025-d3nz8d514d-1f5gmrmnqnzaz","d3nz8d514d-1f5gmrmnqnzaz","Abbé-Roger-Derry (rue de l')","Voie actuelle."
"place/FRAN_RI_025-d3nz8d5c45--167ua92rfl27u","d3nz8d5c45--167ua92rfl27u","Abbé-Roussel (avenue de l')","Voie actuelle."
"place/FRAN_RI_025-d3nz8d5njf-1uakryyg8en8g","d3nz8d5njf-1uakryyg8en8g","Abbé-Rousselot (rue de l')","Voie actuelle."
"place/FRAN_RI_025-d3nz8d5yqy--o5v9i266ljuz","d3nz8d5yqy--o5v9i266ljuz","Abbé-Soulange-Bodin (rue de l')","Voie actuelle."
"place/FRAN_RI_025-d3nz8d6ky9-13b5tktexqqlu","d3nz8d6ky9-13b5tktexqqlu","Abbesses (passage des)","Voie actuelle. Autre(s) nom(s) : passage de l'Arcade."
"place/FRAN_RI_025-d3nz8d6vy0-bvln96p3byih","d3nz8d6vy0-bvln96p3byih","Abbesses (place des)","Voie actuelle. Autre(s) nom(s) : place de l'Abbaye."
"place/FRAN_RI_025-d3nz8d76xs-1pwqy8qgzftf3","d3nz8d76xs-1pwqy8qgzftf3","Abbesses (rue des)","Voie actuelle. Autre(s) nom(s) : rue de la Cure, rue de l'Abbaye."
"place/FRAN_RI_025-d3nz8d7i5b--sl1whz2vnexo","d3nz8d7i5b--sl1whz2vnexo","Abbeville (rue d')","Voie actuelle."
"place/FRAN_RI_025-d3nz8d7t52--f62nx5uz926t","d3nz8d7t52--f62nx5uz926t","Abel (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nz8d844u--1703iggcqshlb","d3nz8d844u--1703iggcqshlb","Abel-Ferry (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nz8d9ikq-19wf86uzuy1gu","d3nz8d9ikq-19wf86uzuy1gu","Abel-Gance (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nz8d9una-duzl64afwkuf","d3nz8d9una-duzl64afwkuf","Abel-Hovelacque (rue)","Voie actuelle. Autre(s) nom(s) : rue du Chemin-qui-Va-à-Gentilly, rue du Petit-Gentilly, rue de Gentilly."
"place/FRAN_RI_025-d3nz8da62k-1ku4kwsjqaq5i","d3nz8da62k-1ku4kwsjqaq5i","Abel-Laurent (rue)","Voie supprimée."
"place/FRAN_RI_025-d3nz8dagul-1ve20yu7gwa5g","d3nz8dagul-1ve20yu7gwa5g","Abel-Leblanc (passage)","Voie actuelle."
"place/FRAN_RI_025-d3nz8das9v--n2e0i6ey3wxz","d3nz8das9v--n2e0i6ey3wxz","Abel-Rabaud (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nz8db3he--1lm7uuw665ipj","d3nz8db3he--1lm7uuw665ipj","Abel-Truchet (rue)","Voie actuelle. Autre(s) nom(s) : passage Caroline."
"place/FRAN_RI_025-d3nz8dbewo-10s7875yimcy7","d3nz8dbewo-10s7875yimcy7","Abel-Varet (impasse)","Voie supprimée."
"place/FRAN_RI_025-d3nz8dbpwg--1kljyktqu3qyu","d3nz8dbpwg--1kljyktqu3qyu","Ablon (rue d')","Actuellement rue Saint-Médard."
"place/FRAN_RI_025-d3nz8dc13z--174bd7t05sa5b","d3nz8dc13z--174bd7t05sa5b","Aboukir (place d')","Actuellement place du Caire."
"place/FRAN_RI_025-d3nz8dcc3q-79xsppm7d6t5","d3nz8dcc3q-79xsppm7d6t5","Aboukir (rue d')","Voie actuelle. Autre(s) nom(s) : rue des Fossés-Montmartre,rue des Fossés-Montmarat, rue Neuve-Saint-Eustache."
"place/FRAN_RI_025-d3nz8dcn3i--ki9ysnmyq6wx","d3nz8dcn3i--ki9ysnmyq6wx","Abreuvoir (chemin de l')","Actuellement rue de l'Abreuvoir."
"place/FRAN_RI_025-d3nz8dcy3a--cp43hi2h3ppw","d3nz8dcy3a--cp43hi2h3ppw","Abreuvoir (place de l')","Actuellement place Constantin-Pecqueur."
"place/FRAN_RI_025-d3nz8dd931-12iq9zppv6ok","d3nz8dd931-12iq9zppv6ok","Abreuvoir (rue de l')","Cette dénomination correspond à 2 voies : voie actuelle et voie supprimée."
"place/FRAN_RI_025-d3nz8ddkak--1etgqpfj48noa","d3nz8ddkak--1etgqpfj48noa","Abreuvoir-aux-Boeufs (rue de l')","Actuellement partie de la rue Jean-Nicot."
"place/FRAN_RI_025-d3nz8deyy7-1rwii39wf6868","d3nz8deyy7-1rwii39wf6868","Abreuvoir-l'Evêque (rue de l')","Actuellement rue Boissy-d'Anglas."
"place/FRAN_RI_025-d3nz8dfb0s-16bkmdjdf37qy","d3nz8dfb0s-16bkmdjdf37qy","Abreuvoir-Mâcon (rue de l')","Actuellement partie de la rue de la Harpe."
"place/FRAN_RI_025-d3nz8dfm8b--1lrzk7vle52j4","d3nz8dfm8b--1lrzk7vle52j4","Abreuvoir-Marion (rue de l')","Actuellement partie de la rue des Bourdonnais."
"place/FRAN_RI_025-d3nz8dfxnl-xe9vdg4nsebv","d3nz8dfxnl-xe9vdg4nsebv","Abreuvoir-Mascon (rue de l')","Voir rue de l'Abreuvoir-Mâcon."
"place/FRAN_RI_025-d3nz8dg8v4-1e37ufyytl9j1","d3nz8dg8v4-1e37ufyytl9j1","Abreuvoir-Paupin (rue de l')","Voir rue de l' Arche-Pépin."
"place/FRAN_RI_025-d3nz8dgjuw--17a32kqgcnrzr","d3nz8dgjuw--17a32kqgcnrzr","Abreuvoir-Popin (rue de l')","Voir rue de l' Arche-Pépin."
"place/FRAN_RI_025-d3nz8dguun-r5hzo39rbex3","d3nz8dguun-r5hzo39rbex3","Abreuvoir-Prolongée (rue de l')","Actuellement rue Simon-Dereure et place Casadesus."
"place/FRAN_RI_025-d3nz8dh5uf--lis3lvumf319","d3nz8dh5uf--lis3lvumf319","Abreuvoir-Thibaut-aux-Dés (rue de l')","Actuellement partie de la rue des Bourdonnais."
"place/FRAN_RI_025-d3nz8dhh1y--81ji8v3y3m7q","d3nz8dhh1y--81ji8v3y3m7q","Abrulle (rue)","Actuellement rue Saint-Romain."
"place/FRAN_RI_025-d3nz8dhs1p-16e2gycfv4w02","d3nz8dhs1p-16e2gycfv4w02","AC/1 (voie)","Actuellement porte Saint-Eustache."
"place/FRAN_RI_025-d3nz8di398-73kmygojn1pr","d3nz8di398-73kmygojn1pr","AC/11 (voie)","Actuellement rue Robert-et-Sonia-Delaunay."
"place/FRAN_RI_025-d3nz8diegr-1o0807ycpsntb","d3nz8diegr-1o0807ycpsntb","AC/12 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz8dipw2--ug8190ao3hb0","d3nz8dipw2--ug8190ao3hb0","AC/13 (voie)","Actuellement rue Pirandello."
"place/FRAN_RI_025-d3nz8dj0vt--g8bg8tjwbryr","d3nz8dj0vt--g8bg8tjwbryr","AC/14 (voie)","Actuellement place de l'Amphithéâtre."
"place/FRAN_RI_025-d3nz8dkeof--o2ijdurjr2m8","d3nz8dkeof--o2ijdurjr2m8","AC/15 (voie)","Actuellement villa Croix-Nivert."
"place/FRAN_RI_025-d3nz8dkqj8--1jp18fnev6tja","d3nz8dkqj8--1jp18fnev6tja","AC/16 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz8dl1yi-o9m6g9tiyy6p","d3nz8dl1yi-o9m6g9tiyy6p","AC/17 (voie)","Actuellement rue Cino-Del-Duca."
"place/FRAN_RI_025-d3nz8dle13-1sbg0vx0uj4p3","d3nz8dle13-1sbg0vx0uj4p3","AC/18 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz8dlp0u--1sxcywaz6v4hm","d3nz8dlp0u--1sxcywaz6v4hm","AC/19 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz8dm08d--c0plmtb0pie3","d3nz8dm08d--c0plmtb0pie3","Acacias (allée des)","Voie supprimée."
"place/FRAN_RI_025-d3nz8dmbfw--10xfav6ovn2y4","d3nz8dmbfw--10xfav6ovn2y4","Acacias (avenue des)","Actuellement avenue Sainte-Eugénie."
"place/FRAN_RI_025-d3nz8dmmfo-9unt58140eao","d3nz8dmmfo-9unt58140eao","Acacias (grande rue des)","Actuellement rue du Général-Bertrand."
"place/FRAN_RI_025-d3nz8dmxn7-1dwhnkv8fkkt2","d3nz8dmxn7-1dwhnkv8fkkt2","Acacias (impasse des)","Actuellement villa Guizot."
"place/FRAN_RI_025-d3nz8dn8my-1rdq8xvz3w1ml","d3nz8dn8my-1rdq8xvz3w1ml","Acacias (passage des)","Cette dénomination correspond à 3 voies : voie actuelle, voie supprimée, actuels passage Dombasle et partie de la rue de Dantzig."
"place/FRAN_RI_025-d3nz8dnk29-15opxf0oqfvg7","d3nz8dnk29-15opxf0oqfvg7","Acacias (petite rue des)","Actuellement rue Duroc."
"place/FRAN_RI_025-d3nz8dnv20--1g3hxkmsjevrz","d3nz8dnv20--1g3hxkmsjevrz","Acacias (rue des)","Cette dénomination correspond à 3 voies : voie actuelle, voie supprimée également appelée rue Louis-Ratisbonne, actuelle rue-d'Orsel."
"place/FRAN_RI_025-d3nz8do61s--22cml11m6yw9","d3nz8do61s--22cml11m6yw9","Acacias (villa des)","Actuellement villa Amalia."
"place/FRAN_RI_025-d3nz8doh9b-bevyrxq10fy6","d3nz8doh9b-bevyrxq10fy6","Académie-de-Vandeuil (passage de l')","Voie supprimée."
"place/FRAN_RI_025-d3nz8dvrle--1vuedgbfvpwos","d3nz8dvrle--1vuedgbfvpwos","Acadie (place d')","Voie actuelle."
"place/FRAN_RI_025-d3nz8dw4b9--12w43wvztg7l6","d3nz8dw4b9--12w43wvztg7l6","Achille (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nz8dwfqj-1jwbdlnko7cxp","d3nz8dwfqj-1jwbdlnko7cxp","Achille-Luchaire (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nz8dwqqb-1rph8wp73lq6j","d3nz8dwqqb-1rph8wp73lq6j","Achille-Martinet (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nz8dx1xu--afwsmw2uefx","d3nz8dx1xu--afwsmw2uefx","AD/1 (voie)","Actuellement porte du Louvre."
"place/FRAN_RI_025-d3nz8dxcpu-1e3czdlg3u04a","d3nz8dxcpu-1e3czdlg3u04a","AD/11 (voie)","Actuellement passage du Bureau."
"place/FRAN_RI_025-d3nz8dxo54-q7zhfj97das","d3nz8dxo54-q7zhfj97das","AD/12 (voie)","Actuellement rue Eugénie-Eboué."
"place/FRAN_RI_025-d3nz8dxzcn-1hmvcqz6gh1dg","d3nz8dxzcn-1hmvcqz6gh1dg","AD/13 (voie)","Voie supprimée."
"place/FRAN_RI_025-d3nz8dyazp-1eszw73jviabq","d3nz8dyazp-1eszw73jviabq","AD/14 (voie)","Actuellement rue Guilleminot."
"place/FRAN_RI_025-d3nz8dymez-lr4r9jg63ulk","d3nz8dymez-lr4r9jg63ulk","AD/15 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz8dyy21--10r1jhgkxm2rg","d3nz8dyy21--10r1jhgkxm2rg","AD/16 (voie)","Voie supprimée."
"place/FRAN_RI_025-d3nz8dz9wu--ud4r03girf7","d3nz8dz9wu--ud4r03girf7","AD/17 (voie)","Actuellement rue Gustave-Charpentier."
"place/FRAN_RI_025-d3nz8dzlrn--1bfm8f2l7zqeo","d3nz8dzlrn--1bfm8f2l7zqeo","AD/18 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz8dzxmg--1c53w3cnqlx87","d3nz8dzxmg--1c53w3cnqlx87","AD/19 (voie)","Voie actuelle."
"place/FRAN_RI_025-d3nz8e1ij5-jummdn2zgxrg","d3nz8e1ij5-jummdn2zgxrg","AD/20 (voie)","Actuellement rue Léon-Frapié."
"place/FRAN_RI_025-d3nz8e1v18-1jux7600okefp","d3nz8e1v18-1jux7600okefp","Adam (rue)","Actuellement rue Adolphe-Adam."
"place/FRAN_RI_025-d3nz8e26w1-3fycefzcdmn9","d3nz8e26w1-3fycefzcdmn9","Adam-Bourdon (rue)","Actuellement partie de la rue des Bourdonnais."
"place/FRAN_RI_025-d3nz8e2ibb-7a2sn4cnl299","d3nz8e2ibb-7a2sn4cnl299","Adam-Michiewicz (rue)","Actuellement rue Léopold-Robert."
"place/FRAN_RI_025-d3nz8e2tiu--op3hlgt0nc9n","d3nz8e2tiu--op3hlgt0nc9n","Adanson (rue)","Voie supprimée."
"place/FRAN_RI_025-d3nz8e35dn-idno73whqydh","d3nz8e35dn-idno73whqydh","Adanson (square)","Voie actuelle. Autre(s) nom(s) : impasse de la Photographie."
"place/FRAN_RI_025-d3nz8e3gsy--11rjoaoslayvr","d3nz8e3gsy--11rjoaoslayvr","Adjudant-Réau (rue de l')","Voie actuelle."
"place/FRAN_RI_025-d3nz8e3svi-4drfi1dgrp1i","d3nz8e3svi-4drfi1dgrp1i","Adjudant-Vincenot (place de l')","Voie actuelle."
"place/FRAN_RI_025-d3nz8e44qb-1drgok5guxdx0","d3nz8e44qb-1drgok5guxdx0","Adolphe-Adam (rue)","Voie actuelle. Autre(s) nom(s) : rue Adam."
"place/FRAN_RI_025-d3nz8e4gsw--1c8m8o4k6ocz3","d3nz8e4gsw--1c8m8o4k6ocz3","Adolphe-Chérioux (place)","Voie actuelle. Autre(s) nom(s) : place de la Mairie puis place de Vaugirard."
"place/FRAN_RI_025-d3nz8e4s86-16j6ipjdy4gkr","d3nz8e4s86-16j6ipjdy4gkr","Adolphe-Focillon (rue)","Voie actuelle. Autre(s) nom(s) : rue Focillon."
"place/FRAN_RI_025-d3nz8e53v8-1bcrk9mtwo5h","d3nz8e53v8-1bcrk9mtwo5h","Adolphe-Jullien (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nz8e5fai-anfx83nnr9sv","d3nz8e5fai-anfx83nnr9sv","Adolphe-Max (place)","Voie actuelle. Autre(s) nom(s) : place Vintimille."
"place/FRAN_RI_025-d3nz8e5rd3--1g3y91bsq0sfm","d3nz8e5rd3--1g3y91bsq0sfm","Adolphe-Mille (rue)","Voie actuelle. Autre(s) nom(s) : rue du Dépotoir puis impasse du Dépotoir."
"place/FRAN_RI_025-d3nz8e7snj--1r6pbem298c9o","d3nz8e7snj--1r6pbem298c9o","Adolphe-Pinard (boulevard)","Voie actuelle."
"place/FRAN_RI_025-d3nz8e855m-1utrioswk35lr","d3nz8e855m-1utrioswk35lr","Adolphe-Yvon (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nz8e8gkw-l0zhovmimisl","d3nz8e8gkw-l0zhovmimisl","Adour (villa de l')","Voie actuelle. Autre(s) nom(s) : villa Barthélemy."
"place/FRAN_RI_025-d3nz8e8s07--3vq7jhrcb1rg","d3nz8e8s07--3vq7jhrcb1rg","Adrien-Hébrard (avenue)","Voie actuelle."
