"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_025)","Dénomination préférée (skos:prefLabel)","Historique (rico:history)"
"place/FRAN_RI_025-d3nzcps8ot-1efuhvxnocwla","d3nzcps8ot-1efuhvxnocwla","Prévôt (rue du)","Voie actuelle. Autre(s) nom(s) : rue Percée, rue Percié, rue Perciée, rue Percée-Saint-Paul, rue Percée-Saint-Antoine."
"place/FRAN_RI_025-d3nzcpsnk9-13mh8fcfmgjdl","d3nzcpsnk9-13mh8fcfmgjdl","Prévoyance (rue de la)","Voie actuelle."
"place/FRAN_RI_025-d3nzcpt0a4--gy3bsmmpk404","d3nzcpt0a4--gy3bsmmpk404","Prévoyants (rue des)","Voie supprimée."
"place/FRAN_RI_025-d3nzcptbx6--1m5gt6m3nau15","d3nzcptbx6--1m5gt6m3nau15","Prévoyants (villa des)","Actuellement villa de Fontenay."
"place/FRAN_RI_025-d3nzcptrfw--x24vkn73nber","d3nzcptrfw--x24vkn73nber","Priestley (rue)","Actuellement avenue Mathurin-Moreau."
"place/FRAN_RI_025-d3nzcpu45q-14l67pkis8z8g","d3nzcpu45q-14l67pkis8z8g","Prieuré (ruelle du)","Voir cul-de-sac Barthélemy."
"place/FRAN_RI_025-d3nzcpug0k--2neixggurgr6","d3nzcpug0k--2neixggurgr6","Primatice (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nzcpurvd-xnqk0nsjghw8","d3nzcpurvd-xnqk0nsjghw8","Primevères (passage des)","Voie actuelle. Autre(s) nom(s) : ruelle des Lilas, impasse des Primevères."
"place/FRAN_RI_025-d3nzcpv3an--1legpj1byb4r","d3nzcpv3an--1legpj1byb4r","Primo-Levi (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nzcpvwts--cuihbpmraocv","d3nzcpvwts--cuihbpmraocv","Prince (rue au)","Voir rue des Etuves."
"place/FRAN_RI_025-d3nzcpw9re-1v44xk7lmv3d4","d3nzcpw9re-1v44xk7lmv3d4","Prince (ruelle au)","Voir cul-de-sac ou impasse du Paon."
"place/FRAN_RI_025-d3nzcpwlty--sj6tdjtwf5n1","d3nzcpwlty--sj6tdjtwf5n1","Prince-Eugène (boulevard du)","Actuellement boulevard Voltaire."
"place/FRAN_RI_025-d3nzcpwx99-bkwduaw724y1","d3nzcpwx99-bkwduaw724y1","Prince-Eugène (cité du)","Actuellement cité Voltaire."
"place/FRAN_RI_025-d3nzcpx8gs-1shjr3ujebt0p","d3nzcpx8gs-1shjr3ujebt0p","Prince-Eugène (impasse du)","Actuellement partie de la rue Bouvier."
"place/FRAN_RI_025-d3nzcpxkjc-1trqwdi9ny3c","d3nzcpxkjc-1trqwdi9ny3c","Prince-Eugène (place du)","Actuellement place Léon-Blum."
"place/FRAN_RI_025-d3nzcpxvym--tsqy5f51rstr","d3nzcpxvym--tsqy5f51rstr","Prince-Jérôme (avenue du)","Actuellement avenue Mac-Mahon et avenue Niel."
"place/FRAN_RI_025-d3nzcpyphs--l4v9x4kgc0ev","d3nzcpyphs--l4v9x4kgc0ev","Princes (passage des)","Voie actuelle. Autre(s) nom(s) : passage Mirès."
"place/FRAN_RI_025-d3nzcpz2fd-1k94kum3cwi3c","d3nzcpz2fd-1k94kum3cwi3c","Princes (porte des)","Voie actuelle."
"place/FRAN_RI_025-d3nzcpzea6--t27h0ob0tti9","d3nzcpzea6--t27h0ob0tti9","Princes (route des)","Actuellement rue Suzanne-Lenglen."
"place/FRAN_RI_025-d3nzcpzvyi-1fnk79n8m575k","d3nzcpzvyi-1fnk79n8m575k","Princesse (rue)","Voie actuelle. Autre(s) nom(s) : rue de la Justice, rue Révolutionnaire."
"place/FRAN_RI_025-d3nzcq07tc--1gl5f10f2o09r","d3nzcq07tc--1gl5f10f2o09r","Printemps (rue du)","voie actuelle et voir rue Chifflart."
"place/FRAN_RI_025-d3nzcq0jgd-vinfk5i72olh","d3nzcq0jgd-vinfk5i72olh","Prison-Saint-Magloire (rue de la)","Voir rue Saint-Magloire."
"place/FRAN_RI_025-d3nzcq0vb6--17e18ovpz4p5y","d3nzcq0vb6--17e18ovpz4p5y","Prisse-d'Avennes (rue)","Voie actuelle."
"place/FRAN_RI_025-d3nzcq19jc--ccpc7nr05rqr","d3nzcq19jc--ccpc7nr05rqr","Prix-Fixe (passage du)","Voie supprimée."
"place/FRAN_RI_025-d3nzcq1m97-1t1aik0xryosb","d3nzcq1m97-1t1aik0xryosb","Probité (rue de la)","Voie supprimée également dénommée rue Joseph-Laurent."
"place/FRAN_RI_025-d3nzcq1xoh-zzfdmgu2k925","d3nzcq1xoh-zzfdmgu2k925","Procession (chemin de la)","Cette dénomination correspond à 3 voies : actuellement rue de la Procession. Actuelle rue du Mont-Cenis. Voie ancienne : voir petite rue de Paris."
"place/FRAN_RI_025-d3nzcq29yt--1h1pjjtr9c0w2","d3nzcq29yt--1h1pjjtr9c0w2","Procession (cité de la)","Voie supprimée."
"place/FRAN_RI_025-d3nzcq2le3--jk9fuo6ilps1","d3nzcq2le3--jk9fuo6ilps1","Procession (passage de la)","Voie supprimée."
