"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntsth73m-tbhgol62vbf3","d3ntsth73m-tbhgol62vbf3","Achères-la-Forêt (Seine-et-Marne)","Achères-la-Forêt","arrondissement : 774 | canton : La Chapelle-la-Reine",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]","77001","POINT(667700 6805100)","http://id.insee.fr/geo/commune/77001 | http://data.ign.fr/id/geofla/commune/77001 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/77001","Ury (Seine-et-Marne) [d3ntti3k5p--i7scgd5b775e] | Fontainebleau (Seine-et-Marne) [d3nttf3j17--1blvnjnk2kli0] | Noisy-sur-Ecole (Seine-et-Marne) [d3nttgo8ta--1czul3we3pmf1] | Le Vaudoué (Seine-et-Marne) [d3ntti721m--14wnwq7lhpebq] | La Chapelle-la-Reine (Seine-et-Marne) [d3ntte2jyc-1vq27vdi5ttzr]"
"place/FRAN_RI_005-d3ntsthhvm--1ho1bkjwlpeeb","d3ntsthhvm--1ho1bkjwlpeeb","Amillis (Seine-et-Marne)","Amillis | Amilis","arrondissement : 773 | canton : La Ferté-Gaucher","1er janvier 2017 : Amillis passe de l'arrondissement de Provins à l'arrondissement de Meaux.","Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]","77002","POINT(709400 6849000)","http://id.insee.fr/geo/commune/77002 | http://data.ign.fr/id/geofla/commune/77002 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/77002","Marolles-en-Brie (Seine-et-Marne) [d3nttg1ddj--3asw5oeq15bm] | Vaudoy-en-Brie (Seine-et-Marne) [d3ntti7dwf--1ttdlyj0biwwn] | Jouy-le-Châtel (Seine-et-Marne) [d3nttfm9qg--nb8ory8mr451] | Chailly-en-Brie (Seine-et-Marne) [d3nttdw78t-1jjt8djh559m6] | Dagny (Seine-et-Marne) [d3nttepxhx-1ek8zt1z51m3i] | Saints (Seine-et-Marne) [d3ntthmvly--1tdz1v64hjxta] | Chevru (Seine-et-Marne) [d3nttec4uk--3nzy1m1m0dwi]"
"place/FRAN_RI_005-d3ntsthsnn--a7q12u0i0j9e","d3ntsthsnn--a7q12u0i0j9e","Amponville (Seine-et-Marne)","Jacqueville | Ampouville | Amponville","arrondissement : 774 | canton : La Chapelle-la-Reine",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]","77003","POINT(665100 6797700)","http://id.insee.fr/geo/commune/77003 | http://data.ign.fr/id/geofla/commune/77003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/77003","Fromont (Seine-et-Marne) [d3nttf7zer-ne7i7zvgu8w7] | Guercheville (Seine-et-Marne) [d3nttfffcm--1lfbq9pvibxlt] | Larchant (Seine-et-Marne) [d3nttfovad-97lqshmatogs] | Rumont (Seine-et-Marne) [d3ntth8dye-1kqvqbielcsdv] | La Chapelle-la-Reine (Seine-et-Marne) [d3ntte2jyc-1vq27vdi5ttzr] | Boissy-aux-Cailles (Seine-et-Marne) [d3ntstv8l5--h4gn79i4thtd] | Buthiers (Seine-et-Marne) [d3ntsu1kv5-1n31nxpn7yj39]"
"place/FRAN_RI_005-d3ntsti3ne-1drdx6xeijys4","d3ntsti3ne-1drdx6xeijys4","Andrezel (Seine-et-Marne)","Andrezel","arrondissement : 772 | canton : Mormant",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]","77004","POINT(686200 6834500)","http://id.insee.fr/geo/commune/77004 | http://data.ign.fr/id/geofla/commune/77004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/77004","Yèbles (Seine-et-Marne) [d3nttino09-d7830xkezb4f] | Guignes (Seine-et-Marne) [d3nttfg14e-nwud7w1nxexo] | Fouju (Seine-et-Marne) [d3nttf5z74--jbth28qj0kq8] | Verneuil-l'Etang (Seine-et-Marne) [d3ntti977r-15n75id0gwgkh] | Champeaux (Seine-et-Marne) [d3ntte0prz-1ggqdpmy0juy4] | Aubepierre-Ozouer-le-Repos (Seine-et-Marne) [d3ntstkj61--x8hbcbfjg1vb] | Crisenoy (Seine-et-Marne) [d3ntteo46m-droe20uk0yy]"
"place/FRAN_RI_005-d3ntstieff--hlnvauf11v6n","d3ntstieff--hlnvauf11v6n","Annet-sur-Marne (Seine-et-Marne)","Beaubourg | Annet-sur-Marne | Annet","arrondissement : 775 | canton : Claye-Souilly","1er janvier 2017 : Annet-sur-Marne passe de l'arrondissement de Torcy à l'arrondissement de Meaux.","Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]","77005","POINT(679400 6869500)","http://id.insee.fr/geo/commune/77005 | http://data.ign.fr/id/geofla/commune/77005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/77005","Jablines (Seine-et-Marne) [d3nttfkqzd--mkhghcr34cuo] | Fresnes-sur-Marne (Seine-et-Marne) [d3nttf6aen--b46xjfe49g81] | Villevaudé (Seine-et-Marne) [d3nttigcdl-133avrgzyr6s4] | Thorigny-sur-Marne (Seine-et-Marne) [d3ntthyh5c-7fg2ha1hsy7v] | Carnetin (Seine-et-Marne) [d3ntsu26uo--k45r3s8t2wqu] | Claye-Souilly (Seine-et-Marne) [d3nttedndv-2bi38i0hc3kf] | Dampmart (Seine-et-Marne) [d3nttes94v--1jzyxztm92ont]"
"place/FRAN_RI_005-d3ntstipf6-wfhfopcv1zpz","d3ntstipf6-wfhfopcv1zpz","Arbonne-la-Forêt (Seine-et-Marne)","Arbonne-la-Forêt","arrondissement : 772 | canton : Perthes","13 février 1974 : Arbonne devient Arbonne-la-Forêt. 1er janvier 2017 : Arbonne-la-Forêt passe de l'arrondissement de Melun à l'arrondissement de Fontainebleau.","Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]","77006","POINT(667800 6812600)","http://id.insee.fr/geo/commune/77006 | http://data.ign.fr/id/geofla/commune/77006 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/77006","Fontainebleau (Seine-et-Marne) [d3nttf3j17--1blvnjnk2kli0] | Noisy-sur-Ecole (Seine-et-Marne) [d3nttgo8ta--1czul3we3pmf1] | Milly-la-Forêt (Essonne) [d3ntxdfbge-1fstx6iy0eke9] | Fleury-en-Bière (Seine-et-Marne) [d3nttf381g--ml3ii5eu9v6v] | Saint-Martin-en-Bière (Seine-et-Marne) [d3ntthjd2q--7xrg68ufbcsa]"
"place/FRAN_RI_005-d3ntstj0ey-151knf8g81tif","d3ntstj0ey-151knf8g81tif","Argentières (Seine-et-Marne)","Argentières | Herbauvilliers","arrondissement : 772 | canton : Mormant",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]","77007","POINT(690200 6839200)","http://id.insee.fr/geo/commune/77007 | http://data.ign.fr/id/geofla/commune/77007 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/77007","Chaumes-en-Brie (Seine-et-Marne) [d3ntte8vl1--1ofe649nmop1] | Beauvoir (Seine-et-Marne) [d3ntstr0ei-1bldxm0rbf3sd] | Aubepierre-Ozouer-le-Repos (Seine-et-Marne) [d3ntstkj61--x8hbcbfjg1vb] | Courtomer (Seine-et-Marne) [d3nttektmj-fail6oiqcmds]"
"place/FRAN_RI_005-d3ntstjwj7--1lx3fm356alob","d3ntstjwj7--1lx3fm356alob","Armentières-en-Brie (Seine-et-Marne)","Lagerville | Isles-les-Meldeuses | Armentières-en-Brie","arrondissement : 771 | canton : Lizy-sur-Ourcq",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]","77008","POINT(701600 6875400)","http://id.insee.fr/geo/commune/77008 | http://data.ign.fr/id/geofla/commune/77008 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/77008","Montceaux-lès-Meaux (Seine-et-Marne) [d3nttga6og--1xbpoyd4vz13s] | Isles-les-Meldeuses (Seine-et-Marne) [d3nttfju03-1cxhyy8vwa9qu] | Tancrou (Seine-et-Marne) [d3ntthx8yi-1g9453kou3lfm] | Changis-sur-Marne (Seine-et-Marne) [d3ntte1bri--hk2x79xa7741] | Trilport (Seine-et-Marne) [d3ntti2xye-1po9z7bj6qdjv] | Saint-Jean-les-Deux-Jumeaux (Seine-et-Marne) [d3ntthgmzv--1q990neb9w88b] | Jaignes (Seine-et-Marne) [d3nttfl1re-yldsaidbzc59] | Germigny-l'Evêque (Seine-et-Marne) [d3nttf9i5u--11xv1exgb6y1a]"
"place/FRAN_RI_005-d3ntstk7yi--8brm3y1oihba","d3ntstk7yi--8brm3y1oihba","Arville (Seine-et-Marne)","Arville | Champcouelle | Champconelle","arrondissement : 774 | canton : Château-Landon",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]","77009","POINT(666400 6787600)","http://id.insee.fr/geo/commune/77009 | http://data.ign.fr/id/geofla/commune/77009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/77009"," [] | Mondreville (Seine-et-Marne) [d3nttg9a4o-xujld0u2fwbs] | Maisoncelles-en-Gâtinais (Seine-et-Marne) [d3nttfz9a7--3s3npufnxe1h] | Gironville (Seine-et-Marne) [d3nttfappd--2gp11qiejznb] | Ichy (Seine-et-Marne) [d3nttfjj82-4o9c15gx820j] | Aufferville (Seine-et-Marne) [d3ntstkty1-nvkueofbbnfa]"
"place/FRAN_RI_005-d3ntstkj61--x8hbcbfjg1vb","d3ntstkj61--x8hbcbfjg1vb","Aubepierre-Ozouer-le-Repos (Seine-et-Marne)","Pecqueux | Ozouer-le-Repos | Flaix | Aubepierre-Ozouer-le-Repos","arrondissement : 772 | canton : Mormant","1er janvier 1973 : Aubepierre devient Aubepierre-Ozouer-le-Repos suite à sa fusion-association avec Ozouer-le-Repos.Ozouer-le-Repos est rattachée à Aubepierre (fusion association) qui devient Aubepierre-Ozouer-le-Repos. 1er janvier 2017 : Aubepierre-Ozouer-le-Repos passe de l'arrondissement de Melun à l'arrondissement de Provins.","Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]","77010","POINT(691600 6836800)","http://id.insee.fr/geo/commune/77010 | http://data.ign.fr/id/geofla/commune/77010 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/77010","Saint-Ouen-en-Brie (Seine-et-Marne) [d3ntthka21-oq4k1dyd7hsw] | Mormant (Seine-et-Marne) [d3nttggfxt--1928d4b3rj3sy] | Verneuil-l'Etang (Seine-et-Marne) [d3ntti977r-15n75id0gwgkh] | Courpalay (Seine-et-Marne) [d3nttejwuz-qkzf2m0mw2ud] | Beauvoir (Seine-et-Marne) [d3ntstr0ei-1bldxm0rbf3sd] | Champeaux (Seine-et-Marne) [d3ntte0prz-1ggqdpmy0juy4] | Grandpuits-Bailly-Carrois (Seine-et-Marne) [d3nttfczeh--6w1i0mhpj6wi] | Bernay-Vilbert (Seine-et-Marne) [d3ntstrme1-3r5hb8wv12jx] | Courtomer (Seine-et-Marne) [d3nttektmj-fail6oiqcmds] | Andrezel (Seine-et-Marne) [d3ntsti3ne-1drdx6xeijys4] | Quiers (Seine-et-Marne) [d3ntth31oc-2koasaa7eznr] | Argentières (Seine-et-Marne) [d3ntstj0ey-151knf8g81tif]"
"place/FRAN_RI_005-d3ntstkty1-nvkueofbbnfa","d3ntstkty1-nvkueofbbnfa","Aufferville (Seine-et-Marne)","Cossigny | Aufferville","arrondissement : 774 | canton : Château-Landon",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]","77011","POINT(670900 6790500)","http://id.insee.fr/geo/commune/77011 | http://data.ign.fr/id/geofla/commune/77011 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/77011","Obsonville (Seine-et-Marne) [d3nttgq8le--19tatj9gz23tr] | Mondreville (Seine-et-Marne) [d3nttg9a4o-xujld0u2fwbs] | Maisoncelles-en-Gâtinais (Seine-et-Marne) [d3nttfz9a7--3s3npufnxe1h] | Châtenoy (Seine-et-Marne) [d3ntte7ntq--13mmslnayasxv] | Bougligny (Seine-et-Marne) [d3ntstwg4p--1oucv8j8yueet] | Chevrainvilliers (Seine-et-Marne) [d3nttebtus-1qoodyam3val1] | Ichy (Seine-et-Marne) [d3nttfjj82-4o9c15gx820j] | Faÿ-lès-Nemours (Seine-et-Marne) [d3nttf00a9--yuovlgksuk1h] | Garentreville (Seine-et-Marne) [d3nttf8l6j-1fvrqrk0u26lz] | Arville (Seine-et-Marne) [d3ntstk7yi--8brm3y1oihba]"
"place/FRAN_RI_005-d3ntstl4q1-yd8xoika03ck","d3ntstl4q1-yd8xoika03ck","Augers-en-Brie (Seine-et-Marne)","Augers-en-Brie | Augers","arrondissement : 773 | canton : Villiers-Saint-Georges",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]","77012","POINT(726200 6842300)","http://id.insee.fr/geo/commune/77012 | http://data.ign.fr/id/geofla/commune/77012 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/77012","Sancy-lès-Provins (Seine-et-Marne) [d3ntthrbc7--1oxvxuvhe8ghe] | Rupéreux (Seine-et-Marne) [d3ntth8oy6--xepszqw4iwqe] | Courtacon (Seine-et-Marne) [d3nttekimr-7769fmp673ve] | Cerneux (Seine-et-Marne) [d3nttdutg8-1nu26pmsqzcsz] | Villiers-Saint-Georges (Seine-et-Marne) [d3nttii15y--1kjwz710v0w2s] | Voulton (Seine-et-Marne) [d3nttilcsu--a6jr0ycpqu7k] | Les Marêts (Seine-et-Marne) [d3nttg0glz--1ep8zpa0rukn7]"
"place/FRAN_RI_005-d3ntstlfi1--1cpw0miymkrsw","d3ntstlfi1--1cpw0miymkrsw","Aulnoy (Seine-et-Marne)","Aulnoy | Crépoil","arrondissement : 771 | canton : Coulommiers",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]","77013","POINT(707000 6860000)","http://id.insee.fr/geo/commune/77013 | http://data.ign.fr/id/geofla/commune/77013 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/77013","Giremoutiers (Seine-et-Marne) [d3nttfaehu--1d8bvauy7qehv] | Boissy-le-Châtel (Seine-et-Marne) [d3ntstvjkx-13xc5rguwx1fg] | Mouroux (Seine-et-Marne) [d3nttghcx4-y5scs9w55w2v] | Coulommiers (Seine-et-Marne) [d3ntteip3o--1qw48q7ca5x35] | Jouarre (Seine-et-Marne) [d3nttflyqp-1v99si755m8pj] | Saint-Germain-sous-Doue (Seine-et-Marne) [d3ntthec7z-t0gzbzi491r9]"
"place/FRAN_RI_005-d3ntstlqht-1r70hniysfkat","d3ntstlqht-1r70hniysfkat","Avon (Seine-et-Marne)","Avon | Combault","arrondissement : 774 | canton : Fontainebleau",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]","77014","POINT(679600 6812000)","http://id.insee.fr/geo/commune/77014 | http://data.ign.fr/id/geofla/commune/77014 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/77014","Fontainebleau (Seine-et-Marne) [d3nttf3j17--1blvnjnk2kli0] | Thomery (Seine-et-Marne) [d3ntthy5xt--169hx2th93dgb] | Samoreau (Seine-et-Marne) [d3ntthpm4b-11f0jjdvg45c6] | Samois-sur-Seine (Seine-et-Marne) [d3ntthpbcb--jn8j6mrs3gav]"
"place/FRAN_RI_005-d3ntstm1hl--1wqqzurtyptyk","d3ntstm1hl--1wqqzurtyptyk","Baby (Seine-et-Marne)","Courtry-les-Granges | Courtry-et-Milly | Baby","arrondissement : 773 | canton : Bray-sur-Seine",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]","77015","POINT(725300 6810700)","http://id.insee.fr/geo/commune/77015 | http://data.ign.fr/id/geofla/commune/77015 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/77015","Perceneige (Yonne) [d3ntxaxfh5-eznounaosaw4] | Villenauxe-la-Petite (Seine-et-Marne) [d3nttidavg-k0yc0gdyh2dx] | Villuis (Seine-et-Marne) [d3nttij8x9--l6qxvj2rqmb]"
"place/FRAN_RI_005-d3ntstmchc--ib50nib4d9rp","d3ntstmchc--ib50nib4d9rp","Bagneaux-sur-Loing (Seine-et-Marne)","Suscy | Bagneaux-sur-Loing | Bagneaux-Glandelles","arrondissement : 774 | canton : Nemours",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]","77016","POINT(678000 6792300)","http://id.insee.fr/geo/commune/77016 | http://data.ign.fr/id/geofla/commune/77016 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/77016","Nemours (Seine-et-Marne) [d3nttgmq27-bl3p4mmfibkl] | Poligny (Seine-et-Marne) [d3nttgyxl4--1376msoywfqh2] | La Madeleine-sur-Loing (Seine-et-Marne) [d3nttfwyxu--zkgky18fj1mw] | Bougligny (Seine-et-Marne) [d3ntstwg4p--1oucv8j8yueet] | Saint-Pierre-lès-Nemours (Seine-et-Marne) [d3ntthm9u6-7jp4lhilk0nd] | Faÿ-lès-Nemours (Seine-et-Marne) [d3nttf00a9--yuovlgksuk1h] | Souppes-sur-Loing (Seine-et-Marne) [d3ntthwn6q--15j6yjgautml2]"
"place/FRAN_RI_005-d3ntstmnh4-1lsz1egvcrz5v","d3ntstmnh4-1lsz1egvcrz5v","Bailly-Romainvilliers (Seine-et-Marne)","Les Essarts-Grandchamp | Bailly-Romainvilliers","arrondissement : 775 | canton : Thorigny-sur-Marne",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]","77018","POINT(687000 6860700)","http://id.insee.fr/geo/commune/77018 | http://data.ign.fr/id/geofla/commune/77018 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/77018","Coutevroult (Seine-et-Marne) [d3nttemwfa-o2s9v702061z] | Serris (Seine-et-Marne) [d3ntthstvi--14txnnk16b4st] | Magny-le-Hongre (Seine-et-Marne) [d3nttfybvd--v7qfd0qo2zjq] | Villeneuve-le-Comte (Seine-et-Marne) [d3nttidlng--1qz0pzwzvgnum] | Villeneuve-Saint-Denis (Seine-et-Marne) [d3nttie7ur--153nb7xmrut4z]"
