"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d5bdp6r4rx--yzmoz4jm1wwi","d5bdp6r4rx--yzmoz4jm1wwi","Anaa (Polynésie-Française)","Anaa",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98711",,"http://id.insee.fr/geo/commune/98711 | http://data.ign.fr/id/geofla/commune/98711 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98711",
"place/FRAN_RI_005-d5bdp06e77-ffj4sin84nb2","d5bdp06e77-ffj4sin84nb2","Arue (Polynésie-Française)","Arue",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98712",,"http://id.insee.fr/geo/commune/98712 | http://data.ign.fr/id/geofla/commune/98712 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98712",
"place/FRAN_RI_005-d5bdozwmen--1vmkfvndq2uyz","d5bdozwmen--1vmkfvndq2uyz","Arutua (Polynésie-Française)","Arutua",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98713",,"http://id.insee.fr/geo/commune/98713 | http://data.ign.fr/id/geofla/commune/98713 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98713",
"place/FRAN_RI_005-d5bdpl3afp-1quk01nnkt029","d5bdpl3afp-1quk01nnkt029","Bora-Bora (Polynésie-Française)","Bora-Bora",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98714",,"http://id.insee.fr/geo/commune/98714 | http://data.ign.fr/id/geofla/commune/98714 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98714",
"place/FRAN_RI_005-d5bdoy6f6a--45r8uzovepwe","d5bdoy6f6a--45r8uzovepwe","Faaa (Polynésie-Française)","Faaa",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98715",,"http://id.insee.fr/geo/commune/98715 | http://data.ign.fr/id/geofla/commune/98715 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98715",
"place/FRAN_RI_005-d5bdp3rn1v-19hjvn3w4ym3e","d5bdp3rn1v-19hjvn3w4ym3e","Fakarava (Polynésie-Française)","Fakarava",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98716",,"http://id.insee.fr/geo/commune/98716 | http://data.ign.fr/id/geofla/commune/98716 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98716",
"place/FRAN_RI_005-d5bdpqtgso-1n5eqj0sl4j1y","d5bdpqtgso-1n5eqj0sl4j1y","Fangatau (Polynésie-Française)","Fangatau",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98717",,"http://id.insee.fr/geo/commune/98717 | http://data.ign.fr/id/geofla/commune/98717 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98717",
"place/FRAN_RI_005-d5bdp5c2hg--z52oop4kxw4j","d5bdp5c2hg--z52oop4kxw4j","Fatu-Hiva (Polynésie-Française)","Fatu-Hiva",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98718",,"http://id.insee.fr/geo/commune/98718 | http://data.ign.fr/id/geofla/commune/98718 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98718",
"place/FRAN_RI_005-d5bdp49seu-1wwylfpgr9pra","d5bdp49seu-1wwylfpgr9pra","Gambier (Polynésie-Française)","Gambier",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98719",,"http://id.insee.fr/geo/commune/98719 | http://data.ign.fr/id/geofla/commune/98719 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98719",
"place/FRAN_RI_005-d5bdp9xrvm--1ogip8sn7q6tx","d5bdp9xrvm--1ogip8sn7q6tx","Hao (Polynésie-Française)","Hao",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98720",,"http://id.insee.fr/geo/commune/98720 | http://data.ign.fr/id/geofla/commune/98720 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98720",
