"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d5bdoz1v2s-bf9zskp244fn","d5bdoz1v2s-bf9zskp244fn","Hikueru (Polynésie-Française)","Hikueru",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98721",,"http://id.insee.fr/geo/commune/98721 | http://data.ign.fr/id/geofla/commune/98721 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98721",
"place/FRAN_RI_005-d5bdppthxi-1xvl6ckiks9qn","d5bdppthxi-1xvl6ckiks9qn","Hitiaa-O-Te-Ra (Polynésie-Française)","Hitiaa-O-Te-Ra",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98722",,"http://id.insee.fr/geo/commune/98722 | http://data.ign.fr/id/geofla/commune/98722 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98722",
"place/FRAN_RI_005-d5bdpk52ih--182jmih055bg5","d5bdpk52ih--182jmih055bg5","Hiva-Oa (Polynésie-Française)","Hiva-Oa",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98723",,"http://id.insee.fr/geo/commune/98723 | http://data.ign.fr/id/geofla/commune/98723 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98723",
"place/FRAN_RI_005-d5bdpagzlw-b2nxsrie78rq","d5bdpagzlw-b2nxsrie78rq","Huahine (Polynésie-Française)","Huahine",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98724",,"http://id.insee.fr/geo/commune/98724 | http://data.ign.fr/id/geofla/commune/98724 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98724",
"place/FRAN_RI_005-d5bdpecnqz--1x5rworcmis2z","d5bdpecnqz--1x5rworcmis2z","Mahina (Polynésie-Française)","Mahina",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98725",,"http://id.insee.fr/geo/commune/98725 | http://data.ign.fr/id/geofla/commune/98725 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98725",
"place/FRAN_RI_005-d5bdplc3b4-ikx1cxnaktzw","d5bdplc3b4-ikx1cxnaktzw","Makemo (Polynésie-Française)","Makemo",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98726",,"http://id.insee.fr/geo/commune/98726 | http://data.ign.fr/id/geofla/commune/98726 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98726",
"place/FRAN_RI_005-d5bdoy415z--l0gps1efdp9n","d5bdoy415z--l0gps1efdp9n","Manihi (Polynésie-Française)","Manihi",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98727",,"http://id.insee.fr/geo/commune/98727 | http://data.ign.fr/id/geofla/commune/98727 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98727",
"place/FRAN_RI_005-d5bdoxn7fz--1gzc9ezsu8v2h","d5bdoxn7fz--1gzc9ezsu8v2h","Maupiti (Polynésie-Française)","Maupiti",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98728",,"http://id.insee.fr/geo/commune/98728 | http://data.ign.fr/id/geofla/commune/98728 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98728",
"place/FRAN_RI_005-d5bdplhg8f--1akwddqdltkfz","d5bdplhg8f--1akwddqdltkfz","Moorea-Maiao (Polynésie-Française)","Moorea-Maiao",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98729",,"http://id.insee.fr/geo/commune/98729 | http://data.ign.fr/id/geofla/commune/98729 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98729",
"place/FRAN_RI_005-d5bdplyv2x-1sa90aiyhcjv6","d5bdplyv2x-1sa90aiyhcjv6","Napuka (Polynésie-Française)","Napuka",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98730",,"http://id.insee.fr/geo/commune/98730 | http://data.ign.fr/id/geofla/commune/98730 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98730",
"place/FRAN_RI_005-d5bdpfw9fo-inxyaf2w8jlo","d5bdpfw9fo-inxyaf2w8jlo","Nuku-Hiva (Polynésie-Française)","Nuku-Hiva",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98731",,"http://id.insee.fr/geo/commune/98731 | http://data.ign.fr/id/geofla/commune/98731 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98731",
"place/FRAN_RI_005-d5bdpcm9ej-19nukihlzmntw","d5bdpcm9ej-19nukihlzmntw","Nukutavake (Polynésie-Française)","Nukutavake",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98732",,"http://id.insee.fr/geo/commune/98732 | http://data.ign.fr/id/geofla/commune/98732 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98732",
"place/FRAN_RI_005-d5bdp11r32-n2026vkvcy91","d5bdp11r32-n2026vkvcy91","Paea (Polynésie-Française)","Paea",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98733",,"http://id.insee.fr/geo/commune/98733 | http://data.ign.fr/id/geofla/commune/98733 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98733",
"place/FRAN_RI_005-d5bdp59owo-lhvwmygf6px6","d5bdp59owo-lhvwmygf6px6","Papara (Polynésie-Française)","Papara",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98734",,"http://id.insee.fr/geo/commune/98734 | http://data.ign.fr/id/geofla/commune/98734 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98734",
"place/FRAN_RI_005-d5bdp1min8--3q33xmhqer9k","d5bdp1min8--3q33xmhqer9k","Papeete (Polynésie-Française)","Papeete",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98735",,"http://id.insee.fr/geo/commune/98735 | http://data.ign.fr/id/geofla/commune/98735 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98735",
"place/FRAN_RI_005-d5bdp2xewo-1h4ea2td6lfzg","d5bdp2xewo-1h4ea2td6lfzg","Pirae (Polynésie-Française)","Pirae",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98736",,"http://id.insee.fr/geo/commune/98736 | http://data.ign.fr/id/geofla/commune/98736 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98736",
"place/FRAN_RI_005-d5bdp7jsnq--1jz3oefvk3vwy","d5bdp7jsnq--1jz3oefvk3vwy","Pukapuka (Polynésie-Française)","Pukapuka",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98737",,"http://id.insee.fr/geo/commune/98737 | http://data.ign.fr/id/geofla/commune/98737 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98737",
"place/FRAN_RI_005-d5bdpoos4j--5d8gbi3b0ttg","d5bdpoos4j--5d8gbi3b0ttg","Punaauia (Polynésie-Française)","Punaauia",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98738",,"http://id.insee.fr/geo/commune/98738 | http://data.ign.fr/id/geofla/commune/98738 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98738",
"place/FRAN_RI_005-d5bdp7ydz7--urcn6tvgyj12","d5bdp7ydz7--urcn6tvgyj12","Raivavae (Polynésie-Française)","Raivavae",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98739",,"http://id.insee.fr/geo/commune/98739 | http://data.ign.fr/id/geofla/commune/98739 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98739",
"place/FRAN_RI_005-d5bdp2xmo1--immlaaist78c","d5bdp2xmo1--immlaaist78c","Rangiroa (Polynésie-Française)","Rangiroa",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98740",,"http://id.insee.fr/geo/commune/98740 | http://data.ign.fr/id/geofla/commune/98740 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98740",
"place/FRAN_RI_005-d5bdpgbku4--10jdxan7pdvit","d5bdpgbku4--10jdxan7pdvit","Rapa (Polynésie-Française)","Rapa",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98741",,"http://id.insee.fr/geo/commune/98741 | http://data.ign.fr/id/geofla/commune/98741 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98741",
"place/FRAN_RI_005-d5bdpj7ko9-3fwt1prodq3p","d5bdpj7ko9-3fwt1prodq3p","Reao (Polynésie-Française)","Reao",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98742",,"http://id.insee.fr/geo/commune/98742 | http://data.ign.fr/id/geofla/commune/98742 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98742",
"place/FRAN_RI_005-d5bdp1y1dr-vsqnt6rm5qtx","d5bdp1y1dr-vsqnt6rm5qtx","Rimatara (Polynésie-Française)","Rimatara",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98743",,"http://id.insee.fr/geo/commune/98743 | http://data.ign.fr/id/geofla/commune/98743 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98743",
"place/FRAN_RI_005-d5bdp1u4u4-1088gffn3ri16","d5bdp1u4u4-1088gffn3ri16","Rurutu (Polynésie-Française)","Rurutu",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98744",,"http://id.insee.fr/geo/commune/98744 | http://data.ign.fr/id/geofla/commune/98744 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98744",
"place/FRAN_RI_005-d5bdpq1bg9--1sdn9i1kd8cl6","d5bdpq1bg9--1sdn9i1kd8cl6","Tahaa (Polynésie-Française)","Tahaa",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98745",,"http://id.insee.fr/geo/commune/98745 | http://data.ign.fr/id/geofla/commune/98745 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98745",
"place/FRAN_RI_005-d5bdpgrrpj-1cgkgiwd1ippk","d5bdpgrrpj-1cgkgiwd1ippk","Tahuata (Polynésie-Française)","Tahuata",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98746",,"http://id.insee.fr/geo/commune/98746 | http://data.ign.fr/id/geofla/commune/98746 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98746",
"place/FRAN_RI_005-d5bdpls7lf--1occ50o4ko8ho","d5bdpls7lf--1occ50o4ko8ho","Taiarapu-Est (Polynésie-Française)","Taiarapu-Est",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98747",,"http://id.insee.fr/geo/commune/98747 | http://data.ign.fr/id/geofla/commune/98747 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98747",
"place/FRAN_RI_005-d5bdpk65j2-10m5oagtmae62","d5bdpk65j2-10m5oagtmae62","Taiarapu-Ouest (Polynésie-Française)","Taiarapu-Ouest",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98748",,"http://id.insee.fr/geo/commune/98748 | http://data.ign.fr/id/geofla/commune/98748 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98748",
"place/FRAN_RI_005-d5bdphaies--1d97ft1guhmam","d5bdphaies--1d97ft1guhmam","Takaroa (Polynésie-Française)","Takaroa",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98749",,"http://id.insee.fr/geo/commune/98749 | http://data.ign.fr/id/geofla/commune/98749 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98749",
"place/FRAN_RI_005-d5bdpkhlog-1izt0dw1u8ot4","d5bdpkhlog-1izt0dw1u8ot4","Taputapuatea (Polynésie-Française)","Taputapuatea",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98750",,"http://id.insee.fr/geo/commune/98750 | http://data.ign.fr/id/geofla/commune/98750 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98750",
"place/FRAN_RI_005-d5bdp8pm4k-18357w2q1tnu3","d5bdp8pm4k-18357w2q1tnu3","Tatakoto (Polynésie-Française)","Tatakoto",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98751",,"http://id.insee.fr/geo/commune/98751 | http://data.ign.fr/id/geofla/commune/98751 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98751",
"place/FRAN_RI_005-d5bdox2kes--6isuxrix5w0y","d5bdox2kes--6isuxrix5w0y","Teva-I-Uta (Polynésie-Française)","Teva-I-Uta",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98752",,"http://id.insee.fr/geo/commune/98752 | http://data.ign.fr/id/geofla/commune/98752 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98752",
"place/FRAN_RI_005-d5bdp6g459-1m49wt7omh3sd","d5bdp6g459-1m49wt7omh3sd","Tubuai (Polynésie-Française)","Tubuai",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98753",,"http://id.insee.fr/geo/commune/98753 | http://data.ign.fr/id/geofla/commune/98753 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98753",
"place/FRAN_RI_005-d5bdpcds66-c7k5ge1ker1h","d5bdpcds66-c7k5ge1ker1h","Tumaraa (Polynésie-Française)","Tumaraa",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98754",,"http://id.insee.fr/geo/commune/98754 | http://data.ign.fr/id/geofla/commune/98754 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98754",
"place/FRAN_RI_005-d5bdoycqdh-o5xk59ibrzag","d5bdoycqdh-o5xk59ibrzag","Tureia (Polynésie-Française)","Tureia",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98755",,"http://id.insee.fr/geo/commune/98755 | http://data.ign.fr/id/geofla/commune/98755 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98755",
"place/FRAN_RI_005-d5bdoztev7--156wqgmrc120w","d5bdoztev7--156wqgmrc120w","Ua-Huka (Polynésie-Française)","Ua-Huka",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98756",,"http://id.insee.fr/geo/commune/98756 | http://data.ign.fr/id/geofla/commune/98756 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98756",
"place/FRAN_RI_005-d5bdozyajq-xgwcmjgcf7md","d5bdozyajq-xgwcmjgcf7md","Ua-Pou (Polynésie-Française)","Ua-Pou",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98757",,"http://id.insee.fr/geo/commune/98757 | http://data.ign.fr/id/geofla/commune/98757 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98757",
"place/FRAN_RI_005-d5bdpbcpfd-1s8hsmmv1tn67","d5bdpbcpfd-1s8hsmmv1tn67","Uturoa (Polynésie-Française)","Uturoa",,,"Polynésie-Française (pays et territoires d'outre-mer) [d5bdpe088x-lfg6zid2h8e7]","98758",,"http://id.insee.fr/geo/commune/98758 | http://data.ign.fr/id/geofla/commune/98758 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/98758",
