"URI (segment de base  http://data.archives-nationales.culture.gouv.fr/","Identifiant du pays dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Date de début  d’existence (rico:beginningDate)","Date de fin  d’existence (rico:endDate)","Historique (rico:history)","Notes sur les modifications effectuées pour ce lieu (skos:changeNote)"
"place/FRAN_RI_005-d3ntxkclmm-fprizcfa4o4s","d3ntxkclmm-fprizcfa4o4s","Congo","Moyen-Congo",,,,
"place/FRAN_RI_005-d3ntxkcyrz--1bv09gkx25n60","d3ntxkcyrz--1bv09gkx25n60","Congo (République démocratique du)","Zaïre | Congo-Kinshasa | Congo-Léopoldville | Congo-Belge",,,,
"place/FRAN_RI_005-d3m08ztm7l2-16sf07bb8r63l","d3m08ztm7l2-16sf07bb8r63l","Corée",,,,"Divisée en 1948 en Corée du Nord et Corée du Sud.",
"place/FRAN_RI_005-d3ntxkdbhu--aq92j7axypcl","d3ntxkdbhu--aq92j7axypcl","Corée du Nord",,,,,
"place/FRAN_RI_005-d3ntxkdnke-iiffep6myfby","d3ntxkdnke-iiffep6myfby","Corée du Sud",,,,,
"place/FRAN_RI_005-d3ntxkdzmz--188yqumboliyb","d3ntxkdzmz--188yqumboliyb","Costa Rica",,,,,
"place/FRAN_RI_005-d3ntxkeexy-r0188j1zvdpe","d3ntxkeexy-r0188j1zvdpe","Côte d’Ivoire",,,,,
"place/FRAN_RI_005-d3ntxkesiu-1lezfchenk55s","d3ntxkesiu-1lezfchenk55s","Croatie",,,,,
"place/FRAN_RI_005-d3ntxkf4t6--1ytudbz8t9ae","d3ntxkf4t6--1ytudbz8t9ae","Cuba",,,,,
"place/FRAN_RI_005-d3ntxkfgvq--1ml7hma97e0bo","d3ntxkfgvq--1ml7hma97e0bo","Danemark",,,,,
"place/FRAN_RI_005-d3ntxkfsqj-16ytfepx1s2vz","d3ntxkfsqj-16ytfepx1s2vz","Djibouti","Côte-française-des-Somalis | Territoire-français-des-Afars-et-des Issas",,,,
"place/FRAN_RI_005-d3ntxkgbho--qtxq7ori0c7z","d3ntxkgbho--qtxq7ori0c7z","Dominicaine (République)",,,,,
"place/FRAN_RI_005-d5bdp5e0z0-1twl0skgw44se","d5bdp5e0z0-1twl0skgw44se","Dominique",,,,,
"place/FRAN_RI_005-d5bdp2m9bi--7qyiku2nrvrt","d5bdp2m9bi--7qyiku2nrvrt","Egypte",,,,,
"place/FRAN_RI_005-d5bdpo5i0v-124jtgvmska7","d5bdpo5i0v-124jtgvmska7","Emirats arabes unis",,,,,
"place/FRAN_RI_005-d3m08yzv8jx--p6v8aday3b7k","d3m08yzv8jx--p6v8aday3b7k","Empire Ottoman (1237-1924)",,"1237","1924",,
"place/FRAN_RI_005-d5bdpb6qy1--1ai5ntf0o6xfo","d5bdpb6qy1--1ai5ntf0o6xfo","Equateur",,,,,
"place/FRAN_RI_005-d5bdp0gmt1--2ppt8r6p957b","d5bdp0gmt1--2ppt8r6p957b","Erythrée",,,,,
"place/FRAN_RI_005-d3ntxkj150-14qdrjsm01noe","d3ntxkj150-14qdrjsm01noe","Espagne",,,,,
"place/FRAN_RI_005-d3ntxkje2m--wsco6cdgpara","d3ntxkje2m--wsco6cdgpara","Estonie",,,,,
"place/FRAN_RI_005-d5bdpnc6n8--6t8agr79pl90","d5bdpnc6n8--6t8agr79pl90","Etats-Unis","USA",,,,
"place/FRAN_RI_005-d5bdpa3ltz-ay3087b9w4at","d5bdpa3ltz-ay3087b9w4at","Ethiopie",,,,,
"place/FRAN_RI_005-d3ntxkkh37-12f40cb2wfl2y","d3ntxkkh37-12f40cb2wfl2y","Fidji",,,,,
"place/FRAN_RI_005-d3ntxkkugc--m8swjzfppxrl","d3ntxkkugc--m8swjzfppxrl","Finlande",,,,,
"place/FRAN_RI_005-d3ntxkl6yf-1f01iiij7xnld","d3ntxkl6yf-1f01iiij7xnld","France",,,,,
"place/FRAN_RI_005-d3ntxkmccd--ee0kizcd1bkh","d3ntxkmccd--ee0kizcd1bkh","Gabon",,,,,
"place/FRAN_RI_005-d3ntxkmoey-sjbc6nq9oo3y","d3ntxkmoey-sjbc6nq9oo3y","Gambie",,,,,
"place/FRAN_RI_005-d3ntxkn0hi--1vtbl4krwys5k","d3ntxkn0hi--1vtbl4krwys5k","Géorgie",,,,,
"place/FRAN_RI_005-d3ntxknc4k-17z27l42zbdrw","d3ntxknc4k-17z27l42zbdrw","Ghana",,,,,
"place/FRAN_RI_005-d3ntxknnzd--1o618nl5gdmcb","d3ntxknnzd--1o618nl5gdmcb","Grèce",,,,,
"place/FRAN_RI_005-d3ntxknzu6-qrgl6nej2u0i","d3ntxknzu6-qrgl6nej2u0i","Grenade",,,,,
"place/FRAN_RI_005-d3ntxkobh8-1nuwaf9kfteaa","d3ntxkobh8-1nuwaf9kfteaa","Guatémala",,,,,
"place/FRAN_RI_005-d3ntxkon49--isghzgoeejyk","d3ntxkon49--isghzgoeejyk","Guinée","Guinée Française",,,,
"place/FRAN_RI_005-d3ntxkpaed--hqgfrh9uhcd0","d3ntxkpaed--hqgfrh9uhcd0","Guinée-Bissao","Guinée Portugaise | Guinée-Bissau",,,,
"place/FRAN_RI_005-d3ntxkoyrb-dsg38cy7u78y","d3ntxkoyrb-dsg38cy7u78y","Guinée équatoriale",,,,,
"place/FRAN_RI_005-d3ntxkpltn--1rfmapk2p1vta","d3ntxkpltn--1rfmapk2p1vta","Guyana","Guyane Britannique",,,,
"place/FRAN_RI_005-d3ntxkpxgp--1v0m0nu0itvsu","d3ntxkpxgp--1v0m0nu0itvsu","Haïti",,,,,
"place/FRAN_RI_005-d3ntxkq9bi-kbche0ccn5w1","d3ntxkq9bi-kbche0ccn5w1","Honduras",,,,,
"place/FRAN_RI_005-d3ntxkqkyk-1uo2do8p3bx0b","d3ntxkqkyk-1uo2do8p3bx0b","Hongrie",,,,,
"place/FRAN_RI_005-d3ntxkrkiz--1shnvwc1hre55","d3ntxkrkiz--1shnvwc1hre55","Inde",,,,,
"place/FRAN_RI_005-d3ntxks14i-1gs8zt6228mrb","d3ntxks14i-1gs8zt6228mrb","Indonésie",,,,,
"place/FRAN_RI_005-d3ntxksdml--6ntmosvkxtsf","d3ntxksdml--6ntmosvkxtsf","Irak","Iraq",,,,
"place/FRAN_RI_005-d3ntxksp1w--343euphulxpk","d3ntxksp1w--343euphulxpk","Iran",,,,,
"place/FRAN_RI_005-d3ntxkt0ox-16bmp6ylm8933","d3ntxkt0ox-16bmp6ylm8933","Irlande","Eire",,,,
"place/FRAN_RI_005-d3ntxktc48--30vkkdnwnoqi","d3ntxktc48--30vkkdnwnoqi","Islande",,,,,
"place/FRAN_RI_005-d3ntxktw5x--84skvc22nt6e","d3ntxktw5x--84skvc22nt6e","Israël",,,,,
"place/FRAN_RI_005-d3ntxku8g8--8c7e9zxf15do","d3ntxku8g8--8c7e9zxf15do","Italie",,,,,
"place/FRAN_RI_005-d3ntxkuk3a--10nejkg023ek7","d3ntxkuk3a--10nejkg023ek7","Jamaïque",,,,,
"place/FRAN_RI_005-d3ntxkuz6i-ibdx4bloxd1l","d3ntxkuz6i-ibdx4bloxd1l","Japon",,,,,
"place/FRAN_RI_005-d3ntxkvbgu--xzyrl81d15gm","d3ntxkvbgu--xzyrl81d15gm","Jordanie","Transjordanie",,,,
"place/FRAN_RI_005-d3ntxkvnbn--yazr1ubyioz0","d3ntxkvnbn--yazr1ubyioz0","Kazakhstan",,,,,
"place/FRAN_RI_005-d3ntxkvyj6--1k002kpmbyv5e","d3ntxkvyj6--1k002kpmbyv5e","Kenya",,,,,
"place/FRAN_RI_005-d3ntxkw9qp--6b230o2m6lgd","d3ntxkw9qp--6b230o2m6lgd","Kirghizstan","Kirghizie | Kirghizistan",,,,
"place/FRAN_RI_005-d3ntxkwky8--1g2haqwf7k707","d3ntxkwky8--1g2haqwf7k707","Kiribati","Iles Gilbert",,,,
"place/FRAN_RI_005-d3ntxkx2ub--j49sgjww5le6","d3ntxkx2ub--j49sgjww5le6","Kosovo",,,,,
