"URI (segment de base  http://data.archives-nationales.culture.gouv.fr/","Identifiant du pays dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Date de début  d’existence (rico:beginningDate)","Date de fin  d’existence (rico:endDate)","Historique (rico:history)","Notes sur les modifications effectuées pour ce lieu (skos:changeNote)"
"place/FRAN_RI_005-d3ntxlyula-1qj2xqwyl4the","d3ntxlyula-1qj2xqwyl4the","Turquie",,,,,
"place/FRAN_RI_005-d3ntxlz73d--3kjbs9pqmpcq","d3ntxlz73d--3kjbs9pqmpcq","Tuvalu",,,,,
"place/FRAN_RI_005-d3ntxlzn9e--18rviijd4m2nf","d3ntxlzn9e--18rviijd4m2nf","Ukraine",,,,,
"place/FRAN_RI_005-d5bdozt385-1ddlqtimgcatn","d5bdozt385-1ddlqtimgcatn","URSS (1922-1991)","Union des républiques socialistes soviétiques | Union soviétique","1922","1991",,
"place/FRAN_RI_005-d3ntxm0chb-1mwjmevisbc56","d3ntxm0chb-1mwjmevisbc56","Uruguay",,,,,
"place/FRAN_RI_005-d3m08zg522c--1t6ub9c45zktn","d3m08zg522c--1t6ub9c45zktn","Vanuatu",,,,,
"place/FRAN_RI_005-d3ntxm14xo--le8il0cmf7di","d3ntxm14xo--le8il0cmf7di","Vatican","Saint-Siège",,,,
"place/FRAN_RI_005-d3ntxm1gkp-ow80x0hccfo4","d3ntxm1gkp-ow80x0hccfo4","Vénézuéla",,,,,
"place/FRAN_RI_005-d3ntxm1sfi-oacjamv1qe6l","d3ntxm1sfi-oacjamv1qe6l","Vietnam","Viêt Nam",,,,
"place/FRAN_RI_005-d5bdpqli3o--1p8qjh26hm9ro","d5bdpqli3o--1p8qjh26hm9ro","Vietnam (République démocratique du, 1955-1975)","Vietnam du Nord",,,,
"place/FRAN_RI_005-d5bdoz339m--19ffsppnq8o37","d5bdoz339m--19ffsppnq8o37","Vietnam (République du, 1955-1975)","Vietnam du Sud",,,,
"place/FRAN_RI_005-d3ntxm2zjj--9h4rp6xiguuu","d3ntxm2zjj--9h4rp6xiguuu","Yémen",,,,"Créé en 1990 par réunification du Yémen du Nord et du Yémen du Sud.",
"place/FRAN_RI_005-d5bdp33h9o--tybrmwi32a0g","d5bdp33h9o--tybrmwi32a0g","Yémen du Nord (1962-1990)",,"1962","1990",,
"place/FRAN_RI_005-d5bdp5nhc9--vyzbvk8gsb2m","d5bdp5nhc9--vyzbvk8gsb2m","Yémen du Sud (1967-1990)",,"1967","1990",,
"place/FRAN_RI_005-d3m08zfsbpu-ymiwkgh36rye","d3m08zfsbpu-ymiwkgh36rye","Yougoslavie (1929-1991)",,"1929","1991",,
"place/FRAN_RI_005-d3ntxm4i2v-algp8fl9dfke","d3ntxm4i2v-algp8fl9dfke","Zambie",,,,,
"place/FRAN_RI_005-d5bdpd7uhu--eglri0gyddko","d5bdpd7uhu--eglri0gyddko","Zimbabwe",,,,,
