"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntq81g8m-1upshr8iinmy","d3ntq81g8m-1upshr8iinmy","Achenheim (Bas-Rhin)","Achenheim","arrondissement : 676 | canton : Mundolsheim","1er janvier 2015 : Achenheim passe de l'arrondissement de Strasbourg-Campagne à l'arrondissement de Strasbourg.","Bas-Rhin (Alsace, département) [d3ntb78834--1anjmzrakhdvu]","67001","POINT(1041000 6841200)","http://id.insee.fr/geo/commune/67001 | http://data.ign.fr/id/geofla/commune/67001 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/67001","Hangenbieten (Bas-Rhin) [d3ntqtahug-4hrwdt0cjjj5] | Oberschaeffolsheim (Bas-Rhin) [d3ntqvedey--1r1rm33lyjkys] | Ittenheim (Bas-Rhin) [d3ntqtsuja--oxefmvdtemt7] | Holtzheim (Bas-Rhin) [d3ntqto5bk--qmrzdyjeei09] | Breuschwickersheim (Bas-Rhin) [d3ntq8qxvj--irry930outvn]"
"place/FRAN_RI_005-d3ntq81r8d-1co5pruvy9652","d3ntq81r8d-1co5pruvy9652","Adamswiller (Bas-Rhin)","Ottrott-Haut | Haut-Ottrott | Adamswiller | Adamswiler","arrondissement : 674 | canton : Drulingen",,"Bas-Rhin (Alsace, département) [d3ntb78834--1anjmzrakhdvu]","67002","POINT(1007900 6875300)","http://id.insee.fr/geo/commune/67002 | http://data.ign.fr/id/geofla/commune/67002 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/67002","Rexingen (Bas-Rhin) [d3ntqvubvq--cwag5c7z4eka] | Durstel (Bas-Rhin) [d3ntqsl2d4--ksktoipx4vgt] | Mackwiller (Bas-Rhin) [d3ntqul0b8--1wwtcenrsiwbk] | Waldhambach (Bas-Rhin) [d3ntqx2mt1--3ynax8e2g4as] | Tieffenbach (Bas-Rhin) [d3ntqwukvn--1eb90evset6rj]"
"place/FRAN_RI_005-d3ntq822fw--15sabp5qgr0yd","d3ntq822fw--15sabp5qgr0yd","Albé (Bas-Rhin)","Weiler | Erlender | Erlenbach | Erlambach | Albé","arrondissement : 675 | canton : Villé",,"Bas-Rhin (Alsace, département) [d3ntb78834--1anjmzrakhdvu]","67003","POINT(1019700 6815000)","http://id.insee.fr/geo/commune/67003 | http://data.ign.fr/id/geofla/commune/67003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/67003","Andlau (Bas-Rhin) [d3ntq83wm9-pnlgu9c8mbka] | Triembach-au-Val (Bas-Rhin) [d3ntqwv6nf-1v8mh9qxswyng] | Villé (Bas-Rhin) [d3ntqx0i2f-1uqi9ua25caqq] | Reichsfeld (Bas-Rhin) [d3ntqvs7kn--1q191gc3s0b70] | Saint-Pierre-Bois (Bas-Rhin) [d3ntqw6eny-18ns97kdgz7nj] | Le Hohwald (Bas-Rhin) [d3ntqtnujk--8dlx6uv961pq] | Breitenbach (Bas-Rhin) [d3ntq8qmvr--1tl7vj4p3haen] | Saint-Martin (Bas-Rhin) [d3ntqw57c5-1s77588cnhf67]"
"place/FRAN_RI_005-d3ntq82dnf--15q1782xeywus","d3ntq82dnf--15q1782xeywus","Allenwiller (Bas-Rhin)","Wiler | Attenviler | Allenwiller","arrondissement : 674 | canton : Marmoutier","1er janvier 2016 : Allenwiller devient commune déléguée (chef-lieu) au sein de Sommerau (commune nouvelle).Birkenwald devient commune déléguée au sein de Sommerau (commune nouvelle).Création de la commune nouvelle de Sommerau en lieu et place des communes d'Allenwiller, de Birkenwald, de Salenthal et de Singrist devenues déléguées.Salenthal devient commune déléguée au sein de Sommerau (commune nouvelle).Singrist devient commune déléguée au sein de Sommerau (commune nouvelle).","Bas-Rhin (Alsace, département) [d3ntb78834--1anjmzrakhdvu]","67004","POINT(1022100 6848300)","http://id.insee.fr/geo/commune/67004 | http://data.ign.fr/id/geofla/commune/67004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/67004","Dimbsthal (Bas-Rhin) [d3ntqsf4yk-w1373cm1f5sc] | Crastatt (Bas-Rhin) [d3ntq8w6pf-8y3sne9m05sq] | Marmoutier (Bas-Rhin) [d3ntqupd8m-1vh2jrnhlpc01] | Jetterswiller (Bas-Rhin) [d3ntqttr32-17yyyz3jbd5zq] | Reinhardsmunster (Bas-Rhin) [d3ntqvt44f-1289obhlr6raa] | Wangenbourg-Engenthal (Bas-Rhin) [d3ntqsp7yn-tq72m33w6dyk] | Romanswiller (Bas-Rhin) [d3ntqvyz5m--1um6ysh94r0pm] | Hengwiller (Bas-Rhin) [d3ntqtdyvb-k2y0v50wqi6n] | Reutenbourg (Bas-Rhin) [d3ntqvu0vz--1qiz2x87y3m5q]"
"place/FRAN_RI_005-d3ntq82on7--1umqwgec8sffp","d3ntq82on7--1umqwgec8sffp","Alteckendorf (Bas-Rhin)","Alteckendorf | Alt-Echendorf","arrondissement : 676 | canton : Hochfelden","1er janvier 2015 : Alteckendorf passe de l'arrondissement de Strasbourg-Campagne à l'arrondissement de Saverne.","Bas-Rhin (Alsace, département) [d3ntb78834--1anjmzrakhdvu]","67005","POINT(1037300 6864500)","http://id.insee.fr/geo/commune/67005 | http://data.ign.fr/id/geofla/commune/67005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/67005","Lixhausen (Bas-Rhin) [d3ntquil0d-mjg84p3853qh] | Huttendorf (Bas-Rhin) [d3ntqtp1vc--v6zjp6hnyppk] | Bossendorf (Bas-Rhin) [d3ntq8p44p--1sugn8j7juj4a] | Grassendorf (Bas-Rhin) [d3ntqt5i2h--zfo9bkfz7k7v] | Minversheim (Bas-Rhin) [d3ntqus51k-akysc83on2ls] | Schwindratzheim (Bas-Rhin) [d3ntqwj0mt-xpucn21ro8r3] | Ettendorf (Bas-Rhin) [d3ntqsua3z--16ftejnaa58xm]"
"place/FRAN_RI_005-d3ntq82zmy--jv427bvgq2k9","d3ntq82zmy--jv427bvgq2k9","Altenheim (Bas-Rhin)","Altenheim","arrondissement : 674 | canton : Saverne",,"Bas-Rhin (Alsace, département) [d3ntb78834--1anjmzrakhdvu]","67006","POINT(1028200 6855800)","http://id.insee.fr/geo/commune/67006 | http://data.ign.fr/id/geofla/commune/67006 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/67006","Wolschheim (Bas-Rhin) [d3ntqxgt1a--o3v89048yh0b] | Friedolsheim (Bas-Rhin) [d3ntqsye77--41jdi84ml4m1] | Furchhausen (Bas-Rhin) [d3ntqszlb8--je1tslm1ecia] | Lupstein (Bas-Rhin) [d3ntquk3jo--1xu47rb6v4s9f] | Littenheim (Bas-Rhin) [d3ntquia8d--xpf8enqy82wx] | Waldolwisheim (Bas-Rhin) [d3ntqx2xl1-1h35i1jy0egx5]"
"place/FRAN_RI_005-d3ntq83amq-tnyeinoa8zp7","d3ntq83amq-tnyeinoa8zp7","Altorf (Bas-Rhin)","Altorf","arrondissement : 673 | canton : Molsheim",,"Bas-Rhin (Alsace, département) [d3ntb78834--1anjmzrakhdvu]","67008","POINT(1034200 6834200)","http://id.insee.fr/geo/commune/67008 | http://data.ign.fr/id/geofla/commune/67008 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/67008","Dorlisheim (Bas-Rhin) [d3ntqsi1i9-13w9ck967qu4t] | Duttlenheim (Bas-Rhin) [d3ntqsldcw--1cm5egixi78h3] | Dachstein (Bas-Rhin) [d3ntq8wtjz-6ixfln3oq5og] | Molsheim (Bas-Rhin) [d3ntquv2g9--1k1gg6f87iunx] | Griesheim-près-Molsheim (Bas-Rhin) [d3ntqt6pm1-cwrjmp9xdu6e] | Innenheim (Bas-Rhin) [d3ntqts8ri--hjgleuzadavy]"
"place/FRAN_RI_005-d3ntq83leq-1ekb62is1bs63","d3ntq83leq-1ekb62is1bs63","Altwiller (Bas-Rhin)","Attwiler","arrondissement : 674 | canton : Sarre-Union",,"Bas-Rhin (Alsace, département) [d3ntb78834--1anjmzrakhdvu]","67009","POINT(991500 6877300)","http://id.insee.fr/geo/commune/67009 | http://data.ign.fr/id/geofla/commune/67009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/67009","Harskirchen (Bas-Rhin) [d3ntqtasmg--1t812effo9qch] |  [] |  [] | Diedendorf (Bas-Rhin) [d3ntqsdl4p-189uohtmrh1sm] | Hinsingen (Bas-Rhin) [d3ntqtj23g--lcmzyudw5vas] |  [] |  [] | Bissert (Bas-Rhin) [d3ntq8kjfy-14gdjsf2p615m]"
"place/FRAN_RI_005-d3ntq83wm9-pnlgu9c8mbka","d3ntq83wm9-pnlgu9c8mbka","Andlau (Bas-Rhin)","Andlau","arrondissement : 675 | canton : Barr",,"Bas-Rhin (Alsace, département) [d3ntb78834--1anjmzrakhdvu]","67010","POINT(1026900 6818700)","http://id.insee.fr/geo/commune/67010 | http://data.ign.fr/id/geofla/commune/67010 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/67010","Reichsfeld (Bas-Rhin) [d3ntqvs7kn--1q191gc3s0b70] | Barr (Bas-Rhin) [d3ntq8a940--1fw81a4fnwuto] | Albé (Bas-Rhin) [d3ntq822fw--15sabp5qgr0yd] | Bernardvillé (Bas-Rhin) [d3ntq8ez6r--d6vsmg1rk8ud] | Eichhoffen (Bas-Rhin) [d3ntqsolz4-745o6xqp4aq7] | Le Hohwald (Bas-Rhin) [d3ntqtnujk--8dlx6uv961pq] | Mittelbergheim (Bas-Rhin) [d3ntquti6v--1adqpnfohb744]"
"place/FRAN_RI_005-d3ntq847m1--1sv3xeysyazlt","d3ntq847m1--1sv3xeysyazlt","Artolsheim (Bas-Rhin)","Aztolsheim | Artolsheim","arrondissement : 675 | canton : Marckolsheim",,"Bas-Rhin (Alsace, département) [d3ntb78834--1anjmzrakhdvu]","67011","POINT(1039500 6799600)","http://id.insee.fr/geo/commune/67011 | http://data.ign.fr/id/geofla/commune/67011 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/67011","Richtolsheim (Bas-Rhin) [d3ntqvuxni-fxh3to6jb2e0] | Hessenheim (Bas-Rhin) [d3ntqtf5zc-6zl859l2oc72] | Schwobsheim (Bas-Rhin) [d3ntqwjchm--1hiwb4ei4qhzm] | Boesenbiesen (Bas-Rhin) [d3ntq8mdu2--1o9vfaco83qph] | Mackenheim (Bas-Rhin) [d3ntqukpbg--1hjlm8sa3t9m6] | Schoenau (Bas-Rhin) [d3ntqwg3vd--bl3z7sg37uy3] | Bootzheim (Bas-Rhin) [d3ntq8ohpn-1nk65gk3lppkr]"
"place/FRAN_RI_005-d3ntq87lma-h43znup2ae5a","d3ntq87lma-h43znup2ae5a","Aschbach (Bas-Rhin)","Aschbach | Asbach","arrondissement : 677 | canton : Soultz-sous-Forêts","1er juillet 1974 : Aschbach est rattachée à Stundwiller (fusion association).Stundwiller fusionne avec Aschbach et Oberrœdern (fusion association). 1er janvier 1988 : Aschbach est rétablie.Stundwiller se sépare d'Aschbach. 1er janvier 2015 : Aschbach passe de l'arrondissement de Wissembourg à l'arrondissement de Haguenau-Wissembourg.","Bas-Rhin (Alsace, département) [d3ntb78834--1anjmzrakhdvu]","67012","POINT(1064800 6882000)","http://id.insee.fr/geo/commune/67012 | http://data.ign.fr/id/geofla/commune/67012 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/67012","Oberroedern (Bas-Rhin) [d3ntqve2f7-1i557ang3ml87] | Stundwiller (Bas-Rhin) [d3ntqwrdzh-i965dzglqvry] | Hoffen (Bas-Rhin) [d3ntqtmms9-15ztxvkn8bv6z] | Trimbach (Bas-Rhin) [d3ntqwvhn6--pqo1ah1kge07] | Seebach (Bas-Rhin) [d3ntqveoeq-1d9lkeo2epgf6] | Hunspach (Bas-Rhin) [d3ntqtogbc--g2e9kmlhbvm4]"
"place/FRAN_RI_005-d3ntq87z76-z76m1zvwc9nb","d3ntq87z76-z76m1zvwc9nb","Asswiller (Bas-Rhin)","Asswiller | Asswiler","arrondissement : 674 | canton : Drulingen",,"Bas-Rhin (Alsace, département) [d3ntb78834--1anjmzrakhdvu]","67013","POINT(1009300 6872800)","http://id.insee.fr/geo/commune/67013 | http://data.ign.fr/id/geofla/commune/67013 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/67013","Ottwiller (Bas-Rhin) [d3ntqvkwla--1rzmpofkup607] | Petersbach (Bas-Rhin) [d3ntqvm9iu-t50gn4h7hm84] | Durstel (Bas-Rhin) [d3ntqsl2d4--ksktoipx4vgt] | Drulingen (Bas-Rhin) [d3ntqsj99k--5pxvq43l06fp] | Tieffenbach (Bas-Rhin) [d3ntqwukvn--1eb90evset6rj] | Struth (Bas-Rhin) [d3ntqwr2ry-4rxk0ypxfeyf]"
"place/FRAN_RI_005-d3ntq88bhh--agn2y9vskxwd","d3ntq88bhh--agn2y9vskxwd","Auenheim (Bas-Rhin)","Auenheim","arrondissement : 672 | canton : Bischwiller",,,"67014","POINT(1067600 6868500)","http://id.insee.fr/geo/commune/67014 | http://data.ign.fr/id/geofla/commune/67014 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/67014",
"place/FRAN_RI_005-d3ntq88n4j--1gwah5vdj3zbh","d3ntq88n4j--1gwah5vdj3zbh","Avolsheim (Bas-Rhin)","Avolsheim","arrondissement : 673 | canton : Molsheim",,"Bas-Rhin (Alsace, département) [d3ntb78834--1anjmzrakhdvu]","67016","POINT(1031900 6838400)","http://id.insee.fr/geo/commune/67016 | http://data.ign.fr/id/geofla/commune/67016 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/67016","Wolxheim (Bas-Rhin) [d3ntqxh412--132ma77u0jgek] | Molsheim (Bas-Rhin) [d3ntquv2g9--1k1gg6f87iunx] | Soultz-les-Bains (Bas-Rhin) [d3ntqwmywi-10c50t10j7eas]"
"place/FRAN_RI_005-d3ntq88yrl--jsurx97mdf1p","d3ntq88yrl--jsurx97mdf1p","Baerendorf (Bas-Rhin)","Baerendorf | Bacrendorf","arrondissement : 674 | canton : Drulingen",,"Bas-Rhin (Alsace, département) [d3ntb78834--1anjmzrakhdvu]","67017","POINT(999600 6867500)","http://id.insee.fr/geo/commune/67017 | http://data.ign.fr/id/geofla/commune/67017 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/67017","Rauwiller (Bas-Rhin) [d3ntqvrwsn-7cclwe42hdh1] | Goerlingen (Bas-Rhin) [d3ntqt3e6x--u6my1nryhp8k] | Hirschland (Bas-Rhin) [d3ntqtjnv8-uni5h72slpjx] |  [] | Eschwiller (Bas-Rhin) [d3ntqstz47-1exhih24w3sl6] | Kirrberg (Bas-Rhin) [d3ntqu4m3y--s4wnwwh6no05]"
"place/FRAN_RI_005-d3ntq89a6v--3erb0hp5p1tp","d3ntq89a6v--3erb0hp5p1tp","Balbronn (Bas-Rhin)","Ballbroun | Balbronn","arrondissement : 673 | canton : Wasselonne",,"Bas-Rhin (Alsace, département) [d3ntb78834--1anjmzrakhdvu]","67018","POINT(1027000 6840600)","http://id.insee.fr/geo/commune/67018 | http://data.ign.fr/id/geofla/commune/67018 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/67018","Westhoffen (Bas-Rhin) [d3ntqx6qgq-3i5ezfvmxfi6] | Cosswiller (Bas-Rhin) [d3ntq8vvhw-17ss55vcj69jf] | Bergbieten (Bas-Rhin) [d3ntq8eczh--21sx5mf4pmnx] | Flexbourg (Bas-Rhin) [d3ntqsvhnj-1kwzjr66zga23] | Still (Bas-Rhin) [d3ntqwq5kw--1uq4hiwn55ncp] | Traenheim (Bas-Rhin) [d3ntqwuvve--355hy3koi4lu]"
"place/FRAN_RI_005-d3ntq89lm5-1343xhhljwajl","d3ntq89lm5-1343xhhljwajl","Baldenheim (Bas-Rhin)","Baldenheim","arrondissement : 675 | canton : Marckolsheim",,"Bas-Rhin (Alsace, département) [d3ntb78834--1anjmzrakhdvu]","67019","POINT(1036700 6802700)","http://id.insee.fr/geo/commune/67019 | http://data.ign.fr/id/geofla/commune/67019 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/67019","Wittisheim (Bas-Rhin) [d3ntqxfaa7--nrko64dnkf08] | Schwobsheim (Bas-Rhin) [d3ntqwjchm--1hiwb4ei4qhzm] | Boesenbiesen (Bas-Rhin) [d3ntq8mdu2--1o9vfaco83qph] | Sélestat (Bas-Rhin) [d3ntqwjn9m--a4udew4syqxd] | Mussig (Bas-Rhin) [d3ntqv1auk-13g9hvioodp8e] | Muttersholtz (Bas-Rhin) [d3ntqv1m23--19fpzlh8qtllg]"
"place/FRAN_RI_005-d3ntq89xgz--njo2pxgjnieo","d3ntq89xgz--njo2pxgjnieo","Barembach (Bas-Rhin)","Barembach","arrondissement : 673 | canton : Schirmeck",,"Bas-Rhin (Alsace, département) [d3ntb78834--1anjmzrakhdvu]","67020","POINT(1012400 6827900)","http://id.insee.fr/geo/commune/67020 | http://data.ign.fr/id/geofla/commune/67020 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/67020","Schirmeck (Bas-Rhin) [d3ntqwel4b-d3xtjcvlhrxs] | Russ (Bas-Rhin) [d3ntqw3dt2-1453en7983vxb] | Natzwiller (Bas-Rhin) [d3ntqv2j95-q0iyxewp7d24] | Grendelbruch (Bas-Rhin) [d3ntqt5suh-lmktee87vzg2] | Rothau (Bas-Rhin) [d3ntqw0swg--x1gczdddv8mm]"
