"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d5bdp8m0cy-1nrl25bditkxt","d5bdp8m0cy-1nrl25bditkxt","Abondant (Eure-et-Loir)","Abondant","arrondissement : 283 | canton : Anet",,"Eure-et-Loir (Centre, département) [d3ntb7ok4s-1kvjezyly9q6g]","28001","POINT(585300 6854900)","http://id.insee.fr/geo/commune/28001 | http://data.ign.fr/id/geofla/commune/28001 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/28001","Montreuil (Eure-et-Loir) [d5bdoz5n3g-x4bjh2x2v8rd] | Bû (Eure-et-Loir) [d5bdph9e3m-15ok323ypaxgf] | Serville (Eure-et-Loir) [d5bdpabepg-19ocvo911oit5] | Cherisy (Eure-et-Loir) [d5bdpht45j-1w8tvp8tyiefq] | Sorel-Moussel (Eure-et-Loir) [d5bdpc5ihf-7xqyjwuomw1c] | Rouvres (Eure-et-Loir) [d5bdp5y51b-s28qtsuxuq05] | Marcilly-sur-Eure (Eure) [d3ntgj9uwo-wgv2q1kqf0kk] | Saint-Georges-Motel (Eure) [d3ntgkssg8--d4tpiazbivjl]"
"place/FRAN_RI_005-d5bdplo0pb-r775f2w48ep7","d5bdplo0pb-r775f2w48ep7","Allaines-Mervilliers (Eure-et-Loir)","Mervilliers | Audeville | Andeville | Allaines-Mervilliers | Allaines","arrondissement : 281 | canton : Janville","28 décembre 1972 : Allaines devient Allaines-Mervilliers suite à sa fusion-association avec Mervilliers.Mervilliers est rattachée à Allaines (fusion association) qui devient Allaines-Mervilliers.",,"28002","POINT(612600 6790000)","http://id.insee.fr/geo/commune/28002 | http://data.ign.fr/id/geofla/commune/28002 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/28002",
"place/FRAN_RI_005-d5bdpi4rms-11p5222wgu5fa","d5bdpi4rms-11p5222wgu5fa","Allainville (Eure-et-Loir)","Allainville","arrondissement : 283 | canton : Dreux-Ouest",,"Eure-et-Loir (Centre, département) [d3ntb7ok4s-1kvjezyly9q6g]","28003","POINT(575000 6848200)","http://id.insee.fr/geo/commune/28003 | http://data.ign.fr/id/geofla/commune/28003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/28003","Louvilliers-en-Drouais (Eure-et-Loir) [d5bdp2p8gb--mrjj6voz5i82] | Châtaincourt (Eure-et-Loir) [d5bdppqcjo-1lbqcumhbgay] | Boissy-en-Drouais (Eure-et-Loir) [d5bdpf9ok6-e3avrg9qkdmm] | Garancières-en-Drouais (Eure-et-Loir) [d5bdpebewv--2djqnllxagsl] | Garnay (Eure-et-Loir) [d5bdpktr1s-jdbnpszpz9vj] | Vernouillet (Eure-et-Loir) [d5bdpgggy5--qsy7plif5unp] | Vert-en-Drouais (Eure-et-Loir) [d5bdp9t0aj--fjx343pknzsb]"
"place/FRAN_RI_005-d5bdoy1qlv--1dntvu3ylo103","d5bdoy1qlv--1dntvu3ylo103","Allonnes (Eure-et-Loir)","Coutretot | Contretot | Allonnes","arrondissement : 281 | canton : Voves",,"Eure-et-Loir (Centre, département) [d3ntb7ok4s-1kvjezyly9q6g]","28004","POINT(600400 6804100)","http://id.insee.fr/geo/commune/28004 | http://data.ign.fr/id/geofla/commune/28004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/28004","Theuville (Eure-et-Loir) [d5bdp7pfa9-11ywjqybt6l1] | Prunay-le-Gillon (Eure-et-Loir) [d5bdppg27q-7auibw6le1xi] | Beauvilliers (Eure-et-Loir) [d5bdpc5wxc--12r4b642bya99] | Boisville-la-Saint-Père (Eure-et-Loir) [d5bdp705mh-lq6kisbrpjci]"
"place/FRAN_RI_005-d5bdpmobn2--1fkhpg7kkw6qr","d5bdpmobn2--1fkhpg7kkw6qr","Alluyes (Eure-et-Loir)","Saint-Germain-les-Alluyes | Alluyes | Alluye","arrondissement : 282 | canton : Bonneval",,"Eure-et-Loir (Centre, département) [d3ntb7ok4s-1kvjezyly9q6g]","28005","POINT(578200 6793300)","http://id.insee.fr/geo/commune/28005 | http://data.ign.fr/id/geofla/commune/28005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/28005","Montboissier (Eure-et-Loir) [d5bdpm6fri-e0lqve62yxl6] | Saumeray (Eure-et-Loir) [d5bdpbam73--xvf54d7np7tu] | Bonneval (Eure-et-Loir) [d5bdpkg83m--sjj3u8vga3w4] | Bouville (Eure-et-Loir) [d5bdpget0t-ggdtao29iis8] | Trizay-lès-Bonneval (Eure-et-Loir) [d5bdpepsoq-m1gojaptb5bu] | Dangeau (Eure-et-Loir) [d5bdp4k2qs--8ips94yr5elt]"
"place/FRAN_RI_005-d5bdpbv4hl--oloddtlacxbh","d5bdpbv4hl--oloddtlacxbh","Amilly (Eure-et-Loir)","Grandhoux | Grand-Houx | Amilly","arrondissement : 281 | canton : Lucé",,"Eure-et-Loir (Centre, département) [d3ntb7ok4s-1kvjezyly9q6g]","28006","POINT(581000 6816900)","http://id.insee.fr/geo/commune/28006 | http://data.ign.fr/id/geofla/commune/28006 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/28006","Saint-Georges-sur-Eure (Eure-et-Loir) [d5bdp82lil-1shgk1qy7gf5w] | Cintray (Eure-et-Loir) [d5bdoz8qr7-1r089sz2i11lq] | Bailleau-l'Evêque (Eure-et-Loir) [d5bdpqggte-4ytp28t54zvq] | Lucé (Eure-et-Loir) [d5bdpeggex--r3c9ee42jiuy] | Fontenay-sur-Eure (Eure-et-Loir) [d5bdpkbsl4--1ejh3o832kw89] | Saint-Aubin-des-Bois (Eure-et-Loir) [d5bdp05c9e--1vmt5zdn4cf4i] | Mainvilliers (Eure-et-Loir) [d5bdpbmlbd--1blv7w9uqnf4j]"
"place/FRAN_RI_005-d5bdphqxwl--1ggcyl7h2l6ov","d5bdphqxwl--1ggcyl7h2l6ov","Anet (Eure-et-Loir)","Anet","arrondissement : 283 | canton : Anet",,"Eure-et-Loir (Centre, département) [d3ntb7ok4s-1kvjezyly9q6g]","28007","POINT(585500 6862800)","http://id.insee.fr/geo/commune/28007 | http://data.ign.fr/id/geofla/commune/28007 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/28007","Boncourt (Eure-et-Loir) [d5bdpavx7p-2rpot138b9gu] | Saussay (Eure-et-Loir) [d5bdpj9i30--xspmjyupx7zw] | Oulins (Eure-et-Loir) [d5bdp619zn-19e8jhj9xzmew] | Sorel-Moussel (Eure-et-Loir) [d5bdpc5ihf-7xqyjwuomw1c] | Rouvres (Eure-et-Loir) [d5bdp5y51b-s28qtsuxuq05] | Ivry-la-Bataille (Eure) [d3ntgiwi7k-cbe9hlpe6m9o] | Ezy-sur-Eure (Eure) [d3ntghnjcw-cm0tvsdum6ka]"
"place/FRAN_RI_005-d5bdp4n48x-1cssk2feyfi5m","d5bdp4n48x-1cssk2feyfi5m","Ardelles (Eure-et-Loir)","Ardelles","arrondissement : 283 | canton : Châteauneuf-en-Thymerais",,"Eure-et-Loir (Centre, département) [d3ntb7ok4s-1kvjezyly9q6g]","28008","POINT(565100 6828800)","http://id.insee.fr/geo/commune/28008 | http://data.ign.fr/id/geofla/commune/28008 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/28008","Favières (Eure-et-Loir) [d5bdp41h00-1il4bfvvdo1v5] | Saint-Maixme-Hauterive (Eure-et-Loir) [d5bdoy6ofz-1724paxt84sj9] | Digny (Eure-et-Loir) [d5bdpniyvg--o3agsb4m8gj5] | Thimert-Gâtelles (Eure-et-Loir) [d5bdp5cntp-176n0j7fwi60b]"
"place/FRAN_RI_005-d5bdpkmwg7--1g0vtadead3sv","d5bdpkmwg7--1g0vtadead3sv","Ardelu (Eure-et-Loir)","La Ferrière-au-Val-Germond | La Ferrière-au-Val | Ardelu","arrondissement : 281 | canton : Auneau",,"Eure-et-Loir (Centre, département) [d3ntb7ok4s-1kvjezyly9q6g]","28009","POINT(619300 6806400)","http://id.insee.fr/geo/commune/28009 | http://data.ign.fr/id/geofla/commune/28009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/28009","Baudreville (Eure-et-Loir) [d5bdoxzteu-v8innyf8p4fo] | Châtenay (Eure-et-Loir) [d5bdpob70r--1h1w99d103uwf] | Gommerville (Eure-et-Loir) [d5bdpake1o-51cvzv2mz66h]"
"place/FRAN_RI_005-d5bdp6xx7x--1h0bt7w820nf","d5bdp6xx7x--1h0bt7w820nf","Argenvilliers (Eure-et-Loir)","La Folie-Herbaut | Argenvilliers","arrondissement : 284 | canton : Nogent-le-Rotrou",,"Eure-et-Loir (Centre, département) [d3ntb7ok4s-1kvjezyly9q6g]","28010","POINT(548400 6797500)","http://id.insee.fr/geo/commune/28010 | http://data.ign.fr/id/geofla/commune/28010 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/28010","La Croix-du-Perche (Eure-et-Loir) [d5bdp2k14r--8vtghdebt7au] | La Gaudaine (Eure-et-Loir) [d5bdp1foow-1s095t4wzijga] | Beaumont-les-Autels (Eure-et-Loir) [d5bdoxvuhv--1lrbz1y0t2d5r] | Vichères (Eure-et-Loir) [d5bdozzdkb--vhzkte28tbqt] | Miermaigne (Eure-et-Loir) [d5bdpbm42k--c1okdktzbd8h]"
