"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3nthlws34-1k11fljxgddhr","d3nthlws34-1k11fljxgddhr","Abeilhan (Hérault)","Aubaignes | Abeilhan","arrondissement : 341 | canton : Servian",,"Hérault (Languedoc-Roussillon, département) [d3ntb7xsix--1qxf9xwajlkuk]","34001","POINT(723800 6261200)","http://id.insee.fr/geo/commune/34001 | http://data.ign.fr/id/geofla/commune/34001 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/34001","Margon (Hérault) [d3nthnkgcp--emhfcb49wc90] | Servian (Hérault) [d3nthp2tuk-1h5aota2lt8rm] | Alignan-du-Vent (Hérault) [d3nthlzuo3-bwt05qsttch8] | Pouzolles (Hérault) [d3ntho7r3f--ygmnivlomzdy] | Coulobres (Hérault) [d3nthmqmfo-8z89wsyfsug5]"
"place/FRAN_RI_005-d3nthlx3if-1r54mbtyyr7lu","d3nthlx3if-1r54mbtyyr7lu","Adissan (Hérault)","Adissan","arrondissement : 341 | canton : Montagnac",,"Hérault (Languedoc-Roussillon, département) [d3ntb7xsix--1qxf9xwajlkuk]","34002","POINT(734600 6270700)","http://id.insee.fr/geo/commune/34002 | http://data.ign.fr/id/geofla/commune/34002 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/34002","Fontès (Hérault) [d3nthmx5e8--qg7b956ypc8f] | Nizas (Hérault) [d3nthnwzax-1rqd0dhzkwybh] | Paulhan (Hérault) [d3ntho0hem-1118wq4shl1dx] | Aspiran (Hérault) [d3nthm14kz--d43o6ymfjbb0]"
"place/FRAN_RI_005-d3nthlxm1s-yf1tq9lu2peh","d3nthlxm1s-yf1tq9lu2peh","Agde (Hérault)","Beaucels | Agde","arrondissement : 341 | canton : Agde",,"Hérault (Languedoc-Roussillon, département) [d3ntb7xsix--1qxf9xwajlkuk]","34003","POINT(738500 6245700)","http://id.insee.fr/geo/commune/34003 | http://data.ign.fr/id/geofla/commune/34003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/34003","Marseillan (Hérault) [d3nthnkrk8-z2gk7qffvxg1] | Vias (Hérault) [d3nthpe7et-1s1khxlfxz1pk] | Bessan (Hérault) [d3nthm79qw-pudvkra8vv54] | Florensac (Hérault) [d3nthmwijn--11dwnz0rsxyxy]"
"place/FRAN_RI_005-d3nthlxyc4--iedp8y7f8pp4","d3nthlxyc4--iedp8y7f8pp4","Agel (Hérault)","De Poujol | Agel","arrondissement : 341 | canton : Saint-Chinian",,"Hérault (Languedoc-Roussillon, département) [d3ntb7xsix--1qxf9xwajlkuk]","34004","POINT(688000 6248700)","http://id.insee.fr/geo/commune/34004 | http://data.ign.fr/id/geofla/commune/34004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/34004","Mailhac (Aude) [d3ntdxb6nv--zouq9o3qrza3] | Aigues-Vives (Hérault) [d3nthlyx99--deogefhs48za] | Saint-Jean-de-Minervois (Hérault) [d3nthos1es-18xjuac6v14sc] | Bize-Minervois (Aude) [d3ntdvl9ch--b9ggq4r2q12h]"
"place/FRAN_RI_005-d3nthly9re--6xijy7q44kkv","d3nthly9re--6xijy7q44kkv","Agonès (Hérault)","Agouès | Agonès","arrondissement : 343 | canton : Ganges","1er novembre 2009 : Agonès passe de l'arrondissement de Montpellier à l'arrondissement de Lodève.","Hérault (Languedoc-Roussillon, département) [d3ntb7xsix--1qxf9xwajlkuk]","34005","POINT(758500 6311700)","http://id.insee.fr/geo/commune/34005 | http://data.ign.fr/id/geofla/commune/34005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/34005","Brissac (Hérault) [d3nthmav2z--17p22gfyy84sa] | Cazilhac (Hérault) [d3nthmk1bi-93zma39iwjw5] | Saint-Bauzille-de-Putois (Hérault) [d3nthoi8yy--dr021c4d17d9] | Laroque (Hérault) [d3nthn6fig-1e60z1103g6wl]"
"place/FRAN_RI_005-d3nthlylm7-t2s0u57kyw3e","d3nthlylm7-t2s0u57kyw3e","Aigne (Hérault)","Aigne","arrondissement : 341 | canton : Olonzac",,"Hérault (Languedoc-Roussillon, département) [d3ntb7xsix--1qxf9xwajlkuk]","34006","POINT(683500 6248100)","http://id.insee.fr/geo/commune/34006 | http://data.ign.fr/id/geofla/commune/34006 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/34006","Minerve (Hérault) [d3nthnngcj-luar5gfdos6r] | Mailhac (Aude) [d3ntdxb6nv--zouq9o3qrza3] | Aigues-Vives (Hérault) [d3nthlyx99--deogefhs48za] | Beaufort (Hérault) [d3nthm5k3i--4jbe8nllzx8y] | Oupia (Hérault) [d3nthnz3m0-1bl2jb1wg8vsr] | Azillanet (Hérault) [d3nthm3k3m-kdahihaertrr] | La Caunette (Hérault) [d3nthmh757-l7045nla33yt]"
"place/FRAN_RI_005-d3nthlyx99--deogefhs48za","d3nthlyx99--deogefhs48za","Aigues-Vives (Hérault)","Aigues-Vives | Saint-Martin-de-Castries","arrondissement : 341 | canton : Saint-Chinian",,"Hérault (Languedoc-Roussillon, département) [d3ntb7xsix--1qxf9xwajlkuk]","34007","POINT(685200 6248700)","http://id.insee.fr/geo/commune/34007 | http://data.ign.fr/id/geofla/commune/34007 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/34007","Mailhac (Aude) [d3ntdxb6nv--zouq9o3qrza3] | Aigne (Hérault) [d3nthlylm7-t2s0u57kyw3e] | Saint-Jean-de-Minervois (Hérault) [d3nthos1es-18xjuac6v14sc] | Bize-Minervois (Aude) [d3ntdvl9ch--b9ggq4r2q12h] | La Caunette (Hérault) [d3nthmh757-l7045nla33yt] | Agel (Hérault) [d3nthlxyc4--iedp8y7f8pp4]"
"place/FRAN_RI_005-d3nthlzuo3-bwt05qsttch8","d3nthlzuo3-bwt05qsttch8","Alignan-du-Vent (Hérault)","Alignan-du-Vent","arrondissement : 341 | canton : Servian",,"Hérault (Languedoc-Roussillon, département) [d3ntb7xsix--1qxf9xwajlkuk]","34009","POINT(727600 6263400)","http://id.insee.fr/geo/commune/34009 | http://data.ign.fr/id/geofla/commune/34009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/34009","Margon (Hérault) [d3nthnkgcp--emhfcb49wc90] | Roujan (Hérault) [d3nthog2q0--1jwfmn6ojpe6k] | Caux (Hérault) [d3nthmihpe--kho7amrj4bc8] | Pézenas (Hérault) [d3ntho2axp--1nkzlgdjmhzrj] | Servian (Hérault) [d3nthp2tuk-1h5aota2lt8rm] | Tourbes (Hérault) [d3nthp73jj-kxnv0j803wcl] | Abeilhan (Hérault) [d3nthlws34-1k11fljxgddhr]"
"place/FRAN_RI_005-d3nthm05vm-1stgdf8gzyykr","d3nthm05vm-1stgdf8gzyykr","Aniane (Hérault)","Labastide-Rouairoux | Aniane","arrondissement : 343 | canton : Aniane","1er novembre 2009 : Aniane passe de l'arrondissement de Montpellier à l'arrondissement de Lodève.","Hérault (Languedoc-Roussillon, département) [d3ntb7xsix--1qxf9xwajlkuk]","34010","POINT(747200 6287500)","http://id.insee.fr/geo/commune/34010 | http://data.ign.fr/id/geofla/commune/34010 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/34010","Saint-Jean-de-Fos (Hérault) [d3nthora90-1ds8dbwgp8kku] | La Boissière (Hérault) [d3nthm8jvk-17xvfrlxrwn6] | Gignac (Hérault) [d3nthn1enp-1s7nm4o5q8nme] | Puéchabon (Hérault) [d3nthoamzt-ap2a0sfv1tsv] | Saint-Guilhem-le-Désert (Hérault) [d3nthopbjo--128y2fzhdf5lt]"
"place/FRAN_RI_005-d3nthm0haw-ud8p4f5zxi58","d3nthm0haw-ud8p4f5zxi58","Arboras (Hérault)","Lamontélarié | Arboras","arrondissement : 342 | canton : Gignac",,"Hérault (Languedoc-Roussillon, département) [d3ntb7xsix--1qxf9xwajlkuk]","34011","POINT(739000 6290300)","http://id.insee.fr/geo/commune/34011 | http://data.ign.fr/id/geofla/commune/34011 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/34011","Saint-Privat (Hérault) [d3nthoxl0o--1a8xlkp1d5qbb] | Saint-Saturnin-de-Lucian (Hérault) [d3nthoxwfy--3blov1yqfqmw] | Montpeyroux (Hérault) [d3nthnszqo-qdo7gtgqtb0w]"
