"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntorgodd-1h7u7l084m67c","d3ntorgodd-1h7u7l084m67c","Abancourt (Oise)","Abancourt | Annel | Anette","arrondissement : 601 | canton : Formerie",,"Oise (Picardie, département) [d3ntb8gs2c-r7m1xcm91zhq]","60001","POINT(610800 6956000)","http://id.insee.fr/geo/commune/60001 | http://data.ign.fr/id/geofla/commune/60001 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/60001","Lannoy-Cuillère (Oise) [d3ntov6w4y-7wcs88p23l1y] | Saint-Thibault (Oise) [d3ntoywjfc--x9wj935wxz6b] | Blargies (Oise) [d3ntos7h00--jypzuzqxz81t] | Romescamps (Oise) [d3ntoydexf--18t8c48g2tahw] | Moliens (Oise) [d3ntovrhg3-5bwmr8hc0t0f] | Criquiers (Seine-Maritime) [d3ntslt3nh--18muq1nmx8ebj]"
"place/FRAN_RI_005-d3ntorgzkw-1mjotvbi1n23i","d3ntorgzkw-1mjotvbi1n23i","Abbecourt (Oise)","Abbecourt | Auchy-en-Bray","arrondissement : 601 | canton : Noailles",,"Oise (Picardie, département) [d3ntb8gs2c-r7m1xcm91zhq]","60002","POINT(638800 6917600)","http://id.insee.fr/geo/commune/60002 | http://data.ign.fr/id/geofla/commune/60002 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/60002","Ponchon (Oise) [d3ntowt8rj-1ujme3mt298sz] | Saint-Sulpice (Oise) [d3ntoyw8fk-1l6ji7vhgy5xz] | Warluis (Oise) [d3ntozvtpu-9m81n3s6nynj] | Hodenc-l'Evêque (Oise) [d3ntouw2em-wly6cac0jw8c]"
"place/FRAN_RI_005-d3ntorhako-10uoice8n2txz","d3ntorhako-10uoice8n2txz","Abbeville-Saint-Lucien (Oise)","Auvillers | Auviller | Abbeville-Saint-Lucien","arrondissement : 602 | canton : Froissy",,"Oise (Picardie, département) [d3ntb8gs2c-r7m1xcm91zhq]","60003","POINT(639800 6935500)","http://id.insee.fr/geo/commune/60003 | http://data.ign.fr/id/geofla/commune/60003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/60003","Oroër (Oise) [d3ntowl66v-gjhtf2mu31f1] | Reuil-sur-Brêche (Oise) [d3ntoy9mp1--vdn9h9hypcf] | Fontaine-Saint-Lucien (Oise) [d3ntou2771-1cljb27udyacf] | La Neuville-Saint-Pierre (Oise) [d3ntowcxso-kdlmbt4tqpp6] | Maulers (Oise) [d3ntovm6od-14fnrkgavb8bd] | Muidorge (Oise) [d3ntow7no8-osr1633vhmmj]"
"place/FRAN_RI_005-d3ntorhls7--1hlrj4mdrxd5g","d3ntorhls7--1hlrj4mdrxd5g","Achy (Oise)","Achy","arrondissement : 601 | canton : Marseille-en-Beauvaisis",,"Oise (Picardie, département) [d3ntb8gs2c-r7m1xcm91zhq]","60004","POINT(626100 6940100)","http://id.insee.fr/geo/commune/60004 | http://data.ign.fr/id/geofla/commune/60004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/60004","Crillon (Oise) [d3ntotdjya--132gk8m347pjz] | Grémévillers (Oise) [d3ntouhpa1-2n3vpbqeaz8j] | Villers-sur-Bonnières (Oise) [d3ntozrk8m--13upo3yepwblc] | Saint-Omer-en-Chaussée (Oise) [d3ntoyt4zk-13gzkuxwuen2b] | Marseille-en-Beauvaisis (Oise) [d3ntovl8u0-btb103rp93kd] | Martincourt (Oise) [d3ntovlk1j-1m4o40l7yqrg7] | Haute-Epine (Oise) [d3ntouo2ul-1uc8h8m5s1rx5] | La Neuville-sur-Oudeuil (Oise) [d3ntowdf1h--11bmonvi323qk]"
"place/FRAN_RI_005-d3ntorhxf9-14snjxhpxykhe","d3ntorhxf9-14snjxhpxykhe","Acy-en-Multien (Oise)","Acy-en-Multien","arrondissement : 604 | canton : Betz",,"Oise (Picardie, département) [d3ntb8gs2c-r7m1xcm91zhq]","60005","POINT(696600 6889400)","http://id.insee.fr/geo/commune/60005 | http://data.ign.fr/id/geofla/commune/60005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/60005","Bouillancy (Oise) [d3ntosdly5-1572ngu9jxyul] | Etavigny (Oise) [d3ntotvhro--144fdi6g2aaqe] | Réez-Fosse-Martin (Oise) [d3ntoy75gc--1x42h83cpkd0a] | Betz (Oise) [d3ntos5b6l-k4861st6nhil] | Rosoy-en-Multien (Oise) [d3ntoyeck0-k0tsn4w4pn4m] | Vincy-Manoeuvre (Seine-et-Marne) [d3nttik5h1-12ow31a2y94zw]"
"place/FRAN_RI_005-d3ntorijmj--1cqz6ltm3k3tm","d3ntorijmj--1cqz6ltm3k3tm","Agnetz (Oise)","Bémont | Agnetz | Agnets","arrondissement : 602 | canton : Clermont",,"Oise (Picardie, département) [d3ntb8gs2c-r7m1xcm91zhq]","60007","POINT(655200 6920400)","http://id.insee.fr/geo/commune/60007 | http://data.ign.fr/id/geofla/commune/60007 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/60007","Airion (Oise) [d3ntoriumb--1rb9kcdjy0fwq] | La Neuville-en-Hez (Oise) [d3ntowc0dv--8j5cn2ew2wlv] | Fitz-James (Oise) [d3ntotylff--j40654lwqaja] | Etouy (Oise) [d3ntotvsz7-3azdh0upkhl7] | Clermont (Oise) [d3ntot55b2-1pucu8h5jtxds] | Neuilly-sous-Clermont (Oise) [d3ntowb2br--hcz48aepr5jm] | Ansacq (Oise) [d3ntorm748-5bi9e9k87q16]"
"place/FRAN_RI_005-d3ntoriumb--1rb9kcdjy0fwq","d3ntoriumb--1rb9kcdjy0fwq","Airion (Oise)","Airion","arrondissement : 602 | canton : Clermont",,"Oise (Picardie, département) [d3ntb8gs2c-r7m1xcm91zhq]","60008","POINT(657400 6925100)","http://id.insee.fr/geo/commune/60008 | http://data.ign.fr/id/geofla/commune/60008 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/60008","Agnetz (Oise) [d3ntorijmj--1cqz6ltm3k3tm] | Erquery (Oise) [d3ntots03i--17uvkoyzdxhuu] | Fitz-James (Oise) [d3ntotylff--j40654lwqaja] | Etouy (Oise) [d3ntotvsz7-3azdh0upkhl7] | Avrechy (Oise) [d3ntorslrl-kglgghusxa1u] | Lamécourt (Oise) [d3ntov69pw--9tex3dm2sg1j]"
"place/FRAN_RI_005-d3ntorj5tu--qh53m6h2tlsu","d3ntorj5tu--qh53m6h2tlsu","Allonne (Oise)","Voisinlieu | Allonne","arrondissement : 601 | canton : Beauvais-Sud-Ouest",,"Oise (Picardie, département) [d3ntb8gs2c-r7m1xcm91zhq]","60009","POINT(635500 6923000)","http://id.insee.fr/geo/commune/60009 | http://data.ign.fr/id/geofla/commune/60009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/60009","Saint-Sulpice (Oise) [d3ntoyw8fk-1l6ji7vhgy5xz] | Warluis (Oise) [d3ntozvtpu-9m81n3s6nynj] | Beauvais (Oise) [d3ntos0ywi-zhdde7lm2pe3] | Auteuil (Oise) [d3ntorrcpp-wficvddfw4t2] | Frocourt (Oise) [d3ntou9ckn-ro6ljgs3eeur] | Saint-Martin-le-Noeud (Oise) [d3ntoyrw5g--17u4xf46oi3lk] | Therdonne (Oise) [d3ntoz66h5--1055r7t6w4xdb]"
"place/FRAN_RI_005-d3ntorjh1d-qfi9nd64g29t","d3ntorjh1d-qfi9nd64g29t","Amblainville (Oise)","Amblainville","arrondissement : 601 | canton : Méru",,"Oise (Picardie, département) [d3ntb8gs2c-r7m1xcm91zhq]","60010","POINT(635900 6900700)","http://id.insee.fr/geo/commune/60010 | http://data.ign.fr/id/geofla/commune/60010 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/60010","Hénonville (Oise) [d3ntoutvif--15frn5vhw1voq] | Villeneuve-les-Sablons (Oise) [d3ntoznu5t-17wujl9bwbt1a] | Méru (Oise) [d3ntovod52-muv1kjbgqhrg] | Bornel (Oise) [d3ntoscnw2-14hfqnc5s9on5] | Esches (Oise) [d3ntotsxxu-e0sevdbertj2] | Arronville (Val-d'Oise) [d3ntxfu5hz--yrzcj5fswk4c] | Berville (Val-d'Oise) [d3ntxfzb3g--1k31xf9phwddq]"
"place/FRAN_RI_005-d3ntorjs8w-13wqv0dwsrj3c","d3ntorjs8w-13wqv0dwsrj3c","Amy (Oise)","Collagnies-le-Bas | Colagnies-le-Bas | Amy","arrondissement : 603 | canton : Lassigny",,"Oise (Picardie, département) [d3ntb8gs2c-r7m1xcm91zhq]","60011","POINT(687300 6950600)","http://id.insee.fr/geo/commune/60011 | http://data.ign.fr/id/geofla/commune/60011 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/60011","Avricourt (Oise) [d3ntorswrc-1oifaw524hgk8] | Fresnières (Oise) [d3ntou7hyr-1l2cajwme6wl0] | Candor (Oise) [d3ntostf8p-1o5lmim5e1at7] | Beuvraignes (Somme) [d3ntv70klz--w1t9kqwlbjpx] | Crapeaumesnil (Oise) [d3ntotb2pl-8zs9y389ftbc] | Lassigny (Oise) [d3ntov7po3-27v0ko7b4f7g] | Verpillières (Somme) [d3ntvh5tqn-1dno1824fcwp3]"
