"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la région dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Date de début  d’existence (rico:beginningDate)","Date de fin  d’existence (rico:endDate)","Historique (rico:history)","Précède dans le temps la région","Suit dans le temps la région","Code INSEE","chef-lieu","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Notes sur les modifications effectuées pour ce lieu (skos:changeNote)"
"place/FRAN_RI_005-d-43iu15qv1-1k199wk94zszp","d-43iu15qv1-1k199wk94zszp","Hauts-de-France (2016-.... ; région administrative)","2016",,"En 2016, La région Nord-Pas-de-Calais-Picardie est créée suite au regroupement des régions Nord-Pas-de-Calais et Picardie. La région Nord-Pas-de-Calais-Picardie est dénommée Hauts-de-France. Le chef-lieu de la région Hauts-de-France est fixé à Lille.",,"Picardie (1982-2015 ; région administrative) [d3ntb6yes9--1x9ljqkt7ybbt] | Nord-Pas-de-Calais (1982-2015 ; région administrative) [d3ntb6xpcj--1xfzabks8jp7r]","32","Lille (Nord) [d3nto9f72a-12s7y0ippxtaj]","http://id.insee.fr/geo/region/32 | http://www.wikidata.org/entity/Q18677767 | http://data.alegoria-project.fr/id/ign/unitesadministratives/region/32 | http://data.ign.fr/id/geofla/region/32",
"place/FRAN_RI_005-d3ntb6umju--1cjhempe2foi4","d3ntb6umju--1cjhempe2foi4","Ile-de-France (1982-.... ; région administrative)","1982",,"En 1982, la région Île-de-France est créée avec le statut de collectivité territoriale et son chef-lieu est fixé à Paris.",,,"11","Paris (France) [d5bdppt147--176wwvjcctrx0]","http://id.insee.fr/geo/region/11 | http://www.wikidata.org/entity/Q13917 | http://data.alegoria-project.fr/id/ign/unitesadministratives/region/11 | http://data.ign.fr/id/geofla/region/11",
"place/FRAN_RI_005-d3ntb6vf7x--1wuxqw6640x4p","d3ntb6vf7x--1wuxqw6640x4p","Languedoc-Roussillon (1982-2015 ; région administrative)","1982","2015","En 1982, la région Languedoc-Roussillon est créée avec le statut de collectivité territoriale et son chef-lieu est fixé à Montpellier. En 2016, la région Languedoc-Roussillon est regroupée au sein de la nouvelle région Occitanie. La région Languedoc-Roussillon-Midi-Pyrénées est créée suite au regroupement des régions Languedoc-Roussillon et Midi-Pyrénées.","Occitanie (2016-.... ; région administrative) [d-57mwwmhl6--chnmk0p3vbgs]",,"91","Montpellier (Hérault) [d3nthnsobd--gjnp8vkx0qmn]","http://id.insee.fr/geo/region/91 | http://www.wikidata.org/entity/Q17005",
"place/FRAN_RI_005-d3ntb6v2pu--5a5yg6uqmjut","d3ntb6v2pu--5a5yg6uqmjut","La Réunion (1982-.... ; région administrative)","1982",,"En 1982, la région La Réunion est créée avec le statut de collectivité territoriale et son chef-lieu est fixé à Saint-Denis.",,,"04","Saint-Denis (La Réunion) [d3ntxip3m3-13ta73cw6nhib]","http://id.insee.fr/geo/region/04 | http://www.wikidata.org/entity/Q17070",
"place/FRAN_RI_005-d3ntb6vri9-lhhsrbert6ao","d3ntb6vri9-lhhsrbert6ao","Limousin (1982-2015 ; région administrative)","1982","2015","En 1982, la région Limousin est créée avec le statut de collectivité territoriale et son chef-lieu est fixé à Limoges. En 2016, la région Limousin est regroupée au sein de la nouvelle région Nouvelle-Aquitaine.","Nouvelle-Aquitaine (2016-.... ; région administrative) [d-58pfliq32-z6atygawp5v3]",,"74","Limoges (Haute-Vienne) [d3ntwkv4nl--1ei95xc5sbkjq]","http://id.insee.fr/geo/region/74 | http://www.wikidata.org/entity/Q1190",
"place/FRAN_RI_005-d3ntb6w484--1izwljhl2qq7y","d3ntb6w484--1izwljhl2qq7y","Lorraine (1982-2015 ; région administrative)","1982","2015","En 1982, la région Lorraine est créée avec le statut de collectivité territoriale et son chef-lieu est fixé à Metz. En 2016, la région Lorraine est regroupée au sein de la nouvelle région Grand Est. La région Alsace-Champagne-Ardenne-Lorraine est créée suite au regroupement des régions Alsace, Champagne-Ardenne et Lorraine. Le chef-lieu de la région Alsace-Champagne-Ardenne-Lorraine est fixé à Strasbourg.","Grand Est (2016-.... ; région administrative) [d-2i7639zb5-1uyr7picq5c94]",,"41","Metz (Moselle) [d3ntmwfra4-xzf0ospxj9io]","http://id.insee.fr/geo/region/41 | http://www.wikidata.org/entity/Q22248793",
"place/FRAN_RI_005-d3ntb6wgao--v6g30t8dfo3","d3ntb6wgao--v6g30t8dfo3","Martinique (1982-.... ; région administrative)","1982","2015","En 1982, la région Martinique est créée avec le statut de collectivité territoriale et son chef-lieu est fixé à Fort-de-France.",,,"02","Fort-de-France (Martinique) [d3ntxi2t33--1obbcc9eomlbk]","http://id.insee.fr/geo/region/02 | http://www.wikidata.org/entity/Q17054",
"place/FRAN_RI_005-d3ntb6xb4d-1815b33y709yf","d3ntb6xb4d-1815b33y709yf","Midi-Pyrénées (1982-2015 ; région administrative)","1982","2015","En 1982, la région Midi-Pyrénées est créée avec le statut de collectivité territoriale et son chef-lieu est fixé à Toulouse. En 2016, la région Midi-Pyrénées est regroupée au sein de la nouvelle région Occitanie.","Occitanie (2016-.... ; région administrative) [d-57mwwmhl6--chnmk0p3vbgs]",,"73","Toulouse (Haute-Garonne) [d3nthavqjv-pzq3al737nr6]","http://id.insee.fr/geo/region/73 | http://www.wikidata.org/entity/Q16393",
"place/FRAN_RI_005-d3ntb6xpcj--1xfzabks8jp7r","d3ntb6xpcj--1xfzabks8jp7r","Nord-Pas-de-Calais (1982-2015 ; région administrative)","1982","2015","En 1982, la région Nord-Pas-de-Calais est créée avec le statut de collectivité territoriale et son chef-lieu est fixé à Lille. En 2016, la région Nord-Pas-de-Calais est regroupée au sein de la nouvelle région Hauts-de-France.","Hauts-de-France (2016-.... ; région administrative) [d-43iu15qv1-1k199wk94zszp]",,"31","Lille (Nord) [d3nto9f72a-12s7y0ippxtaj]","http://id.insee.fr/geo/region/31 | http://www.wikidata.org/entity/Q16987",
"place/FRAN_RI_005-d-5gu7ge1ty-1luyvscxcammt","d-5gu7ge1ty-1luyvscxcammt","Normandie (2016-.... ; région administrative)","2016",,"En 2016, la région Normandie est créée suite au regroupement des régions Basse-Normandie et Haute-Normandie. La région Normandie conserve sa dénomination. Le chef-lieu de la région Normandie est fixé à Rouen.",,"Basse-Normandie (1982-2015 ; région administrative) [d3ntb5oh87-3l52f2cp6kyj] | Haute-Normandie (1982-2015 ; région administrative) [d3ntb5s6fy--lzhrre9om5h4]","28","Montroty (Seine-Maritime) [d3ntsopalp-1nsu9tzhxwxz7]","http://id.insee.fr/geo/region/28 | http://www.wikidata.org/entity/Q18677875 | http://data.alegoria-project.fr/id/ign/unitesadministratives/region/28 | http://data.ign.fr/id/geofla/region/28",
"place/FRAN_RI_005-d-58pfliq32-z6atygawp5v3","d-58pfliq32-z6atygawp5v3","Nouvelle-Aquitaine (2016-.... ; région administrative)","2016",,"En 2016, la région Aquitaine-Limousin-Poitou-Charentes est créée suite au regroupement des régions Aquitaine, Limousin et Poitou-Charentes. La région Aquitaine-Limousin-Poitou-Charentes est dénommée Nouvelle-Aquitaine. Le chef-lieu de la région Nouvelle-Aquitaine est fixé à Bordeaux.",,"Aquitaine (1982-2015 ; région administrative) [d3ntb5nfpx-1hpcdq0uyfemt] | Poitou-Charentes (1982-2015 ; région administrative) [d3ntb6yqut-kz7tuycerksg] | Limousin (1982-2015 ; région administrative) [d3ntb6vri9-lhhsrbert6ao]","75","Bordeaux (Gironde) [d3nthgzjyg--1agu3t745d3a]","http://id.insee.fr/geo/region/75 | http://www.wikidata.org/entity/Q18678082 | http://data.alegoria-project.fr/id/ign/unitesadministratives/region/75 | http://data.ign.fr/id/geofla/region/75",
"place/FRAN_RI_005-d-57mwwmhl6--chnmk0p3vbgs","d-57mwwmhl6--chnmk0p3vbgs","Occitanie (2016-.... ; région administrative)","2016",,"En 2016, la région Languedoc-Roussillon-Midi-Pyrénées est créée suite au regroupement des régions Languedoc-Roussillon et Midi-Pyrénées. La région Languedoc-Roussillon-Midi-Pyrénées est dénommée Occitanie. Le chef-lieu de la région Occitanie est fixé à Toulouse.",,"Languedoc-Roussillon (1982-2015 ; région administrative) [d3ntb6vf7x--1wuxqw6640x4p] | Midi-Pyrénées (1982-2015 ; région administrative) [d3ntb6xb4d-1815b33y709yf]","76","Toulouse (Haute-Garonne) [d3nthavqjv-pzq3al737nr6]","http://id.insee.fr/geo/region/76 | http://www.wikidata.org/entity/Q18678265 | http://data.alegoria-project.fr/id/ign/unitesadministratives/region/76 | http://data.ign.fr/id/geofla/region/76",
"place/FRAN_RI_005-d3ntb6y2hx--8o4wf1ygvo3","d3ntb6y2hx--8o4wf1ygvo3","Pays-de-la-Loire (1982-.... ; région administrative)","1982",,"En 1982, la région Pays-de-la-Loire est créée avec le statut de collectivité territoriale et son chef-lieu est fixé à Nantes.",,,"52","Nantes (Loire-Atlantique) [d3ntiwd9iq--ybilysorpjmc]","http://id.insee.fr/geo/region/52 | http://www.wikidata.org/entity/Q16994 | http://data.alegoria-project.fr/id/ign/unitesadministratives/region/52 | http://data.ign.fr/id/geofla/region/52",
"place/FRAN_RI_005-d3ntb6yes9--1x9ljqkt7ybbt","d3ntb6yes9--1x9ljqkt7ybbt","Picardie (1982-2015 ; région administrative)","1982","2015","En 1982, la région Picardie est créée avec le statut de collectivité territoriale et son chef-lieu est fixé à Amiens. En 2016,la région Picardie est regroupée au sein de la nouvelle région Hauts-de-France.","Hauts-de-France (2016-.... ; région administrative) [d-43iu15qv1-1k199wk94zszp]",,"22","Amiens (Somme) [d3ntv10g7e-1uh5njglouik7]","http://id.insee.fr/geo/region/22 | http://www.wikidata.org/entity/Q13950",
"place/FRAN_RI_005-d3ntb6yqut-kz7tuycerksg","d3ntb6yqut-kz7tuycerksg","Poitou-Charentes (1982-2015 ; région administrative)","1982","2015","En 1982, la région Poitou-Charentes est créée avec le statut de collectivité territoriale et son chef-lieu est fixé à Poitiers. En 2016, la région Poitou-Charentes est regroupée au sein de la nouvelle région Nouvelle-Aquitaine.","Nouvelle-Aquitaine (2016-.... ; région administrative) [d-58pfliq32-z6atygawp5v3]",,"54","Poitiers (Vienne) [d3ntw5t2p7-11ix4dp534p3l]","http://id.insee.fr/geo/region/54 | http://www.wikidata.org/entity/Q17009",
"place/FRAN_RI_005-d3ntb6z7gc--1n390pvx9c09r","d3ntb6z7gc--1n390pvx9c09r","Provence-Alpes-Côte-d'Azur (1982-.... ; région administrative)","1982",,"En 1982, la région Provence-Alpes-Côte-d'Azur est créée avec le statut de collectivité territoriale et son chef-lieu est fixé à Marseille.",,,"93","Marseille (Bouches-du-Rhône) [d3nte3xb8y--1j9n3wpuz3wyw]","http://id.insee.fr/geo/region/93 | http://www.wikidata.org/entity/Q15104 | http://data.alegoria-project.fr/id/ign/unitesadministratives/region/93 | http://data.ign.fr/id/geofla/region/93",
"place/FRAN_RI_005-d3ntb6zkth-auq4chs5b3rr","d3ntb6zkth-auq4chs5b3rr","Rhône-Alpes (1982-2015 ; région administrative)","1982","2015","En 1982, la région Rhône-Alpes est créée avec le statut de collectivité territoriale et son chef-lieu est fixé à Lyon. En 2016, la région Rhône-Alpes est regroupée au sein de la nouvelle région Auvergne-Rhône-Alpes.","Auvergne-Rhône-Alpes (2016-.... ; région administrative) [d-5f0vj727s--1abiwfn04l9rn]",,"82","Lyon (Rhône) [d3ntr30aef-iiuzlggrj026]","http://id.insee.fr/geo/region/82 | http://www.wikidata.org/entity/Q463",
