"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntlahel9-10u2qat5w3p67","d3ntlahel9-10u2qat5w3p67","Abainville (Meuse)","Bassancourt | Abainville","arrondissement : 552 | canton : Gondrecourt-le-Château",,"Meuse (Lorraine, département) [d3ntb8bmom-1adeafepkz7op]","55001","POINT(884100 6828500)","http://id.insee.fr/geo/commune/55001 | http://data.ign.fr/id/geofla/commune/55001 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/55001","Gondrecourt-le-Château (Meuse) [d3ntlco31j-100ezl9cp5r0t] | Bonnet (Meuse) [d3ntlb5xqk--1b6ohacglry0q] | Delouze-Rosières (Meuse) [d3ntlbz947-784mqrs23n52] | Amanty (Meuse) [d3ntlaid2v--1axnc61t8dbyj] | Houdelaincourt (Meuse) [d3ntlcw4bn-4v92lfa4htfx] | Badonvilliers-Gérauvilliers (Meuse) [d3ntlatv64--dk3faeor08zp]"
"place/FRAN_RI_005-d3ntlahpl1-1begg434s29l8","d3ntlahpl1-1begg434s29l8","Abaucourt-Hautecourt (Meuse)","Hautecourt-lès-Broville | Benoite-Vaux | Abaucourt-lès-Souppleville | Abaucourt-Hautecourt","arrondissement : 553 | canton : Etain","1er mai 1973 : Abaucourt-lès-Souppleville devient Abaucourt-Hautecourt suite à sa fusion-association avec Hautecourt-lès-Broville.Hautecourt-lès-Broville est rattachée à Abaucourt-lès-Souppleville (fusion association) qui devient Abaucourt-Hautecourt.","Meuse (Lorraine, département) [d3ntb8bmom-1adeafepkz7op]","55002","POINT(885100 6902600)","http://id.insee.fr/geo/commune/55002 | http://data.ign.fr/id/geofla/commune/55002 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/55002","Herméville-en-Woëvre (Meuse) [d3ntlcuwck--1w0cavyozih2b] | Fromezey (Meuse) [d3ntlck014-i73rlbdoy60p] | Moranville (Meuse) [d3ntldvgc8-1g9f0d94c1csb] | Damloup (Meuse) [d3ntlbxdfj--wgqlw6l2l2ok] | Eix (Meuse) [d3ntlc993n-17oygexfxaf3s] | Dieppe-sous-Douaumont (Meuse) [d3ntlc0945--dgo299e4nrpr]"
"place/FRAN_RI_005-d3ntlai0ks-mdob2kzjrja3","d3ntlai0ks-mdob2kzjrja3","Aincreville (Meuse)","Moulainville-la-Basse | La basse Moulainville | Aincreville","arrondissement : 553 | canton : Dun-sur-Meuse",,"Meuse (Lorraine, département) [d3ntb8bmom-1adeafepkz7op]","55004","POINT(854000 6920700)","http://id.insee.fr/geo/commune/55004 | http://data.ign.fr/id/geofla/commune/55004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/55004","Cléry-le-Grand (Meuse) [d3ntlbq468--3t7jcy4bow8c] | Doulcon (Meuse) [d3ntlc74d1--cwr545reov9o] | Tailly (Ardennes) [d3ntdlq9gx--qqe1jb6p662f] | Villers-devant-Dun (Meuse) [d3ntlfrout-yfyxsdbd7yb2] | Bantheville (Meuse) [d3ntlaulgu--c992ke1bbdyk]"
"place/FRAN_RI_005-d3ntlaid2v--1axnc61t8dbyj","d3ntlaid2v--1axnc61t8dbyj","Amanty (Meuse)","Amanty","arrondissement : 552 | canton : Gondrecourt-le-Château",,"Meuse (Lorraine, département) [d3ntb8bmom-1adeafepkz7op]","55005","POINT(892800 6827300)","http://id.insee.fr/geo/commune/55005 | http://data.ign.fr/id/geofla/commune/55005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/55005","Epiez-sur-Meuse (Meuse) [d3ntlc9z6m-16jfgsh2ljkxv] | Abainville (Meuse) [d3ntlahel9-10u2qat5w3p67] | Gondrecourt-le-Château (Meuse) [d3ntlco31j-100ezl9cp5r0t] | Vouthon-Bas (Meuse) [d3ntlfw0x5-1raa2o6derf07] | Vouthon-Haut (Meuse) [d3ntlfwbwx--tn7cv4dd5vz0] | Taillancourt (Meuse) [d3ntlf83jm-1q4ov1ivhfmjl] | Badonvilliers-Gérauvilliers (Meuse) [d3ntlatv64--dk3faeor08zp] | Maxey-sur-Vaise (Meuse) [d3ntldmi2t-1cixg0lwj2cde]"
"place/FRAN_RI_005-d3ntlaiq0h-w5d3r22d4yo9","d3ntlaiq0h-w5d3r22d4yo9","Ambly-sur-Meuse (Meuse)","Ambly-sur-Meuse","arrondissement : 553 | canton : Verdun-Est",,"Meuse (Lorraine, département) [d3ntb8bmom-1adeafepkz7op]","55007","POINT(878600 6882700)","http://id.insee.fr/geo/commune/55007 | http://data.ign.fr/id/geofla/commune/55007 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/55007","Rupt-en-Woëvre (Meuse) [d3ntlert81--z9d9pqs0d57o] | Villers-sur-Meuse (Meuse) [d3ntlfsxwo-hbcqdnu25fy8] | Troyon (Meuse) [d3ntlfg0qa-a1dqsqdtki6z] | Tilly-sur-Meuse (Meuse) [d3ntlfbgot--5iboflbjx72u] | Ranzières (Meuse) [d3ntlehopn--ldrnt8xfe989] | Génicourt-sur-Meuse (Meuse) [d3ntlckqbu--j226ez29s9ai]"
"place/FRAN_RI_005-d3ntlaj2y3--1euly9bbgsrka","d3ntlaj2y3--1euly9bbgsrka","Amel-sur-l'Etang (Meuse)","Amel-sur-l'Etang | Amel","arrondissement : 553 | canton : Spincourt",,"Meuse (Lorraine, département) [d3ntb8bmom-1adeafepkz7op]","55008","POINT(892700 6910600)","http://id.insee.fr/geo/commune/55008 | http://data.ign.fr/id/geofla/commune/55008 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/55008","Foameix-Ornel (Meuse) [d3ntlcfqrn-1a2uj0agkfmv9] | Eton (Meuse) [d3ntlcd80m--14wupmdz9epju] | Rouvres-en-Woëvre (Meuse) [d3ntlepy6n-6zly4li64u2v] | Senon (Meuse) [d3ntlf1xax-6k8le5f216u5] | Etain (Meuse) [d3ntlccvij-1q7eaj70z6yr6]"
"place/FRAN_RI_005-d3ntlajfvp--awm1u7buh6ml","d3ntlajfvp--awm1u7buh6ml","Ancemont (Meuse)","Ancemont","arrondissement : 553 | canton : Souilly",,"Meuse (Lorraine, département) [d3ntb8bmom-1adeafepkz7op]","55009","POINT(875800 6888300)","http://id.insee.fr/geo/commune/55009 | http://data.ign.fr/id/geofla/commune/55009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/55009","Dieue-sur-Meuse (Meuse) [d3ntlc0m1r-fot0f6e4txbl] | Dugny-sur-Meuse (Meuse) [d3ntlc7g7u-n3jfo76aelek] | Souilly (Meuse) [d3ntlf6vcs--nfuifnkicw48] | Les Monthairons (Meuse) [d3ntldsdra-275bej2rim7s] | Senoncourt-les-Maujouy (Meuse) [d3ntlf28ig-k1h6r65qcnno]"
"place/FRAN_RI_005-d3ntlajstb-18vk1182ydzyu","d3ntlajstb-18vk1182ydzyu","Ancerville (Meuse)","Ancerville","arrondissement : 551 | canton : Ancerville",,"Meuse (Lorraine, département) [d3ntb8bmom-1adeafepkz7op]","55010","POINT(848800 6839200)","http://id.insee.fr/geo/commune/55010 | http://data.ign.fr/id/geofla/commune/55010 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/55010","Rupt-aux-Nonains (Meuse) [d3ntler78i--1ocg2788lgeax] | Roches-sur-Marne (Haute-Marne) [d3ntkzginr-lq0cty78w0nl] | Sommelonne (Meuse) [d3ntlf5max--6ri29l2qz4q4] | Saint-Dizier (Haute-Marne) [d3ntkzlskg-wt1ho77shfl4] | Chamouilley (Haute-Marne) [d3ntkuz546--axxr29r00rsg] | Chancenay (Haute-Marne) [d3ntkv0eds--rmca87ogqidw] | Cousances-les-Forges (Meuse) [d3ntlbug0t--guoiq11ib817] | Bettancourt-la-Ferrée (Haute-Marne) [d3ntkujygg-1ohr489jipguw]"
"place/FRAN_RI_005-d3ntlak5qx--sztzvlgsxi4f","d3ntlak5qx--sztzvlgsxi4f","Andernay (Meuse)","Andernay","arrondissement : 551 | canton : Revigny-sur-Ornain",,"Meuse (Lorraine, département) [d3ntb8bmom-1adeafepkz7op]","55011","POINT(843600 6856300)","http://id.insee.fr/geo/commune/55011 | http://data.ign.fr/id/geofla/commune/55011 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/55011","Sermaize-les-Bains (Marne) [d3ntkss1kp--9y2qmfax3qrl] | Mognéville (Meuse) [d3ntldqiac-1ud93268svftc] | Contrisson (Meuse) [d3ntlbt5w5-147udox33m79]"
"place/FRAN_RI_005-d3ntlakiwa-1f478awtn7cv","d3ntlakiwa-1f478awtn7cv","Apremont-la-Forêt (Meuse)","Saint-Agnant-sous-les-Côtes | Marbotte | Liouville | Apremont-la-Forêt","arrondissement : 552 | canton : Saint-Mihiel","9 avril 1962 : Apremont devient Apremont-la-Forêt.","Meuse (Lorraine, département) [d3ntb8bmom-1adeafepkz7op]","55012","POINT(893600 6864900)","http://id.insee.fr/geo/commune/55012 | http://data.ign.fr/id/geofla/commune/55012 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/55012","Broussey-Raulecourt (Meuse) [d3ntlbfo0s-dq3bqei5c1dm] | Loupmont (Meuse) [d3ntldfv8l-1bp9gjtpvcppb] | Boncourt-sur-Meuse (Meuse) [d3ntlb5kl7-n237y2wlkhyo] | Varnéville (Meuse) [d3ntlfigw7-1dbrivtdufw9d] | Frémeréville-sous-les-Côtes (Meuse) [d3ntlci6ps-16k0s6iu79b2i] | Saint-Julien-sous-les-Côtes (Meuse) [d3ntlevdp3--14urlml2fk3g] | Han-sur-Meuse (Meuse) [d3ntlcsfr5-111670y3g2k2d] | Bouconville-sur-Madt (Meuse) [d3ntlb70je--b5n6yg06rqpo] | Pont-sur-Meuse (Meuse) [d3ntlebzxi-1nlh4jdz3qzcs] | Girauvoisin (Meuse) [d3ntlcnh9r-1je8588o5upzs] | Saint-Mihiel (Meuse) [d3ntlewbbo--t6ia0ckl58i0] | Mécrin (Meuse) [d3ntldmti4--1fkmqkt2a5xwo]"
