"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntprtbrh-1r4p0d9rl6wxj","d3ntprtbrh-1r4p0d9rl6wxj","Adast (Hautes-Pyrénées)","Arauvielle | Adast","arrondissement : 651 | canton : Argelès-Gazost",,"Hautes-Pyrénées (Midi-Pyrénées, département) [d3ntb7x5gl-rdnnhynelg4]","65001","POINT(448700 6213100)","http://id.insee.fr/geo/commune/65001 | http://data.ign.fr/id/geofla/commune/65001 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/65001","Pierrefitte-Nestalas (Hautes-Pyrénées) [d3ntpvqbz2-1rpcwltge5suq] | Lau-Balagnas (Hautes-Pyrénées) [d3ntpuqu4x-vh7mr3v2rdyg] | Saint-Savin (Hautes-Pyrénées) [d3ntpw1rh6--19y89531qf494] | Beaucens (Hautes-Pyrénées) [d3ntpsl644--1mdzwgp5sdrls]"
"place/FRAN_RI_005-d3ntprtmr8--u926enyqf50d","d3ntprtmr8--u926enyqf50d","Adé (Hautes-Pyrénées)","Adé","arrondissement : 651 | canton : Lourdes-Ouest",,"Hautes-Pyrénées (Midi-Pyrénées, département) [d3ntb7x5gl-rdnnhynelg4]","65002","POINT(453500 6230800)","http://id.insee.fr/geo/commune/65002 | http://data.ign.fr/id/geofla/commune/65002 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/65002","Julos (Hautes-Pyrénées) [d3ntpudul6--b8qm7dexbr3x] | Bartrès (Hautes-Pyrénées) [d3ntpsig91--1bns0z5wdtr2i] | Ossun (Hautes-Pyrénées) [d3ntpvhmrk-19yyojajysrr3] | Averan (Hautes-Pyrénées) [d3ntpsajhv-xtza4eucbd8k] | Lanne (Hautes-Pyrénées) [d3ntpukii8--nyasfg5guqg5] | Lourdes (Hautes-Pyrénées) [d3ntpux901--1mqv3t2lsqa27]"
"place/FRAN_RI_005-d3ntpruhsp--yvt49jipxdo7","d3ntpruhsp--yvt49jipxdo7","Adervielle-Pouchergues (Hautes-Pyrénées)","Pouchergues | Ayné | Ainé | Adervielles | Adervielle-Pouchergues | Adervielle","arrondissement : 652 | canton : Bordères-Louron","1er janvier 1988 : Adervielle devient Adervielle-Pouchergues suite à sa fusion-association avec Pouchergues.Pouchergues est rattachée à Adervielle (fusion association) qui devient Adervielle-Pouchergues.","Hautes-Pyrénées (Midi-Pyrénées, département) [d3ntb7x5gl-rdnnhynelg4]","65003","POINT(487500 6194500)","http://id.insee.fr/geo/commune/65003 | http://data.ign.fr/id/geofla/commune/65003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/65003","Génos (Hautes-Pyrénées) [d3ntptypfs--12slctfya6fzq] | Cazaux-Fréchet-Anéran-Camors (Hautes-Pyrénées) [d3ntpt7329-1luwz7b1pzhil] | Estarvielle (Hautes-Pyrénées) [d3ntptq8f6-145ny8s70xivf] | Vielle-Louron (Hautes-Pyrénées) [d3ntpwqsik--16spr3uftxdbx] | Azet (Hautes-Pyrénées) [d3ntpscd0y-13u1emxqe2mos] | Loudenvielle (Hautes-Pyrénées) [d3ntpuw18q-17gbisgj1e2he] | Grailhen (Hautes-Pyrénées) [d3ntpu3eni--yow1jgj8fjfj]"
"place/FRAN_RI_005-d3ntprut7z-odznmmvl1t5p","d3ntprut7z-odznmmvl1t5p","Agos-Vidalos (Hautes-Pyrénées)","Vidalos | Balaguas | Balagnas | Agos-Vidalos","arrondissement : 651 | canton : Argelès-Gazost",,"Hautes-Pyrénées (Midi-Pyrénées, département) [d3ntb7x5gl-rdnnhynelg4]","65004","POINT(449500 6220100)","http://id.insee.fr/geo/commune/65004 | http://data.ign.fr/id/geofla/commune/65004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/65004","Ouzous (Hautes-Pyrénées) [d3ntpvk2hy-1hiterdk1babp] | Ossen (Hautes-Pyrénées) [d3ntpvgral-hzfzlkt6y9y4] | Boô-Silhen (Hautes-Pyrénées) [d3ntpss4t6--1s4qg2o5xaqr9] | Viger (Hautes-Pyrénées) [d3ntpwrzml-1kyjvemtcssyx] | Ger (Hautes-Pyrénées) [d3ntptzazs-12d35148uunhw] | Geu (Hautes-Pyrénées) [d3ntpu138b--d6epqt94muj1] | Ayzac-Ost (Hautes-Pyrénées) [d3ntpsbr96-1l41csoe7vyr]"
"place/FRAN_RI_005-d3ntprv3zz-1wn8ajs9l82v5","d3ntprv3zz-1wn8ajs9l82v5","Allier (Hautes-Pyrénées)","Betmont | Allier","arrondissement : 653 | canton : Séméac",,"Hautes-Pyrénées (Midi-Pyrénées, département) [d3ntb7x5gl-rdnnhynelg4]","65005","POINT(465900 6235100)","http://id.insee.fr/geo/commune/65005 | http://data.ign.fr/id/geofla/commune/65005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/65005","Barbazan-Debat (Hautes-Pyrénées) [d3ntpsg15x--18mgbsqis82il] | Barbazan-Dessus (Hautes-Pyrénées) [d3ntpsgbxx--vjud6iorgtrc] | Bernac-Debat (Hautes-Pyrénées) [d3ntpsmzfg-d158wpsazi7c] | Angos (Hautes-Pyrénées) [d3ntprwbjj-rg6jlttrsfs5] | Montignac (Hautes-Pyrénées) [d3ntpv9i1a--55ew4leyoxz8] | Salles-Adour (Hautes-Pyrénées) [d3ntpw3v4z--1jf2jnqttjzp1]"
"place/FRAN_RI_005-d3ntprves0-e36xuznbvos7","d3ntprves0-e36xuznbvos7","Ancizan (Hautes-Pyrénées)","Ancizan","arrondissement : 652 | canton : Arreau",,"Hautes-Pyrénées (Midi-Pyrénées, département) [d3ntb7x5gl-rdnnhynelg4]","65006","POINT(482400 6200700)","http://id.insee.fr/geo/commune/65006 | http://data.ign.fr/id/geofla/commune/65006 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/65006","Grézian (Hautes-Pyrénées) [d3ntpu3pn9-cj0jyaw4fmdq] | Campan (Hautes-Pyrénées) [d3ntpt114q--jayhh24udvf5] | Guchen (Hautes-Pyrénées) [d3ntpu4m71--139rq2qe39qbw] | Aulon (Hautes-Pyrénées) [d3ntps8o0y--1k2zt5iuvhj9u] | Cadéac (Hautes-Pyrénées) [d3ntpsywe5-6k2v759dpod] | Barrancoueu (Hautes-Pyrénées) [d3ntpsh8x8--3yc2p8erdyue] | Arreau (Hautes-Pyrénées) [d3ntps2zgk-t5x4gpt1ysmp]"
"place/FRAN_RI_005-d3ntprvprr-1sgzu17zik3ce","d3ntprvprr-1sgzu17zik3ce","Andrest (Hautes-Pyrénées)","Audrest | Andrest","arrondissement : 653 | canton : Vic-en-Bigorre",,"Hautes-Pyrénées (Midi-Pyrénées, département) [d3ntb7x5gl-rdnnhynelg4]","65007","POINT(461500 6250800)","http://id.insee.fr/geo/commune/65007 | http://data.ign.fr/id/geofla/commune/65007 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/65007","Pujo (Hautes-Pyrénées) [d3ntpvt1u5--1s8qc9q165zc0] | Bazet (Hautes-Pyrénées) [d3ntpsj2gb--n1f9hlpiwbc7] | Sarniguet (Hautes-Pyrénées) [d3ntpw5ebk-9dwkaax6vvk1] | Gayan (Hautes-Pyrénées) [d3ntptwvoy-157gtbtwfdh1s] | Siarrouy (Hautes-Pyrénées) [d3ntpwbqdt-1w62uz0ed3d0p] | Aurensan (Hautes-Pyrénées) [d3ntps9bqk-1bxwnyuc5sdm7] | Marsac (Hautes-Pyrénées) [d3ntpv1str-2o27az07xtxe] | Oursbelille (Hautes-Pyrénées) [d3ntpvjgie--1hbztkn25ssbh]"
"place/FRAN_RI_005-d3ntprw0rj--swb2zhfnoy6e","d3ntprw0rj--swb2zhfnoy6e","Anères (Hautes-Pyrénées)","Espenau | Anères","arrondissement : 652 | canton : Saint-Laurent-de-Neste",,"Hautes-Pyrénées (Midi-Pyrénées, département) [d3ntb7x5gl-rdnnhynelg4]","65009","POINT(493300 6222100)","http://id.insee.fr/geo/commune/65009 | http://data.ign.fr/id/geofla/commune/65009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/65009","Nestier (Hautes-Pyrénées) [d3ntpvbb4v--jxh4dk2tl1xy] | Tuzaguet (Hautes-Pyrénées) [d3ntpwmv3w-pelordnlu293] | Bizous (Hautes-Pyrénées) [d3ntpsqx9m-gnfwn5tn3vy7] | Saint-Laurent-de-Neste (Hautes-Pyrénées) [d3ntpvzmis-dcbasvoa9dpy] | Hautaget (Hautes-Pyrénées) [d3ntpu7rsn--zj313ac2dx1w]"
"place/FRAN_RI_005-d3ntprwbjj-rg6jlttrsfs5","d3ntprwbjj-rg6jlttrsfs5","Angos (Hautes-Pyrénées)","Angos | Fréchet","arrondissement : 653 | canton : Séméac",,"Hautes-Pyrénées (Midi-Pyrénées, département) [d3ntb7x5gl-rdnnhynelg4]","65010","POINT(468300 6236900)","http://id.insee.fr/geo/commune/65010 | http://data.ign.fr/id/geofla/commune/65010 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/65010","Bordes (Hautes-Pyrénées) [d3ntpst0xf--evc5jlzbq6qu] | Calavanté (Hautes-Pyrénées) [d3ntpt04d7-15x9bt8c3y5fr] | Allier (Hautes-Pyrénées) [d3ntprv3zz-1wn8ajs9l82v5] | Barbazan-Debat (Hautes-Pyrénées) [d3ntpsg15x--18mgbsqis82il] | Lespouey (Hautes-Pyrénées) [d3ntpursmk-1h13sbalgmqpp] | Montignac (Hautes-Pyrénées) [d3ntpv9i1a--55ew4leyoxz8] | Mascaras (Hautes-Pyrénées) [d3ntpv3b5b-jvlvptytzblq] | Lhez (Hautes-Pyrénées) [d3ntpusdyt--1etlfixlgettl]"
"place/FRAN_RI_005-d3ntprwxj2-dqwdrzyo9itw","d3ntprwxj2-dqwdrzyo9itw","Anla (Hautes-Pyrénées)","Anla","arrondissement : 652 | canton : Mauléon-Barousse",,"Hautes-Pyrénées (Midi-Pyrénées, département) [d3ntb7x5gl-rdnnhynelg4]","65012","POINT(502600 6214500)","http://id.insee.fr/geo/commune/65012 | http://data.ign.fr/id/geofla/commune/65012 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/65012","Antichan (Hautes-Pyrénées) [d3ntprxj33-16ynrql4s1wf] | Ilheu (Hautes-Pyrénées) [d3ntpub3v1-142zhcuftdvyu] | Aveux (Hautes-Pyrénées) [d3ntpsauhn--pws32j6cqrn2] | Izaourt (Hautes-Pyrénées) [d3ntpuc0et-1q12ad6w58x6b] | Sarp (Hautes-Pyrénées) [d3ntpw5ovt-1uhyq18t0jivi] | Créchets (Hautes-Pyrénées) [d3ntptkgme--1dnys8ak46rie] | Bertren (Hautes-Pyrénées) [d3ntpso76r--11n54bh1vmwoj]"
"place/FRAN_RI_005-d3ntprx8b3-imr3s8f9a56g","d3ntprx8b3-imr3s8f9a56g","Ansost (Hautes-Pyrénées)","Lahitau | Autost | Ansost","arrondissement : 653 | canton : Rabastens-de-Bigorre",,"Hautes-Pyrénées (Midi-Pyrénées, département) [d3ntb7x5gl-rdnnhynelg4]","65013","POINT(466000 6263500)","http://id.insee.fr/geo/commune/65013 | http://data.ign.fr/id/geofla/commune/65013 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/65013","Liac (Hautes-Pyrénées) [d3ntputaau--1987tou3ql4hb] | Gensac (Hautes-Pyrénées) [d3ntptz0fk-hgqdh762nt1x] | Barbachen (Hautes-Pyrénées) [d3ntpsfqdx-12h4w9laatv12] | Ségalas (Hautes-Pyrénées) [d3ntpw7teo-140na1a12vqjh] | Monfaucon (Hautes-Pyrénées) [d3ntpv6ms6--zcemeufr3sz5]"
"place/FRAN_RI_005-d3ntprxj33-16ynrql4s1wf","d3ntprxj33-16ynrql4s1wf","Antichan (Hautes-Pyrénées)","Antichan | Lanacorbin | Autichau","arrondissement : 652 | canton : Mauléon-Barousse",,"Hautes-Pyrénées (Midi-Pyrénées, département) [d3ntb7x5gl-rdnnhynelg4]","65014","POINT(502600 6213600)","http://id.insee.fr/geo/commune/65014 | http://data.ign.fr/id/geofla/commune/65014 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/65014","Ilheu (Hautes-Pyrénées) [d3ntpub3v1-142zhcuftdvyu] | Troubat (Hautes-Pyrénées) [d3ntpwm9c4--vv5iiv7chuwy] | Créchets (Hautes-Pyrénées) [d3ntptkgme--1dnys8ak46rie] | Gembrie (Hautes-Pyrénées) [d3ntpty38h--1f0ecpsnu773l] | Anla (Hautes-Pyrénées) [d3ntprwxj2-dqwdrzyo9itw] | Samuran (Hautes-Pyrénées) [d3ntpw46s0-1021e3c7xhz54]"
"place/FRAN_RI_005-d3ntprxtv3-1bk4tt59zprgq","d3ntprxtv3-1bk4tt59zprgq","Antin (Hautes-Pyrénées)","Lauso | Lanso | Antin","arrondissement : 653 | canton : Trie-sur-Baïse",,"Hautes-Pyrénées (Midi-Pyrénées, département) [d3ntb7x5gl-rdnnhynelg4]","65015","POINT(479900 6252000)","http://id.insee.fr/geo/commune/65015 | http://data.ign.fr/id/geofla/commune/65015 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/65015","Bouilh-Devant (Hautes-Pyrénées) [d3ntpstwm6-guf14ee83ii1] | Mazerolles (Hautes-Pyrénées) [d3ntpv4t1c--3yu3uge35zl5] | Trouley-Labarthe (Hautes-Pyrénées) [d3ntpwmk45-bl5ryuor707z] | Lubret-Saint-Luc (Hautes-Pyrénées) [d3ntpuygjl-1rtcjl20u6thp] | Lapeyre (Hautes-Pyrénées) [d3ntpum0ts--i3rqgzg2phjp] | Bernadets-Debat (Hautes-Pyrénées) [d3ntpsnl78--1nfswk2k32ovh] | Osmets (Hautes-Pyrénées) [d3ntpvggat--5u7x99dhufcc]"
"place/FRAN_RI_005-d3ntpry52m-1pof8rfkjhbgz","d3ntpry52m-1pof8rfkjhbgz","Antist (Hautes-Pyrénées)","L'Esponey | Autist | Antist","arrondissement : 652 | canton : Bagnères-de-Bigorre",,"Hautes-Pyrénées (Midi-Pyrénées, département) [d3ntb7x5gl-rdnnhynelg4]","65016","POINT(466000 6228500)","http://id.insee.fr/geo/commune/65016 | http://data.ign.fr/id/geofla/commune/65016 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/65016","Ordizan (Hautes-Pyrénées) [d3ntpvebk7--12874h5imtccw] | Orignac (Hautes-Pyrénées) [d3ntpvf8ji-92mt0jn6zxmq] | Montgaillard (Hautes-Pyrénées) [d3ntpv971j--nko6m8zmeldw]"
"place/FRAN_RI_005-d3ntpryfum--m5tyy28n0ulf","d3ntpryfum--m5tyy28n0ulf","Aragnouet (Hautes-Pyrénées)","Araiguonet | Aragnouet","arrondissement : 652 | canton : Vielle-Aure",,"Hautes-Pyrénées (Midi-Pyrénées, département) [d3ntb7x5gl-rdnnhynelg4]","65017","POINT(473000 6191800)","http://id.insee.fr/geo/commune/65017 | http://data.ign.fr/id/geofla/commune/65017 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/65017","Tramezaïgues (Hautes-Pyrénées) [d3ntpwlccu-qjtl9ky1hevh] | Luz-Saint-Sauveur (Hautes-Pyrénées) [d3ntpv0l2g-14vzpwz5h3gj9] | Vignec (Hautes-Pyrénées) [d3ntpwsau4-1vixl7yr9vfd3] | Barèges (Hautes-Pyrénées) [d3ntpwvwth--1txzu8lwa76y0] | Cadeilhan-Trachère (Hautes-Pyrénées) [d3ntpsz816-1bauib43fcs4p] | Gèdre (Hautes-Pyrénées) [d3ntptxs8q-t29jznm34oag] | Saint-Lary-Soulan (Hautes-Pyrénées) [d3ntpvzbqs--17rquy46kibkn]"
"place/FRAN_RI_005-d3ntprzbr4-c2rot7gwa26s","d3ntprzbr4-c2rot7gwa26s","Arbéost (Hautes-Pyrénées)","Louzourn | Louzourm | Arbéost","arrondissement : 651 | canton : Aucun",,"Hautes-Pyrénées (Midi-Pyrénées, département) [d3ntb7x5gl-rdnnhynelg4]","65018","POINT(431900 6216500)","http://id.insee.fr/geo/commune/65018 | http://data.ign.fr/id/geofla/commune/65018 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/65018","Béost (Pyrénées-Atlantiques) [d3ntpn7ihm-1r6fx7iytsm63] | Louvie-Soubiron (Pyrénées-Atlantiques) [d3ntpppvpo-1k4ws5ik984ny] | Ferrières (Hautes-Pyrénées) [d3ntptscii--2m0ux7lcfb0m] | Arrens-Marsous (Hautes-Pyrénées) [d3ntps3a8l--1p04olpts5uxl]"
"place/FRAN_RI_005-d3ntprzne6--17ncy8uxfxbps","d3ntprzne6--17ncy8uxfxbps","Arcizac-Adour (Hautes-Pyrénées)","Areizac-Adour | Arcizac-Adour","arrondissement : 653 | canton : Laloubère",,"Hautes-Pyrénées (Midi-Pyrénées, département) [d3ntb7x5gl-rdnnhynelg4]","65019","POINT(463900 6232800)","http://id.insee.fr/geo/commune/65019 | http://data.ign.fr/id/geofla/commune/65019 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/65019","Visker (Hautes-Pyrénées) [d3ntpwvaty-1g3vwe5ez51ng] | Saint-Martin (Hautes-Pyrénées) [d3ntpw0ji3-74w8d3srnbma] | Hiis (Hautes-Pyrénées) [d3ntpu8zc6-ceftw59stvl7] | Bernac-Debat (Hautes-Pyrénées) [d3ntpsmzfg-d158wpsazi7c] | Vielle-Adour (Hautes-Pyrénées) [d3ntpwq6qs--gvvo00g7di8u] | Bernac-Dessus (Hautes-Pyrénées) [d3ntpsna7g--1y06mdei05b9n]"
"place/FRAN_RI_005-d3ntprzy66--8uqs29xoi9b","d3ntprzy66--8uqs29xoi9b","Arcizac-ez-Angles (Hautes-Pyrénées)","Arcizac-ez-Angles","arrondissement : 651 | canton : Lourdes-Est",,"Hautes-Pyrénées (Midi-Pyrénées, département) [d3ntb7x5gl-rdnnhynelg4]","65020","POINT(456500 6226100)","http://id.insee.fr/geo/commune/65020 | http://data.ign.fr/id/geofla/commune/65020 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/65020","Gez-ez-Angles (Hautes-Pyrénées) [d3ntpu1pnd-608p3sszkj8m] | Bourréac (Hautes-Pyrénées) [d3ntpsvfl0-jgc5uwdu1c6o] | Escoubès-Pouts (Hautes-Pyrénées) [d3ntpto3ok-1duh9m48dnval] | Les Angles (Hautes-Pyrénées) [d3ntprwmjb-12n1ff2qo3w] | Lézignan (Hautes-Pyrénées) [d3ntpus3ek--qm6wnzb7qejv]"
