"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntwtdbi8--1wkaxocj6ov8r","d3ntwtdbi8--1wkaxocj6ov8r","Ahéville (Vosges)","Bourg-Brusque | Ahéville","arrondissement : 881 | canton : Dompaire",,"Vosges (Lorraine, département) [d3ntb90lcn-1da2tok8c3zo7]","88002","POINT(936700 6803100)","http://id.insee.fr/geo/commune/88002 | http://data.ign.fr/id/geofla/commune/88002 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/88002","Vaubexy (Vosges) [d3ntx1t75f--11y7xp7it0f5s] | Jorxey (Vosges) [d3ntwyipvi-18q98829ctn6q] | Bazegney (Vosges) [d3ntwuvgdo--1aaygt47wbmly] | Avillers (Vosges) [d3ntwul2dt--64aool5asv9j] | Velotte-et-Tatignécourt (Vosges) [d3ntx1uruc--mhxjw3dhu6b5] | Racécourt (Vosges) [d3ntx04zhg--1xyvj9bunrkq6] | Vroville (Vosges) [d3ntx26sop--5gng2dkfi05y]"
"place/FRAN_RI_005-d3ntwtdn59--p4w6p39dq0y2","d3ntwtdn59--p4w6p39dq0y2","Aingeville (Vosges)","Aingeville","arrondissement : 882 | canton : Bulgnéville",,"Vosges (Lorraine, département) [d3ntb90lcn-1da2tok8c3zo7]","88003","POINT(905700 6793200)","http://id.insee.fr/geo/commune/88003 | http://data.ign.fr/id/geofla/commune/88003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/88003","Saint-Ouen-lès-Parey (Vosges) [d3ntx0ur93--10jxpid046kzz] | Vaudoncourt (Vosges) [d3ntx1tts8--1av2ey0hdu66n] | Malaincourt (Vosges) [d3ntwyy1pg-1171uojpmc1nr] | Médonville (Vosges) [d3ntwz3btw-3er6bjxa0tzl] | Urville (Vosges) [d3ntx1o329-eaypdqwvw0km] | Saulxures-lès-Bulgnéville (Vosges) [d3ntx13g12-1m5pf4vge72iv]"
"place/FRAN_RI_005-d3ntwtdycs-ok1suyac28qz","d3ntwtdycs-ok1suyac28qz","Ainvelle (Vosges)","Ainvelle","arrondissement : 882 | canton : Lamarche",,"Vosges (Lorraine, département) [d3ntb90lcn-1da2tok8c3zo7]","88004","POINT(910800 6770000)","http://id.insee.fr/geo/commune/88004 | http://data.ign.fr/id/geofla/commune/88004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/88004"," [] | Senaide (Vosges) [d3ntx16j9a-12oil8l8dmieb] | Isches (Vosges) [d3ntwygsw9-q3sra1vxq4q4] | Fouchécourt (Vosges) [d3ntwxdleu-16mdes9ym49fu] | Les Thons (Vosges) [d3ntx1gdmy--1rghbloougdqx]"
"place/FRAN_RI_005-d3ntwte9s3-1vj6slkklcc2y","d3ntwte9s3-1vj6slkklcc2y","Allarmont (Vosges)","Allarmont","arrondissement : 883 | canton : Raon-l'Etape",,"Vosges (Lorraine, département) [d3ntb90lcn-1da2tok8c3zo7]","88005","POINT(996400 6827700)","http://id.insee.fr/geo/commune/88005 | http://data.ign.fr/id/geofla/commune/88005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/88005"," [] | Moussey (Vosges) [d3ntwzcp6j--1vkn7w9nfwft2] | Vexaincourt (Vosges) [d3ntx1y57b--1c4n9jukq2xb3] | Celles-sur-Plaine (Vosges) [d3ntwvqm5g--y0lv1x7v3sld]"
"place/FRAN_RI_005-d3ntwtel7d-zhr5ktv6avgj","d3ntwtel7d-zhr5ktv6avgj","Ambacourt (Vosges)","Natzviller | Ambacourt","arrondissement : 882 | canton : Mirecourt",,"Vosges (Lorraine, département) [d3ntb90lcn-1da2tok8c3zo7]","88006","POINT(932600 6809800)","http://id.insee.fr/geo/commune/88006 | http://data.ign.fr/id/geofla/commune/88006 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/88006"," [] | Chauffecourt (Vosges) [d3ntww635n-13ec7bxt6fr8g] | Frenelle-la-Grande (Vosges) [d3ntwxgmhh-1x63hicgh2tk1] | Pont-sur-Madon (Vosges) [d3ntwzpiwr--1r39jf5deefu4] | Puzieux (Vosges) [d3ntx04ktr--17s2u6d8dhl4k] |  [] | Mazirot (Vosges) [d3ntwz30md--10n2o43a1jcit] | Vomécourt-sur-Madon (Vosges) [d3ntx25vhn--13hqwra7b44v0] | Poussay (Vosges) [d3ntwztoxt-zi80uixfl3bt] | Bettoncourt (Vosges) [d3ntwve3ez--6ji95iuu82ka]"
"place/FRAN_RI_005-d3ntwtewew-1cyzqxulumca2","d3ntwtewew-1cyzqxulumca2","Ameuvelle (Vosges)","Ameuville | Ameuvelle","arrondissement : 881 | canton : Monthureux-sur-Saône","1er janvier 2013 : Ameuvelle passe de l'arrondissement d'Épinal à l'arrondissement de Neufchâteau.","Vosges (Lorraine, département) [d3ntb90lcn-1da2tok8c3zo7]","88007","POINT(919800 6764300)","http://id.insee.fr/geo/commune/88007 | http://data.ign.fr/id/geofla/commune/88007 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/88007","Montcourt (Haute-Saône) [d3ntrosa1c--4c5vabr145dw] | Jonvelle (Haute-Saône) [d3ntro5mkq--1838q86ju06xa] | Vougécourt (Haute-Saône) [d3ntrzj0dn--11wpo277kweje] | Bousseraucourt (Haute-Saône) [d3ntr6cvzg-17fvl88kjy4uq] | Martinvelle (Vosges) [d3ntwz1rs9--y5edzg5rr9kf] | Regnévelle (Vosges) [d3ntx0al16--1083mp64hyz2h]"
"place/FRAN_RI_005-d3ntwtf7u6-367pxxbt5pgv","d3ntwtf7u6-367pxxbt5pgv","Anglemont (Vosges)","Anglemont","arrondissement : 881 | canton : Rambervillers",,"Vosges (Lorraine, département) [d3ntb90lcn-1da2tok8c3zo7]","88008","POINT(971500 6815100)","http://id.insee.fr/geo/commune/88008 | http://data.ign.fr/id/geofla/commune/88008 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/88008","Brû (Vosges) [d3ntwvkvn8-qp5i176uxn76] | Doncières (Vosges) [d3ntwwxa0g--wtevqrseegpy] | Nossoncourt (Vosges) [d3ntwzi5rs-4s1amg8fbc3f] | Ménil-sur-Belvitte (Vosges) [d3ntwz5zr6-1pmsdsidsjjbp] | Rambervillers (Vosges) [d3ntx05mza-gi03ibl6bkcp]"
"place/FRAN_RI_005-d3ntwtg3ix-gu6m95lci4f","d3ntwtg3ix-gu6m95lci4f","Anould (Vosges)","Raurupt | Anould","arrondissement : 883 | canton : Fraize",,"Vosges (Lorraine, département) [d3ntb90lcn-1da2tok8c3zo7]","88009","POINT(993100 6794500)","http://id.insee.fr/geo/commune/88009 | http://data.ign.fr/id/geofla/commune/88009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/88009","La Houssière (Vosges) [d3ntwyfj73-13gvqol9oyblx] | Saint-Léonard (Vosges) [d3ntx0skkn--j3np2x1ak4ki] | Gerbépal (Vosges) [d3ntwxnau1--171d5nee2autf] | Corcieux (Vosges) [d3ntwweekh-yqf5t73a0cwa] | Ban-sur-Meurthe-Clefcy (Vosges) [d3ntwwa7gm--1i9b2lrslu4cb] | Fraize (Vosges) [d3ntwxe7ed-vhqt2qm5qpnl]"
"place/FRAN_RI_005-d3ntwtgg10--1k5jgmn5c46xq","d3ntwtgg10--1k5jgmn5c46xq","Aouze (Vosges)","Aouze","arrondissement : 882 | canton : Châtenois",,"Vosges (Lorraine, département) [d3ntb90lcn-1da2tok8c3zo7]","88010","POINT(912500 6812100)","http://id.insee.fr/geo/commune/88010 | http://data.ign.fr/id/geofla/commune/88010 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/88010","Removille (Vosges) [d3ntx0fqmn--nqgmmwz6mdj1] |  [] | Aroffe (Vosges) [d3ntwufpo9-2hkww73baxqy] | Soncourt (Vosges) [d3ntx19d03-19dlgc9zi78w9] | Attignéville (Vosges) [d3ntwuh7zt-uuszoc0ym5es] | Rainville (Vosges) [d3ntx05bc9--18b09yuc09ehz]"
"place/FRAN_RI_005-d3ntwtgrvt--k58vua7n0q9i","d3ntwtgrvt--k58vua7n0q9i","Arches (Vosges)","Arches","arrondissement : 881 | canton : Epinal-Est",,"Vosges (Lorraine, département) [d3ntb90lcn-1da2tok8c3zo7]","88011","POINT(962400 6785600)","http://id.insee.fr/geo/commune/88011 | http://data.ign.fr/id/geofla/commune/88011 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/88011","Hadol (Vosges) [d3ntwxzuna-9s3js1mu6o62] | Archettes (Vosges) [d3ntwu8j7u--1uziy11b449jq] | Dounoux (Vosges) [d3ntwwxlfq-158cvr1qdif9a] | Raon-aux-Bois (Vosges) [d3ntx08o1x-w913hvog0325] | Epinal (Vosges) [d3ntwx61dj-9maanjifz7bh] | Dinozé (Vosges) [d3ntwwl1eq--1xqxlk2s7g6r4] | Pouxeux (Vosges) [d3ntwzu1nn--1wmvfe8a17yrj]"
"place/FRAN_RI_005-d3ntwu8j7u--1uziy11b449jq","d3ntwu8j7u--1uziy11b449jq","Archettes (Vosges)","Archettes","arrondissement : 881 | canton : Epinal-Est",,"Vosges (Lorraine, département) [d3ntb90lcn-1da2tok8c3zo7]","88012","POINT(962900 6786300)","http://id.insee.fr/geo/commune/88012 | http://data.ign.fr/id/geofla/commune/88012 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/88012","Arches (Vosges) [d3ntwtgrvt--k58vua7n0q9i] | Cheniménil (Vosges) [d3ntww8jr2--1xuj02hs679xq] | Epinal (Vosges) [d3ntwx61dj-9maanjifz7bh] | Jarménil (Vosges) [d3ntwyhge4-1tm0gvizqldto] | La Baffe (Vosges) [d3ntwums18-qs92851ko6mz] | Pouxeux (Vosges) [d3ntwzu1nn--1wmvfe8a17yrj]"
