"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_023)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Date de début  d’existence (rico:beginningDate)","Date de fin  d’existence (rico:endDate)","Historique (rico:history)"
"place/FRAN_RI_023-d3nyvh02nz--xbuuv35irawh","d3nyvh02nz--xbuuv35irawh","Saint-Thomas-d'Aquin (Paris ; quartier)","Saint-Thomas-d'Aquin (quartier) | Ouest (section révolutionnaire) | Bonnet-Rouge (section révolutionnaire) | Croix-Rouge (section révolutionnaire)","1811",,"Quartier créé en 1811. Il correspond à la section révolutionnaire dénommée successivement Croix-Rouge, Bonnet-Rouge, Ouest."
"place/FRAN_RI_023-d3nyvh0f62-7jl3jteirurz","d3nyvh0f62-7jl3jteirurz","Saint-Victor (Paris ; quartier)","Saint-Victor (faubourg)",,,
"place/FRAN_RI_023-d3nyvh0r0v--1330tdzzpw7fy","d3nyvh0r0v--1330tdzzpw7fy","Saint-Victor (Paris ; quartier)","Saint-Victor (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvh12vo--8v36fbq37ed4","d3nyvh12vo--8v36fbq37ed4","Saint-Vincent-de-Paul (Paris ; quartier)","Saint-Vincent-de-Paul (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvh2e35--37tr8fppxuu4","d3nyvh2e35--37tr8fppxuu4","Salpêtrière (Paris ; quartier)","Salpêtrière (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvh2pig-13rb8i6kjc8hv","d3nyvh2pig-13rb8i6kjc8hv","Sorbonne (Paris ; quartier)","Sorbonne (quartier) | Chalier (section révolutionnaire) | Beaurepaire (section révolutionnaire) | Thermes-de-Julien (section révolutionnaire)","1811",,"Quartier créé en 1811. Il correspond à la section révolutionnaire dénommée successivement Thermes-de-Julien, Beaurepaire, Chalier."
"place/FRAN_RI_023-d3nyvh30pz--1oc8y38e9w1s7","d3nyvh30pz--1oc8y38e9w1s7","Temple (Paris ; quartier)","Temple (faubourg)",,,
"place/FRAN_RI_023-d3nyvh3cks--4ikah9uckyb2","d3nyvh3cks--4ikah9uckyb2","Temple (Paris ; quartier)","Temple (quartier)",,,"Quartier ayant existé de 1701 à 1790 et de 1811 à 1860."
"place/FRAN_RI_023-d3nyvh3o02-1c38kmgi4g5tc","d3nyvh3o02-1c38kmgi4g5tc","Ternes (Paris ; quartier)","Ternes (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3m0bq3oz0u-k6s6vbzt2qei","d3m0bq3oz0u-k6s6vbzt2qei","Tivoli (Paris ; quartier)","Tivoli (quartier)",,,
"place/FRAN_RI_023-d3m0bq3mpez--ebnjjx1e0fea","d3m0bq3mpez--ebnjjx1e0fea","Tournelle (Paris ; quartier)","Tournelle (quartier)",,,
"place/FRAN_RI_023-d3nyvh3zn4-6l0l2pphkxt6","d3nyvh3zn4-6l0l2pphkxt6","Tuileries (Paris ; quartier)","Tuileries (quartier)","1811","1860","Quartier ayant existé de 1811 à 1860."
"place/FRAN_RI_023-d3m0bq3n2hl-1kvip6f7ekq89","d3m0bq3n2hl-1kvip6f7ekq89","Vaches (Paris ; quartier)","Vaches (île aux)",,,"L'île Notre-Dame et l'île aux Vaches ont été réunies au 17ème siècle pour former l'actuelle île Saint-Louis."
"place/FRAN_RI_023-d3nyvh4aun-1nhnyc9coulvt","d3nyvh4aun-1nhnyc9coulvt","Val-de-Grâce (Paris ; quartier)","Val-de-Grâce (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvh4m9x--pp61ahwfh6x5","d3nyvh4m9x--pp61ahwfh6x5","Vivienne (Paris ; quartier)","Vivienne (quartier)","1860",,"Quartier créé en 1860."
