"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_023)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Date de début  d’existence (rico:beginningDate)","Date de fin  d’existence (rico:endDate)","Historique (rico:history)"
"place/FRAN_RI_023-d3nyvgabjm-1pjtmlabml06o","d3nyvgabjm-1pjtmlabml06o","Lombards (Paris ; quartier)","Lombards (quartier)","1811","1860","Quartier ayant existé de 1811 à 1860."
"place/FRAN_RI_023-d5bi93afh5--1dwiofld704nd","d5bi93afh5--1dwiofld704nd","Louviers (Paris ; quartier)","Louviers (île)",,,
"place/FRAN_RI_023-d3nyvganm6--1if1tsie3g2r","d3nyvganm6--1if1tsie3g2r","Louvre (Paris ; quartier)","Louvre (quartier) | Museum (section révolutionnaire)",,,"Quartier ayant existé de 1701 à 1790 et de 1811 à 1860. Il correspond à la section révolutionnaire Museum."
"place/FRAN_RI_023-d3nyvgazoq--1c50yrnvnvk9s","d3nyvgazoq--1c50yrnvnvk9s","Luxembourg (Paris ; quartier)","Luxembourg (quartier) | Mutius-Scaevola (section révolutionnaire)",,,"Quartier ayant existé de 1701 à 1790 et de 1811 à 1860. Il correspond à la section révolutionnaire Mutius-Scaevola."
"place/FRAN_RI_023-d3nyvgbfmz--11ww01vod4uww","d3nyvgbfmz--11ww01vod4uww","Madeleine (Paris ; quartier)","Madeleine (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvgbskl-1c6rxugrf4617","d3nyvgbskl-1c6rxugrf4617","Mail (Paris ; quartier)","Mail (quartier) | Guillaume-Tell (section révolutionnaire) | Place Louis XIV (section révolutionnaire)","1811",,"Quartier créé en 1811. Il correspond à la section révolutionnaire dénommée successivement Place Louis XIV, Guillaume-Tell."
"place/FRAN_RI_023-d3nyvgc5ag--pa5eup0f2oqx","d3nyvgc5ag--pa5eup0f2oqx","Maison Blanche (Paris ; quartier)","Maison Blanche (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvgchd0-pu3p06ig1m1k","d3nyvgchd0-pu3p06ig1m1k","Marais (Paris ; quartier)","Marais (quartier) | Indivisibilité (section révolutionnaire) | Fédérés (section révolutionnaire) | Place-Royale (section révolutionnaire)","1811","1860","Quartier ayant existé de 1811 à 1860. Il correspond à la section révolutionnaire dénommée successivement Place-Royale, Fédérés, Indivisibilité."
"place/FRAN_RI_023-d3nyvgd5ae--wzwgu17ixjl","d3nyvgd5ae--wzwgu17ixjl","Marchés (Paris ; quartier)","Marchés (quartier) | Halles (section révolutionnaire) | Marché des Innocents (section révolutionnaire)","1811","1860","Quartier ayant existé de 1811 à 1860. Il correspond à la section révolutionnaire dénommée successivement Marché des innocents, Halles."
"place/FRAN_RI_023-d3nyvgct7t-1pue9sjg552pt","d3nyvgct7t-1pue9sjg552pt","Marché-Saint-Jean (Paris ; quartier)","Marché-Saint-Jean (quartier) | Droits-de-l'homme (section révolutionnaire) | Roi de Sicile (section révolutionnaire)","1811","1860","Quartier ayant existé de 1811 à 1860. Il correspond à la section révolutionnaire dénommée successivement Roi de Sicile, Droits-de-l'homme."
"place/FRAN_RI_023-d3nyvgdgpo--wjilimoiyogn","d3nyvgdgpo--wjilimoiyogn","Monnaie (Paris ; quartier)","Monnaie (quartier) | Unité (section révolutionnaire) | Quatre Nations (section révolutionnaire)","1811",,"Quartier créé en 1811. Il correspond à la section révolutionnaire dénommée successivement Quatre Nations, Unité."
"place/FRAN_RI_023-d3nyvge2p7-xwmpw584jki8","d3nyvge2p7-xwmpw584jki8","Mont-de-Piété (Paris ; quartier)","Mont-de-Piété (quartier) | L'Homme-Armé (section révolutionnaire) | Marais (section révolutionnaire) | Enfants-Rouges (section révolutionnaire)","1811","1860","Quartier ayant existé de 1811 à 1860. Il correspond à la section révolutionnaire dénommée successivement Enfants-Rouges, Marais, L'Homme-Armé."
"place/FRAN_RI_023-d3nyvgeifp-hljbb2s4l00l","d3nyvgeifp-hljbb2s4l00l","Montmartre (Paris ; quartier)","Montmartre (faubourg)",,,
"place/FRAN_RI_023-d3nyvgeuq1--ys2q6qcqeojf","d3nyvgeuq1--ys2q6qcqeojf","Montmartre (Paris ; quartier)","Montmartre (quartier) | Brutus (section révolutionnaire) | Molière-et-Lafontaine (section révolutionnaire) | Fontaine-Montmorency (section révolutionnaire)",,,"Quartier ayant existé de 1701 à 1790 et de 1811 à 1860. Il correspond à la section révolutionnaire dénommée successivement Fontaine-Montmorency, Molière-et-Lafontaine, Brutus."
"place/FRAN_RI_023-d3nyvgf6ku-187ulmkyos4u","d3nyvgf6ku-187ulmkyos4u","Montorgueil (Paris ; quartier)","Montorgueil (quartier) | Bon-Conseil (section révolutionnaire) | Mauconseil (section révolutionnaire)","1811","1860","Quartier ayant existé de 1811 à 1860. Il correspond à la section révolutionnaire dénommée successivement Mauconseil, Bon-Conseil."
"place/FRAN_RI_023-d3nyvgfhsd-7xud48ujxyxr","d3nyvgfhsd-7xud48ujxyxr","Montparnasse (Paris ; quartier)","Montparnasse (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvggpjo--168vilhic8mxd","d3nyvggpjo--168vilhic8mxd","Muette (Paris ; quartier)","Muette (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvgh3ru--1wfo7og4mimj0","d3nyvgh3ru--1wfo7og4mimj0","Necker (Paris ; quartier)","Necker (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3m0bq3jt87--fklklizqyo09","d3m0bq3jt87--fklklizqyo09","Notre-Dame (Paris ; quartier)","Notre-Dame (île)",,,"L'île Notre-Dame et l'île aux Vaches ont été réunies au 17ème siècle pour former l'actuelle île Saint-Louis."
"place/FRAN_RI_023-d3nyvghezd--sdud8qy9ue1i","d3nyvghezd--sdud8qy9ue1i","Notre-Dame (Paris ; quartier)","Notre-Dame (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvghr9p-1gfjh3h1l4ryc","d3nyvghr9p-1gfjh3h1l4ryc","Notre-Dame-des-Champs (Paris ; quartier)","Notre-Dame-des-Champs (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvgi2oz-1n55zm3b6dyr9","d3nyvgi2oz-1n55zm3b6dyr9","Observatoire (Paris ; quartier)","Observatoire (quartier)","1811","1860","Quartier ayant existé de 1811 à 1860."
"place/FRAN_RI_023-d3nyvgihzy-16gyq35yrlw61","d3nyvgihzy-16gyq35yrlw61","Odéon (Paris ; quartier)","Odéon (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvgiui1--6yvwchr1ex4d","d3nyvgiui1--6yvwchr1ex4d","Palais de Justice (Paris ; quartier)","Palais de Justice (quartier) | Révolutionnaire (section révolutionnaire) | Pont-Neuf (section révolutionnaire) | Henri IV (section révolutionnaire)","1811","1860","Quartier ayant existé de 1811 à 1860. Il correspond à la section révolutionnaire dénommée successivement Henri IV, Pont-Neuf, Révolutionnaire."
"place/FRAN_RI_023-d3nyvgj653-pntrwb37dxqp","d3nyvgj653-pntrwb37dxqp","Palais-Royal (Paris ; quartier)","Palais-Royal (quartier) | Montagne (section révolutionnaire) | Butte des Moulins (section révolutionnaire)",,,"Quartier créé en 1701. Il correspond à la section révolutionnaire dénommée successivement Butte des Moulins, Montagne."
"place/FRAN_RI_023-d3nyvgjhke-wh2ggtt0n9vm","d3nyvgjhke-wh2ggtt0n9vm","Parc de Montsouris (Paris ; quartier)","Parc de Montsouris (quartier) | Santé","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvgjsrw-7kcr8gf5ppbm","d3nyvgjsrw-7kcr8gf5ppbm","Père-Lachaise (Paris ; quartier)","Père-Lachaise (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvgk477--11s5iivud68hz","d3nyvgk477--11s5iivud68hz","Petit Montrouge (Paris ; quartier)","Petit Montrouge (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvgkifd--haxjemh29yl3","d3nyvgkifd--haxjemh29yl3","Picpus (Paris ; quartier)","Picpus (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvgkuxg-xwxqi5i0uhjf","d3nyvgkuxg-xwxqi5i0uhjf","Place Maubert (Paris ; quartier)","Place Maubert (quartier)","1701","1790","Quartier ayant existé de 1701 à 1790."
"place/FRAN_RI_023-d3nyvgl6cq-bvq3jrzh2q5f","d3nyvgl6cq-bvq3jrzh2q5f","Place Vendôme (Paris ; quartier)","Place Vendôme (quartier) | Piques (section révolutionnaire)","1811",,"Quartier créé en 1811. Il correspond à la section révolutionnaire Piques."
"place/FRAN_RI_023-d3nyvglhk9-1fxjxzh5tqymx","d3nyvglhk9-1fxjxzh5tqymx","Plaine de Monceaux (Paris ; quartier)","Plaine de Monceaux (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvgm0be-qj8ywhoisyl7","d3nyvgm0be-qj8ywhoisyl7","Plaisance (Paris ; quartier)","Plaisance (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvgmg1w-1hq02vm52ixg1","d3nyvgmg1w-1hq02vm52ixg1","Poissonnière (Paris ; quartier)","Poissonnière (faubourg) | Nouvelle France",,,
"place/FRAN_RI_023-d3nyvgmsc8-f4myvm480luc","d3nyvgmsc8-f4myvm480luc","Pont de Flandres (Paris ; quartier)","Pont de Flandres (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvgn471--11osk3lp1at99","d3nyvgn471--11osk3lp1at99","Popincourt (Paris ; quartier)","Popincourt (quartier)","1811","1860","Quartier ayant existé de 1811 à 1860."
"place/FRAN_RI_023-d3nyvgnfmb-59w5vu93qbmr","d3nyvgnfmb-59w5vu93qbmr","Porte Dauphine (Paris ; quartier)","Porte Dauphine (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvgnqtu-940m4eocpnai","d3nyvgnqtu-940m4eocpnai","Porte Saint-Denis (Paris ; quartier)","Porte Saint-Denis (quartier) | Amis-de-la-Patrie (section révolutionnaire) | Ponceau (section révolutionnaire)","1811",,"Quartier créé en 1811. Il correspond à la section révolutionnaire dénommée successivement Ponceau, Amis-de-la-Patrie."
"place/FRAN_RI_023-d3nyvgo294-1pdm5sqqpna5k","d3nyvgo294-1pdm5sqqpna5k","Porte Saint-Martin (Paris ; quartier)","Porte Saint-Martin (quartier) | Bondy (section révolutionnaire)","1811",,"Quartier créé en 1811. Il correspond à la section révolutionnaire Bondy."
"place/FRAN_RI_023-d3nyvgogp2-1nhu5mkvuxt6k","d3nyvgogp2-1nhu5mkvuxt6k","Quinze-Vingts (Paris ; quartier)","Quinze-Vingts (quartier)","1811",,"Quartier créé en 1811."
"place/FRAN_RI_023-d3nyvgot75--35xuku68lzrp","d3nyvgot75--35xuku68lzrp","Rochechouart (Paris ; quartier)","Rochechouart (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvgpfty-1gu5za5v5atf4","d3nyvgpfty-1gu5za5v5atf4","Saint-Ambroise (Paris ; quartier)","Saint-Ambroise (quartier)","1860",,"Quartier créé en 1860."
"place/FRAN_RI_023-d3nyvgpu25-95rr5q73ymvw","d3nyvgpu25-95rr5q73ymvw","Saint-André-des-Arts (Paris ; quartier)","Saint-André-des-Arts (quartier)","1701","1790","Quartier ayant existé de 1701 à 1790."
"place/FRAN_RI_023-d3nyvgq6zq--1ok0kamcmexmz","d3nyvgq6zq--1ok0kamcmexmz","Saint-Antoine (Paris ; quartier)","Saint-Antoine (faubourg)",,,
"place/FRAN_RI_023-d3nyvgqi79--17v2l85hhq4ey","d3nyvgqi79--17v2l85hhq4ey","Saint-Antoine (Paris ; quartier)","Saint-Antoine (quartier)","1701","1790","Quartier ayant existé de 1701 à 1790."
"place/FRAN_RI_023-d3nyvgqtes--1wrsaggwbjmzu","d3nyvgqtes--1wrsaggwbjmzu","Saint-Benoît (Paris ; quartier)","Saint-Benoît (quartier)","1701","1790","Quartier ayant existé de 1701 à 1790."
"place/FRAN_RI_023-d3nyvgr7uq-3y3e5s6egqa7","d3nyvgr7uq-3y3e5s6egqa7","Saint-Denis (Paris ; quartier)","Saint-Denis (faubourg)",,,
"place/FRAN_RI_023-d3nyvgrksc--1qyg7stzts74f","d3nyvgrksc--1qyg7stzts74f","Saint-Denis (Paris ; quartier)","Saint-Denis (quartier)","1701","1790","Quartier ayant existé de 1701 à 1790."
"place/FRAN_RI_023-d3nyvh1eiq-10kmxmcddmsfj","d3nyvh1eiq-10kmxmcddmsfj","Sainte-Avoye (Paris ; quartier)","Sainte-Avoye (quartier) | Réunion (section révolutionnaire) | Rue Beaubourg (section révolutionnaire) | Sainte-Avoie (quartier)",,,"Quartier créé en 1701. Il correspond à la section révolutionnaire dénommée successivement Rue Beaubourg, Réunion."
"place/FRAN_RI_023-d3nyvh1qla--1n2otbf25ngkl","d3nyvh1qla--1n2otbf25ngkl","Sainte-Marguerite (Paris ; quartier)","Sainte-Marguerite (quartier)","1860",,"Quartier créé en 1860."
