"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntl39xbi--1c4qohobejcd5","d3ntl39xbi--1c4qohobejcd5","Abaucourt (Meurthe-et-Moselle)","Aboncourt-sur-Seille | Abaucourt","arrondissement : 543 | canton : Nomeny",,"Meurthe-et-Moselle (Lorraine, département) [d3ntb8bb9b--1cfhgub70xba6]","54001","POINT(938700 6871200)","http://id.insee.fr/geo/commune/54001 | http://data.ign.fr/id/geofla/commune/54001 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/54001","Phlin (Meurthe-et-Moselle) [d3ntl81off--10t04ahxvwhn1] | Nomeny (Meurthe-et-Moselle) [d3ntl7s9zz-86f2v13biglq] | Thézey-Saint-Martin (Meurthe-et-Moselle) [d3ntl9irsl-1xl66or663dal] | Létricourt (Meurthe-et-Moselle) [d3ntl6vt8i--kbki3e07gzx2] | Mailly-sur-Seille (Meurthe-et-Moselle) [d3ntl73k64--t69oc8pigcff]"
"place/FRAN_RI_005-d3ntl3aa94-1xgx8w1q5b7co","d3ntl3aa94-1xgx8w1q5b7co","Abbéville-lès-Conflans (Meurthe-et-Moselle)","Abreschviller | Abrecheviller | Abbéville-lès-Conflans","arrondissement : 541 | canton : Conflans-en-Jarnisy",,"Meurthe-et-Moselle (Lorraine, département) [d3ntb8bb9b--1cfhgub70xba6]","54002","POINT(907300 6903500)","http://id.insee.fr/geo/commune/54002 | http://data.ign.fr/id/geofla/commune/54002 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/54002","Labry (Meurthe-et-Moselle) [d3ntl6kzae-1x6myuyj3cqtz] | Boncourt (Meurthe-et-Moselle) [d3ntl49lu6--144eoa6u51wi2] | Valleroy (Meurthe-et-Moselle) [d3ntl9sy8u-17nispw1p004w] | Thumeréville (Meurthe-et-Moselle) [d3ntl9lsv8--15m603g6p7lys] | Les Baroches (Meurthe-et-Moselle) [d3ntl3tqlt-12ngxwe34hgrf] | Conflans-en-Jarnisy (Meurthe-et-Moselle) [d3ntl4unj3--ili3djlqhrne] | Hatrize (Meurthe-et-Moselle) [d3ntl666fc-1byeqj5t7yqx4] | Ozerailles (Meurthe-et-Moselle) [d3ntl7xcku--gf2ia13s8vj2]"
"place/FRAN_RI_005-d3ntl3an6p--41t6u1aabp3w","d3ntl3an6p--41t6u1aabp3w","Aboncourt (Meurthe-et-Moselle)","Achain | Aboncourt","arrondissement : 544 | canton : Colombey-les-Belles",,"Meurthe-et-Moselle (Lorraine, département) [d3ntb8bb9b--1cfhgub70xba6]","54003","POINT(919700 6810500)","http://id.insee.fr/geo/commune/54003 | http://data.ign.fr/id/geofla/commune/54003 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/54003","Chef-Haut (Vosges) [d3ntww88rb-aoenvlhatcf0] | Repel (Vosges) [d3ntx0gdh8--1w0ikf1j083by] | Saint-Prancher (Vosges) [d3ntx0vo8e-4tmdtvkncs13] | Beuvezin (Meurthe-et-Moselle) [d3ntl4476s--15jfxmgn2pg6e] | Maconcourt (Vosges) [d3ntwywhg2--xba5k5sw48rw] | Grimonviller (Meurthe-et-Moselle) [d3ntl5xvvj-p8lc34x6z668] | Courcelles (Meurthe-et-Moselle) [d3ntl4vyyb-1ix5r11skidde]"
"place/FRAN_RI_005-d3ntl3b04b--1snx0pcl9x4au","d3ntl3b04b--1snx0pcl9x4au","Affléville (Meurthe-et-Moselle)","Ajoncourt | Affléville","arrondissement : 541 | canton : Conflans-en-Jarnisy",,"Meurthe-et-Moselle (Lorraine, département) [d3ntb8bb9b--1cfhgub70xba6]","54004","POINT(901100 6911300)","http://id.insee.fr/geo/commune/54004 | http://data.ign.fr/id/geofla/commune/54004 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/54004","Gondrecourt-Aix (Meurthe-et-Moselle) [d3ntl5vch8--1y3twdtijqlk] | Dommary-Baroncourt (Meuse) [d3ntlc21s7--lup803bkkzfp] | Norroy-le-Sec (Meurthe-et-Moselle) [d3ntl7t3qw-1rsfrxqdvnue8] | Rouvres-en-Woëvre (Meuse) [d3ntlepy6n-6zly4li64u2v] | Bouligny (Meuse) [d3ntlb7wfw-1stbbyvzr8rk3] | Joudreville (Meurthe-et-Moselle) [d3ntl6k9f6-p03b5d2q0w9m]"
"place/FRAN_RI_005-d3ntl3bd1x--xui5dsfq7rif","d3ntl3bd1x--xui5dsfq7rif","Affracourt (Meurthe-et-Moselle)","Alaincourt-la-Côte | Affrancourt | Affracourt","arrondissement : 543 | canton : Haroué",,"Meurthe-et-Moselle (Lorraine, département) [d3ntb8bb9b--1cfhgub70xba6]","54005","POINT(934300 6822600)","http://id.insee.fr/geo/commune/54005 | http://data.ign.fr/id/geofla/commune/54005 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/54005","Xirocourt (Meurthe-et-Moselle) [d3ntlaer3i--wzitc3tcmczo] | Tantonville (Meurthe-et-Moselle) [d3ntl9he7r--9fmm4q4trzbq] | Gerbécourt-et-Haplemont (Meurthe-et-Moselle) [d3ntl5rrko--uoymp9hy0e57] | Vaudeville (Meurthe-et-Moselle) [d3ntl9xf1w-1ue4s6zadmz0n] | Haroué (Meurthe-et-Moselle) [d3ntl65thq-1y1v2xuy97x12]"
"place/FRAN_RI_005-d3ntl3bq7b-znni76la3lzi","d3ntl3bq7b-znni76la3lzi","Agincourt (Meurthe-et-Moselle)","Albestroff | Alberstorff | Agincourt","arrondissement : 543 | canton : Malzéville","1er avril 1998 :","Meurthe-et-Moselle (Lorraine, département) [d3ntb8bb9b--1cfhgub70xba6]","54006","POINT(938000 6852900)","http://id.insee.fr/geo/commune/54006 | http://data.ign.fr/id/geofla/commune/54006 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/54006","Dommartemont (Meurthe-et-Moselle) [d3ntl55tbz--1ej5pkone64gl] | Essey-lès-Nancy (Meurthe-et-Moselle) [d3ntl5cy2b--16odb1lo513oh] | Eulmont (Meurthe-et-Moselle) [d3ntl5do5a--1gfhxzh31b8k2] | Dommartin-sous-Amance (Meurthe-et-Moselle) [d3ntl56tz7-so6ym19vxerf]"
"place/FRAN_RI_005-d3ntl3c34w-d7jklsvy9w7z","d3ntl3c34w-d7jklsvy9w7z","Aingeray (Meurthe-et-Moselle)","Jugerey | Ammelécourt | Amelécourt | Aingeray","arrondissement : 544 | canton : Toul-Nord",,"Meurthe-et-Moselle (Lorraine, département) [d3ntb8bb9b--1cfhgub70xba6]","54007","POINT(920600 6852900)","http://id.insee.fr/geo/commune/54007 | http://data.ign.fr/id/geofla/commune/54007 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/54007","Liverdun (Meurthe-et-Moselle) [d3ntl6y5ay--f55n7kkkb58y] | Fontenoy-sur-Moselle (Meurthe-et-Moselle) [d3ntl5jtb7--17ispvu6ofiy1] | Villey-Saint-Etienne (Meurthe-et-Moselle) [d3ntla9plh--15wwbelxzfp4] | Velaine-en-Haye (Meurthe-et-Moselle) [d3ntl9yusc-sv2tizuup4nl]"
"place/FRAN_RI_005-d3ntl3cg2i--1ob6v4c3ih27p","d3ntl3cg2i--1ob6v4c3ih27p","Allain (Meurthe-et-Moselle)","Angwiller | Angviller-lès-Bisping | Allain-aux-Bœufs | Allain","arrondissement : 544 | canton : Colombey-les-Belles",,"Meurthe-et-Moselle (Lorraine, département) [d3ntb8bb9b--1cfhgub70xba6]","54008","POINT(914700 6831700)","http://id.insee.fr/geo/commune/54008 | http://data.ign.fr/id/geofla/commune/54008 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/54008","Thuilley-aux-Groseilles (Meurthe-et-Moselle) [d3ntl9lfxm-jdy88ck39i3c] | Crépey (Meurthe-et-Moselle) [d3ntl4x5mt-13fqeeyd6xy34] | Colombey-les-Belles (Meurthe-et-Moselle) [d3ntl4ubw1--1tdl7dwcp16x1] | Crézilles (Meurthe-et-Moselle) [d3ntl4y62a--15d3a6tvua3bi] | Bagneux (Meurthe-et-Moselle) [d3ntl3pejg--1n6enjk3u7f8p] | Ochey (Meurthe-et-Moselle) [d3ntl7u3j2--5c1uyo4qimjb]"
"place/FRAN_RI_005-d3ntl3dbr9--1swr8pay98d5g","d3ntl3dbr9--1swr8pay98d5g","Allamont (Meurthe-et-Moselle)","Arzviller | Archeviller | Allamont","arrondissement : 541 | canton : Conflans-en-Jarnisy",,"Meurthe-et-Moselle (Lorraine, département) [d3ntb8bb9b--1cfhgub70xba6]","54009","POINT(901500 6895000)","http://id.insee.fr/geo/commune/54009 | http://data.ign.fr/id/geofla/commune/54009 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/54009","Friauville (Meurthe-et-Moselle) [d3ntl5ocpe--1gdrlab6fmvfn] | Brainville (Meurthe-et-Moselle) [d3ntl4e3xt--ur4obwoc6iw4] | Villers-sous-Pareid (Meuse) [d3ntlfsmhe--14vcyhbik1kuv] | Labeuville (Meuse) [d3ntld4f37-sunrgtk0kiyq] | Moulotte (Meuse) [d3ntldy6um--v7swx1bkmcdc] | Puxe (Meurthe-et-Moselle) [d3ntl87t5s-c65pavfu9gfr]"
"place/FRAN_RI_005-d3ntl3dneb--fbff73vqc6tb","d3ntl3dneb--fbff73vqc6tb","Allamps (Meurthe-et-Moselle)","Housselmont | Aspach | Allamps","arrondissement : 544 | canton : Colombey-les-Belles",,"Meurthe-et-Moselle (Lorraine, département) [d3ntb8bb9b--1cfhgub70xba6]","54010","POINT(907300 6831100)","http://id.insee.fr/geo/commune/54010 | http://data.ign.fr/id/geofla/commune/54010 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/54010","Bulligny (Meurthe-et-Moselle) [d3ntl4i9jc-12qonz8b5ugw2] | Barisey-au-Plain (Meurthe-et-Moselle) [d3ntl3t1lm--1x7qgrei24tbl] | Barisey-la-Côte (Meurthe-et-Moselle) [d3ntl3tdgg--wsz7rbtesnd3] | Saulxures-lès-Vannes (Meurthe-et-Moselle) [d3ntl8x26b--16fepngb3m4ew] | Vannes-le-Châtel (Meurthe-et-Moselle) [d3ntl9vmtd--iq64pbync7dw] | Blénod-lès-Toul (Meurthe-et-Moselle) [d3ntl48zun--1mm76im3sd5ei]"
