"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de la commune dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Description (rico:descriptiveNote)","Historique (rico:history)","Nom et id du département d’appartenance","Code INSEE","Coordonnées du chef-lieu (RGF93 projection Lambert 93)","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Communes adjacentes"
"place/FRAN_RI_005-d3ntxium56--1u5uu47fki5wd","d3ntxium56--1u5uu47fki5wd","Miquelon-Langlade (Saint-Pierre-et-Miquelon)","Miquelon-Langlade",,,"Saint-Pierre-et-Miquelon (pays et territoires d'outre-mer) [d3ntb8oj7q--fd4a3cguuz6b]","97501",,"http://id.insee.fr/geo/commune/97501 | http://data.ign.fr/id/geofla/commune/97501 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/97501",
"place/FRAN_RI_005-d3ntxiu9uv-xmmcisoud091","d3ntxiu9uv-xmmcisoud091","Saint-Pierre (Saint-Pierre-et-Miquelon)","Saint-Pierre",,,"Saint-Pierre-et-Miquelon (pays et territoires d'outre-mer) [d3ntb8oj7q--fd4a3cguuz6b]","97502",,"http://id.insee.fr/geo/commune/97502 | http://data.ign.fr/id/geofla/commune/97502 | http://data.alegoria-project.fr/id/ign/unitesadministratives/commune/97502",
